Supplier_Code,Supplier_Name,PPM_Defects,On_Time_Delivery_%,Performance
SUP-157,Auto Supplier 157,264,100,Average
SUP-135,Auto Supplier 135,264,85,Poor
SUP-199,Auto Supplier 199,271,96,Average
SUP-136,Auto Supplier 136,276,90,Average
SUP-192,Auto Supplier 192,276,88,Poor
SUP-194,Auto Supplier 194,277,91,Average
SUP-066,Auto Supplier 66,278,100,Average
SUP-185,Auto Supplier 185,278,85,Poor
SUP-176,Auto Supplier 176,281,98,Average
SUP-054,Auto Supplier 54,293,98,Average
SUP-120,Auto Supplier 120,294,94,Average
SUP-016,Auto Supplier 16,296,87,Poor
SUP-173,Auto Supplier 173,298,93,Average
SUP-042,Auto Supplier 42,299,97,Average
SUP-096,Auto Supplier 96,300,92,Average
SUP-200,Auto Supplier 200,301,98,Poor
SUP-038,Auto Supplier 38,301,96,Poor
SUP-170,Auto Supplier 170,301,96,Poor
SUP-106,Auto Supplier 106,301,90,Poor
SUP-180,Auto Supplier 180,302,85,Poor
SUP-068,Auto Supplier 68,303,94,Poor
SUP-051,Auto Supplier 51,305,97,Poor
SUP-133,Auto Supplier 133,306,97,Poor
SUP-182,Auto Supplier 182,306,87,Poor
SUP-040,Auto Supplier 40,313,97,Poor
SUP-011,Auto Supplier 11,313,93,Poor
SUP-142,Auto Supplier 142,314,96,Poor
SUP-024,Auto Supplier 24,315,85,Poor
SUP-130,Auto Supplier 130,320,90,Poor
SUP-047,Auto Supplier 47,321,98,Poor
SUP-147,Auto Supplier 147,322,99,Poor
SUP-179,Auto Supplier 179,326,96,Poor
SUP-021,Auto Supplier 21,327,96,Poor
SUP-019,Auto Supplier 19,328,85,Poor
SUP-064,Auto Supplier 64,329,93,Poor
SUP-050,Auto Supplier 50,329,89,Poor
SUP-017,Auto Supplier 17,329,85,Poor
SUP-048,Auto Supplier 48,330,89,Poor
SUP-062,Auto Supplier 62,334,100,Poor
SUP-139,Auto Supplier 139,334,85,Poor
SUP-112,Auto Supplier 112,335,100,Poor
SUP-134,Auto Supplier 134,335,93,Poor
SUP-079,Auto Supplier 79,335,90,Poor
SUP-035,Auto Supplier 35,343,99,Poor
SUP-090,Auto Supplier 90,344,89,Poor
SUP-086,Auto Supplier 86,344,88,Poor
SUP-151,Auto Supplier 151,347,100,Poor
SUP-041,Auto Supplier 41,347,97,Poor
SUP-058,Auto Supplier 58,347,90,Poor
SUP-158,Auto Supplier 158,349,89,Poor
SUP-099,Auto Supplier 99,352,100,Poor
SUP-046,Auto Supplier 46,353,89,Poor
SUP-156,Auto Supplier 156,355,93,Poor
SUP-100,Auto Supplier 100,356,90,Poor
SUP-034,Auto Supplier 34,358,85,Poor
SUP-196,Auto Supplier 196,360,96,Poor
SUP-075,Auto Supplier 75,367,99,Poor
SUP-030,Auto Supplier 30,373,90,Poor
SUP-162,Auto Supplier 162,373,86,Poor
SUP-159,Auto Supplier 159,386,93,Poor
SUP-097,Auto Supplier 97,387,89,Poor
SUP-119,Auto Supplier 119,391,96,Poor
SUP-078,Auto Supplier 78,394,87,Poor
SUP-129,Auto Supplier 129,397,97,Poor
SUP-146,Auto Supplier 146,398,88,Poor
SUP-122,Auto Supplier 122,403,96,Poor
SUP-195,Auto Supplier 195,409,85,Poor
SUP-094,Auto Supplier 94,410,91,Poor
SUP-184,Auto Supplier 184,411,90,Poor
SUP-087,Auto Supplier 87,413,99,Poor
SUP-164,Auto Supplier 164,417,99,Poor
SUP-132,Auto Supplier 132,417,95,Poor
SUP-005,Auto Supplier 5,417,93,Poor
SUP-183,Auto Supplier 183,419,93,Poor
SUP-033,Auto Supplier 33,426,91,Poor
SUP-072,Auto Supplier 72,440,88,Poor
SUP-053,Auto Supplier 53,441,86,Poor
SUP-144,Auto Supplier 144,447,100,Poor
SUP-028,Auto Supplier 28,448,99,Poor
SUP-149,Auto Supplier 149,451,87,Poor
SUP-093,Auto Supplier 93,452,96,Poor
SUP-178,Auto Supplier 178,452,92,Poor
SUP-174,Auto Supplier 174,453,91,Poor
SUP-061,Auto Supplier 61,454,95,Poor
SUP-102,Auto Supplier 102,455,95,Poor
SUP-189,Auto Supplier 189,455,86,Poor
SUP-111,Auto Supplier 111,459,99,Poor
SUP-152,Auto Supplier 152,461,99,Poor
SUP-117,Auto Supplier 117,463,85,Poor
SUP-026,Auto Supplier 26,467,87,Poor
SUP-056,Auto Supplier 56,469,98,Poor
SUP-004,Auto Supplier 4,470,86,Poor
SUP-103,Auto Supplier 103,474,87,Poor
SUP-036,Auto Supplier 36,475,92,Poor
SUP-012,Auto Supplier 12,476,96,Poor
SUP-007,Auto Supplier 7,482,86,Poor
SUP-098,Auto Supplier 98,484,94,Poor
SUP-089,Auto Supplier 89,485,91,Poor
SUP-082,Auto Supplier 82,487,90,Poor
SUP-153,Auto Supplier 153,487,89,Poor
SUP-121,Auto Supplier 121,490,93,Poor
SUP-039,Auto Supplier 39,492,95,Poor
SUP-190,Auto Supplier 190,493,94,Poor
SUP-163,Auto Supplier 163,494,92,Poor
SUP-059,Auto Supplier 59,499,99,Poor
SUP-003,Auto Supplier 3,499,88,Poor
SUP-138,Auto Supplier 138,500,95,Poor
