Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,Machine_ID,Breakdown,Operating_Time_Minutes,Repair_Time_Minutes,Failure_Code,Planned_Time_Minutes,Run_Time_Minutes,Ideal_Cycle_Time,Total_Units,Reject_Units,Good_Units,Downtime_Minutes
M7019,MA1AB100000000019,WO10019,Hatch Z,GA-1, stn-05 ,2026-03-01 06:23,ENG-1453,SUP-138,EMP236,TL-099,C,MC-105,No,466,0,,480,477,1.13,535,1,534,3
M7020,MA1AB100000000020,WO10020,Sedan X,PAINT-1,STN-04,2026-03-01 06:25,ENG-1080,SUP-117,EMP101,TL-093,C,MC-102,No,478,0,,480,473,1.03,483,14,469,7
M7021,MA1AB100000000021,WO10021,Hatch Z,GA-2,STN-05,2026-03-01 06:26,ENG-1467,SUP-028,EMP252,TL-082,B,MC-105,No,442,0,,480,444,1.03,512,2,510,36
M7022,MA1AB100000000022,WO10022,Sedan X,PAINT-1,Stn-03,2026-03-01 06:27,ENG-1082,SUP-139,EMP371,TL-001,C,MC-104,No,437,0,,480,447,1.17,539,14,525,33
M7023,MA1AB100000000023,WO10023,SUV Pro,GA-1,STN-01,2026-03-01 06:28,ENG-1475,SUP-093,EMP257,TL-031,A,MC-102,No,432,0,,480,458,0.81,510,4,506,22
M7024,MA1AB100000000024,WO10024,Sedan X,GA-1,STN-01,2026-03-01 06:30,ENG-1374,SUP-125,EMP135,TL-098,B,MC-104,No,445,0,,480,468,0.81,518,9,509,12
M7025,MA1AB100000000025,WO10025,Sedan X,TRIM-1,STN-05,2026-03-01 06:31,ENG-1084,SUP-068,EMP370,TL-078,,MC-105,No,436,0,,480,469,0.81,512,3,509,11
M7026,MA1AB100000000026,WO10026,Sedan X,GA-2, stn-05 ,2026-03-01 06:32,ENG-1159,SUP-103,EMP291,TL-057,,MC-103,No,452,0,,480,420,0.92,580,5,575,60
M7027,MA1AB100000000027,WO10027,Sedan X,GA-2,STN-02,2026-03-01 06:33,ENG-1032,SUP-087,EMP110,TL-076,B,MC-101,No,424,0,,480,464,1.02,550,5,545,16
M7028,MA1AB100000000028,WO10028,Hatch Z,GA-2,STN-01,2026-03-01 06:35,ENG-1036,SUP-182,EMP130,TL-030,A,MC-102,No,441,0,,480,448,1.05,598,2,596,32
M7029,MA1AB100000000029,WO10029,Sedan X,PAINT-1,STN-01,2026-03-01 06:36,ENG-1263,SUP-061,EMP242,TL-086,,MC-104,No,471,0,,480,437,1.07,459,3,456,43
M7030,MA1AB100000000030,WO10030,Sedan X,GA-2, stn-05 ,2026-03-01 06:37,ENG-1478,SUP-147,EMP395,TL-061,B,MC-103,No,436,0,,480,466,0.81,453,3,450,14
M7031,MA1AB100000000031,WO10031,SUV Pro,TRIM-1,STN-02,2026-03-01 06:38,ENG-1048,SUP-025,EMP320,TL-046,,MC-103,No,472,0,,480,471,1.15,516,4,512,9
M7032,MA1AB100000000032,WO10032,SUV Pro,TRIM-1,Stn-03,2026-03-01 06:40,ENG-1373,SUP-014,EMP150,TL-008,,MC-102,No,436,0,,480,434,0.9,521,0,521,46
M7033,MA1AB100000000033,WO10033,Hatch Z,PAINT-1,Stn-03,2026-03-01 06:41,ENG-1441,SUP-028,EMP227,TL-025,B,MC-102,No,444,0,,480,457,1.19,577,15,562,23
M7034,MA1AB100000000034,WO10034,Hatch Z,TRIM-1,STN-02,2026-03-01 06:42,ENG-1216,SUP-047,EMP242,TL-060,B,MC-103,No,469,0,,480,480,0.94,479,3,476,0
M7035,MA1AB100000000035,WO10035,Sedan X,TRIM-1,Stn-03,2026-03-01 06:43,ENG-1441,SUP-141,EMP150,TL-007,A,MC-101,No,441,0,,480,426,1.14,574,11,563,54
M7036,MA1AB100000000036,WO10036,Sedan X,GA-2,STN-02,2026-03-01 06:45,ENG-1208,SUP-125,EMP346,TL-028,,MC-101,No,449,0,,480,477,1.09,555,4,551,3
M7037,MA1AB100000000037,WO10037,Sedan X,GA-2,STN-04,2026-03-01 06:46,ENG-1001,SUP-100,EMP235,TL-999,,MC-104,No,477,0,,480,440,0.81,521,0,521,40
M7038,MA1AB100000000038,WO10038,SUV Pro,TRIM-1, stn-05 ,2026-03-01 06:47,ENG-1490,SUP-188,EMP384,TL-085,,MC-101,No,421,0,,480,421,1.0,474,0,474,59
M7039,MA1AB100000000039,WO10039,Sedan X,GA-2,STN-03,2026-03-01 06:48,ENG-1111,SUP-015,EMP396,TL-095,A,MC-103,No,436,0,,480,421,0.96,465,10,455,59
M7040,MA1AB100000000040,WO10040,Hatch Z,PAINT-1,STN-01,2026-03-01 06:50,ENG-1025,SUP-150,EMP344,TL-065,B,MC-103,Yes,460,43,F002,480,421,1.2,538,15,523,59
M7041,MA1AB100000000041,WO10041,Sedan X,GA-1,Stn-03,2026-03-01 06:51,ENG-1095,SUP-018,EMP134,TL-087,B,MC-105,No,446,0,,480,461,0.89,574,5,569,19
M7042,MA1AB100000000042,WO10042,SUV Pro,GA-1,STN-05,2026-03-01 06:52,ENG-1126,SUP-149,EMP120,TL-080,A,MC-103,No,453,0,,480,454,0.96,544,5,539,26
M7043,MA1AB100000000043,WO10043,SUV Pro,PAINT-1,STN-03,2026-03-01 06:53,ENG-1104,SUP-172,EMP260,TL-031,C,MC-101,No,464,0,,480,420,0.87,587,15,572,60
M7044,MA1AB100000000044,WO10044,SUV Pro,GA-2, stn-05 ,2026-03-01 06:55,ENG-1330,SUP-077,EMP334,TL-041,A,MC-104,No,435,0,,480,480,0.8,517,3,514,0
M7045,MA1AB100000000045,WO10045,Sedan X,TRIM-1,STN-05,2026-03-01 06:56,ENG-1288,SUP-026,EMP137,TL-069,B,MC-105,No,445,0,,480,476,1.02,501,8,493,4
M7046,MA1AB100000000046,WO10046,Hatch Z,PAINT-1,STN-02,2026-03-01 06:57,ENG-1477,SUP-090,EMP135,TL-032,C,MC-101,No,472,0,,480,444,1.05,559,5,554,36
M7047,MA1AB100000000047,WO10047,SUV Pro,GA-2,STN-04,2026-03-01 06:58,ENG-1426,SUP-140,EMP254,TL-079,A,MC-104,No,455,0,,480,463,0.87,547,10,537,17
M7048,MA1AB100000000048,WO10048,Hatch Z,PAINT-1, stn-05 ,2026-03-01 07:00,ENG-1053,SUP-035,EMP235,TL-015,A,MC-101,No,450,0,,480,433,1.14,493,11,482,47
M7049,MA1AB100000000049,WO10049,Hatch Z,GA-2,STN-03,2026-03-01 07:01,ENG-1144,SUP-155,EMP207,TL-092,C,MC-105,No,433,0,,480,447,0.89,595,7,588,33
M7050,MA1AB100000000050,WO10050,Sedan X,PAINT-1,STN-05,2026-03-01 07:02,ENG-1250,SUP-065,EMP126,TL-012,,MC-103,No,437,0,,480,466,1.17,544,3,541,14
M7051,MA1AB100000000051,WO10051,SUV Pro,GA-1,STN-01,2026-03-01 07:03,ENG-1170,SUP-198,EMP166,TL-082,C,MC-105,No,467,0,,480,421,1.07,467,0,467,59
M7052,MA1AB100000000052,WO10052,Sedan X,TRIM-1,STN-05,2026-03-01 07:05,ENG-1361,SUP-110,EMP387,TL-002,A,MC-103,No,478,0,,480,453,1.19,593,15,578,27
M7053,MA1AB100000000053,WO10053,Sedan X,GA-2,STN-05,2026-03-01 07:06,ENG-1018,SUP-095,EMP398,TL-071,B,MC-105,No,467,0,,480,434,0.98,563,5,558,46
M7054,MA1AB100000000054,WO10054,SUV Pro,GA-2,STN-01,2026-03-01 07:07,ENG-1157,SUP-094,EMP120,TL-046,B,MC-102,No,467,0,,480,468,1.14,522,8,514,12
M7055,MA1AB100000000055,WO10055,Hatch Z,GA-2, stn-05 ,2026-03-01 07:08,ENG-1052,SUP-091,EMP386,TL-053,B,MC-101,No,436,0,,480,448,1.04,570,1,569,32
M7056,MA1AB100000000056,WO10056,Sedan X,GA-2,Stn-03,2026-03-01 07:10,ENG-1415,SUP-046,EMP311,TL-004,B,MC-101,No,432,0,,480,480,1.09,544,3,541,0
M7057,MA1AB100000000057,WO10057,Hatch Z,PAINT-1,Stn-03,2026-03-01 07:11,ENG-1476,SUP-106,EMP227,TL-035,B,MC-102,No,473,0,,480,451,0.96,501,8,493,29
M7058,MA1AB100000000058,WO10058,Hatch Z,GA-1,STN-04,2026-03-01 07:12,ENG-1446,SUP-010,EMP340,TL-029,B,MC-103,No,429,0,,480,455,1.0,534,10,524,25
M7059,MA1AB100000000059,WO10059,SUV Pro,PAINT-1,STN-03,2026-03-01 07:13,ENG-1420,SUP-059,EMP214,TL-004,B,MC-101,No,427,0,,480,434,0.91,548,9,539,46
M7060,MA1AB100000000060,WO10060,SUV Pro,PAINT-1,STN-03,2026-03-01 07:15,ENG-1442,SUP-018,EMP242,TL-045,,MC-102,No,463,0,,480,442,0.93,544,10,534,38
M7061,MA1AB100000000061,WO10061,Hatch Z,PAINT-1,STN-01,2026-03-01 07:16,ENG-1059,SUP-067,EMP191,TL-075,C,MC-101,No,451,0,,480,434,1.17,493,11,482,46
M7062,MA1AB100000000062,WO10062,Sedan X,GA-1,STN-05,2026-03-01 07:17,ENG-1222,SUP-089,EMP260,TL-056,A,MC-104,No,468,0,,480,463,0.83,563,8,555,17
M7063,MA1AB100000000063,WO10063,SUV Pro,GA-2,STN-03,2026-03-01 07:18,ENG-1022,SUP-182,EMP323,TL-001,B,MC-103,No,422,0,,480,434,1.13,542,5,537,46
M7064,MA1AB100000000064,WO10064,SUV Pro,TRIM-1,STN-01,2026-03-01 07:20,ENG-1485,SUP-171,EMP269,TL-080,C,MC-104,No,443,0,,480,468,1.1,514,9,505,12
M7065,MA1AB100000000065,WO10065,Hatch Z,GA-1, stn-05 ,2026-03-01 07:21,ENG-1460,SUP-077,EMP359,TL-040,,MC-103,No,451,0,,480,449,0.86,589,12,577,31
M7066,MA1AB100000000066,WO10066,SUV Pro,TRIM-1, stn-05 ,2026-03-01 07:22,ENG-1151,SUP-142,EMP165,TL-025,,MC-102,No,476,0,,480,480,0.97,482,12,470,0
M7067,MA1AB100000000067,WO10067,Hatch Z,TRIM-1, stn-05 ,2026-03-01 07:23,ENG-1383,SUP-045,EMP391,TL-039,,MC-103,No,475,0,,480,438,1.13,506,6,500,42
M7068,MA1AB100000000068,WO10068,Hatch Z,GA-1,STN-03,2026-03-01 07:25,ENG-1146,SUP-054,EMP320,TL-999,C,MC-103,No,431,0,,480,479,1.0,490,11,479,1
M7069,MA1AB100000000069,WO10069,SUV Pro,TRIM-1,STN-04,2026-03-01 07:26,ENG-1345,SUP-055,EMP361,TL-061,B,MC-102,No,478,0,,480,421,1.0,535,2,533,59
M7070,MA1AB100000000070,WO10070,Hatch Z,GA-1,STN-03,2026-03-01 07:27,ENG-1263,SUP-170,EMP271,TL-012,B,MC-103,No,445,0,,480,446,1.0,450,14,436,34
M7071,MA1AB100000000071,WO10071,Hatch Z,PAINT-1,STN-02,2026-03-01 07:28,ENG-1412,SUP-051,EMP175,TL-004,A,MC-101,No,456,0,,480,473,0.87,481,0,481,7
M7072,MA1AB100000000072,WO10072,Sedan X,TRIM-1,STN-05,2026-03-01 07:30,ENG-1435,SUP-197,EMP137,TL-059,,MC-105,No,453,0,,480,478,1.2,485,14,471,2
M7073,MA1AB100000000073,WO10073,Hatch Z,GA-2, stn-05 ,2026-03-01 07:31,ENG-1356,SUP-099,EMP353,TL-052,B,MC-102,No,450,0,,480,455,1.1,501,9,492,25
M7074,MA1AB100000000074,WO10074,Sedan X,GA-1,Stn-03,2026-03-01 07:32,ENG-1440,SUP-198,EMP154,TL-100,,MC-105,No,422,0,,480,479,0.91,483,2,481,1
M7075,MA1AB100000000075,WO10075,Sedan X,GA-2,Stn-03,2026-03-01 07:33,ENG-1490,SUP-179,EMP365,TL-060,A,MC-102,No,445,0,,480,461,0.94,593,12,581,19
M7076,MA1AB100000000076,WO10076,Hatch Z,GA-2,Stn-03,2026-03-01 07:35,ENG-1062,SUP-117,EMP168,TL-060,C,MC-102,No,469,0,,480,426,1.08,579,8,571,54
M7077,MA1AB100000000077,WO10077,SUV Pro,TRIM-1,Stn-03,2026-03-01 07:36,ENG-1464,SUP-141,EMP328,TL-021,,MC-104,No,427,0,,480,431,1.15,462,8,454,49
M7078,MA1AB100000000078,WO10078,SUV Pro,PAINT-1,Stn-03,2026-03-01 07:37,ENG-1126,SUP-164,EMP241,TL-099,,MC-104,No,449,0,,480,460,1.02,547,6,541,20
M7079,MA1AB100000000079,WO10079,Hatch Z,GA-2,STN-03,2026-03-01 07:38,ENG-1225,SUP-020,EMP246,TL-031,C,MC-103,No,420,0,,480,466,0.91,485,14,471,14
M7080,MA1AB100000000080,WO10080,SUV Pro,PAINT-1,STN-05,2026-03-01 07:40,ENG-1041,SUP-036,EMP177,TL-030,,MC-105,Yes,433,63,F001,480,475,0.94,483,14,469,5
M7081,MA1AB100000000081,WO10081,Hatch Z,GA-2, stn-05 ,2026-03-01 07:41,ENG-1109,SUP-017,EMP312,TL-053,C,MC-102,No,459,0,,480,438,1.02,536,7,529,42
M7082,MA1AB100000000082,WO10082,Hatch Z,TRIM-1,STN-04,2026-03-01 07:42,ENG-1031,SUP-053,EMP315,TL-050,A,MC-103,No,431,0,,480,427,1.15,570,14,556,53
M7083,MA1AB100000000083,WO10083,Hatch Z,TRIM-1,STN-04,2026-03-01 07:43,ENG-1003,SUP-091,EMP252,TL-097,,MC-101,No,435,0,,480,467,1.08,568,0,568,13
M7084,MA1AB100000000084,WO10084,SUV Pro,GA-2,STN-04,2026-03-01 07:45,ENG-1112,SUP-070,EMP323,TL-063,A,MC-102,No,459,0,,480,441,0.89,474,13,461,39
M7085,MA1AB100000000085,WO10085,SUV Pro,PAINT-1, stn-05 ,2026-03-01 07:46,ENG-1347,SUP-104,EMP184,TL-060,B,MC-101,No,431,0,,480,477,0.81,454,9,445,3
M7086,MA1AB100000000086,WO10086,Hatch Z,GA-1,STN-04,2026-03-01 07:47,ENG-1303,SUP-145,EMP113,TL-011,,MC-103,No,433,0,,480,466,1.06,549,8,541,14
M7087,MA1AB100000000087,WO10087,Sedan X,TRIM-1,STN-02,2026-03-01 07:48,ENG-1025,SUP-067,EMP294,TL-042,B,MC-104,No,468,0,,480,465,0.91,487,1,486,15
M7088,MA1AB100000000088,WO10088,SUV Pro,PAINT-1,STN-03,2026-03-01 07:50,ENG-1389,SUP-098,EMP242,TL-097,,MC-103,No,474,0,,480,452,1.15,547,1,546,28
M7089,MA1AB100000000089,WO10089,SUV Pro,GA-1,STN-04,2026-03-01 07:51,ENG-1009,SUP-192,EMP376,TL-007,C,MC-101,No,448,0,,480,479,0.86,472,6,466,1
M7090,MA1AB100000000090,WO10090,Sedan X,GA-1,Stn-03,2026-03-01 07:52,ENG-1490,SUP-167,EMP120,TL-097,A,MC-102,No,428,0,,480,447,1.2,484,13,471,33
M7091,MA1AB100000000091,WO10091,Sedan X,GA-2,Stn-03,2026-03-01 07:53,ENG-1010,SUP-160,EMP178,TL-031,B,MC-105,No,463,0,,480,452,1.12,471,8,463,28
M7092,MA1AB100000000092,WO10092,SUV Pro,GA-1,STN-05,2026-03-01 07:55,ENG-1485,SUP-056,EMP338,TL-090,C,MC-103,No,426,0,,480,473,0.9,580,7,573,7
M7093,MA1AB100000000093,WO10093,SUV Pro,GA-2,STN-05,2026-03-01 07:56,ENG-1310,SUP-192,EMP158,TL-100,B,MC-102,No,471,0,,480,478,0.81,516,14,502,2
M7094,MA1AB100000000094,WO10094,SUV Pro,GA-1,STN-05,2026-03-01 07:57,ENG-1013,SUP-080,EMP394,TL-087,,MC-104,No,447,0,,480,462,1.13,525,11,514,18
M7095,MA1AB100000000095,WO10095,SUV Pro,GA-2,STN-01,2026-03-01 07:58,ENG-1303,SUP-177,EMP224,TL-014,C,MC-104,No,432,0,,480,432,0.84,488,10,478,48
M7096,MA1AB100000000096,WO10096,Hatch Z,GA-1,Stn-03,2026-03-01 08:00,ENG-1289,SUP-011,EMP277,TL-069,,MC-104,No,467,0,,480,439,0.86,597,13,584,41
M7097,MA1AB100000000097,WO10097,Hatch Z,PAINT-1,STN-01,2026-03-01 08:01,ENG-1259,SUP-166,EMP274,TL-002,,MC-102,No,471,0,,480,438,0.95,535,9,526,42
M7098,MA1AB100000000098,WO10098,SUV Pro,GA-1,STN-04,2026-03-01 08:02,ENG-1491,SUP-093,EMP335,TL-091,B,MC-103,Yes,446,78,F002,480,457,0.87,475,0,475,23
M7099,MA1AB100000000099,WO10099,SUV Pro,GA-2, stn-05 ,2026-03-01 08:03,ENG-1267,SUP-167,EMP238,TL-079,,MC-102,No,474,0,,480,476,0.84,598,8,590,4
M7100,MA1AB100000000100,WO10100,SUV Pro,TRIM-1,Stn-03,2026-03-01 08:05,ENG-1374,SUP-152,EMP237,TL-042,B,MC-102,No,454,0,,480,451,1.02,563,5,558,29
M7101,MA1AB100000000101,WO10101,Sedan X,PAINT-1,STN-04,2026-03-01 08:06,ENG-1124,SUP-193,EMP337,TL-073,,MC-105,No,470,0,,480,474,1.06,471,8,463,6
M7102,MA1AB100000000102,WO10102,SUV Pro,GA-1,STN-04,2026-03-01 08:07,ENG-1435,SUP-084,EMP193,TL-063,B,MC-105,No,436,0,,480,480,1.11,580,0,580,0
M7103,MA1AB100000000103,WO10103,SUV Pro,PAINT-1,STN-03,2026-03-01 08:08,ENG-1143,SUP-153,EMP241,TL-072,A,MC-103,No,456,0,,480,452,0.82,453,2,451,28
M7104,MA1AB100000000104,WO10104,Hatch Z,GA-2,STN-01,2026-03-01 08:10,ENG-1123,SUP-185,EMP308,TL-063,B,MC-105,Yes,426,35,F001,480,445,0.82,499,4,495,35
M7105,MA1AB100000000105,WO10105,Hatch Z,TRIM-1, stn-05 ,2026-03-01 08:11,ENG-1364,SUP-126,EMP329,TL-003,A,MC-104,No,436,0,,480,457,0.99,584,5,579,23
M7106,MA1AB100000000106,WO10106,SUV Pro,GA-2,STN-04,2026-03-01 08:12,ENG-1354,SUP-063,EMP256,TL-085,C,MC-105,No,460,0,,480,474,1.1,542,15,527,6
M7107,MA1AB100000000107,WO10107,SUV Pro,PAINT-1,STN-04,2026-03-01 08:13,ENG-1381,SUP-141,EMP269,TL-046,,MC-104,No,467,0,,480,422,0.88,562,3,559,58
M7108,MA1AB100000000108,WO10108,SUV Pro,PAINT-1,STN-03,2026-03-01 08:15,ENG-1118,SUP-031,EMP198,TL-041,A,MC-103,No,443,0,,480,450,1.04,479,9,470,30
M7109,MA1AB100000000109,WO10109,Hatch Z,GA-2,STN-02,2026-03-01 08:16,ENG-1110,SUP-190,EMP347,TL-036,C,MC-102,No,455,0,,480,435,0.84,498,8,490,45
M7110,MA1AB100000000110,WO10110,Sedan X,GA-2,STN-03,2026-03-01 08:17,ENG-1116,SUP-093,EMP191,TL-039,A,MC-102,No,436,0,,480,467,1.16,454,12,442,13
M7111,MA1AB100000000111,WO10111,Hatch Z,GA-2,STN-03,2026-03-01 08:18,ENG-1023,SUP-014,EMP383,TL-038,B,MC-105,No,446,0,,480,471,1.15,600,10,590,9
M7112,MA1AB100000000112,WO10112,Hatch Z,TRIM-1,STN-01,2026-03-01 08:20,ENG-1446,SUP-004,EMP393,TL-037,,MC-104,No,475,0,,480,445,1.17,456,3,453,35
M7113,MA1AB100000000113,WO10113,SUV Pro,TRIM-1,STN-03,2026-03-01 08:21,ENG-1094,SUP-014,EMP229,TL-062,A,MC-101,No,458,0,,480,446,0.96,592,2,590,34
M7114,MA1AB100000000114,WO10114,Sedan X,TRIM-1,STN-04,2026-03-01 08:22,ENG-1037,SUP-148,EMP127,TL-020,B,MC-101,No,456,0,,480,462,0.83,476,3,473,18
M7115,MA1AB100000000115,WO10115,Hatch Z,PAINT-1,STN-01,2026-03-01 08:23,ENG-1127,SUP-031,EMP385,TL-098,,MC-101,No,454,0,,480,431,1.13,528,4,524,49
M7116,MA1AB100000000116,WO10116,Hatch Z,GA-2,Stn-03,2026-03-01 08:25,ENG-1267,SUP-098,EMP330,TL-057,C,MC-102,No,469,0,,480,443,0.98,455,11,444,37
M7117,MA1AB100000000117,WO10117,Hatch Z,TRIM-1,STN-03,2026-03-01 08:26,ENG-1291,SUP-159,EMP130,TL-079,A,MC-102,No,440,0,,480,455,0.94,556,2,554,25
M7118,MA1AB100000000118,WO10118,Sedan X,GA-2,STN-03,2026-03-01 08:27,ENG-1338,SUP-021,EMP180,TL-031,B,MC-104,No,451,0,,480,476,0.97,590,3,587,4
M7119,MA1AB100000000119,WO10119,Hatch Z,GA-1,STN-02,2026-03-01 08:28,ENG-1001,SUP-105,EMP330,TL-089,,MC-105,No,448,0,,480,464,1.08,494,7,487,16
M7120,MA1AB100000000120,WO10120,SUV Pro,GA-1,STN-02,2026-03-01 08:30,ENG-1147,SUP-181,EMP244,TL-090,,MC-101,No,444,0,,480,469,1.09,588,10,578,11
M7121,MA1AB100000000121,WO10121,Sedan X,GA-2,STN-03,2026-03-01 08:31,ENG-1403,SUP-161,EMP201,TL-055,A,MC-104,No,449,0,,480,463,0.97,516,1,515,17
M7122,MA1AB100000000122,WO10122,Hatch Z,GA-2, stn-05 ,2026-03-01 08:32,ENG-1076,SUP-069,EMP172,TL-010,A,MC-104,No,429,0,,480,467,0.91,495,6,489,13
M7123,MA1AB100000000123,WO10123,Sedan X,PAINT-1,STN-05,2026-03-01 08:33,ENG-1383,SUP-146,EMP247,TL-057,A,MC-105,No,460,0,,480,443,0.86,461,7,454,37
M7124,MA1AB100000000124,WO10124,SUV Pro,PAINT-1, stn-05 ,2026-03-01 08:35,ENG-1206,SUP-070,EMP356,TL-070,,MC-104,No,441,0,,480,425,0.82,455,11,444,55
M7125,MA1AB100000000125,WO10125,SUV Pro,GA-1,STN-05,2026-03-01 08:36,ENG-1020,SUP-111,EMP265,TL-078,C,MC-105,No,459,0,,480,448,1.18,594,4,590,32
M7126,MA1AB100000000126,WO10126,Sedan X,GA-1,STN-02,2026-03-01 08:37,ENG-1492,SUP-173,EMP394,TL-076,A,MC-103,No,474,0,,480,462,1.19,498,2,496,18
M7127,MA1AB100000000127,WO10127,Hatch Z,PAINT-1,STN-05,2026-03-01 08:38,ENG-1020,SUP-196,EMP189,TL-061,,MC-105,No,425,0,,480,452,0.83,498,4,494,28
M7128,MA1AB100000000128,WO10128,SUV Pro,GA-2,STN-05,2026-03-01 08:40,ENG-1223,SUP-163,EMP351,TL-012,,MC-101,No,434,0,,480,426,1.04,494,3,491,54
M7129,MA1AB100000000129,WO10129,SUV Pro,TRIM-1,STN-03,2026-03-01 08:41,ENG-1164,SUP-172,EMP153,TL-021,C,MC-101,No,461,0,,480,469,1.19,480,7,473,11
M7130,MA1AB100000000130,WO10130,SUV Pro,TRIM-1,STN-03,2026-03-01 08:42,ENG-1339,SUP-103,EMP381,TL-005,,MC-105,No,437,0,,480,430,1.03,542,4,538,50
M7131,MA1AB100000000131,WO10131,Sedan X,PAINT-1,STN-03,2026-03-01 08:43,ENG-1165,SUP-030,EMP306,TL-066,A,MC-103,No,445,0,,480,453,1.19,462,6,456,27
M7132,MA1AB100000000132,WO10132,Hatch Z,TRIM-1,STN-04,2026-03-01 08:45,ENG-1027,SUP-049,EMP365,TL-047,,MC-103,No,448,0,,480,473,0.86,529,15,514,7
M7133,MA1AB100000000133,WO10133,Hatch Z,TRIM-1,Stn-03,2026-03-01 08:46,ENG-1026,SUP-053,EMP236,TL-071,B,MC-101,No,480,0,,480,445,1.09,478,8,470,35
M7134,MA1AB100000000134,WO10134,SUV Pro,TRIM-1, stn-05 ,2026-03-01 08:47,ENG-1248,SUP-032,EMP114,TL-081,B,MC-103,No,457,0,,480,443,1.14,492,12,480,37
