Supplier_Code,Supplier_Name,Part_Number,VIN,Claim_ID,Failure_Code,Warranty_Cost,Claim_Status
,,ENG-1129,MA1AB100000000222,,,,
SUP-168,Auto Supplier 168,ENG-1158,MA1AB100000000223,,,,
SUP-085,Auto Supplier 85,ENG-1405,MA1AB100000000224,,,,
SUP-005,Auto Supplier 5,ENG-1185,MA1AB100000000225,,,,
SUP-050,Auto Supplier 50,ENG-1248,MA1AB100000000226,,,,
SUP-026,Auto Supplier 26,ENG-1403,MA1AB100000000227,,,,
SUP-034,Auto Supplier 34,ENG-1316,MA1AB100000000228,,,,
SUP-012,Auto Supplier 12,ENG-1224,MA1AB100000000229,,,,
SUP-115,Auto Supplier 115,ENG-1383,MA1AB100000000230,,,,
SUP-095,Auto Supplier 95,ENG-1099,MA1AB100000000231,,,,
SUP-108,Auto Supplier 108,ENG-1270,MA1AB100000000232,,,,
SUP-096,Auto Supplier 96,ENG-1246,MA1AB100000000233,,,,
SUP-070,Auto Supplier 70,ENG-1082,MA1AB100000000234,,,,
SUP-116,Auto Supplier 116,ENG-1418,MA1AB100000000235,,,,
SUP-061,Auto Supplier 61,ENG-1191,MA1AB100000000236,,,,
SUP-026,Auto Supplier 26,ENG-1476,MA1AB100000000237,,,,
SUP-179,Auto Supplier 179,ENG-1241,MA1AB100000000238,,,,
SUP-066,Auto Supplier 66,ENG-1009,MA1AB100000000239,,,,
SUP-032,Auto Supplier 32,ENG-1154,MA1AB100000000240,,,,
SUP-128,Auto Supplier 128,ENG-1056,MA1AB100000000241,,,,
SUP-001,Auto Supplier 1,ENG-1219,MA1AB100000000242,,,,
SUP-093,Auto Supplier 93,ENG-1499,MA1AB100000000243,,,,
SUP-100,Auto Supplier 100,ENG-1325,MA1AB100000000244,,,,
SUP-188,Auto Supplier 188,ENG-1123,MA1AB100000000245,,,,
SUP-087,Auto Supplier 87,ENG-1279,MA1AB100000000246,,,,
SUP-035,Auto Supplier 35,ENG-1093,MA1AB100000000247,,,,
SUP-052,Auto Supplier 52,ENG-1022,MA1AB100000000248,,,,
SUP-122,Auto Supplier 122,ENG-1278,MA1AB100000000249,,,,
SUP-013,Auto Supplier 13,ENG-1399,MA1AB100000000250,,,,
SUP-113,Auto Supplier 113,ENG-1380,MA1AB100000000251,,,,
SUP-133,Auto Supplier 133,ENG-1473,MA1AB100000000252,,,,
SUP-047,Auto Supplier 47,ENG-1421,MA1AB100000000253,,,,
SUP-076,Auto Supplier 76,ENG-1338,MA1AB100000000254,,,,
SUP-011,Auto Supplier 11,ENG-1228,MA1AB100000000255,,,,
SUP-164,Auto Supplier 164,ENG-1343,MA1AB100000000256,,,,
SUP-174,Auto Supplier 174,ENG-1311,MA1AB100000000257,,,,
SUP-094,Auto Supplier 94,ENG-1330,MA1AB100000000258,,,,
SUP-095,Auto Supplier 95,ENG-1230,MA1AB100000000259,,,,
SUP-102,Auto Supplier 102,ENG-1187,MA1AB100000000260,,,,
SUP-048,Auto Supplier 48,ENG-1376,MA1AB100000000261,,,,
SUP-067,Auto Supplier 67,ENG-1396,MA1AB100000000262,,,,
SUP-035,Auto Supplier 35,ENG-1062,MA1AB100000000263,,,,
SUP-175,Auto Supplier 175,ENG-1414,MA1AB100000000264,,,,
SUP-075,Auto Supplier 75,ENG-1277,MA1AB100000000265,,,,
SUP-036,Auto Supplier 36,ENG-1102,MA1AB100000000266,,,,
SUP-142,Auto Supplier 142,ENG-1411,MA1AB100000000267,,,,
SUP-185,Auto Supplier 185,ENG-1367,MA1AB100000000268,,,,
SUP-082,Auto Supplier 82,ENG-1497,MA1AB100000000269,,,,
SUP-200,Auto Supplier 200,ENG-1449,MA1AB100000000270,,,,
SUP-015,Auto Supplier 15,ENG-1466,MA1AB100000000271,,,,
SUP-182,Auto Supplier 182,ENG-1165,MA1AB100000000272,,,,
SUP-142,Auto Supplier 142,ENG-1325,MA1AB100000000273,,,,
SUP-044,Auto Supplier 44,ENG-1328,MA1AB100000000274,,,,
SUP-145,Auto Supplier 145,ENG-1473,MA1AB100000000275,,,,
SUP-197,Auto Supplier 197,ENG-1107,MA1AB100000000276,,,,
SUP-078,Auto Supplier 78,ENG-1489,MA1AB100000000277,,,,
SUP-016,Auto Supplier 16,ENG-1352,MA1AB100000000278,,,,
SUP-156,Auto Supplier 156,ENG-1174,MA1AB100000000279,,,,
SUP-195,Auto Supplier 195,ENG-1066,MA1AB100000000280,,,,
SUP-069,Auto Supplier 69,ENG-1062,MA1AB100000000281,,,,
SUP-099,Auto Supplier 99,ENG-1484,MA1AB100000000282,,,,
SUP-041,Auto Supplier 41,ENG-1390,MA1AB100000000283,,,,
SUP-024,Auto Supplier 24,ENG-1011,MA1AB100000000284,,,,
SUP-013,Auto Supplier 13,ENG-1180,MA1AB100000000285,,,,
SUP-003,Auto Supplier 3,ENG-1274,MA1AB100000000286,,,,
SUP-094,Auto Supplier 94,ENG-1206,MA1AB100000000287,,,,
SUP-074,Auto Supplier 74,ENG-1283,MA1AB100000000288,,,,
SUP-175,Auto Supplier 175,ENG-1319,MA1AB100000000289,,,,
SUP-087,Auto Supplier 87, eng-1001 ,MA1AB100000000290,,,,
SUP-012,Auto Supplier 12,ENG-1020,MA1AB100000000291,,,,
SUP-132,Auto Supplier 132,ENG-1310,MA1AB100000000292,,,,
SUP-077,Auto Supplier 77,ENG-1378,MA1AB100000000293,,,,
SUP-005,Auto Supplier 5,ENG-1417,MA1AB100000000294,,,,
SUP-186,Auto Supplier 186,ENG-1460,MA1AB100000000295,,,,
SUP-150,Auto Supplier 150,ENG-1026,MA1AB100000000296,,,,
SUP-180,Auto Supplier 180,ENG-1293,MA1AB100000000297,,,,
SUP-106,Auto Supplier 106,ENG-1077,MA1AB100000000298,,,,
SUP-133,Auto Supplier 133,ENG-1070,MA1AB100000000299,,,,
SUP-081,Auto Supplier 81,ENG-1192,MA1AB100000000300,,,,
SUP-185,Auto Supplier 185,ENG-1395,MA1AB100000000301,,,,
SUP-077,Auto Supplier 77,ENG-1285,MA1AB100000000302,,,,
SUP-126,Auto Supplier 126,ENG-1360,MA1AB100000000303,,,,
SUP-147,Auto Supplier 147,ENG-1062,MA1AB100000000304,,,,
SUP-074,Auto Supplier 74,ENG-1021,MA1AB100000000305,,,,
SUP-055,Auto Supplier 55,ENG-1245,MA1AB100000000306,,,,
SUP-158,Auto Supplier 158,ENG-1055,MA1AB100000000307,,,,
SUP-014,Auto Supplier 14,ENG-1119,MA1AB100000000308,,,,
SUP-198,Auto Supplier 198,ENG-1348,MA1AB100000000309,,,,
SUP-052,Auto Supplier 52,ENG-1333,MA1AB100000000310,,,,
SUP-167,Auto Supplier 167,ENG-1045,MA1AB100000000311,,,,
SUP-010,Auto Supplier 10,ENG-1090,MA1AB100000000312,,,,
SUP-077,Auto Supplier 77,ENG-1004,MA1AB100000000313,,,,
SUP-140,Auto Supplier 140,ENG-1328,MA1AB100000000314,,,,
SUP-029,Auto Supplier 29,ENG-1098,MA1AB100000000315,,,,
SUP-004,Auto Supplier 4,ENG-1095,MA1AB100000000316,,,,
SUP-132,Auto Supplier 132,ENG-1218,MA1AB100000000317,,,,
SUP-123,Auto Supplier 123,ENG-1071,MA1AB100000000318,,,,
SUP-193,Auto Supplier 193,ENG-1228,MA1AB100000000319,,,,
SUP-093,Auto Supplier 93,ENG-1334,MA1AB100000000320,,,,
SUP-176,Auto Supplier 176,ENG-1207,MA1AB100000000321,,,,
SUP-076,Auto Supplier 76,ENG-1469,MA1AB100000000322,,,,
SUP-117,Auto Supplier 117,ENG-1078,MA1AB100000000323,,,,
SUP-175,Auto Supplier 175,ENG-1126,MA1AB100000000324,,,,
SUP-145,Auto Supplier 145,ENG-1469,MA1AB100000000325,,,,
SUP-134,Auto Supplier 134,ENG-1167,MA1AB100000000326,,,,
SUP-131,Auto Supplier 131,ENG-1460,MA1AB100000000327,,,,
SUP-015,Auto Supplier 15,ENG-1288,MA1AB100000000328,,,,
SUP-001,Auto Supplier 1,ENG-1130,MA1AB100000000329,,,,
SUP-017,Auto Supplier 17,ENG-1358,MA1AB100000000330,,,,
SUP-047,Auto Supplier 47,ENG-1209,MA1AB100000000331,,,,
SUP-097,Auto Supplier 97,ENG-1445,MA1AB100000000332,,,,
SUP-138,Auto Supplier 138,ENG-1091,XX1 2 3 4,,,,
SUP-194,Auto Supplier 194,ENG-1001,MA1AB100000000334,,,,
SUP-059,Auto Supplier 59,ENG-1194,MA1AB100000000335,,,,
SUP-186,Auto Supplier 186,ENG-1479,MA1AB100000000336,,,,
SUP-018,Auto Supplier 18,ENG-1105,MA1AB100000000337,,,,
SUP-012,Auto Supplier 12,ENG-1379,MA1AB100000000338,,,,
SUP-199,Auto Supplier 199,ENG-1442,MA1AB100000000339,,,,
SUP-198,Auto Supplier 198,ENG-1306,MA1AB100000000340,,,,
SUP-071,Auto Supplier 71,ENG-1153,MA1AB100000000341,,,,
