Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift
M7015,MA1A**********015,WO10015,Sedan X,GA-2, stn-05 ,2026-03-01 06:18,ENG-1287,SUP-138,EMP234,TL-096,
M7016,MA1A**********016,WO10016,Hatch Z,TRIM-1,STN-03,2026-03-01 06:20,ENG-1112,SUP-036,EMP360,TL-064,A
M7017,MA1A**********017,WO10017,Sedan X,GA-1,STN-02,2026-03-01 06:21,ENG-1321,SUP-041,EMP316,TL-077,A
M7018,MA1A**********018,WO10018,SUV Pro,TRIM-1,STN-05,2026-03-01 06:22,ENG-1239,SUP-136,EMP228,TL-071,A
M7019,MA1A**********019,WO10019,Hatch Z,GA-1, stn-05 ,2026-03-01 06:23,ENG-1453,SUP-138,EMP236,TL-099,C
M7020,MA1A**********020,WO10020,Sedan X,PAINT-1,STN-04,2026-03-01 06:25,ENG-1080,SUP-117,EMP101,TL-093,C
M7021,MA1A**********021,WO10021,Hatch Z,GA-2,STN-05,2026-03-01 06:26,ENG-1467,SUP-028,EMP252,TL-082,B
M7022,MA1A**********022,WO10022,Sedan X,PAINT-1,Stn-03,2026-03-01 06:27,ENG-1082,SUP-139,EMP371,TL-001,C
M7023,MA1A**********023,WO10023,SUV Pro,GA-1,STN-01,2026-03-01 06:28,ENG-1475,SUP-093,EMP257,TL-031,A
M7024,MA1A**********024,WO10024,Sedan X,GA-1,STN-01,2026-03-01 06:30,ENG-1374,SUP-125,EMP135,TL-098,B
M7025,MA1A**********025,WO10025,Sedan X,TRIM-1,STN-05,2026-03-01 06:31,ENG-1084,SUP-068,EMP370,TL-078,
M7026,MA1A**********026,WO10026,Sedan X,GA-2, stn-05 ,2026-03-01 06:32,ENG-1159,SUP-103,EMP291,TL-057,
M7027,MA1A**********027,WO10027,Sedan X,GA-2,STN-02,2026-03-01 06:33,ENG-1032,SUP-087,EMP110,TL-076,B
M7028,MA1A**********028,WO10028,Hatch Z,GA-2,STN-01,2026-03-01 06:35,ENG-1036,SUP-182,EMP130,TL-030,A
M7029,MA1A**********029,WO10029,Sedan X,PAINT-1,STN-01,2026-03-01 06:36,ENG-1263,SUP-061,EMP242,TL-086,
M7030,MA1A**********030,WO10030,Sedan X,GA-2, stn-05 ,2026-03-01 06:37,ENG-1478,SUP-147,EMP395,TL-061,B
M7031,MA1A**********031,WO10031,SUV Pro,TRIM-1,STN-02,2026-03-01 06:38,ENG-1048,SUP-025,EMP320,TL-046,
M7032,MA1A**********032,WO10032,SUV Pro,TRIM-1,Stn-03,2026-03-01 06:40,ENG-1373,SUP-014,EMP150,TL-008,
M7033,MA1A**********033,WO10033,Hatch Z,PAINT-1,Stn-03,2026-03-01 06:41,ENG-1441,SUP-028,EMP227,TL-025,B
M7034,MA1A**********034,WO10034,Hatch Z,TRIM-1,STN-02,2026-03-01 06:42,ENG-1216,SUP-047,EMP242,TL-060,B
M7035,MA1A**********035,WO10035,Sedan X,TRIM-1,Stn-03,2026-03-01 06:43,ENG-1441,SUP-141,EMP150,TL-007,A
M7036,MA1A**********036,WO10036,Sedan X,GA-2,STN-02,2026-03-01 06:45,ENG-1208,SUP-125,EMP346,TL-028,
M7037,MA1A**********037,WO10037,Sedan X,GA-2,STN-04,2026-03-01 06:46,ENG-1001,SUP-100,EMP235,TL-999,
M7038,MA1A**********038,WO10038,SUV Pro,TRIM-1, stn-05 ,2026-03-01 06:47,ENG-1490,SUP-188,EMP384,TL-085,
M7039,MA1A**********039,WO10039,Sedan X,GA-2,STN-03,2026-03-01 06:48,ENG-1111,SUP-015,EMP396,TL-095,A
M7040,MA1A**********040,WO10040,Hatch Z,PAINT-1,STN-01,2026-03-01 06:50,ENG-1025,SUP-150,EMP344,TL-065,B
M7041,MA1A**********041,WO10041,Sedan X,GA-1,Stn-03,2026-03-01 06:51,ENG-1095,SUP-018,EMP134,TL-087,B
M7042,MA1A**********042,WO10042,SUV Pro,GA-1,STN-05,2026-03-01 06:52,ENG-1126,SUP-149,EMP120,TL-080,A
M7043,MA1A**********043,WO10043,SUV Pro,PAINT-1,STN-03,2026-03-01 06:53,ENG-1104,SUP-172,EMP260,TL-031,C
M7044,MA1A**********044,WO10044,SUV Pro,GA-2, stn-05 ,2026-03-01 06:55,ENG-1330,SUP-077,EMP334,TL-041,A
M7045,MA1A**********045,WO10045,Sedan X,TRIM-1,STN-05,2026-03-01 06:56,ENG-1288,SUP-026,EMP137,TL-069,B
M7046,MA1A**********046,WO10046,Hatch Z,PAINT-1,STN-02,2026-03-01 06:57,ENG-1477,SUP-090,EMP135,TL-032,C
M7047,MA1A**********047,WO10047,SUV Pro,GA-2,STN-04,2026-03-01 06:58,ENG-1426,SUP-140,EMP254,TL-079,A
M7048,MA1A**********048,WO10048,Hatch Z,PAINT-1, stn-05 ,2026-03-01 07:00,ENG-1053,SUP-035,EMP235,TL-015,A
M7049,MA1A**********049,WO10049,Hatch Z,GA-2,STN-03,2026-03-01 07:01,ENG-1144,SUP-155,EMP207,TL-092,C
M7050,MA1A**********050,WO10050,Sedan X,PAINT-1,STN-05,2026-03-01 07:02,ENG-1250,SUP-065,EMP126,TL-012,
M7051,MA1A**********051,WO10051,SUV Pro,GA-1,STN-01,2026-03-01 07:03,ENG-1170,SUP-198,EMP166,TL-082,C
M7052,MA1A**********052,WO10052,Sedan X,TRIM-1,STN-05,2026-03-01 07:05,ENG-1361,SUP-110,EMP387,TL-002,A
M7053,MA1A**********053,WO10053,Sedan X,GA-2,STN-05,2026-03-01 07:06,ENG-1018,SUP-095,EMP398,TL-071,B
M7054,MA1A**********054,WO10054,SUV Pro,GA-2,STN-01,2026-03-01 07:07,ENG-1157,SUP-094,EMP120,TL-046,B
M7055,MA1A**********055,WO10055,Hatch Z,GA-2, stn-05 ,2026-03-01 07:08,ENG-1052,SUP-091,EMP386,TL-053,B
M7056,MA1A**********056,WO10056,Sedan X,GA-2,Stn-03,2026-03-01 07:10,ENG-1415,SUP-046,EMP311,TL-004,B
M7057,MA1A**********057,WO10057,Hatch Z,PAINT-1,Stn-03,2026-03-01 07:11,ENG-1476,SUP-106,EMP227,TL-035,B
M7058,MA1A**********058,WO10058,Hatch Z,GA-1,STN-04,2026-03-01 07:12,ENG-1446,SUP-010,EMP340,TL-029,B
M7059,MA1A**********059,WO10059,SUV Pro,PAINT-1,STN-03,2026-03-01 07:13,ENG-1420,SUP-059,EMP214,TL-004,B
M7060,MA1A**********060,WO10060,SUV Pro,PAINT-1,STN-03,2026-03-01 07:15,ENG-1442,SUP-018,EMP242,TL-045,
M7061,MA1A**********061,WO10061,Hatch Z,PAINT-1,STN-01,2026-03-01 07:16,ENG-1059,SUP-067,EMP191,TL-075,C
M7062,MA1A**********062,WO10062,Sedan X,GA-1,STN-05,2026-03-01 07:17,ENG-1222,SUP-089,EMP260,TL-056,A
M7063,MA1A**********063,WO10063,SUV Pro,GA-2,STN-03,2026-03-01 07:18,ENG-1022,SUP-182,EMP323,TL-001,B
M7064,MA1A**********064,WO10064,SUV Pro,TRIM-1,STN-01,2026-03-01 07:20,ENG-1485,SUP-171,EMP269,TL-080,C
M7065,MA1A**********065,WO10065,Hatch Z,GA-1, stn-05 ,2026-03-01 07:21,ENG-1460,SUP-077,EMP359,TL-040,
M7066,MA1A**********066,WO10066,SUV Pro,TRIM-1, stn-05 ,2026-03-01 07:22,ENG-1151,SUP-142,EMP165,TL-025,
M7067,MA1A**********067,WO10067,Hatch Z,TRIM-1, stn-05 ,2026-03-01 07:23,ENG-1383,SUP-045,EMP391,TL-039,
M7068,MA1A**********068,WO10068,Hatch Z,GA-1,STN-03,2026-03-01 07:25,ENG-1146,SUP-054,EMP320,TL-999,C
M7069,MA1A**********069,WO10069,SUV Pro,TRIM-1,STN-04,2026-03-01 07:26,ENG-1345,SUP-055,EMP361,TL-061,B
M7070,MA1A**********070,WO10070,Hatch Z,GA-1,STN-03,2026-03-01 07:27,ENG-1263,SUP-170,EMP271,TL-012,B
M7071,MA1A**********071,WO10071,Hatch Z,PAINT-1,STN-02,2026-03-01 07:28,ENG-1412,SUP-051,EMP175,TL-004,A
M7072,MA1A**********072,WO10072,Sedan X,TRIM-1,STN-05,2026-03-01 07:30,ENG-1435,SUP-197,EMP137,TL-059,
M7073,MA1A**********073,WO10073,Hatch Z,GA-2, stn-05 ,2026-03-01 07:31,ENG-1356,SUP-099,EMP353,TL-052,B
M7074,MA1A**********074,WO10074,Sedan X,GA-1,Stn-03,2026-03-01 07:32,ENG-1440,SUP-198,EMP154,TL-100,
M7075,MA1A**********075,WO10075,Sedan X,GA-2,Stn-03,2026-03-01 07:33,ENG-1490,SUP-179,EMP365,TL-060,A
M7076,MA1A**********076,WO10076,Hatch Z,GA-2,Stn-03,2026-03-01 07:35,ENG-1062,SUP-117,EMP168,TL-060,C
M7077,MA1A**********077,WO10077,SUV Pro,TRIM-1,Stn-03,2026-03-01 07:36,ENG-1464,SUP-141,EMP328,TL-021,
M7078,MA1A**********078,WO10078,SUV Pro,PAINT-1,Stn-03,2026-03-01 07:37,ENG-1126,SUP-164,EMP241,TL-099,
M7079,MA1A**********079,WO10079,Hatch Z,GA-2,STN-03,2026-03-01 07:38,ENG-1225,SUP-020,EMP246,TL-031,C
M7080,MA1A**********080,WO10080,SUV Pro,PAINT-1,STN-05,2026-03-01 07:40,ENG-1041,SUP-036,EMP177,TL-030,
M7081,MA1A**********081,WO10081,Hatch Z,GA-2, stn-05 ,2026-03-01 07:41,ENG-1109,SUP-017,EMP312,TL-053,C
M7082,MA1A**********082,WO10082,Hatch Z,TRIM-1,STN-04,2026-03-01 07:42,ENG-1031,SUP-053,EMP315,TL-050,A
M7083,MA1A**********083,WO10083,Hatch Z,TRIM-1,STN-04,2026-03-01 07:43,ENG-1003,SUP-091,EMP252,TL-097,
M7084,MA1A**********084,WO10084,SUV Pro,GA-2,STN-04,2026-03-01 07:45,ENG-1112,SUP-070,EMP323,TL-063,A
M7085,MA1A**********085,WO10085,SUV Pro,PAINT-1, stn-05 ,2026-03-01 07:46,ENG-1347,SUP-104,EMP184,TL-060,B
M7086,MA1A**********086,WO10086,Hatch Z,GA-1,STN-04,2026-03-01 07:47,ENG-1303,SUP-145,EMP113,TL-011,
M7087,MA1A**********087,WO10087,Sedan X,TRIM-1,STN-02,2026-03-01 07:48,ENG-1025,SUP-067,EMP294,TL-042,B
M7088,MA1A**********088,WO10088,SUV Pro,PAINT-1,STN-03,2026-03-01 07:50,ENG-1389,SUP-098,EMP242,TL-097,
M7089,MA1A**********089,WO10089,SUV Pro,GA-1,STN-04,2026-03-01 07:51,ENG-1009,SUP-192,EMP376,TL-007,C
M7090,MA1A**********090,WO10090,Sedan X,GA-1,Stn-03,2026-03-01 07:52,ENG-1490,SUP-167,EMP120,TL-097,A
M7091,MA1A**********091,WO10091,Sedan X,GA-2,Stn-03,2026-03-01 07:53,ENG-1010,SUP-160,EMP178,TL-031,B
M7092,MA1A**********092,WO10092,SUV Pro,GA-1,STN-05,2026-03-01 07:55,ENG-1485,SUP-056,EMP338,TL-090,C
M7093,MA1A**********093,WO10093,SUV Pro,GA-2,STN-05,2026-03-01 07:56,ENG-1310,SUP-192,EMP158,TL-100,B
M7094,MA1A**********094,WO10094,SUV Pro,GA-1,STN-05,2026-03-01 07:57,ENG-1013,SUP-080,EMP394,TL-087,
M7095,MA1A**********095,WO10095,SUV Pro,GA-2,STN-01,2026-03-01 07:58,ENG-1303,SUP-177,EMP224,TL-014,C
M7096,MA1A**********096,WO10096,Hatch Z,GA-1,Stn-03,2026-03-01 08:00,ENG-1289,SUP-011,EMP277,TL-069,
M7097,MA1A**********097,WO10097,Hatch Z,PAINT-1,STN-01,2026-03-01 08:01,ENG-1259,SUP-166,EMP274,TL-002,
M7098,MA1A**********098,WO10098,SUV Pro,GA-1,STN-04,2026-03-01 08:02,ENG-1491,SUP-093,EMP335,TL-091,B
M7099,MA1A**********099,WO10099,SUV Pro,GA-2, stn-05 ,2026-03-01 08:03,ENG-1267,SUP-167,EMP238,TL-079,
M7100,MA1A**********100,WO10100,SUV Pro,TRIM-1,Stn-03,2026-03-01 08:05,ENG-1374,SUP-152,EMP237,TL-042,B
M7101,MA1A**********101,WO10101,Sedan X,PAINT-1,STN-04,2026-03-01 08:06,ENG-1124,SUP-193,EMP337,TL-073,
M7102,MA1A**********102,WO10102,SUV Pro,GA-1,STN-04,2026-03-01 08:07,ENG-1435,SUP-084,EMP193,TL-063,B
M7103,MA1A**********103,WO10103,SUV Pro,PAINT-1,STN-03,2026-03-01 08:08,ENG-1143,SUP-153,EMP241,TL-072,A
M7104,MA1A**********104,WO10104,Hatch Z,GA-2,STN-01,2026-03-01 08:10,ENG-1123,SUP-185,EMP308,TL-063,B
M7105,MA1A**********105,WO10105,Hatch Z,TRIM-1, stn-05 ,2026-03-01 08:11,ENG-1364,SUP-126,EMP329,TL-003,A
M7106,MA1A**********106,WO10106,SUV Pro,GA-2,STN-04,2026-03-01 08:12,ENG-1354,SUP-063,EMP256,TL-085,C
M7107,MA1A**********107,WO10107,SUV Pro,PAINT-1,STN-04,2026-03-01 08:13,ENG-1381,SUP-141,EMP269,TL-046,
M7108,MA1A**********108,WO10108,SUV Pro,PAINT-1,STN-03,2026-03-01 08:15,ENG-1118,SUP-031,EMP198,TL-041,A
M7109,MA1A**********109,WO10109,Hatch Z,GA-2,STN-02,2026-03-01 08:16,ENG-1110,SUP-190,EMP347,TL-036,C
M7110,MA1A**********110,WO10110,Sedan X,GA-2,STN-03,2026-03-01 08:17,ENG-1116,SUP-093,EMP191,TL-039,A
M7111,MA1A**********111,WO10111,Hatch Z,GA-2,STN-03,2026-03-01 08:18,ENG-1023,SUP-014,EMP383,TL-038,B
M7112,MA1A**********112,WO10112,Hatch Z,TRIM-1,STN-01,2026-03-01 08:20,ENG-1446,SUP-004,EMP393,TL-037,
M7113,MA1A**********113,WO10113,SUV Pro,TRIM-1,STN-03,2026-03-01 08:21,ENG-1094,SUP-014,EMP229,TL-062,A
M7114,MA1A**********114,WO10114,Sedan X,TRIM-1,STN-04,2026-03-01 08:22,ENG-1037,SUP-148,EMP127,TL-020,B
M7115,MA1A**********115,WO10115,Hatch Z,PAINT-1,STN-01,2026-03-01 08:23,ENG-1127,SUP-031,EMP385,TL-098,
M7116,MA1A**********116,WO10116,Hatch Z,GA-2,Stn-03,2026-03-01 08:25,ENG-1267,SUP-098,EMP330,TL-057,C
M7117,MA1A**********117,WO10117,Hatch Z,TRIM-1,STN-03,2026-03-01 08:26,ENG-1291,SUP-159,EMP130,TL-079,A
M7118,MA1A**********118,WO10118,Sedan X,GA-2,STN-03,2026-03-01 08:27,ENG-1338,SUP-021,EMP180,TL-031,B
M7119,MA1A**********119,WO10119,Hatch Z,GA-1,STN-02,2026-03-01 08:28,ENG-1001,SUP-105,EMP330,TL-089,
M7120,MA1A**********120,WO10120,SUV Pro,GA-1,STN-02,2026-03-01 08:30,ENG-1147,SUP-181,EMP244,TL-090,
M7121,MA1A**********121,WO10121,Sedan X,GA-2,STN-03,2026-03-01 08:31,ENG-1403,SUP-161,EMP201,TL-055,A
M7122,MA1A**********122,WO10122,Hatch Z,GA-2, stn-05 ,2026-03-01 08:32,ENG-1076,SUP-069,EMP172,TL-010,A
M7123,MA1A**********123,WO10123,Sedan X,PAINT-1,STN-05,2026-03-01 08:33,ENG-1383,SUP-146,EMP247,TL-057,A
M7124,MA1A**********124,WO10124,SUV Pro,PAINT-1, stn-05 ,2026-03-01 08:35,ENG-1206,SUP-070,EMP356,TL-070,
M7125,MA1A**********125,WO10125,SUV Pro,GA-1,STN-05,2026-03-01 08:36,ENG-1020,SUP-111,EMP265,TL-078,C
M7126,MA1A**********126,WO10126,Sedan X,GA-1,STN-02,2026-03-01 08:37,ENG-1492,SUP-173,EMP394,TL-076,A
M7127,MA1A**********127,WO10127,Hatch Z,PAINT-1,STN-05,2026-03-01 08:38,ENG-1020,SUP-196,EMP189,TL-061,
M7128,MA1A**********128,WO10128,SUV Pro,GA-2,STN-05,2026-03-01 08:40,ENG-1223,SUP-163,EMP351,TL-012,
M7129,MA1A**********129,WO10129,SUV Pro,TRIM-1,STN-03,2026-03-01 08:41,ENG-1164,SUP-172,EMP153,TL-021,C
M7130,MA1A**********130,WO10130,SUV Pro,TRIM-1,STN-03,2026-03-01 08:42,ENG-1339,SUP-103,EMP381,TL-005,
M7131,MA1A**********131,WO10131,Sedan X,PAINT-1,STN-03,2026-03-01 08:43,ENG-1165,SUP-030,EMP306,TL-066,A
M7132,MA1A**********132,WO10132,Hatch Z,TRIM-1,STN-04,2026-03-01 08:45,ENG-1027,SUP-049,EMP365,TL-047,
M7133,MA1A**********133,WO10133,Hatch Z,TRIM-1,Stn-03,2026-03-01 08:46,ENG-1026,SUP-053,EMP236,TL-071,B
M7134,MA1A**********134,WO10134,SUV Pro,TRIM-1, stn-05 ,2026-03-01 08:47,ENG-1248,SUP-032,EMP114,TL-081,B
M7135,MA1A**********135,WO10135,Hatch Z,GA-2,STN-03,2026-03-01 08:48,ENG-1282,SUP-004,EMP382,TL-053,A
M7136,MA1A**********136,WO10136,Sedan X,GA-1,STN-04,2026-03-01 08:50,ENG-1484,SUP-031,EMP178,TL-064,C
M7137,MA1A**********137,WO10137,Hatch Z,PAINT-1,STN-04,2026-03-01 08:51,ENG-1427,SUP-124,EMP341,TL-032,
M7138,MA1A**********138,WO10138,Hatch Z,GA-2,STN-04,2026-03-01 08:52,ENG-1097,SUP-154,EMP360,TL-096,B
M7139,MA1A**********139,WO10139,Sedan X,PAINT-1,Stn-03,2026-03-01 08:53,ENG-1404,SUP-107,EMP274,TL-999,C
M7140,MA1A**********140,WO10140,Sedan X,PAINT-1, stn-05 ,2026-03-01 08:55,ENG-1152,SUP-151,EMP396,TL-085,
M7141,MA1A**********141,WO10141,Sedan X,TRIM-1,STN-05,2026-03-01 08:56,ENG-1247,SUP-089,EMP270,TL-071,
M7142,MA1A**********142,WO10142,SUV Pro,PAINT-1,Stn-03,2026-03-01 08:57,ENG-1096,SUP-179,EMP222,TL-074,
M7143,MA1A**********143,WO10143,Sedan X,TRIM-1,STN-01,2026-03-01 08:58,ENG-1162,SUP-191,EMP342,TL-091,
M7144,MA1A**********144,WO10144,SUV Pro,GA-2,STN-04,2026-03-01 09:00,ENG-1493,SUP-010,EMP164,TL-065,C
M7145,MA1A**********145,WO10145,Sedan X,TRIM-1,STN-01,2026-03-01 09:01, eng-1001 ,SUP-135,EMP333,TL-002,B
M7146,MA1A**********146,WO10146,SUV Pro,GA-2,STN-01,2026-03-01 09:02,ENG-1240,SUP-068,EMP273,TL-080,
M7147,MA1A**********147,WO10147,Hatch Z,GA-1,Stn-03,2026-03-01 09:03,ENG-1168,SUP-173,EMP373,TL-049,C
M7148,MA1A**********148,WO10148,Hatch Z,TRIM-1,Stn-03,2026-03-01 09:05,ENG-1277,SUP-010,EMP135,TL-031,C
M7149,MA1A**********149,WO10149,Sedan X,GA-1,STN-04,2026-03-01 09:06,ENG-1050,SUP-195,EMP151,TL-057,B
M7150,MA1A**********150,WO10150,Hatch Z,PAINT-1,STN-01,2026-03-01 09:07,ENG-1023,SUP-084,EMP128,TL-038,C
M7151,MA1A**********151,WO10151,SUV Pro,TRIM-1,STN-02,2026-03-01 09:08,ENG-1125,SUP-136,EMP310,TL-073,B
M7152,MA1A**********152,WO10152,Sedan X,GA-2,STN-01,2026-03-01 09:10,ENG-1312,SUP-098,EMP223,TL-064,B
M7153,MA1A**********153,WO10153,Sedan X,TRIM-1, stn-05 ,2026-03-01 09:11,ENG-1130,SUP-118,EMP230,TL-086,A
M7154,MA1A**********154,WO10154,SUV Pro,PAINT-1, stn-05 ,2026-03-01 09:12,ENG-1279,SUP-041,EMP137,TL-057,C
M7155,MA1A**********155,WO10155,Hatch Z,PAINT-1, stn-05 ,2026-03-01 09:13,ENG-1492,SUP-109,EMP228,TL-059,C
M7156,MA1A**********156,WO10156,Sedan X,TRIM-1,Stn-03,2026-03-01 09:15,ENG-1247,SUP-028,EMP221,TL-049,C
M7157,MA1A**********157,WO10157,Hatch Z,PAINT-1, stn-05 ,2026-03-01 09:16,ENG-1151,SUP-006,EMP302,TL-036,A
M7158,MA1A**********158,WO10158,Hatch Z,GA-1,STN-05,2026-03-01 09:17,ENG-1381,SUP-128,EMP246,TL-100,B
M7159,MA1A**********159,WO10159,Hatch Z,PAINT-1,STN-02,2026-03-01 09:18,ENG-1325,SUP-049,EMP228,TL-087,B
M7160,MA1A**********160,WO10160,Hatch Z,GA-1, stn-05 ,2026-03-01 09:20,ENG-1330,SUP-011,EMP258,TL-999,
M7161,MA1A**********161,WO10161,Sedan X,PAINT-1, stn-05 ,2026-03-01 09:21,ENG-1067,SUP-024,EMP251,TL-042,
M7162,MA1A**********162,WO10162,Sedan X,GA-2,STN-02,2026-03-01 09:22,ENG-1402,SUP-139,EMP287,TL-068,C
M7163,MA1A**********163,WO10163,Sedan X,PAINT-1,Stn-03,2026-03-01 09:23,ENG-1483,SUP-124,EMP251,TL-096,C
M7164,MA1A**********164,WO10164,Sedan X,TRIM-1,STN-01,2026-03-01 09:25,ENG-1072,SUP-194,EMP215,TL-087,
M7165,MA1A**********165,WO10165,Hatch Z,PAINT-1,STN-01,2026-03-01 09:26,ENG-1404,SUP-102,EMP107,TL-034,A
M7166,MA1A**********166,WO10166,SUV Pro,PAINT-1, stn-05 ,2026-03-01 09:27,ENG-1383,SUP-173,EMP234,TL-075,
M7167,MA1A**********167,WO10167,Hatch Z,PAINT-1,STN-01,2026-03-01 09:28,ENG-1345,SUP-060,EMP341,TL-004,C
M7168,MA1A**********168,WO10168,Hatch Z,GA-2, stn-05 ,2026-03-01 09:30,ENG-1032,SUP-163,EMP337,TL-090,C
M7169,MA1A**********169,WO10169,Hatch Z,TRIM-1,STN-01,2026-03-01 09:31,ENG-1071,SUP-012,EMP119,TL-039,
M7170,MA1A**********170,WO10170,Sedan X,GA-1,STN-02,2026-03-01 09:32,ENG-1454,SUP-138,EMP169,TL-050,
M7171,MA1A**********171,WO10171,SUV Pro,TRIM-1,STN-05,2026-03-01 09:33,ENG-1380,SUP-187,EMP179,TL-054,A
M7172,MA1A**********172,WO10172,SUV Pro,TRIM-1,STN-03,2026-03-01 09:35,ENG-1016,SUP-177,EMP289,TL-028,
M7173,MA1A**********173,WO10173,SUV Pro,GA-2,Stn-03,2026/03/01 09:36,ENG-1185,SUP-026,EMP288,TL-070,C
M7174,MA1A**********174,WO10174,Sedan X,TRIM-1,STN-03,2026-03-01 09:37,ENG-1097,SUP-032,EMP332,TL-012,B
M7175,MA1A**********175,WO10175,Hatch Z,GA-1,STN-01,2026-03-01 09:38,ENG-1402,SUP-086,EMP224,TL-017,B
M7176,MA1A**********176,WO10176,Sedan X,GA-2,STN-05,2026-03-01 09:40,ENG-1110,SUP-060,EMP268,TL-100,B
M7177,MA1A**********177,WO10177,Hatch Z,GA-1,STN-03,2026-03-01 09:41,ENG-1439,SUP-038,EMP166,TL-070,C
M7178,MA1A**********178,WO10178,Sedan X,GA-1, stn-05 ,2026-03-01 09:42,ENG-1443,SUP-007,EMP167,TL-002,C
M7179,MA1A**********179,WO10179,Sedan X,PAINT-1,STN-01,2026-03-01 09:43,ENG-1089,SUP-068,EMP126,TL-017,
M7180,MA1A**********180,WO10180,Hatch Z,GA-1, stn-05 ,2026-03-01 09:45,ENG-1032,SUP-122,EMP329,TL-100,C
M7181,MA1A**********181,WO10181,Hatch Z,GA-1,STN-04,2026-03-01 09:46,ENG-1257,SUP-057,EMP122,TL-094,C
M7182,MA1A**********182,WO10182,SUV Pro,GA-1,STN-01,2026-03-01 09:47,ENG-1245,SUP-103,EMP318,TL-088,A
M7183,MA1A**********183,WO10183,SUV Pro,TRIM-1,STN-01,2026-03-01 09:48,ENG-1460,SUP-021,EMP264,TL-078,B
M7184,MA1A**********184,WO10184,Sedan X,GA-2,STN-03,2026-03-01 09:50,ENG-1319,SUP-163,EMP399,TL-071,C
M7185,MA1A**********185,WO10185,SUV Pro,PAINT-1,STN-04,2026-03-01 09:51,ENG-1258,SUP-155,EMP320,TL-013,A
M7186,MA1A**********186,WO10186,Hatch Z,GA-2,STN-04,2026-03-01 09:52,ENG-1231,SUP-059,EMP311,TL-044,
M7187,MA1A**********187,WO10187,SUV Pro,TRIM-1, stn-05 ,2026-03-01 09:53,ENG-1048,SUP-081,EMP318,TL-041,C
M7188,MA1A**********188,WO10188,SUV Pro,GA-2, stn-05 ,2026-03-01 09:55,ENG-1472,SUP-122,EMP134,TL-012,A
M7189,MA1A**********189,WO10189,Sedan X,TRIM-1,STN-01,2026-03-01 09:56,ENG-1381,SUP-190,EMP290,TL-017,A
M7190,MA1A**********190,WO10190,Hatch Z,PAINT-1, stn-05 ,2026-03-01 09:57,ENG-1062,SUP-106,EMP281,TL-086,
M7191,MA1A**********191,WO10191,Hatch Z,GA-1,STN-03,2026-03-01 09:58,ENG-1307,SUP-080,EMP280,TL-014,B
M7192,MA1A**********192,WO10192,Sedan X,TRIM-1,STN-02,2026-03-01 10:00,ENG-1433,SUP-028,EMP279,TL-072,C
M7193,MA1A**********193,WO10193,Sedan X,PAINT-1,STN-05,2026-03-01 10:01,ENG-1115,SUP-110,EMP387,TL-099,A
M7194,MA1A**********194,WO10194,Hatch Z,PAINT-1,STN-01,2026-03-01 10:02,ENG-1092,SUP-070,EMP258,TL-044,C
