Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,BOM_Status,VIN_Status
M7020,*************0020,WO10020,Sedan X,PAINT-1,STN-04,2026-03-01 06:25,ENG-1080,SUP-117,EMP101,TL-093,C,Valid,Valid
M7021,*************0021,WO10021,Hatch Z,GA-2,STN-05,2026-03-01 06:26,ENG-1467,SUP-028,EMP252,TL-082,B,Valid,Valid
M7022,*************0022,WO10022,Sedan X,PAINT-1,STN-03,2026-03-01 06:27,ENG-1082,SUP-139,EMP371,TL-001,C,Valid,Valid
M7023,*************0023,WO10023,SUV Pro,GA-1,STN-01,2026-03-01 06:28,ENG-1475,SUP-093,EMP257,TL-031,A,Valid,Valid
M7024,*************0024,WO10024,Sedan X,GA-1,STN-01,2026-03-01 06:30,ENG-1374,SUP-125,EMP135,TL-098,B,Valid,Valid
M7025,*************0025,WO10025,Sedan X,TRIM-1,STN-05,2026-03-01 06:31,ENG-1084,SUP-068,EMP370,TL-078,,Valid,Valid
M7026,*************0026,WO10026,Sedan X,GA-2,STN-05,2026-03-01 06:32,ENG-1159,SUP-103,EMP291,TL-057,,Valid,Valid
M7027,*************0027,WO10027,Sedan X,GA-2,STN-02,2026-03-01 06:33,ENG-1032,SUP-087,EMP110,TL-076,B,Valid,Valid
M7028,*************0028,WO10028,Hatch Z,GA-2,STN-01,2026-03-01 06:35,ENG-1036,SUP-182,EMP130,TL-030,A,Valid,Valid
M7029,*************0029,WO10029,Sedan X,PAINT-1,STN-01,2026-03-01 06:36,ENG-1263,SUP-061,EMP242,TL-086,,Valid,Valid
M7030,*************0030,WO10030,Sedan X,GA-2,STN-05,2026-03-01 06:37,ENG-1478,SUP-147,EMP395,TL-061,B,Valid,Valid
M7031,*************0031,WO10031,SUV Pro,TRIM-1,STN-02,2026-03-01 06:38,ENG-1048,SUP-025,EMP320,TL-046,,Valid,Valid
M7032,*************0032,WO10032,SUV Pro,TRIM-1,STN-03,2026-03-01 06:40,ENG-1373,SUP-014,EMP150,TL-008,,Valid,Valid
M7033,*************0033,WO10033,Hatch Z,PAINT-1,STN-03,2026-03-01 06:41,ENG-1441,SUP-028,EMP227,TL-025,B,Valid,Valid
M7034,*************0034,WO10034,Hatch Z,TRIM-1,STN-02,2026-03-01 06:42,ENG-1216,SUP-047,EMP242,TL-060,B,Valid,Valid
M7035,*************0035,WO10035,Sedan X,TRIM-1,STN-03,2026-03-01 06:43,ENG-1441,SUP-141,EMP150,TL-007,A,Valid,Valid
M7036,*************0036,WO10036,Sedan X,GA-2,STN-02,2026-03-01 06:45,ENG-1208,SUP-125,EMP346,TL-028,,Valid,Valid
M7037,*************0037,WO10037,Sedan X,GA-2,STN-04,2026-03-01 06:46,ENG-1001,SUP-100,EMP235,TL-999,,Valid,Valid
M7038,*************0038,WO10038,SUV Pro,TRIM-1,STN-05,2026-03-01 06:47,ENG-1490,SUP-188,EMP384,TL-085,,Valid,Valid
M7039,*************0039,WO10039,Sedan X,GA-2,STN-03,2026-03-01 06:48,ENG-1111,SUP-015,EMP396,TL-095,A,Valid,Valid
M7040,*************0040,WO10040,Hatch Z,PAINT-1,STN-01,2026-03-01 06:50,ENG-1025,SUP-150,EMP344,TL-065,B,Valid,Valid
M7041,*************0041,WO10041,Sedan X,GA-1,STN-03,2026-03-01 06:51,ENG-1095,SUP-018,EMP134,TL-087,B,Valid,Valid
M7042,*************0042,WO10042,SUV Pro,GA-1,STN-05,2026-03-01 06:52,ENG-1126,SUP-149,EMP120,TL-080,A,Valid,Valid
M7043,*************0043,WO10043,SUV Pro,PAINT-1,STN-03,2026-03-01 06:53,ENG-1104,SUP-172,EMP260,TL-031,C,Valid,Valid
M7044,*************0044,WO10044,SUV Pro,GA-2,STN-05,2026-03-01 06:55,ENG-1330,SUP-077,EMP334,TL-041,A,Valid,Valid
M7045,*************0045,WO10045,Sedan X,TRIM-1,STN-05,2026-03-01 06:56,ENG-1288,SUP-026,EMP137,TL-069,B,Valid,Valid
M7046,*************0046,WO10046,Hatch Z,PAINT-1,STN-02,2026-03-01 06:57,ENG-1477,SUP-090,EMP135,TL-032,C,Valid,Valid
M7047,*************0047,WO10047,SUV Pro,GA-2,STN-04,2026-03-01 06:58,ENG-1426,SUP-140,EMP254,TL-079,A,Valid,Valid
M7048,*************0048,WO10048,Hatch Z,PAINT-1,STN-05,2026-03-01 07:00,ENG-1053,SUP-035,EMP235,TL-015,A,Valid,Valid
M7049,*************0049,WO10049,Hatch Z,GA-2,STN-03,2026-03-01 07:01,ENG-1144,SUP-155,EMP207,TL-092,C,Valid,Valid
M7050,*************0050,WO10050,Sedan X,PAINT-1,STN-05,2026-03-01 07:02,ENG-1250,SUP-065,EMP126,TL-012,,Valid,Valid
M7051,*************0051,WO10051,SUV Pro,GA-1,STN-01,2026-03-01 07:03,ENG-1170,SUP-198,EMP166,TL-082,C,Valid,Valid
M7052,*************0052,WO10052,Sedan X,TRIM-1,STN-05,2026-03-01 07:05,ENG-1361,SUP-110,EMP387,TL-002,A,Valid,Valid
M7053,*************0053,WO10053,Sedan X,GA-2,STN-05,2026-03-01 07:06,ENG-1018,SUP-095,EMP398,TL-071,B,Valid,Valid
M7054,*************0054,WO10054,SUV Pro,GA-2,STN-01,2026-03-01 07:07,ENG-1157,SUP-094,EMP120,TL-046,B,Valid,Valid
M7055,*************0055,WO10055,Hatch Z,GA-2,STN-05,2026-03-01 07:08,ENG-1052,SUP-091,EMP386,TL-053,B,Valid,Valid
M7056,*************0056,WO10056,Sedan X,GA-2,STN-03,2026-03-01 07:10,ENG-1415,SUP-046,EMP311,TL-004,B,Valid,Valid
M7057,*************0057,WO10057,Hatch Z,PAINT-1,STN-03,2026-03-01 07:11,ENG-1476,SUP-106,EMP227,TL-035,B,Valid,Valid
M7058,*************0058,WO10058,Hatch Z,GA-1,STN-04,2026-03-01 07:12,ENG-1446,SUP-010,EMP340,TL-029,B,Valid,Valid
M7059,*************0059,WO10059,SUV Pro,PAINT-1,STN-03,2026-03-01 07:13,ENG-1420,SUP-059,EMP214,TL-004,B,Valid,Valid
M7060,*************0060,WO10060,SUV Pro,PAINT-1,STN-03,2026-03-01 07:15,ENG-1442,SUP-018,EMP242,TL-045,,Valid,Valid
M7061,*************0061,WO10061,Hatch Z,PAINT-1,STN-01,2026-03-01 07:16,ENG-1059,SUP-067,EMP191,TL-075,C,Valid,Valid
M7062,*************0062,WO10062,Sedan X,GA-1,STN-05,2026-03-01 07:17,ENG-1222,SUP-089,EMP260,TL-056,A,Valid,Valid
M7063,*************0063,WO10063,SUV Pro,GA-2,STN-03,2026-03-01 07:18,ENG-1022,SUP-182,EMP323,TL-001,B,Valid,Valid
M7064,*************0064,WO10064,SUV Pro,TRIM-1,STN-01,2026-03-01 07:20,ENG-1485,SUP-171,EMP269,TL-080,C,Valid,Valid
M7065,*************0065,WO10065,Hatch Z,GA-1,STN-05,2026-03-01 07:21,ENG-1460,SUP-077,EMP359,TL-040,,Valid,Valid
M7066,*************0066,WO10066,SUV Pro,TRIM-1,STN-05,2026-03-01 07:22,ENG-1151,SUP-142,EMP165,TL-025,,Valid,Valid
M7067,*************0067,WO10067,Hatch Z,TRIM-1,STN-05,2026-03-01 07:23,ENG-1383,SUP-045,EMP391,TL-039,,Valid,Valid
M7068,*************0068,WO10068,Hatch Z,GA-1,STN-03,2026-03-01 07:25,ENG-1146,SUP-054,EMP320,TL-999,C,Valid,Valid
M7069,*************0069,WO10069,SUV Pro,TRIM-1,STN-04,2026-03-01 07:26,ENG-1345,SUP-055,EMP361,TL-061,B,Valid,Valid
M7070,*************0070,WO10070,Hatch Z,GA-1,STN-03,2026-03-01 07:27,ENG-1263,SUP-170,EMP271,TL-012,B,Valid,Valid
M7071,*************0071,WO10071,Hatch Z,PAINT-1,STN-02,2026-03-01 07:28,ENG-1412,SUP-051,EMP175,TL-004,A,Valid,Valid
M7072,*************0072,WO10072,Sedan X,TRIM-1,STN-05,2026-03-01 07:30,ENG-1435,SUP-197,EMP137,TL-059,,Valid,Valid
M7073,*************0073,WO10073,Hatch Z,GA-2,STN-05,2026-03-01 07:31,ENG-1356,SUP-099,EMP353,TL-052,B,Valid,Valid
M7074,*************0074,WO10074,Sedan X,GA-1,STN-03,2026-03-01 07:32,ENG-1440,SUP-198,EMP154,TL-100,,Valid,Valid
M7075,*************0075,WO10075,Sedan X,GA-2,STN-03,2026-03-01 07:33,ENG-1490,SUP-179,EMP365,TL-060,A,Valid,Valid
M7076,*************0076,WO10076,Hatch Z,GA-2,STN-03,2026-03-01 07:35,ENG-1062,SUP-117,EMP168,TL-060,C,Valid,Valid
M7077,*************0077,WO10077,SUV Pro,TRIM-1,STN-03,2026-03-01 07:36,ENG-1464,SUP-141,EMP328,TL-021,,Valid,Valid
M7078,*************0078,WO10078,SUV Pro,PAINT-1,STN-03,2026-03-01 07:37,ENG-1126,SUP-164,EMP241,TL-099,,Valid,Valid
M7079,*************0079,WO10079,Hatch Z,GA-2,STN-03,2026-03-01 07:38,ENG-1225,SUP-020,EMP246,TL-031,C,Valid,Valid
M7080,*************0080,WO10080,SUV Pro,PAINT-1,STN-05,2026-03-01 07:40,ENG-1041,SUP-036,EMP177,TL-030,,Valid,Valid
M7081,*************0081,WO10081,Hatch Z,GA-2,STN-05,2026-03-01 07:41,ENG-1109,SUP-017,EMP312,TL-053,C,Valid,Valid
M7082,*************0082,WO10082,Hatch Z,TRIM-1,STN-04,2026-03-01 07:42,ENG-1031,SUP-053,EMP315,TL-050,A,Valid,Valid
M7083,*************0083,WO10083,Hatch Z,TRIM-1,STN-04,2026-03-01 07:43,ENG-1003,SUP-091,EMP252,TL-097,,Valid,Valid
M7084,*************0084,WO10084,SUV Pro,GA-2,STN-04,2026-03-01 07:45,ENG-1112,SUP-070,EMP323,TL-063,A,Valid,Valid
M7085,*************0085,WO10085,SUV Pro,PAINT-1,STN-05,2026-03-01 07:46,ENG-1347,SUP-104,EMP184,TL-060,B,Valid,Valid
M7086,*************0086,WO10086,Hatch Z,GA-1,STN-04,2026-03-01 07:47,ENG-1303,SUP-145,EMP113,TL-011,,Valid,Valid
M7087,*************0087,WO10087,Sedan X,TRIM-1,STN-02,2026-03-01 07:48,ENG-1025,SUP-067,EMP294,TL-042,B,Valid,Valid
M7088,*************0088,WO10088,SUV Pro,PAINT-1,STN-03,2026-03-01 07:50,ENG-1389,SUP-098,EMP242,TL-097,,Valid,Valid
M7089,*************0089,WO10089,SUV Pro,GA-1,STN-04,2026-03-01 07:51,ENG-1009,SUP-192,EMP376,TL-007,C,Valid,Valid
M7090,*************0090,WO10090,Sedan X,GA-1,STN-03,2026-03-01 07:52,ENG-1490,SUP-167,EMP120,TL-097,A,Valid,Valid
M7091,*************0091,WO10091,Sedan X,GA-2,STN-03,2026-03-01 07:53,ENG-1010,SUP-160,EMP178,TL-031,B,Valid,Valid
M7092,*************0092,WO10092,SUV Pro,GA-1,STN-05,2026-03-01 07:55,ENG-1485,SUP-056,EMP338,TL-090,C,Valid,Valid
M7093,*************0093,WO10093,SUV Pro,GA-2,STN-05,2026-03-01 07:56,ENG-1310,SUP-192,EMP158,TL-100,B,Valid,Valid
M7094,*************0094,WO10094,SUV Pro,GA-1,STN-05,2026-03-01 07:57,ENG-1013,SUP-080,EMP394,TL-087,,Valid,Valid
M7095,*************0095,WO10095,SUV Pro,GA-2,STN-01,2026-03-01 07:58,ENG-1303,SUP-177,EMP224,TL-014,C,Valid,Valid
M7096,*************0096,WO10096,Hatch Z,GA-1,STN-03,2026-03-01 08:00,ENG-1289,SUP-011,EMP277,TL-069,,Valid,Valid
M7097,*************0097,WO10097,Hatch Z,PAINT-1,STN-01,2026-03-01 08:01,ENG-1259,SUP-166,EMP274,TL-002,,Valid,Valid
M7098,*************0098,WO10098,SUV Pro,GA-1,STN-04,2026-03-01 08:02,ENG-1491,SUP-093,EMP335,TL-091,B,Valid,Valid
M7099,*************0099,WO10099,SUV Pro,GA-2,STN-05,2026-03-01 08:03,ENG-1267,SUP-167,EMP238,TL-079,,Valid,Valid
M7100,*************0100,WO10100,SUV Pro,TRIM-1,STN-03,2026-03-01 08:05,ENG-1374,SUP-152,EMP237,TL-042,B,Valid,Valid
M7101,*************0101,WO10101,Sedan X,PAINT-1,STN-04,2026-03-01 08:06,ENG-1124,SUP-193,EMP337,TL-073,,Valid,Valid
M7102,*************0102,WO10102,SUV Pro,GA-1,STN-04,2026-03-01 08:07,ENG-1435,SUP-084,EMP193,TL-063,B,Valid,Valid
M7103,*************0103,WO10103,SUV Pro,PAINT-1,STN-03,2026-03-01 08:08,ENG-1143,SUP-153,EMP241,TL-072,A,Valid,Valid
M7104,*************0104,WO10104,Hatch Z,GA-2,STN-01,2026-03-01 08:10,ENG-1123,SUP-185,EMP308,TL-063,B,Valid,Valid
M7105,*************0105,WO10105,Hatch Z,TRIM-1,STN-05,2026-03-01 08:11,ENG-1364,SUP-126,EMP329,TL-003,A,Valid,Valid
M7106,*************0106,WO10106,SUV Pro,GA-2,STN-04,2026-03-01 08:12,ENG-1354,SUP-063,EMP256,TL-085,C,Valid,Valid
M7107,*************0107,WO10107,SUV Pro,PAINT-1,STN-04,2026-03-01 08:13,ENG-1381,SUP-141,EMP269,TL-046,,Valid,Valid
M7108,*************0108,WO10108,SUV Pro,PAINT-1,STN-03,2026-03-01 08:15,ENG-1118,SUP-031,EMP198,TL-041,A,Valid,Valid
M7109,*************0109,WO10109,Hatch Z,GA-2,STN-02,2026-03-01 08:16,ENG-1110,SUP-190,EMP347,TL-036,C,Valid,Valid
M7110,*************0110,WO10110,Sedan X,GA-2,STN-03,2026-03-01 08:17,ENG-1116,SUP-093,EMP191,TL-039,A,Valid,Valid
M7111,*************0111,WO10111,Hatch Z,GA-2,STN-03,2026-03-01 08:18,ENG-1023,SUP-014,EMP383,TL-038,B,Valid,Valid
M7112,*************0112,WO10112,Hatch Z,TRIM-1,STN-01,2026-03-01 08:20,ENG-1446,SUP-004,EMP393,TL-037,,Valid,Valid
M7113,*************0113,WO10113,SUV Pro,TRIM-1,STN-03,2026-03-01 08:21,ENG-1094,SUP-014,EMP229,TL-062,A,Valid,Valid
M7114,*************0114,WO10114,Sedan X,TRIM-1,STN-04,2026-03-01 08:22,ENG-1037,SUP-148,EMP127,TL-020,B,Valid,Valid
M7115,*************0115,WO10115,Hatch Z,PAINT-1,STN-01,2026-03-01 08:23,ENG-1127,SUP-031,EMP385,TL-098,,Valid,Valid
M7116,*************0116,WO10116,Hatch Z,GA-2,STN-03,2026-03-01 08:25,ENG-1267,SUP-098,EMP330,TL-057,C,Valid,Valid
M7117,*************0117,WO10117,Hatch Z,TRIM-1,STN-03,2026-03-01 08:26,ENG-1291,SUP-159,EMP130,TL-079,A,Valid,Valid
M7118,*************0118,WO10118,Sedan X,GA-2,STN-03,2026-03-01 08:27,ENG-1338,SUP-021,EMP180,TL-031,B,Valid,Valid
M7119,*************0119,WO10119,Hatch Z,GA-1,STN-02,2026-03-01 08:28,ENG-1001,SUP-105,EMP330,TL-089,,Valid,Valid
M7120,*************0120,WO10120,SUV Pro,GA-1,STN-02,2026-03-01 08:30,ENG-1147,SUP-181,EMP244,TL-090,,Valid,Valid
M7121,*************0121,WO10121,Sedan X,GA-2,STN-03,2026-03-01 08:31,ENG-1403,SUP-161,EMP201,TL-055,A,Valid,Valid
M7122,*************0122,WO10122,Hatch Z,GA-2,STN-05,2026-03-01 08:32,ENG-1076,SUP-069,EMP172,TL-010,A,Valid,Valid
M7123,*************0123,WO10123,Sedan X,PAINT-1,STN-05,2026-03-01 08:33,ENG-1383,SUP-146,EMP247,TL-057,A,Valid,Valid
M7124,*************0124,WO10124,SUV Pro,PAINT-1,STN-05,2026-03-01 08:35,ENG-1206,SUP-070,EMP356,TL-070,,Valid,Valid
M7125,*************0125,WO10125,SUV Pro,GA-1,STN-05,2026-03-01 08:36,ENG-1020,SUP-111,EMP265,TL-078,C,Valid,Valid
M7126,*************0126,WO10126,Sedan X,GA-1,STN-02,2026-03-01 08:37,ENG-1492,SUP-173,EMP394,TL-076,A,Valid,Valid
M7127,*************0127,WO10127,Hatch Z,PAINT-1,STN-05,2026-03-01 08:38,ENG-1020,SUP-196,EMP189,TL-061,,Valid,Valid
M7128,*************0128,WO10128,SUV Pro,GA-2,STN-05,2026-03-01 08:40,ENG-1223,SUP-163,EMP351,TL-012,,Valid,Valid
M7129,*************0129,WO10129,SUV Pro,TRIM-1,STN-03,2026-03-01 08:41,ENG-1164,SUP-172,EMP153,TL-021,C,Valid,Valid
M7130,*************0130,WO10130,SUV Pro,TRIM-1,STN-03,2026-03-01 08:42,ENG-1339,SUP-103,EMP381,TL-005,,Valid,Valid
M7131,*************0131,WO10131,Sedan X,PAINT-1,STN-03,2026-03-01 08:43,ENG-1165,SUP-030,EMP306,TL-066,A,Valid,Valid
M7132,*************0132,WO10132,Hatch Z,TRIM-1,STN-04,2026-03-01 08:45,ENG-1027,SUP-049,EMP365,TL-047,,Valid,Valid
M7133,*************0133,WO10133,Hatch Z,TRIM-1,STN-03,2026-03-01 08:46,ENG-1026,SUP-053,EMP236,TL-071,B,Valid,Valid
M7134,*************0134,WO10134,SUV Pro,TRIM-1,STN-05,2026-03-01 08:47,ENG-1248,SUP-032,EMP114,TL-081,B,Valid,Valid
M7135,*************0135,WO10135,Hatch Z,GA-2,STN-03,2026-03-01 08:48,ENG-1282,SUP-004,EMP382,TL-053,A,Valid,Valid
M7136,*************0136,WO10136,Sedan X,GA-1,STN-04,2026-03-01 08:50,ENG-1484,SUP-031,EMP178,TL-064,C,Valid,Valid
M7137,*************0137,WO10137,Hatch Z,PAINT-1,STN-04,2026-03-01 08:51,ENG-1427,SUP-124,EMP341,TL-032,,Valid,Valid
M7138,*************0138,WO10138,Hatch Z,GA-2,STN-04,2026-03-01 08:52,ENG-1097,SUP-154,EMP360,TL-096,B,Valid,Valid
M7139,*************0139,WO10139,Sedan X,PAINT-1,STN-03,2026-03-01 08:53,ENG-1404,SUP-107,EMP274,TL-999,C,Valid,Valid
M7140,*************0140,WO10140,Sedan X,PAINT-1,STN-05,2026-03-01 08:55,ENG-1152,SUP-151,EMP396,TL-085,,Valid,Valid
M7141,*************0141,WO10141,Sedan X,TRIM-1,STN-05,2026-03-01 08:56,ENG-1247,SUP-089,EMP270,TL-071,,Valid,Valid
M7142,*************0142,WO10142,SUV Pro,PAINT-1,STN-03,2026-03-01 08:57,ENG-1096,SUP-179,EMP222,TL-074,,Valid,Valid
M7143,*************0143,WO10143,Sedan X,TRIM-1,STN-01,2026-03-01 08:58,ENG-1162,SUP-191,EMP342,TL-091,,Valid,Valid
M7144,*************0144,WO10144,SUV Pro,GA-2,STN-04,2026-03-01 09:00,ENG-1493,SUP-010,EMP164,TL-065,C,Valid,Valid
M7145,*************0145,WO10145,Sedan X,TRIM-1,STN-01,2026-03-01 09:01,ENG-1001,SUP-135,EMP333,TL-002,B,Valid,Valid
M7146,*************0146,WO10146,SUV Pro,GA-2,STN-01,2026-03-01 09:02,ENG-1240,SUP-068,EMP273,TL-080,,Valid,Valid
M7147,*************0147,WO10147,Hatch Z,GA-1,STN-03,2026-03-01 09:03,ENG-1168,SUP-173,EMP373,TL-049,C,Valid,Valid
M7148,*************0148,WO10148,Hatch Z,TRIM-1,STN-03,2026-03-01 09:05,ENG-1277,SUP-010,EMP135,TL-031,C,Valid,Valid
M7149,*************0149,WO10149,Sedan X,GA-1,STN-04,2026-03-01 09:06,ENG-1050,SUP-195,EMP151,TL-057,B,Valid,Valid
M7150,*************0150,WO10150,Hatch Z,PAINT-1,STN-01,2026-03-01 09:07,ENG-1023,SUP-084,EMP128,TL-038,C,Valid,Valid
M7151,*************0151,WO10151,SUV Pro,TRIM-1,STN-02,2026-03-01 09:08,ENG-1125,SUP-136,EMP310,TL-073,B,Valid,Valid
M7152,*************0152,WO10152,Sedan X,GA-2,STN-01,2026-03-01 09:10,ENG-1312,SUP-098,EMP223,TL-064,B,Valid,Valid
M7153,*************0153,WO10153,Sedan X,TRIM-1,STN-05,2026-03-01 09:11,ENG-1130,SUP-118,EMP230,TL-086,A,Valid,Valid
M7154,*************0154,WO10154,SUV Pro,PAINT-1,STN-05,2026-03-01 09:12,ENG-1279,SUP-041,EMP137,TL-057,C,Valid,Valid
M7155,*************0155,WO10155,Hatch Z,PAINT-1,STN-05,2026-03-01 09:13,ENG-1492,SUP-109,EMP228,TL-059,C,Valid,Valid
M7156,*************0156,WO10156,Sedan X,TRIM-1,STN-03,2026-03-01 09:15,ENG-1247,SUP-028,EMP221,TL-049,C,Valid,Valid
M7157,*************0157,WO10157,Hatch Z,PAINT-1,STN-05,2026-03-01 09:16,ENG-1151,SUP-006,EMP302,TL-036,A,Valid,Valid
M7158,*************0158,WO10158,Hatch Z,GA-1,STN-05,2026-03-01 09:17,ENG-1381,SUP-128,EMP246,TL-100,B,Valid,Valid
M7159,*************0159,WO10159,Hatch Z,PAINT-1,STN-02,2026-03-01 09:18,ENG-1325,SUP-049,EMP228,TL-087,B,Valid,Valid
M7160,*************0160,WO10160,Hatch Z,GA-1,STN-05,2026-03-01 09:20,ENG-1330,SUP-011,EMP258,TL-999,,Valid,Valid
M7161,*************0161,WO10161,Sedan X,PAINT-1,STN-05,2026-03-01 09:21,ENG-1067,SUP-024,EMP251,TL-042,,Valid,Valid
M7162,*************0162,WO10162,Sedan X,GA-2,STN-02,2026-03-01 09:22,ENG-1402,SUP-139,EMP287,TL-068,C,Valid,Valid
M7163,*************0163,WO10163,Sedan X,PAINT-1,STN-03,2026-03-01 09:23,ENG-1483,SUP-124,EMP251,TL-096,C,Valid,Valid
M7164,*************0164,WO10164,Sedan X,TRIM-1,STN-01,2026-03-01 09:25,ENG-1072,SUP-194,EMP215,TL-087,,Valid,Valid
M7165,*************0165,WO10165,Hatch Z,PAINT-1,STN-01,2026-03-01 09:26,ENG-1404,SUP-102,EMP107,TL-034,A,Valid,Valid
M7166,*************0166,WO10166,SUV Pro,PAINT-1,STN-05,2026-03-01 09:27,ENG-1383,SUP-173,EMP234,TL-075,,Valid,Valid
M7167,*************0167,WO10167,Hatch Z,PAINT-1,STN-01,2026-03-01 09:28,ENG-1345,SUP-060,EMP341,TL-004,C,Valid,Valid
M7168,*************0168,WO10168,Hatch Z,GA-2,STN-05,2026-03-01 09:30,ENG-1032,SUP-163,EMP337,TL-090,C,Valid,Valid
M7169,*************0169,WO10169,Hatch Z,TRIM-1,STN-01,2026-03-01 09:31,ENG-1071,SUP-012,EMP119,TL-039,,Valid,Valid
M7170,*************0170,WO10170,Sedan X,GA-1,STN-02,2026-03-01 09:32,ENG-1454,SUP-138,EMP169,TL-050,,Valid,Valid
M7171,*************0171,WO10171,SUV Pro,TRIM-1,STN-05,2026-03-01 09:33,ENG-1380,SUP-187,EMP179,TL-054,A,Valid,Valid
M7172,*************0172,WO10172,SUV Pro,TRIM-1,STN-03,2026-03-01 09:35,ENG-1016,SUP-177,EMP289,TL-028,,Valid,Valid
M7173,*************0173,WO10173,SUV Pro,GA-2,STN-03,2026-03-01 09:36,ENG-1185,SUP-026,EMP288,TL-070,C,Valid,Valid
M7174,*************0174,WO10174,Sedan X,TRIM-1,STN-03,2026-03-01 09:37,ENG-1097,SUP-032,EMP332,TL-012,B,Valid,Valid
M7175,*************0175,WO10175,Hatch Z,GA-1,STN-01,2026-03-01 09:38,ENG-1402,SUP-086,EMP224,TL-017,B,Valid,Valid
M7176,*************0176,WO10176,Sedan X,GA-2,STN-05,2026-03-01 09:40,ENG-1110,SUP-060,EMP268,TL-100,B,Valid,Valid
M7177,*************0177,WO10177,Hatch Z,GA-1,STN-03,2026-03-01 09:41,ENG-1439,SUP-038,EMP166,TL-070,C,Valid,Valid
M7178,*************0178,WO10178,Sedan X,GA-1,STN-05,2026-03-01 09:42,ENG-1443,SUP-007,EMP167,TL-002,C,Valid,Valid
M7179,*************0179,WO10179,Sedan X,PAINT-1,STN-01,2026-03-01 09:43,ENG-1089,SUP-068,EMP126,TL-017,,Valid,Valid
M7180,*************0180,WO10180,Hatch Z,GA-1,STN-05,2026-03-01 09:45,ENG-1032,SUP-122,EMP329,TL-100,C,Valid,Valid
M7181,*************0181,WO10181,Hatch Z,GA-1,STN-04,2026-03-01 09:46,ENG-1257,SUP-057,EMP122,TL-094,C,Valid,Valid
M7182,*************0182,WO10182,SUV Pro,GA-1,STN-01,2026-03-01 09:47,ENG-1245,SUP-103,EMP318,TL-088,A,Valid,Valid
