Reading_ID,Event_ID,Tool_Mac,Torque,Temp
SR-45,EVT-11366,AA:BB:CC:00:61,46.9,90.4
SR-46,EVT-13961,AA:BB:CC:00:67,44.9,81.1
SR-47,EVT-11171,AA:BB:CC:00:48,41.8,89.1
SR-48,EVT-12239,AA:BB:CC:00:94,41.6,88.4
SR-49,EVT-10915,AA:BB:CC:00:82,44.9,185 F
SR-50,EVT-11360,AA:BB:CC:00:08,45.4,90.6
SR-51,EVT-10084,AA:BB:CC:00:74,41.7,79.8
SR-52,EVT-11495,AA:BB:CC:00:86,43.6,185 F
SR-53,EVT-11558,AA:BB:CC:00:88,49.9,74.6
SR-54,EVT-13886,AA:BB:CC:00:67,45.6,80.3
SR-55,EVT-14609,AA:BB:CC:00:14,43.1 Nm,86.9
SR-56,EVT-14457,AA:BB:CC:00:47,45.9,84.8
SR-57,EVT-13799,AA:BB:CC:00:24,44.6,85.8
SR-58,EVT-10032,AA:BB:CC:00:91,43.7,85.4
SR-59,EVT-11784,AA:BB:CC:00:62,43.6,86.6
SR-60,EVT-12796,AA:BB:CC:00:58,43.2,85.0
SR-61,EVT-14715,AA:BB:CC:00:34,45.6,86.2
SR-62,EVT-10270,AA:BB:CC:00:31,45.0,78.1
SR-63,EVT-13871,AA:BB:CC:00:48,43.8,80.7
SR-64,EVT-11385,AA:BB:CC:00:91,46.4,81.2
SR-65,EVT-10443,AA:BB:CC:00:45,45.6,85.6
SR-66,EVT-13541,AA:BB:CC:00:29,43.0,88.4
SR-67,EVT-13870,AA:BB:CC:00:29,44.5,83.9
SR-68,EVT-10147,AA:BB:CC:00:63,45.6,81.5
SR-69,EVT-13689,AA:BB:CC:00:48,46.2,82.6
SR-70,EVT-12518,AA:BB:CC:00:12,43.0,86.0
SR-71,EVT-10542,AA:BB:CC:00:78,43.0,85.4
SR-72,EVT-12305,AA:BB:CC:00:27,43.7,93.2
SR-73,EVT-14364,AA:BB:CC:00:47,47.0,89.8
SR-74,EVT-12025,AA:BB:CC:00:66,43.9,77.1
SR-75,EVT-10351,AA:BB:CC:00:37,42.6,81.3
SR-76,EVT-10368,AA:BB:CC:00:45,46.9,82.8
SR-77,EVT-14878,AA:BB:CC:00:57,42.3,91.1
SR-78,EVT-14427,AA:BB:CC:00:18,44.1,84.8
SR-79,EVT-12587,AA:BB:CC:00:13,42.0,90.2
SR-80,EVT-12152,AA:BB:CC:00:73,45.6,185 F
SR-81,EVT-10779,AA:BB:CC:00:29,44.7,85.1
SR-82,EVT-11483,AA:BB:CC:00:56,45.6,81.0
SR-83,EVT-12485,AA:BB:CC:00:74,43.5,91.3
SR-84,EVT-13257,AA:BB:CC:00:20,48.1,76.3
SR-85,EVT-13440,AA:BB:CC:00:29,44.4,83.1
SR-86,EVT-12749,AA:BB:CC:00:06,46.4,80.8
SR-87,EVT-14169,AA:BB:CC:00:26,44.6,80.2
SR-88,EVT-11015,AA:BB:CC:00:61,44.1,86.9
SR-89,EVT-13571,AA:BB:CC:00:86,45.4,86.5 C
SR-90,EVT-11075,AA:BB:CC:00:43,49.1,83.1
SR-91,EVT-14893,AA:BB:CC:00:47,45.3,88.2
SR-92,EVT-13680,AA:BB:CC:00:26,43.8,90.2
SR-93,EVT-11039,AA:BB:CC:00:81,46.8,92.7
SR-94,EVT-12185,AA:BB:CC:00:01,41.2,75.7
SR-95,EVT-12702,AA:BB:CC:00:95,50.1,92.8
SR-96,EVT-14889,AA:BB:CC:00:73,46.0 Nm,90.0
SR-97,EVT-14284,AA:BB:CC:00:26,43.2,85.5
SR-98,EVT-11015,AA:BB:CC:00:64,43.5,77.1
SR-99,EVT-14622,AA:BB:CC:00:62,45.4,90.1
SR-100,EVT-11669,AA:BB:CC:00:06,41.4,87.7
SR-101,EVT-12273,AA:BB:CC:00:62,47.3,89.9
SR-102,EVT-11642,AA:BB:CC:00:66,46.9,89.3
SR-103,EVT-13928,AA:BB:CC:00:42,46.4,82.3
SR-104,EVT-12392,AA:BB:CC:00:27,44.1,90.8
SR-105,EVT-14389,AA:BB:CC:00:65,50.8,89.7
SR-106,EVT-12511,AA:BB:CC:00:30,43.2,85.2
SR-107,EVT-11576,AA:BB:CC:00:82,43.9,83.1
SR-108,EVT-13738,AA:BB:CC:00:98,42.3,83.5
SR-109,EVT-10503,AA:BB:CC:00:85,9000,93.9
SR-110,EVT-14006,AA:BB:CC:00:65,43.8,89.4
SR-111,EVT-12502,AA:BB:CC:00:47,45.6,83.0
SR-112,EVT-10325,AA:BB:CC:00:32,48.3,84.6
SR-113,EVT-11580,AA:BB:CC:00:34,46.9,83.8
SR-114,EVT-13850,AA:BB:CC:00:47,44.0,82.9
SR-115,EVT-13837,AA:BB:CC:00:14,44.7,81.5
SR-116,EVT-14887,AA:BB:CC:00:05,43.9,79.7
SR-117,EVT-12360,AA:BB:CC:00:36,46.6,81.6
SR-118,EVT-10551,AA:BB:CC:00:96,42.8,85.3
SR-119,EVT-13928,AA:BB:CC:00:09, 48.2 ,88.4
SR-120,EVT-10292,AA:BB:CC:00:35,45.7,81.9
SR-121,EVT-11794,AA:BB:CC:00:25,41.4,82.4
SR-122,EVT-10963,AA:BB:CC:00:75,44.5,80.7
SR-123,EVT-11603,AA:BB:CC:00:46,40.8,78.8
SR-124,EVT-14472,AA:BB:CC:00:13,45.0,84.2
SR-125,EVT-12792,AA:BB:CC:00:61,44.1,92.3
SR-126,EVT-14992,AA:BB:CC:00:30,41.4,73.9
SR-127,EVT-11629,AA:BB:CC:00:98,47.6,86.9
SR-128,EVT-14814,AA:BB:CC:00:32,48.7,81.3
SR-129,EVT-14396,AA:BB:CC:00:30,44.6,85.6
SR-130,EVT-13358,AA:BB:CC:00:82,44.4,80.5
SR-131,EVT-10292,AA:BB:CC:00:56,45.0,91.3
SR-132,EVT-10113,AA:BB:CC:00:67,44.7,86.4
SR-133,EVT-14036,AA:BB:CC:00:71,44.1,80.3
SR-134,EVT-13156,AA:BB:CC:00:55,47.9,91.3
SR-135,EVT-12819,AA:BB:CC:00:98,45.6,81.5
SR-136,EVT-10633,AA:BB:CC:00:08,44.9,84.8
SR-137,EVT-14636,AA:BB:CC:00:43,46.3,83.9
SR-138,EVT-11891,AA:BB:CC:00:48,45.4,89.8
SR-139,EVT-10873,AA:BB:CC:00:58,45.2,85.1
SR-140,EVT-12559,AA:BB:CC:00:32,43.3,94.6
SR-141,EVT-12803,AA:BB:CC:00:78,45.5,89.4
SR-142,EVT-11521,AA:BB:CC:00:69,46.4,80.1
SR-143,EVT-12336,AA:BB:CC:00:07,43.7,97.6
SR-144,EVT-13704,AA:BB:CC:00:74,46.8,83.8
SR-145,EVT-14608,AA:BB:CC:00:20,45.9,83.0
SR-146,EVT-14118,AA:BB:CC:00:62,46.6,86.2
SR-147,EVT-11542,AA:BB:CC:00:21,44.5,81.6
SR-148,EVT-12984,AA:BB:CC:00:92,43.3,93.9
SR-149,EVT-13563,AA:BB:CC:00:29,45.8,89.2
SR-150,EVT-11588,AA:BB:CC:00:70,46.4,89.5
SR-151,EVT-13265,AA:BB:CC:00:38,48.9,86.1
SR-152,EVT-11276,AA:BB:CC:00:42,42.5,86.4
SR-153,EVT-13923,AA:BB:CC:00:03,45.3,91.1
SR-154,EVT-12256,AA:BB:CC:00:37,46.3,79.7
SR-155,EVT-10073,AA:BB:CC:00:17,46.4,86.3
SR-156,EVT-12484,AA:BB:CC:00:33,33.19 ft-lb,86.6
SR-157,EVT-11888,AA:BB:CC:00:10,46.5,85.3
SR-158,EVT-14452,AA:BB:CC:00:37,42.1,96.8
SR-159,EVT-14771,AA:BB:CC:00:33,42.4,83.8
SR-160,EVT-12859,AA:BB:CC:00:28,47.8,82.1
SR-161,EVT-11389,AA:BB:CC:00:87,43.2,91.9
SR-162,EVT-14217,AA:BB:CC:00:42,47.0,94.3
SR-163,EVT-14746,AA:BB:CC:00:58,45.5,87.7
SR-164,EVT-10447,AA:BB:CC:00:48,47.1,86.8
SR-165,EVT-14483,AA:BB:CC:00:51,44.1,94.9
SR-166,EVT-12536,AA:BB:CC:00:10,44.2,89.3
SR-167,EVT-14898,AA:BB:CC:00:08,46.0,81.7
SR-168,EVT-11100,AA:BB:CC:00:16,47.6,84.4
SR-169,EVT-11400,AA:BB:CC:00:96,47.3,87.3
SR-170,EVT-12354,AA:BB:CC:00:62,43.7,75.1
SR-171,EVT-10293,AA:BB:CC:00:49,49.0,99.3
SR-172,EVT-11577,AA:BB:CC:00:89,42.8,83.4
SR-173,EVT-14268,AA:BB:CC:00:15,44.5,81.8
SR-174,EVT-14058,AA:BB:CC:00:16,47.2,85.9
SR-175,EVT-13433,AA:BB:CC:00:81,45.8,74.7
SR-176,EVT-13244,AA:BB:CC:00:27,48.1,87.4
SR-177,EVT-10303,AA:BB:CC:00:47,44.8,94.2
SR-178,EVT-11846,AA:BB:CC:00:26,46.8,90.4 C
SR-179,EVT-12951,AA:BB:CC:00:72,42.9,86.6
SR-180,EVT-14761,AA:BB:CC:00:41,43.2,78.9
SR-181,EVT-11761,AA:BB:CC:00:11,44.0,79.2
SR-182,EVT-12930,AA:BB:CC:00:91,42.8,82.1
SR-183,EVT-12716,AA:BB:CC:00:09,42.8,86.1
SR-184,EVT-11349,AA:BB:CC:00:54,44.6,86.8
SR-185,EVT-13375,AA:BB:CC:00:11,45.3,81.3
SR-186,EVT-11610,AA:BB:CC:00:07,45.1,79.2
SR-187,EVT-10122,AA:BB:CC:00:28,46.5,75.2
SR-188,EVT-13717,AA:BB:CC:00:94,44.7,78.8
SR-189,EVT-13464,AA:BB:CC:00:62,42.2,92.4
SR-190,EVT-12951,AA:BB:CC:00:55,44.2,88.8
SR-191,EVT-10167,AA:BB:CC:00:36,46.3,91.6
SR-192,EVT-10528,AA:BB:CC:00:73,45.4,81.4
SR-193,EVT-10381,AA:BB:CC:00:99,42.3,88.1
SR-194,EVT-12789,AA:BB:CC:00:63,42.8,86.5
SR-195,EVT-13977,AA:BB:CC:00:51,44.1,81.8
SR-196,EVT-13457,AA:BB:CC:00:77,46.4,86.7
SR-197,EVT-10244,AA:BB:CC:00:48,44.2,94.5
SR-198,EVT-11948,AA:BB:CC:00:68,46.1,88.5
SR-199,EVT-14165,AA:BB:CC:00:10,46.8,86.8
SR-200,EVT-11352,AA:BB:CC:00:26,46.1,90.9
SR-201,EVT-11729,AA:BB:CC:00:67,45.8,80.0
SR-202,EVT-14920,AA:BB:CC:00:53,41.3,87.0
SR-203,EVT-14264,AA:BB:CC:00:43,42.9,83.5
SR-204,EVT-11117,AA:BB:CC:00:17,33.19 ft-lb,77.4
SR-205,EVT-11983,AA:BB:CC:00:27,43.3,77.1
SR-206,EVT-12691,AA:BB:CC:00:22,44.8,80.8
SR-207,EVT-10458,AA:BB:CC:00:36,47.5,84.0
SR-208,EVT-10518,AA:BB:CC:00:72,42.9,79.4
SR-209,EVT-11617,AA:BB:CC:00:33,45.5,85.0
SR-210,EVT-14231,AA:BB:CC:00:90,47.6,87.6
SR-211,EVT-11885,AA:BB:CC:00:95,41.1,81.5
SR-212,EVT-12638,AA:BB:CC:00:53,43.4,92.2
SR-213,EVT-11465,AA:BB:CC:00:11,43.4,89.9
SR-214,EVT-12569,AA:BB:CC:00:93,45.8,79.4
SR-215,EVT-11133,AA:BB:CC:00:29,44.4,80.1
SR-216,EVT-10762,AA:BB:CC:00:38,46.1,92.0
SR-217,EVT-10193,AA:BB:CC:00:58,42.7,84.4 C
SR-218,EVT-13689,AA:BB:CC:00:15,44.1,87.8
SR-219,EVT-12930,AA:BB:CC:00:54,44.0,91.5
SR-220,EVT-10947,AA:BB:CC:00:62,44.9,82.2
SR-221,EVT-11249,AA:BB:CC:00:57,45.3,82.1
SR-222,EVT-14016,AA:BB:CC:00:79,43.7,89.3
SR-223,EVT-12370,AA:BB:CC:00:71,45.1,90.2
SR-224,EVT-12648,AA:BB:CC:00:58,45.3,92.0
SR-225,EVT-12116,AA:BB:CC:00:49,40.7,89.0
SR-226,EVT-13380,AA:BB:CC:00:53,45.4,82.9
SR-227,EVT-13991,AA:BB:CC:00:29,45.2,85.8
SR-228,EVT-11874,AA:BB:CC:00:33,49.5,83.1
SR-229,EVT-13039,AA:BB:CC:00:46,45.4,85.6
SR-230,EVT-12532,AA:BB:CC:00:54,44.6,93.2
SR-231,EVT-11818,AA:BB:CC:00:80,47.7,84.4
SR-232,EVT-13890,AA:BB:CC:00:98,43.8,88.4
SR-233,EVT-12491,AA:BB:CC:00:85,43.3,85.5
SR-234,EVT-13000,AA:BB:CC:00:07,44.3,82.5
SR-235,EVT-13704,AA:BB:CC:00:29,46.1,82.3
SR-236,EVT-10578,AA:BB:CC:00:09,49.0,89.1
SR-237,EVT-14490,AA:BB:CC:00:49,45.6,90.7
SR-238,EVT-12029,AA:BB:CC:00:71,44.4,78.9
SR-239,EVT-12804,AA:BB:CC:00:78,44.0,83.5
SR-240,EVT-10140,AA:BB:CC:00:94,41.4,91.7
SR-241,EVT-11191,AA:BB:CC:00:88,41.7,86.1
SR-242,EVT-14619,AA:BB:CC:00:51,45.0,83.2
SR-243,EVT-13626,AA:BB:CC:00:98,43.5,89.2
SR-244,EVT-14167,AA:BB:CC:00:08,45.0,84.2
SR-245,EVT-13400,AA:BB:CC:00:55,43.8,83.8
SR-246,EVT-13587,AA:BB:CC:00:65,43.3,76.8
SR-247,EVT-10675,AA:BB:CC:00:98,42.4,80.0
SR-248,EVT-12079,AA:BB:CC:00:84,43.5,89.1
SR-249,EVT-11163,AA:BB:CC:00:95,49.2,88.7
SR-250,EVT-14775,AA:BB:CC:00:79,44.2,80.5
SR-251,EVT-10941,AA:BB:CC:00:15,44.4,84.5
SR-252,EVT-10422,AA:BB:CC:00:51,44.8,84.5
SR-253,EVT-14670,AA:BB:CC:00:34,46.8,88.8
SR-254,EVT-14335,AA:BB:CC:00:69,45.6,82.2
SR-255,EVT-11334,AA:BB:CC:00:86,44.6,84.9
SR-256,EVT-14903,AA:BB:CC:00:12,44.6,88.4
SR-257,EVT-11948,AA:BB:CC:00:45,44.2,85.4
SR-258,EVT-13290,AA:BB:CC:00:31,41.3,73.7
SR-259,EVT-13466,AA:BB:CC:00:54,43.8,92.3
SR-260,EVT-10240,AA:BB:CC:00:93,48.5,86.9
SR-261,EVT-13878,AA:BB:CC:00:22,47.9,87.8
SR-262,EVT-13281,AA:BB:CC:00:72,42.9,69.5
SR-263,EVT-10683,AA:BB:CC:00:64,43.0,84.4 C
SR-264,EVT-14059,AA:BB:CC:00:60,48.7,93.5
SR-265,EVT-13167,AA:BB:CC:00:28,42.7,84.1
SR-266,EVT-10356,AA:BB:CC:00:21,41.9,83.5
SR-267,EVT-12074,AA:BB:CC:00:75,43.4,85.3
SR-268,EVT-10293,AA:BB:CC:00:75,44.6,95.2
SR-269,EVT-10985,AA:BB:CC:00:87,46.0,82.7
SR-270,EVT-12401,AA:BB:CC:00:77, 42.9 ,91.4
SR-271,EVT-14171,AA:BB:CC:00:43,46.6,83.3
SR-272,EVT-13747,AA:BB:CC:00:27,43.7,82.2
SR-273,EVT-11254,AA:BB:CC:00:23,44.6,84.8
SR-274,EVT-14068,AA:BB:CC:00:97,47.9,80.0
SR-275,EVT-12089,AA:BB:CC:00:90,48.6,81.0
SR-276,EVT-10414,AA:BB:CC:00:36,46.3,84.8
SR-277,EVT-12280,AA:BB:CC:00:97,45.6,83.4
SR-278,EVT-13619,AA:BB:CC:00:38,41.8,83.2
SR-279,EVT-14170,AA:BB:CC:00:16,48.2,84.3
SR-280,EVT-10635,AA:BB:CC:00:74,45.2,78.1
SR-281,EVT-10893,AA:BB:CC:00:43,45.3,81.1
SR-282,EVT-13375,AA:BB:CC:00:41,44.8,87.5
SR-283,EVT-11273,AA:BB:CC:00:44,33.19 ft-lb,81.0
SR-284,EVT-12451,AA:BB:CC:00:52,40.1,84.2
SR-285,EVT-11554,AA:BB:CC:00:17,43.4,79.4
SR-286,EVT-10636,AA:BB:CC:00:52,44.3,94.8
SR-287,EVT-12525,AA:BB:CC:00:43,43.4,86.4
SR-288,EVT-14919,AA:BB:CC:00:23, 44.4 ,86.1
SR-289,EVT-14734,AA:BB:CC:00:01,42.8,82.2
SR-290,EVT-11489,AA:BB:CC:00:93,44.7,77.8
SR-291,EVT-14707,AA:BB:CC:00:25,44.4,85.9
SR-292,EVT-13958,AA:BB:CC:00:06,45.1,85.0
SR-293,EVT-12811,AA:BB:CC:00:74,48.7,96.3
SR-294,EVT-13473,AA:BB:CC:00:54,46.2,78.6
SR-295,EVT-12345,AA:BB:CC:00:78,44.2,86.9
SR-296,EVT-12619,AA:BB:CC:00:23,47.9,79.2
SR-297,EVT-14151,AA:BB:CC:00:19,43.4,90.5
SR-298,EVT-10258,AA:BB:CC:00:56,46.2,90.1
SR-299,EVT-14590,AA:BB:CC:00:53,46.7,90.9
SR-300,EVT-10411,AA:BB:CC:00:31,41.2,82.7
SR-301,EVT-11160,AA:BB:CC:00:38,45.0,84.7
SR-302,EVT-10339,AA:BB:CC:00:19,44.2,87.3
SR-303,EVT-12321,AA:BB:CC:00:01,46.2,86.2
SR-304,EVT-13416,AA:BB:CC:00:77,44.6,87.2
SR-305,EVT-13052,AA:BB:CC:00:50,44.0,83.4
SR-306,EVT-12582,AA:BB:CC:00:98,42.3,80.9
SR-307,EVT-10001,AA:BB:CC:00:58,46.7,83.2
SR-308,EVT-10939,AA:BB:CC:00:81,43.8,93.1
SR-309,EVT-14276,AA:BB:CC:00:32,42.7,91.1
SR-310,EVT-12699,AA:BB:CC:00:49,44.1,88.6
SR-311,EVT-14579,AA:BB:CC:00:98,33.19 ft-lb,90.5
SR-312,EVT-14098,AA:BB:CC:00:97,44.3,82.2
SR-313,EVT-13725,AA:BB:CC:00:92,42.0,92.3
SR-314,EVT-10674,AA:BB:CC:00:44,44.9,78.6
SR-315,EVT-13425,AA:BB:CC:00:29,42.2,85.1
SR-316,EVT-12791,AA:BB:CC:00:88,43.2,86.2
SR-317,EVT-14956,AA:BB:CC:00:48,43.2,76.8
SR-318,EVT-10157,AA:BB:CC:00:80,47.8,82.8
SR-319,EVT-14981,AA:BB:CC:00:77,45.6,86.4
SR-320,EVT-10464,AA:BB:CC:00:26,45.0,72.3
SR-321,EVT-12221,AA:BB:CC:00:07,45.6,78.8
SR-322,EVT-11721,AA:BB:CC:00:44,46.5,84.6
SR-323,EVT-14593,AA:BB:CC:00:14,40.6,83.6
SR-324,EVT-11439,AA:BB:CC:00:52,44.5,79.5
SR-325,EVT-13036,AA:BB:CC:00:32,44.0,89.0
SR-326,EVT-11855,AA:BB:CC:00:75,43.6,93.4
SR-327,EVT-10739,AA:BB:CC:00:32,43.3,83.8
SR-328,EVT-10321,AA:BB:CC:00:75,40.5,82.7
SR-329,EVT-12980,AA:BB:CC:00:84,43.9,76.2
SR-330,EVT-12367,AA:BB:CC:00:57,45.1,80.5
SR-331,EVT-12984,AA:BB:CC:00:52,44.9,74.8
SR-332,EVT-13702,AA:BB:CC:00:34,43.5,76.2
SR-333,EVT-14884,AA:BB:CC:00:61,45.4,86.7
SR-334,EVT-13780,AA:BB:CC:00:62,45.6,86.7
SR-335,EVT-12824,AA:BB:CC:00:86,44.1,85.2
SR-336,EVT-14744,AA:BB:CC:00:87,45.1,88.6
SR-337,EVT-14497,AA:BB:CC:00:93,45.4,89.7
SR-338,EVT-11143,AA:BB:CC:00:76,43.8,79.5
SR-339,EVT-11679,AA:BB:CC:00:31,45.6 Nm,81.5
SR-340,EVT-12168,AA:BB:CC:00:29,42.4,91.1
SR-341,EVT-12678,AA:BB:CC:00:31,42.3,87.7
SR-342,EVT-13441,AA:BB:CC:00:12,44.6,89.5
SR-343,EVT-11124,AA:BB:CC:00:35,47.0,84.7
SR-344,EVT-13243,AA:BB:CC:00:57,44.8,85.9
SR-345,EVT-13290,AA:BB:CC:00:41,44.5,83.9
SR-346,EVT-12672,AA:BB:CC:00:27,41.9,88.1
SR-347,EVT-12379,AA:BB:CC:00:15,46.8,83.0
SR-348,EVT-11185,AA:BB:CC:00:94,46.5,89.2
SR-349,EVT-13378,AA:BB:CC:00:71,42.0,82.2
SR-350,EVT-13969,AA:BB:CC:00:36,47.1,84.4
SR-351,EVT-10745,AA:BB:CC:00:24,43.5,77.3
SR-352,EVT-10415,AA:BB:CC:00:82, 45.1 ,75.9
SR-353,EVT-12945,AA:BB:CC:00:24,48.2,88.7
SR-354,EVT-10569,AA:BB:CC:00:96,42.3,82.4
SR-355,EVT-14245,AA:BB:CC:00:76,44.9,87.8
SR-356,EVT-12066,AA:BB:CC:00:28,43.3,80.3
SR-357,EVT-14115,AA:BB:CC:00:75,41.4,84.1
SR-358,EVT-11969,AA:BB:CC:00:03,43.8,87.0
SR-359,EVT-13085,AA:BB:CC:00:03,42.3,85.4
SR-360,EVT-10787,AA:BB:CC:00:29,44.9,83.9
SR-361,EVT-12348,AA:BB:CC:00:32,47.4,85.7
SR-362,EVT-12872,AA:BB:CC:00:54,44.8,89.3
SR-363,EVT-14126,AA:BB:CC:00:38,42.4,84.5
SR-364,EVT-13171,AA:BB:CC:00:95,42.5 Nm,86.0
SR-365,EVT-12510,AA:BB:CC:00:56,46.0,87.4
SR-366,EVT-11581,AA:BB:CC:00:65,47.3,84.1
SR-367,EVT-10902,AA:BB:CC:00:21,46.0,77.3
SR-368,EVT-14912,AA:BB:CC:00:41,40.0,83.4
SR-369,EVT-10406,AA:BB:CC:00:20,42.7,76.0
SR-370,EVT-10988,AA:BB:CC:00:60,45.6,79.9
SR-371,EVT-12600,AA:BB:CC:00:75,49.7,82.9
SR-372,EVT-12947,AA:BB:CC:00:59,40.4 Nm,91.8
SR-373,EVT-12142,AA:BB:CC:00:74, 46.6 ,85.9
SR-374,EVT-10158,AA:BB:CC:00:55,43.4 Nm,81.4
SR-375,EVT-12094,AA:BB:CC:00:03,44.1,83.4
SR-376,EVT-14297,AA:BB:CC:00:14,44.7,84.9
SR-377,EVT-12597,AA:BB:CC:00:45,46.8,81.2
SR-378,EVT-13756,AA:BB:CC:00:95,45.5,96.9
SR-379,EVT-13099,AA:BB:CC:00:99,43.9,85.8
SR-380,EVT-11041,AA:BB:CC:00:60,44.0,86.2
SR-381,EVT-13038,AA:BB:CC:00:49,45.1,87.4
SR-382,EVT-13061,AA:BB:CC:00:09,45.0,77.3
SR-383,EVT-11032,AA:BB:CC:00:54,43.1,87.1
SR-384,EVT-10874,AA:BB:CC:00:70,46.8,87.5
SR-385,EVT-11341,AA:BB:CC:00:93,48.5,84.5
SR-386,EVT-11919,AA:BB:CC:00:52,45.9,91.6
SR-387,EVT-14135,AA:BB:CC:00:63,45.4,84.2
SR-388,EVT-14708,AA:BB:CC:00:52,47.4,84.6
SR-389,EVT-10057,AA:BB:CC:00:22,45.6,86.6
SR-390,EVT-13009,AA:BB:CC:00:55,43.8,84.4
SR-391,EVT-11298,AA:BB:CC:00:03,48.9,86.3
SR-392,EVT-13610,AA:BB:CC:00:02,45.0,84.3
SR-393,EVT-12333,AA:BB:CC:00:59,45.3,82.5
SR-394,EVT-12092,AA:BB:CC:00:28,46.7,185 F
SR-395,EVT-10973,AA:BB:CC:00:37,46.1,84.2
SR-396,EVT-12462,AA:BB:CC:00:69,43.2,85.8
SR-397,EVT-12083,AA:BB:CC:00:09,46.0,77.2
SR-398,EVT-12286,AA:BB:CC:00:62,33.19 ft-lb,86.8
SR-399,EVT-12954,AA:BB:CC:00:32,46.2,88.0
SR-400,EVT-11872,AA:BB:CC:00:81,46.0,91.7
SR-401,EVT-14879,AA:BB:CC:00:75,44.0,88.7
SR-402,EVT-11482,AA:BB:CC:00:35,46.7,86.0
SR-403,EVT-12214,AA:BB:CC:00:47,43.9,80.6
SR-404,EVT-13834,AA:BB:CC:00:18,45.1,87.2
SR-405,EVT-13931,AA:BB:CC:00:36,45.1,82.3
SR-406,EVT-11236,AA:BB:CC:00:19,43.7,81.0
SR-407,EVT-14827,AA:BB:CC:00:25,49.0 Nm,84.5
SR-408,EVT-11015,AA:BB:CC:00:46,43.4,83.1
SR-409,EVT-12806,AA:BB:CC:00:60,41.0,92.5
SR-410,EVT-11686,AA:BB:CC:00:95,46.8,80.8
SR-411,EVT-10956,AA:BB:CC:00:23,44.1,89.4
SR-412,EVT-11205,AA:BB:CC:00:78,47.7,82.9
SR-413,EVT-11676,AA:BB:CC:00:27,44.5,90.0
SR-414,EVT-10967,AA:BB:CC:00:35,44.9,84.7
SR-415,EVT-14759,AA:BB:CC:00:77,50.4 Nm,98.5
SR-416,EVT-12151,AA:BB:CC:00:55, 44.7 ,96.9
SR-417,EVT-11658,AA:BB:CC:00:36,45.1,83.2
SR-418,EVT-13748,AA:BB:CC:00:88,47.0,78.4
SR-419,EVT-11752,AA:BB:CC:00:97,45.3,96.1
