VIN,Total_Energy_kWh,Vehicles_Built,Energy_per_Vehicle_kWh
MA1A**********162,63.589999999999996,1,63.59
MA1A**********163,34.64,1,34.64
MA1A**********164,23.5,1,23.5
MA1A**********165,26.619999999999997,1,26.62
MA1A**********166,50.12,1,50.12
MA1A**********167,46.1,1,46.1
MA1A**********168,14.68,1,14.68
MA1A**********169,40.29,1,40.29
MA1A**********170,64.07,1,64.07
MA1A**********171,35.73,1,35.73
MA1A**********172,33.1,1,33.1
MA1A**********173,54.9,1,54.9
MA1A**********174,16.93,1,16.93
MA1A**********175,47.65,1,47.65
MA1A**********176,45.74,1,45.74
MA1A**********177,28.87,1,28.87
MA1A**********178,37.33,1,37.33
MA1A**********179,29.91,1,29.91
MA1A**********180,47.21,1,47.21
MA1A**********181,37.48,1,37.48
MA1A**********182,26.03,1,26.03
MA1A**********183,27.22,1,27.22
MA1A**********184,34.17,1,34.17
MA1A**********185,51.94,1,51.94
MA1A**********186,38.0,1,38.0
MA1A**********187,31.35,1,31.35
MA1A**********188,44.370000000000005,1,44.37
MA1A**********189,34.58,1,34.58
MA1A**********190,24.07,1,24.07
MA1A**********191,46.15,1,46.15
MA1A**********192,36.17,1,36.17
MA1A**********193,38.81,1,38.81
MA1A**********194,41.2,1,41.2
MA1A**********195,59.2,1,59.2
MA1A**********196,46.9,1,46.9
MA1A**********197,37.65,1,37.65
MA1A**********198,37.08,1,37.08
MA1A**********199,22.009999999999998,1,22.01
MA1A**********200,52.38,1,52.38
MA1A**********201,60.85,1,60.85
MA1A**********202,70.29,1,70.29
MA1A**********203,20.51,1,20.51
MA1A**********204,65.78,1,65.78
MA1A**********205,65.55,1,65.55
MA1A**********206,40.46,1,40.46
MA1A**********207,36.76,1,36.76
MA1A**********208,46.69,1,46.69
MA1A**********209,29.44,1,29.44
MA1A**********210,24.79,1,24.79
MA1A**********211,37.32,1,37.32
MA1A**********212,34.43,1,34.43
MA1A**********213,28.35,1,28.35
MA1A**********214,19.71,1,19.71
MA1A**********215,55.61,1,55.61
MA1A**********216,21.08,1,21.08
MA1A**********217,12.99,1,12.99
MA1A**********218,81.53,1,81.53
MA1A**********219,76.42999999999999,1,76.43
MA1A**********220,28.54,1,28.54
MA1A**********221,30.34,1,30.34
MA1A**********222,62.93,1,62.93
MA1A**********223,42.67,1,42.67
MA1A**********224,44.76,1,44.76
MA1A**********225,46.01,1,46.01
MA1A**********226,48.52,1,48.52
MA1A**********227,19.7,1,19.7
MA1A**********228,29.95,1,29.95
MA1A**********229,17.09,1,17.09
MA1A**********230,33.98,1,33.98
MA1A**********231,27.18,1,27.18
MA1A**********232,45.3,1,45.3
MA1A**********233,62.29,1,62.29
MA1A**********234,17.09,1,17.09
MA1A**********235,38.11,1,38.11
MA1A**********236,57.11,1,57.11
MA1A**********237,36.22,1,36.22
MA1A**********238,34.1,1,34.1
MA1A**********239,85.37,1,85.37
MA1A**********240,42.8,1,42.8
MA1A**********241,27.43,1,27.43
MA1A**********242,27.99,1,27.99
MA1A**********243,21.99,1,21.99
MA1A**********244,73.93,1,73.93
MA1A**********245,44.68,1,44.68
MA1A**********246,55.879999999999995,1,55.88
MA1A**********247,41.98,1,41.98
MA1A**********248,53.53,1,53.53
MA1A**********249,48.510000000000005,1,48.51
MA1A**********250,30.92,1,30.92
MA1A**********251,59.88,1,59.88
MA1A**********252,23.57,1,23.57
MA1A**********253,30.03,1,30.03
MA1A**********254,55.65,1,55.65
MA1A**********255,77.73,1,77.73
MA1A**********256,45.93,1,45.93
MA1A**********257,18.759999999999998,1,18.76
MA1A**********258,45.949999999999996,1,45.95
MA1A**********259,32.01,1,32.01
MA1A**********260,72.82,1,72.82
MA1A**********261,30.41,1,30.41
MA1A**********262,37.35,1,37.35
MA1A**********263,42.23,1,42.23
MA1A**********264,26.009999999999998,1,26.01
MA1A**********265,33.46,1,33.46
MA1A**********266,49.73,1,49.73
MA1A**********267,33.16,1,33.16
MA1A**********268,24.78,1,24.78
MA1A**********269,29.02,1,29.02
MA1A**********270,34.49,1,34.49
MA1A**********271,19.68,1,19.68
MA1A**********272,33.81,1,33.81
MA1A**********273,67.05,1,67.05
MA1A**********274,57.32,1,57.32
MA1A**********275,53.019999999999996,1,53.02
MA1A**********276,32.62,1,32.62
MA1A**********277,23.27,1,23.27
MA1A**********278,60.769999999999996,1,60.77
MA1A**********279,16.91,1,16.91
MA1A**********280,65.48,1,65.48
MA1A**********281,56.01,1,56.01
MA1A**********282,44.55,1,44.55
MA1A**********283,28.15,1,28.15
MA1A**********284,28.369999999999997,1,28.37
MA1A**********285,35.55,1,35.55
MA1A**********286,75.16,1,75.16
MA1A**********287,31.150000000000002,1,31.15
MA1A**********288,33.61,1,33.61
MA1A**********289,60.77,1,60.77
MA1A**********290,37.73,1,37.73
MA1A**********291,42.42,1,42.42
MA1A**********292,53.12,1,53.12
MA1A**********293,42.74,1,42.74
MA1A**********294,18.18,1,18.18
MA1A**********295,54.03,1,54.03
MA1A**********296,45.69,1,45.69
MA1A**********297,69.1,1,69.1
MA1A**********298,40.8,1,40.8
MA1A**********299,17.71,1,17.71
MA1A**********300,48.8,1,48.8
MA1A**********301,37.34,1,37.34
MA1A**********302,55.4,1,55.4
MA1A**********303,28.939999999999998,1,28.94
MA1A**********304,27.41,1,27.41
MA1A**********305,38.45,1,38.45
MA1A**********306,16.61,1,16.61
MA1A**********307,51.37,1,51.37
MA1A**********308,71.19,1,71.19
MA1A**********309,57.300000000000004,1,57.3
MA1A**********310,72.01,1,72.01
MA1A**********311,35.480000000000004,1,35.48
MA1A**********312,35.8,1,35.8
MA1A**********313,20.59,1,20.59
MA1A**********314,33.83,1,33.83
MA1A**********315,52.6,1,52.6
MA1A**********316,27.09,1,27.09
MA1A**********317,65.11,1,65.11
MA1A**********318,31.43,1,31.43
MA1A**********319,33.36,1,33.36
MA1A**********320,39.64,1,39.64
MA1A**********321,55.75,1,55.75
MA1A**********322,37.26,1,37.26
MA1A**********323,40.93,1,40.93
MA1A**********324,55.66,1,55.66
MA1A**********325,46.14,1,46.14
MA1A**********326,62.11,1,62.11
MA1A**********327,58.9,1,58.9
MA1A**********328,53.58,1,53.58
MA1A**********329,39.62,1,39.62
MA1A**********330,33.05,1,33.05
MA1A**********331,20.98,1,20.98
MA1A**********332,40.79,1,40.79
MA1A**********333,28.78,1,28.78
MA1A**********334,22.61,1,22.61
MA1A**********335,33.44,1,33.44
MA1A**********336,40.5,1,40.5
MA1A**********337,33.62,1,33.62
MA1A**********338,70.81,1,70.81
MA1A**********339,24.06,1,24.06
MA1A**********340,51.91,1,51.91
MA1A**********341,45.72,1,45.72
MA1A**********342,62.61,1,62.61
MA1A**********343,20.31,1,20.31
MA1A**********344,24.03,1,24.03
MA1A**********345,39.34,1,39.34
MA1A**********346,72.02,1,72.02
MA1A**********347,22.42,1,22.42
MA1A**********348,42.55,1,42.55
MA1A**********349,45.730000000000004,1,45.73
MA1A**********350,46.61,1,46.61
MA1A**********351,7.45,1,7.45
MA1A**********352,46.09,1,46.09
MA1A**********353,35.93,1,35.93
MA1A**********354,57.77,1,57.77
MA1A**********355,50.52,1,50.52
MA1A**********356,46.05,1,46.05
MA1A**********357,32.35,1,32.35
MA1A**********358,60.93,1,60.93
MA1A**********359,45.269999999999996,1,45.27
MA1A**********360,76.17999999999999,1,76.18
MA1A**********361,26.12,1,26.12
MA1A**********362,64.82,1,64.82
MA1A**********363,38.11,1,38.11
MA1A**********364,21.990000000000002,1,21.99
MA1A**********365,51.28,1,51.28
MA1A**********366,37.9,1,37.9
MA1A**********367,38.41,1,38.41
MA1A**********368,39.82,1,39.82
MA1A**********369,47.25,1,47.25
MA1A**********370,65.1,1,65.1
MA1A**********371,45.94,1,45.94
MA1A**********372,46.33,1,46.33
MA1A**********373,60.519999999999996,1,60.52
MA1A**********374,36.11,1,36.11
MA1A**********375,40.39,1,40.39
MA1A**********376,46.47,1,46.47
MA1A**********377,53.11,1,53.11
MA1A**********378,31.63,1,31.63
MA1A**********379,81.12,1,81.12
MA1A**********380,37.61,1,37.61
MA1A**********381,63.79,1,63.79
MA1A**********382,26.55,1,26.55
MA1A**********383,29.220000000000002,1,29.22
MA1A**********384,39.68,1,39.68
MA1A**********385,29.57,1,29.57
MA1A**********386,27.41,1,27.41
MA1A**********387,62.65,1,62.65
MA1A**********388,34.26,1,34.26
MA1A**********389,63.519999999999996,1,63.52
MA1A**********390,25.37,1,25.37
MA1A**********391,15.23,1,15.23
MA1A**********392,37.6,1,37.6
MA1A**********393,58.73,1,58.73
MA1A**********394,14.61,1,14.61
MA1A**********395,69.3,1,69.3
MA1A**********396,37.7,1,37.7
MA1A**********397,23.94,1,23.94
MA1A**********398,43.64,1,43.64
MA1A**********399,46.2,1,46.2
MA1A**********400,32.38,1,32.38
MA1A**********401,17.79,1,17.79
MA1A**********402,24.990000000000002,1,24.99
MA1A**********403,59.94,1,59.94
MA1A**********404,35.63,1,35.63
MA1A**********405,37.769999999999996,1,37.77
MA1A**********406,43.76,1,43.76
MA1A**********407,35.06,1,35.06
MA1A**********408,25.47,1,25.47
MA1A**********409,31.14,1,31.14
MA1A**********410,25.4,1,25.4
MA1A**********411,23.05,1,23.05
MA1A**********412,29.21,1,29.21
MA1A**********413,46.36,1,46.36
MA1A**********414,40.09,1,40.09
MA1A**********415,68.61,1,68.61
MA1A**********416,46.59,1,46.59
MA1A**********417,40.45,1,40.45
MA1A**********418,40.95,1,40.95
MA1A**********419,48.55,1,48.55
MA1A**********420,54.56,1,54.56
MA1A**********421,82.53,1,82.53
MA1A**********422,52.21,1,52.21
MA1A**********423,46.51,1,46.51
MA1A**********424,51.59,1,51.59
MA1A**********425,88.36,1,88.36
MA1A**********426,49.08,1,49.08
MA1A**********427,26.83,1,26.83
MA1A**********428,44.05,1,44.05
MA1A**********429,41.660000000000004,1,41.66
MA1A**********430,42.05,1,42.05
MA1A**********431,62.78,1,62.78
MA1A**********432,43.22,1,43.22
MA1A**********433,17.41,1,17.41
MA1A**********434,34.47,1,34.47
MA1A**********435,39.5,1,39.5
MA1A**********436,39.75,1,39.75
MA1A**********437,44.980000000000004,1,44.98
MA1A**********438,34.11,1,34.11
MA1A**********439,48.89,1,48.89
MA1A**********440,37.5,1,37.5
MA1A**********441,32.75,1,32.75
MA1A**********442,41.81,1,41.81
MA1A**********443,26.6,1,26.6
MA1A**********444,48.79,1,48.79
MA1A**********445,57.73,1,57.73
MA1A**********446,34.3,1,34.3
MA1A**********447,35.17,1,35.17
MA1A**********448,54.3,1,54.3
MA1A**********449,42.36,1,42.36
MA1A**********450,21.35,1,21.35
MA1A**********451,49.06,1,49.06
MA1A**********452,49.769999999999996,1,49.77
MA1A**********453,44.13,1,44.13
MA1A**********454,40.54,1,40.54
MA1A**********455,63.7,1,63.7
MA1A**********456,6.1899999999999995,1,6.19
MA1A**********457,32.13,1,32.13
MA1A**********458,61.41,1,61.41
MA1A**********459,41.62,1,41.62
MA1A**********460,34.56,1,34.56
MA1A**********461,69.36,1,69.36
MA1A**********462,53.62,1,53.62
MA1A**********463,38.29,1,38.29
MA1A**********464,28.3,1,28.3
MA1A**********465,42.34,1,42.34
MA1A**********466,41.86,1,41.86
MA1A**********467,25.810000000000002,1,25.81
MA1A**********468,61.62,1,61.62
MA1A**********469,18.29,1,18.29
MA1A**********470,56.39,1,56.39
MA1A**********471,38.0,1,38.0
MA1A**********472,64.9,1,64.9
MA1A**********473,44.34,1,44.34
MA1A**********474,62.66,1,62.66
MA1A**********475,43.839999999999996,1,43.84
MA1A**********476,49.24,1,49.24
MA1A**********477,25.409999999999997,1,25.41
MA1A**********478,50.75,1,50.75
MA1A**********479,45.35,1,45.35
MA1A**********480,26.759999999999998,1,26.76
MA1A**********481,38.03,1,38.03
MA1A**********482,50.910000000000004,1,50.91
MA1A**********483,48.63,1,48.63
MA1A**********484,53.7,1,53.7
MA1A**********485,24.12,1,24.12
MA1A**********486,40.93,1,40.93
MA1A**********487,63.07,1,63.07
MA1A**********488,78.23,1,78.23
MA1A**********489,73.37,1,73.37
MA1A**********490,41.06,1,41.06
MA1A**********491,10.18,1,10.18
MA1A**********492,36.19,1,36.19
MA1A**********493,48.31,1,48.31
MA1A**********494,35.0,1,35.0
MA1A**********495,34.199999999999996,1,34.2
MA1A**********496,21.48,1,21.48
MA1A**********497,24.03,1,24.03
MA1A**********498,48.29,1,48.29
MA1A**********499,37.14,1,37.14
MA1A**********500,36.85,1,36.85
MA1A**********501,68.29,1,68.29
MA1A**********502,21.87,1,21.87
MA1A**********503,43.74,1,43.74
MA1A**********504,48.61,1,48.61
MA1A**********505,53.88,1,53.88
MA1A**********506,36.68,1,36.68
MA1A**********507,43.3,1,43.3
MA1A**********508,31.15,1,31.15
MA1A**********509,87.37,1,87.37
MA1A**********510,13.29,1,13.29
MA1A**********511,56.08,1,56.08
MA1A**********512,30.89,1,30.89
MA1A**********513,56.78,1,56.78
MA1A**********514,39.36,1,39.36
MA1A**********515,13.6,1,13.6
MA1A**********516,59.15,1,59.15
MA1A**********517,50.589999999999996,1,50.59
MA1A**********518,33.3,1,33.3
MA1A**********519,43.56,1,43.56
MA1A**********520,35.51,1,35.51
MA1A**********521,48.97,1,48.97
MA1A**********522,37.07,1,37.07
MA1A**********523,69.97,1,69.97
MA1A**********524,36.01,1,36.01
MA1A**********525,38.67,1,38.67
MA1A**********526,56.79,1,56.79
MA1A**********527,51.58,1,51.58
MA1A**********528,39.04,1,39.04
MA1A**********529,44.56,1,44.56
MA1A**********530,24.36,1,24.36
MA1A**********531,38.82,1,38.82
MA1A**********532,43.11,1,43.11
MA1A**********533,71.89,1,71.89
MA1A**********534,29.01,1,29.01
MA1A**********535,67.07000000000001,1,67.07
MA1A**********536,54.370000000000005,1,54.37
MA1A**********537,70.28,1,70.28
MA1A**********538,55.98,1,55.98
MA1A**********539,23.05,1,23.05
MA1A**********540,61.879999999999995,1,61.88
MA1A**********541,27.21,1,27.21
MA1A**********542,21.88,1,21.88
MA1A**********543,40.83,1,40.83
MA1A**********544,26.13,1,26.13
MA1A**********545,47.64,1,47.64
MA1A**********546,35.47,1,35.47
MA1A**********547,31.689999999999998,1,31.69
MA1A**********548,42.160000000000004,1,42.16
MA1A**********549,44.19,1,44.19
MA1A**********550,60.35,1,60.35
MA1A**********551,67.67,1,67.67
MA1A**********552,43.93,1,43.93
MA1A**********553,52.4,1,52.4
MA1A**********554,29.09,1,29.09
MA1A**********555,40.67,1,40.67
MA1A**********556,13.370000000000001,1,13.37
MA1A**********557,37.11,1,37.11
MA1A**********558,34.43,1,34.43
MA1A**********559,57.43,1,57.43
MA1A**********560,18.02,1,18.02
MA1A**********561,49.19,1,49.19
MA1A**********562,39.79,1,39.79
MA1A**********563,58.78,1,58.78
MA1A**********564,51.02,1,51.02
MA1A**********565,53.86,1,53.86
MA1A**********566,30.1,1,30.1
MA1A**********567,65.26,1,65.26
MA1A**********568,37.06,1,37.06
MA1A**********569,45.519999999999996,1,45.52
MA1A**********570,50.93,1,50.93
MA1A**********571,48.63,1,48.63
MA1A**********572,62.160000000000004,1,62.16
MA1A**********573,40.05,1,40.05
MA1A**********574,35.84,1,35.84
MA1A**********575,39.14,1,39.14
MA1A**********576,60.93,1,60.93
MA1A**********577,84.92999999999999,1,84.93
MA1A**********578,36.980000000000004,1,36.98
MA1A**********579,58.34,1,58.34
MA1A**********580,19.77,1,19.77
MA1A**********581,34.56,1,34.56
MA1A**********582,49.99,1,49.99
MA1A**********583,55.62,1,55.62
MA1A**********584,70.71,1,70.71
MA1A**********585,23.34,1,23.34
MA1A**********586,77.99,1,77.99
MA1A**********587,37.68,1,37.68
MA1A**********588,43.43,1,43.43
MA1A**********589,76.47,1,76.47
MA1A**********590,45.7,1,45.7
MA1A**********591,50.43,1,50.43
MA1A**********592,51.71,1,51.71
MA1A**********593,44.34,1,44.34
MA1A**********594,40.75,1,40.75
MA1A**********595,37.11,1,37.11
MA1A**********596,27.79,1,27.79
MA1A**********597,41.129999999999995,1,41.13
MA1A**********598,43.239999999999995,1,43.24
MA1A**********599,36.97,1,36.97
MA1A**********600,31.2,1,31.2
MA1A**********601,36.94,1,36.94
MA1A**********602,44.98,1,44.98
MA1A**********603,35.160000000000004,1,35.16
MA1A**********604,60.01,1,60.01
MA1A**********605,20.14,1,20.14
MA1A**********606,11.81,1,11.81
MA1A**********607,37.91,1,37.91
MA1A**********608,18.32,1,18.32
MA1A**********609,13.22,1,13.22
MA1A**********610,34.32,1,34.32
MA1A**********611,27.3,1,27.3
MA1A**********612,38.65,1,38.65
MA1A**********613,42.0,1,42.0
MA1A**********614,35.14,1,35.14
MA1A**********615,65.32,1,65.32
MA1A**********616,19.71,1,19.71
MA1A**********617,58.55,1,58.55
MA1A**********618,43.41,1,43.41
MA1A**********619,49.910000000000004,1,49.91
MA1A**********620,42.39,1,42.39
MA1A**********621,71.51,1,71.51
MA1A**********622,37.07,1,37.07
MA1A**********623,50.86,1,50.86
MA1A**********624,40.47,1,40.47
MA1A**********625,42.86,1,42.86
MA1A**********626,35.06,1,35.06
MA1A**********627,27.87,1,27.87
MA1A**********628,25.689999999999998,1,25.69
MA1A**********629,60.68,1,60.68
MA1A**********630,24.65,1,24.65
MA1A**********631,49.25,1,49.25
MA1A**********632,21.62,1,21.62
MA1A**********633,52.91,1,52.91
MA1A**********634,62.08,1,62.08
MA1A**********635,28.63,1,28.63
MA1A**********636,46.01,1,46.01
MA1A**********637,47.24,1,47.24
MA1A**********638,38.8,1,38.8
MA1A**********639,60.69,1,60.69
MA1A**********640,34.37,1,34.37
MA1A**********641,55.31,1,55.31
MA1A**********642,45.22,1,45.22
MA1A**********643,38.83,1,38.83
MA1A**********644,42.64,1,42.64
MA1A**********645,18.03,1,18.03
MA1A**********646,37.18,1,37.18
MA1A**********647,67.59,1,67.59
MA1A**********648,52.01,1,52.01
MA1A**********649,64.6,1,64.6
MA1A**********650,36.6,1,36.6
MA1A**********651,16.08,1,16.08
MA1A**********652,44.22,1,44.22
MA1A**********653,46.519999999999996,1,46.52
MA1A**********654,38.78,1,38.78
MA1A**********655,40.4,1,40.4
MA1A**********656,56.42,1,56.42
MA1A**********657,34.17,1,34.17
MA1A**********658,70.28999999999999,1,70.29
MA1A**********659,63.69,1,63.69
MA1A**********660,27.97,1,27.97
MA1A**********661,74.1,1,74.1
MA1A**********662,25.93,1,25.93
MA1A**********663,28.9,1,28.9
MA1A**********664,45.480000000000004,1,45.48
MA1A**********665,20.15,1,20.15
MA1A**********666,6.63,1,6.63
MA1A**********667,54.38,1,54.38
MA1A**********668,40.2,1,40.2
MA1A**********669,54.86,1,54.86
MA1A**********670,59.37,1,59.37
MA1A**********671,41.94,1,41.94
MA1A**********672,35.27,1,35.27
MA1A**********673,26.21,1,26.21
MA1A**********674,38.77,1,38.77
MA1A**********675,29.9,1,29.9
MA1A**********676,42.93,1,42.93
MA1A**********677,69.21,1,69.21
MA1A**********678,48.74,1,48.74
MA1A**********679,47.9,1,47.9
MA1A**********680,59.97,1,59.97
MA1A**********681,49.32,1,49.32
MA1A**********682,53.58,1,53.58
MA1A**********683,32.61,1,32.61
MA1A**********684,33.49,1,33.49
MA1A**********685,25.939999999999998,1,25.94
MA1A**********686,64.98,1,64.98
MA1A**********687,42.019999999999996,1,42.02
MA1A**********688,32.78,1,32.78
MA1A**********689,54.9,1,54.9
MA1A**********690,36.45,1,36.45
MA1A**********691,26.72,1,26.72
MA1A**********692,53.89,1,53.89
MA1A**********693,44.42,1,44.42
MA1A**********694,48.1,1,48.1
MA1A**********695,32.699999999999996,1,32.7
MA1A**********696,52.2,1,52.2
MA1A**********697,51.15,1,51.15
MA1A**********698,23.759999999999998,1,23.76
MA1A**********699,42.51,1,42.51
MA1A**********700,31.09,1,31.09
MA1A**********701,38.64,1,38.64
MA1A**********702,67.74,1,67.74
MA1A**********703,55.95,1,55.95
MA1A**********704,55.0,1,55.0
MA1A**********705,36.55,1,36.55
MA1A**********706,45.03,1,45.03
MA1A**********707,42.61,1,42.61
MA1A**********708,71.74000000000001,1,71.74
MA1A**********709,75.19,1,75.19
MA1A**********710,53.339999999999996,1,53.34
MA1A**********711,46.5,1,46.5
MA1A**********712,54.26,1,54.26
MA1A**********713,34.65,1,34.65
MA1A**********714,87.37,1,87.37
MA1A**********715,44.2,1,44.2
MA1A**********716,40.35,1,40.35
MA1A**********717,51.05,1,51.05
MA1A**********718,30.47,1,30.47
MA1A**********719,66.9,1,66.9
MA1A**********720,45.47,1,45.47
MA1A**********721,40.3,1,40.3
MA1A**********722,61.51,1,61.51
MA1A**********723,40.52,1,40.52
MA1A**********724,36.39,1,36.39
MA1A**********725,56.410000000000004,1,56.41
MA1A**********726,45.6,1,45.6
MA1A**********727,55.57,1,55.57
MA1A**********728,41.59,1,41.59
MA1A**********729,18.41,1,18.41
MA1A**********730,31.87,1,31.87
MA1A**********731,38.28,1,38.28
MA1A**********732,73.43,1,73.43
MA1A**********733,28.119999999999997,1,28.12
MA1A**********734,48.34,1,48.34
MA1A**********735,54.68,1,54.68
MA1A**********736,53.44,1,53.44
MA1A**********737,37.15,1,37.15
MA1A**********738,23.79,1,23.79
MA1A**********739,21.89,1,21.89
MA1A**********740,13.370000000000001,1,13.37
MA1A**********741,40.93,1,40.93
MA1A**********742,60.07,1,60.07
MA1A**********743,27.78,1,27.78
MA1A**********744,54.01,1,54.01
MA1A**********745,43.43,1,43.43
MA1A**********746,54.019999999999996,1,54.02
MA1A**********747,53.43,1,53.43
MA1A**********748,35.66,1,35.66
MA1A**********749,37.97,1,37.97
MA1A**********750,53.480000000000004,1,53.48
MA1A**********751,35.32,1,35.32
MA1A**********752,37.55,1,37.55
MA1A**********753,24.49,1,24.49
MA1A**********754,51.8,1,51.8
