Work_Order,VIN,Model,Production_Date,Planned_Qty,Actual_Qty,Status,Priority,Plant,Supervisor_ID
WO10022,MA1AB100000000022,Sedan X,2026-03-23,81,66,Completed,High,Plant-C,SUPV010
WO10023,MA1AB100000000023,SUV Pro,2026-03-24,111,115,Completed,Low,Plant-C,SUPV003
WO10024,MA1AB100000000024,Hatch Z,2026-03-25,194,194,Planned,High,Plant-B,SUPV014
WO10025,MA1AB100000000025,EV Prime,2026-03-26,140,134,In Progress,High,Plant-C,SUPV004
WO10026,MA1AB100000000026,EV Prime,2026-03-27,168,173,Planned,Medium,Plant-C,SUPV017
WO10027,MA1AB100000000027,Hatch Z,2026-03-28,66,76,Delayed,Low,Plant-A,SUPV025
WO10028,MA1AB100000000028,Hatch Z,2026-03-29,112,108,In Progress,Medium,Plant-A,SUPV019
WO10029,MA1AB100000000029,EV Prime,2026-03-30,75,81,Delayed,Medium,Plant-C,SUPV018
WO10030,MA1AB100000000030,SUV Pro,2026-03-31,56,58,Completed,High,Plant-B,SUPV018
WO10031,MA1AB100000000031,Sedan X,2026-04-01,173,170,Planned,Low,Plant-C,SUPV019
WO10032,MA1AB100000000032,Hatch Z,2026-04-02,172,174,Completed,Medium,Plant-C,SUPV007
WO10033,MA1AB100000000033,Hatch Z,2026-04-03,73,61,Delayed,Medium,Plant-C,SUPV012
WO10034,MA1AB100000000034,EV Prime,2026-04-04,77,64,Completed,High,Plant-B,SUPV019
WO10035,MA1AB100000000035,Hatch Z,2026-04-05,64,61,Completed,High,Plant-B,SUPV007
WO10036,MA1AB100000000036,Hatch Z,2026-04-06,169,175,Delayed,Medium,Plant-B,SUPV022
WO10037,MA1AB100000000037,EV Prime,2026-04-07,64,53,Planned,High,Plant-B,SUPV015
WO10038,MA1AB100000000038,Hatch Z,2026-04-08,183,182,Completed,High,Plant-B,SUPV004
WO10039,MA1AB100000000039,Hatch Z,2026-04-09,93,91,Delayed,Medium,Plant-A,SUPV017
WO10040,MA1AB100000000040,Hatch Z,2026-04-10,195,196,Completed,Low,Plant-A,SUPV020
WO10041,MA1AB100000000041,EV Prime,2026-04-11,147,151,In Progress,Low,Plant-C,SUPV013
WO10042,MA1AB100000000042,SUV Pro,2026-04-12,60,50,Planned,Medium,Plant-B,SUPV002
WO10043,MA1AB100000000043,SUV Pro,2026-04-13,107,106,Delayed,High,Plant-C,SUPV005
WO10044,MA1AB100000000044,EV Prime,2026-04-14,68,70,Planned,Medium,Plant-B,SUPV024
WO10045,MA1AB100000000045,Hatch Z,2026-04-15,166,171,Planned,Low,Plant-B,SUPV004
WO10046,MA1AB100000000046,EV Prime,2026-04-16,72,82,Delayed,Low,Plant-A,SUPV020
WO10047,MA1AB100000000047,EV Prime,2026-04-17,94,100,Delayed,Medium,Plant-C,SUPV003
WO10048,MA1AB100000000048,Hatch Z,2026-04-18,151,152,Delayed,Low,Plant-A,SUPV011
WO10049,MA1AB100000000049,SUV Pro,2026-04-19,151,138,Delayed,Medium,Plant-C,SUPV021
WO10050,MA1AB100000000050,EV Prime,2026-04-20,76,69,Planned,Medium,Plant-A,SUPV013
WO10051,MA1AB100000000051,SUV Pro,2026-04-21,70,74,In Progress,Low,Plant-B,SUPV023
WO10052,MA1AB100000000052,Sedan X,2026-04-22,128,129,Planned,Medium,Plant-C,SUPV006
WO10053,MA1AB100000000053,SUV Pro,2026-04-23,174,181,Delayed,Low,Plant-B,SUPV001
WO10054,MA1AB100000000054,SUV Pro,2026-04-24,200,197,Completed,High,Plant-B,SUPV003
WO10055,MA1AB100000000055,Sedan X,2026-04-25,90,93,In Progress,High,Plant-A,SUPV005
WO10056,MA1AB100000000056,SUV Pro,2026-04-26,181,171,Planned,High,Plant-A,SUPV019
WO10057,MA1AB100000000057,Sedan X,2026-04-27,150,146,Delayed,Medium,Plant-C,SUPV021
WO10058,MA1AB100000000058,Hatch Z,2026-04-28,106,112,Planned,Low,Plant-B,SUPV004
WO10059,MA1AB100000000059,SUV Pro,2026-04-29,59,50,Completed,High,Plant-B,SUPV025
WO10060,MA1AB100000000060,Hatch Z,2026-04-30,159,160,Delayed,Low,Plant-B,SUPV014
WO10061,MA1AB100000000061,EV Prime,2026-05-01,155,163,Planned,High,Plant-B,SUPV002
WO10062,MA1AB100000000062,EV Prime,2026-05-02,159,147,Planned,High,Plant-B,SUPV014
WO10063,MA1AB100000000063,SUV Pro,2026-05-03,65,60,Delayed,Medium,Plant-C,SUPV017
WO10064,MA1AB100000000064,Sedan X,2026-05-04,171,178,In Progress,High,Plant-C,SUPV001
WO10065,MA1AB100000000065,Hatch Z,2026-05-05,188,188,In Progress,Low,Plant-A,SUPV025
WO10066,MA1AB100000000066,Sedan X,2026-05-06,124,111,Completed,High,Plant-C,SUPV020
WO10067,MA1AB100000000067,Hatch Z,2026-05-07,51,44,In Progress,Low,Plant-A,SUPV012
WO10068,MA1AB100000000068,SUV Pro,2026-05-08,144,133,Delayed,Low,Plant-A,SUPV024
WO10069,MA1AB100000000069,Hatch Z,2026-05-09,127,131,Delayed,High,Plant-B,SUPV014
WO10070,MA1AB100000000070,EV Prime,2026-05-10,138,147,Completed,High,Plant-C,SUPV019
WO10071,MA1AB100000000071,Hatch Z,2026-05-11,175,167,Delayed,High,Plant-A,SUPV013
WO10072,MA1AB100000000072,EV Prime,2026-05-12,98,107,Completed,Low,Plant-A,SUPV012
WO10073,MA1AB100000000073,Sedan X,2026-05-13,136,135,Planned,Medium,Plant-B,SUPV003
WO10074,MA1AB100000000074,SUV Pro,2026-05-14,91,82,Delayed,Medium,Plant-A,SUPV010
WO10075,MA1AB100000000075,Sedan X,2026-05-15,51,39,Completed,Low,Plant-A,SUPV018
WO10076,MA1AB100000000076,SUV Pro,2026-05-16,145,145,Completed,Medium,Plant-A,SUPV022
WO10077,MA1AB100000000077,Hatch Z,2026-05-17,200,198,Completed,High,Plant-A,SUPV001
WO10078,MA1AB100000000078,Sedan X,2026-05-18,129,139,In Progress,Low,Plant-C,SUPV001
WO10079,MA1AB100000000079,Sedan X,2026-05-19,58,60,Delayed,Medium,Plant-A,SUPV003
WO10080,MA1AB100000000080,EV Prime,2026-05-20,120,126,Completed,High,Plant-A,SUPV010
WO10081,MA1AB100000000081,EV Prime,2026-05-21,129,115,Delayed,Medium,Plant-C,SUPV024
WO10082,MA1AB100000000082,Sedan X,2026-05-22,135,143,Completed,Medium,Plant-B,SUPV004
WO10083,MA1AB100000000083,SUV Pro,2026-05-23,146,143,Completed,High,Plant-A,SUPV019
WO10084,MA1AB100000000084,SUV Pro,2026-05-24,197,207,In Progress,Low,Plant-A,SUPV003
WO10085,MA1AB100000000085,EV Prime,2026-05-25,51,49,Delayed,Low,Plant-B,SUPV019
WO10086,MA1AB100000000086,EV Prime,2026-05-26,82,71,Delayed,Medium,Plant-C,SUPV021
WO10087,MA1AB100000000087,Sedan X,2026-05-27,87,74,In Progress,Low,Plant-C,SUPV005
WO10088,MA1AB100000000088,SUV Pro,2026-05-28,68,53,Planned,Low,Plant-A,SUPV020
WO10089,MA1AB100000000089,EV Prime,2026-05-29,124,127,Delayed,Low,Plant-C,SUPV001
WO10090,MA1AB100000000090,SUV Pro,2026-03-01,92,102,In Progress,High,Plant-A,SUPV010
WO10091,MA1AB100000000091,EV Prime,2026-03-02,173,183,Delayed,Low,Plant-B,SUPV014
WO10092,MA1AB100000000092,SUV Pro,2026-03-03,165,169,Planned,Medium,Plant-B,SUPV016
WO10093,MA1AB100000000093,Hatch Z,2026-03-04,154,149,Completed,Medium,Plant-B,SUPV013
WO10094,MA1AB100000000094,Hatch Z,2026-03-05,59,63,In Progress,Medium,Plant-B,SUPV004
WO10095,MA1AB100000000095,Sedan X,2026-03-06,77,80,Completed,Low,Plant-B,SUPV022
WO10096,MA1AB100000000096,SUV Pro,2026-03-07,196,205,Planned,Medium,Plant-B,SUPV006
WO10097,MA1AB100000000097,EV Prime,2026-03-08,60,70,Delayed,Low,Plant-B,SUPV005
WO10098,MA1AB100000000098,Hatch Z,2026-03-09,118,111,Delayed,Low,Plant-A,SUPV007
WO10099,MA1AB100000000099,SUV Pro,2026-03-10,95,99,Completed,Low,Plant-A,SUPV015
WO10100,MA1AB100000000100,SUV Pro,2026-03-11,185,180,Completed,High,Plant-A,SUPV006
WO10101,MA1AB100000000101,Hatch Z,2026-03-12,194,186,In Progress,Low,Plant-A,SUPV002
WO10102,MA1AB100000000102,SUV Pro,2026-03-13,143,140,Delayed,Low,Plant-C,SUPV024
WO10103,MA1AB100000000103,EV Prime,2026-03-14,93,84,Planned,Medium,Plant-B,SUPV018
WO10104,MA1AB100000000104,Hatch Z,2026-03-15,188,175,Planned,High,Plant-C,SUPV017
WO10105,MA1AB100000000105,SUV Pro,2026-03-16,198,204,Completed,Low,Plant-B,SUPV004
WO10106,MA1AB100000000106,Hatch Z,2026-03-17,115,117,Planned,Medium,Plant-B,SUPV021
WO10107,MA1AB100000000107,Hatch Z,2026-03-18,186,178,Completed,Low,Plant-C,SUPV023
WO10108,MA1AB100000000108,Sedan X,2026-03-19,132,135,In Progress,Medium,Plant-B,SUPV025
WO10109,MA1AB100000000109,Sedan X,2026-03-20,133,142,In Progress,Low,Plant-A,SUPV009
WO10110,MA1AB100000000110,Sedan X,2026-03-21,137,130,Completed,High,Plant-A,SUPV025
WO10111,MA1AB100000000111,SUV Pro,2026-03-22,119,123,In Progress,Low,Plant-B,SUPV016
WO10112,MA1AB100000000112,Sedan X,2026-03-23,69,66,In Progress,High,Plant-B,SUPV010
WO10113,MA1AB100000000113,SUV Pro,2026-03-24,106,104,Planned,High,Plant-C,SUPV021
WO10114,MA1AB100000000114,Sedan X,2026-03-25,107,109,Delayed,Medium,Plant-B,SUPV012
WO10115,MA1AB100000000115,Hatch Z,2026-03-26,80,67,Delayed,High,Plant-A,SUPV021
WO10116,MA1AB100000000116,Hatch Z,2026-03-27,72,74,Delayed,High,Plant-A,SUPV011
WO10117,MA1AB100000000117,EV Prime,2026-03-28,128,138,Completed,Low,Plant-A,SUPV003
WO10118,MA1AB100000000118,SUV Pro,2026-03-29,115,114,Delayed,Medium,Plant-B,SUPV014
WO10119,MA1AB100000000119,Hatch Z,2026-03-30,182,174,In Progress,Low,Plant-A,SUPV007
WO10120,MA1AB100000000120,Sedan X,2026-03-31,111,120,Planned,Low,Plant-C,SUPV017
WO10121,MA1AB100000000121,Hatch Z,2026-04-01,116,124,In Progress,Medium,Plant-C,SUPV020
WO10122,MA1AB100000000122,SUV Pro,2026-04-02,193,188,Completed,Medium,Plant-A,SUPV006
WO10123,MA1AB100000000123,Sedan X,2026-04-03,176,163,Delayed,Medium,Plant-C,SUPV015
WO10124,MA1AB100000000124,Sedan X,2026-04-04,125,129,Delayed,Low,Plant-B,SUPV011
WO10125,MA1AB100000000125,SUV Pro,2026-04-05,122,129,Delayed,High,Plant-B,SUPV020
WO10126,MA1AB100000000126,EV Prime,2026-04-06,147,142,Completed,High,Plant-A,SUPV006
WO10127,MA1AB100000000127,Hatch Z,2026-04-07,142,134,Planned,High,Plant-C,SUPV019
WO10128,MA1AB100000000128,Hatch Z,2026-04-08,171,156,Planned,Low,Plant-B,SUPV009
WO10129,MA1AB100000000129,SUV Pro,2026-04-09,191,189,Delayed,Medium,Plant-A,SUPV003
WO10130,MA1AB100000000130,EV Prime,2026-04-10,83,91,Delayed,High,Plant-A,SUPV002
WO10131,MA1AB100000000131,EV Prime,2026-04-11,152,158,Planned,Low,Plant-A,SUPV018
WO10132,MA1AB100000000132,EV Prime,2026-04-12,164,166,In Progress,High,Plant-A,SUPV009
WO10133,MA1AB100000000133,EV Prime,2026-04-13,131,122,Completed,Medium,Plant-B,SUPV011
WO10134,MA1AB100000000134,SUV Pro,2026-04-14,184,172,Completed,High,Plant-A,SUPV005
WO10135,MA1AB100000000135,EV Prime,2026-04-15,112,119,Planned,Medium,Plant-C,SUPV018
WO10136,MA1AB100000000136,Sedan X,2026-04-16,105,100,Completed,Low,Plant-A,SUPV009
WO10137,MA1AB100000000137,SUV Pro,2026-04-17,142,131,Planned,High,Plant-A,SUPV025
WO10138,MA1AB100000000138,Sedan X,2026-04-18,180,170,Completed,High,Plant-B,SUPV006
WO10139,MA1AB100000000139,Hatch Z,2026-04-19,72,71,Planned,Medium,Plant-A,SUPV019
WO10140,MA1AB100000000140,SUV Pro,2026-04-20,176,180,In Progress,High,Plant-C,SUPV018
WO10141,MA1AB100000000141,Hatch Z,2026-04-21,111,115,Completed,Low,Plant-C,SUPV015
WO10142,MA1AB100000000142,SUV Pro,2026-04-22,56,50,Planned,Medium,Plant-A,SUPV009
WO10143,MA1AB100000000143,EV Prime,2026-04-23,174,165,Planned,Medium,Plant-C,SUPV008
WO10144,MA1AB100000000144,SUV Pro,2026-04-24,152,153,In Progress,High,Plant-C,SUPV002
WO10145,MA1AB100000000145,EV Prime,2026-04-25,105,100,Completed,Low,Plant-B,SUPV021
WO10146,MA1AB100000000146,SUV Pro,2026-04-26,73,67,Planned,Low,Plant-B,SUPV010
WO10147,MA1AB100000000147,EV Prime,2026-04-27,110,104,In Progress,High,Plant-C,SUPV010
WO10148,MA1AB100000000148,Hatch Z,2026-04-28,167,161,Planned,Medium,Plant-A,SUPV022
WO10149,MA1AB100000000149,EV Prime,2026-04-29,67,71,Delayed,High,Plant-B,SUPV013
WO10150,MA1AB100000000150,EV Prime,2026-04-30,188,180,Delayed,Low,Plant-A,SUPV009
WO10151,MA1AB100000000151,Hatch Z,2026-05-01,152,147,Planned,Medium,Plant-B,SUPV005
WO10152,MA1AB100000000152,EV Prime,2026-05-02,72,80,In Progress,High,Plant-A,SUPV009
WO10153,MA1AB100000000153,Hatch Z,2026-05-03,188,173,Delayed,Low,Plant-B,SUPV023
WO10154,MA1AB100000000154,Sedan X,2026-05-04,100,93,Planned,High,Plant-A,SUPV020
WO10155,MA1AB100000000155,Sedan X,2026-05-05,140,136,Delayed,Medium,Plant-B,SUPV025
WO10156,MA1AB100000000156,Sedan X,2026-05-06,144,135,Completed,Medium,Plant-A,SUPV022
WO10157,MA1AB100000000157,Hatch Z,2026-05-07,77,78,In Progress,Medium,Plant-B,SUPV024
WO10158,MA1AB100000000158,Hatch Z,2026-05-08,101,102,In Progress,High,Plant-B,SUPV005
WO10159,MA1AB100000000159,Sedan X,2026-05-09,121,121,Completed,Low,Plant-B,SUPV005
WO10160,MA1AB100000000160,SUV Pro,2026-05-10,150,156,In Progress,High,Plant-A,SUPV010
WO10161,MA1AB100000000161,EV Prime,2026-05-11,182,171,Completed,High,Plant-A,SUPV022
WO10162,MA1AB100000000162,SUV Pro,2026-05-12,192,184,Planned,High,Plant-B,SUPV013
WO10163,MA1AB100000000163,Hatch Z,2026-05-13,127,134,Planned,Medium,Plant-B,SUPV014
WO10164,MA1AB100000000164,Hatch Z,2026-05-14,74,61,Completed,Low,Plant-A,SUPV019
WO10165,MA1AB100000000165,EV Prime,2026-05-15,85,77,In Progress,High,Plant-C,SUPV006
WO10166,MA1AB100000000166,Hatch Z,2026-05-16,56,59,In Progress,Low,Plant-B,SUPV008
WO10167,MA1AB100000000167,Hatch Z,2026-05-17,112,112,In Progress,Medium,Plant-A,SUPV015
WO10168,MA1AB100000000168,EV Prime,2026-05-18,106,92,Delayed,High,Plant-B,SUPV025
WO10169,MA1AB100000000169,Sedan X,2026-05-19,54,52,Delayed,High,Plant-B,SUPV007
WO10170,MA1AB100000000170,EV Prime,2026-05-20,50,42,Planned,Low,Plant-B,SUPV016
WO10171,MA1AB100000000171,EV Prime,2026-05-21,130,124,In Progress,Low,Plant-A,SUPV007
WO10172,MA1AB100000000172,EV Prime,2026-05-22,105,114,Delayed,Medium,Plant-B,SUPV018
WO10173,MA1AB100000000173,EV Prime,2026-05-23,152,141,Completed,High,Plant-C,SUPV017
WO10174,MA1AB100000000174,Sedan X,2026-05-24,136,138,Completed,Low,Plant-B,SUPV009
WO10175,MA1AB100000000175,SUV Pro,2026-05-25,89,75,Planned,Low,Plant-B,SUPV023
WO10176,MA1AB100000000176,Hatch Z,2026-05-26,116,106,Completed,High,Plant-C,SUPV019
WO10177,MA1AB100000000177,SUV Pro,2026-05-27,191,201,In Progress,High,Plant-A,SUPV012
WO10178,MA1AB100000000178,SUV Pro,2026-05-28,63,52,Delayed,Low,Plant-C,SUPV009
WO10179,MA1AB100000000179,SUV Pro,2026-05-29,183,170,In Progress,Medium,Plant-B,SUPV017
WO10180,MA1AB100000000180,Hatch Z,2026-03-01,117,105,Completed,High,Plant-C,SUPV018
WO10181,MA1AB100000000181,Hatch Z,2026-03-02,121,123,Delayed,Low,Plant-C,SUPV015
WO10182,MA1AB100000000182,SUV Pro,2026-03-03,88,84,In Progress,High,Plant-A,SUPV002
WO10183,MA1AB100000000183,SUV Pro,2026-03-04,148,148,In Progress,Low,Plant-C,SUPV012
WO10184,MA1AB100000000184,SUV Pro,2026-03-05,64,66,In Progress,Medium,Plant-B,SUPV014
WO10185,MA1AB100000000185,EV Prime,2026-03-06,64,71,In Progress,Low,Plant-C,SUPV011
WO10186,MA1AB100000000186,EV Prime,2026-03-07,180,172,Delayed,High,Plant-C,SUPV006
WO10187,MA1AB100000000187,Hatch Z,2026-03-08,93,84,Planned,Low,Plant-C,SUPV024
WO10188,MA1AB100000000188,EV Prime,2026-03-09,101,103,In Progress,Medium,Plant-C,SUPV021
WO10189,MA1AB100000000189,EV Prime,2026-03-10,161,166,Delayed,Low,Plant-A,SUPV006
WO10190,MA1AB100000000190,EV Prime,2026-03-11,199,197,Planned,Low,Plant-A,SUPV002
WO10191,MA1AB100000000191,EV Prime,2026-03-12,76,67,In Progress,Low,Plant-A,SUPV018
WO10192,MA1AB100000000192,Hatch Z,2026-03-13,80,65,Completed,Medium,Plant-B,SUPV004
WO10193,MA1AB100000000193,EV Prime,2026-03-14,79,75,Planned,Medium,Plant-C,SUPV015
WO10194,MA1AB100000000194,Sedan X,2026-03-15,164,154,Completed,Medium,Plant-B,SUPV002
WO10195,MA1AB100000000195,Sedan X,2026-03-16,175,182,Delayed,Low,Plant-A,SUPV023
WO10196,MA1AB100000000196,SUV Pro,2026-03-17,103,99,In Progress,Low,Plant-C,SUPV005
WO10197,MA1AB100000000197,Sedan X,2026-03-18,102,102,Completed,Low,Plant-C,SUPV024
WO10198,MA1AB100000000198,Sedan X,2026-03-19,188,197,Delayed,High,Plant-A,SUPV005
WO10199,MA1AB100000000199,Hatch Z,2026-03-20,179,188,In Progress,Medium,Plant-B,SUPV005
WO10200,MA1AB100000000200,Hatch Z,2026-03-21,135,145,In Progress,High,Plant-B,SUPV014
WO10201,MA1AB100000000201,Hatch Z,2026-03-22,196,206,In Progress,Low,Plant-B,SUPV001
WO10202,MA1AB100000000202,SUV Pro,2026-03-23,76,74,Planned,High,Plant-A,SUPV004
WO10203,MA1AB100000000203,SUV Pro,2026-03-24,69,79,Planned,High,Plant-B,SUPV004
WO10204,MA1AB100000000204,EV Prime,2026-03-25,66,68,Planned,High,Plant-A,SUPV011
WO10205,MA1AB100000000205,SUV Pro,2026-03-26,83,90,Completed,High,Plant-A,SUPV002
WO10206,MA1AB100000000206,EV Prime,2026-03-27,149,139,Planned,High,Plant-A,SUPV022
WO10207,MA1AB100000000207,Sedan X,2026-03-28,178,176,Completed,High,Plant-B,SUPV009
WO10208,MA1AB100000000208,Hatch Z,2026-03-29,98,84,Planned,High,Plant-A,SUPV017
WO10209,MA1AB100000000209,EV Prime,2026-03-30,129,123,Completed,High,Plant-B,SUPV024
WO10210,MA1AB100000000210,SUV Pro,2026-03-31,114,119,In Progress,High,Plant-C,SUPV001
WO10211,MA1AB100000000211,EV Prime,2026-04-01,186,195,In Progress,Medium,Plant-B,SUPV016
WO10212,MA1AB100000000212,Sedan X,2026-04-02,51,60,Completed,Low,Plant-B,SUPV003
WO10213,MA1AB100000000213,Hatch Z,2026-04-03,69,73,In Progress,Medium,Plant-B,SUPV023
WO10214,MA1AB100000000214,SUV Pro,2026-04-04,80,84,Delayed,Medium,Plant-C,SUPV011
WO10215,MA1AB100000000215,Hatch Z,2026-04-05,101,94,Delayed,High,Plant-B,SUPV006
WO10216,MA1AB100000000216,EV Prime,2026-04-06,197,195,In Progress,High,Plant-B,SUPV002
WO10217,MA1AB100000000217,Sedan X,2026-04-07,110,97,Completed,High,Plant-B,SUPV015
WO10218,MA1AB100000000218,Sedan X,2026-04-08,85,89,Planned,Low,Plant-B,SUPV010
WO10219,MA1AB100000000219,Hatch Z,2026-04-09,195,181,Completed,Medium,Plant-B,SUPV006
WO10220,MA1AB100000000220,Hatch Z,2026-04-10,72,80,Planned,Medium,Plant-C,SUPV017
WO10221,MA1AB100000000221,Hatch Z,2026-04-11,169,175,Delayed,High,Plant-B,SUPV004
WO10222,MA1AB100000000222,Hatch Z,2026-04-12,164,162,In Progress,Low,Plant-A,SUPV025
WO10223,MA1AB100000000223,Sedan X,2026-04-13,61,51,Completed,Low,Plant-B,SUPV016
WO10224,MA1AB100000000224,Sedan X,2026-04-14,113,104,Completed,Low,Plant-C,SUPV007
WO10225,MA1AB100000000225,Hatch Z,2026-04-15,181,167,Completed,High,Plant-B,SUPV004
WO10226,MA1AB100000000226,SUV Pro,2026-04-16,79,71,In Progress,Low,Plant-A,SUPV013
WO10227,MA1AB100000000227,Sedan X,2026-04-17,132,125,Completed,Low,Plant-A,SUPV017
WO10228,MA1AB100000000228,Hatch Z,2026-04-18,52,57,Completed,Low,Plant-B,SUPV019
WO10229,MA1AB100000000229,Hatch Z,2026-04-19,199,195,In Progress,Medium,Plant-A,SUPV022
WO10230,MA1AB100000000230,Hatch Z,2026-04-20,136,133,In Progress,High,Plant-B,SUPV017
WO10231,MA1AB100000000231,SUV Pro,2026-04-21,57,56,Completed,Medium,Plant-A,SUPV003
WO10232,MA1AB100000000232,EV Prime,2026-04-22,68,70,In Progress,Low,Plant-A,SUPV006
WO10233,MA1AB100000000233,SUV Pro,2026-04-23,165,152,Completed,Low,Plant-B,SUPV007
WO10234,MA1AB100000000234,Sedan X,2026-04-24,177,184,Delayed,High,Plant-A,SUPV001
WO10235,MA1AB100000000235,SUV Pro,2026-04-25,132,134,Delayed,High,Plant-A,SUPV018
WO10236,MA1AB100000000236,SUV Pro,2026-04-26,150,146,Planned,High,Plant-A,SUPV013
WO10237,MA1AB100000000237,EV Prime,2026-04-27,115,118,Delayed,Medium,Plant-B,SUPV002
WO10238,MA1AB100000000238,SUV Pro,2026-04-28,92,81,Completed,Low,Plant-C,SUPV018
WO10239,MA1AB100000000239,Sedan X,2026-04-29,139,128,Planned,High,Plant-C,SUPV006
WO10240,MA1AB100000000240,Sedan X,2026-04-30,95,81,Completed,High,Plant-A,SUPV017
WO10241,MA1AB100000000241,Hatch Z,2026-05-01,84,69,Completed,Medium,Plant-B,SUPV024
WO10242,MA1AB100000000242,EV Prime,2026-05-02,86,85,In Progress,Low,Plant-A,SUPV017
WO10243,MA1AB100000000243,SUV Pro,2026-05-03,159,144,In Progress,Medium,Plant-A,SUPV014
WO10244,MA1AB100000000244,Sedan X,2026-05-04,144,129,Delayed,High,Plant-B,SUPV006
WO10245,MA1AB100000000245,Hatch Z,2026-05-05,121,122,Delayed,High,Plant-B,SUPV004
WO10246,MA1AB100000000246,SUV Pro,2026-05-06,199,195,In Progress,Low,Plant-B,SUPV015
WO10247,MA1AB100000000247,Hatch Z,2026-05-07,97,89,Planned,Low,Plant-A,SUPV013
WO10248,MA1AB100000000248,Sedan X,2026-05-08,62,58,Delayed,High,Plant-A,SUPV009
WO10249,MA1AB100000000249,SUV Pro,2026-05-09,137,143,Completed,High,Plant-B,SUPV008
WO10250,MA1AB100000000250,SUV Pro,2026-05-10,104,95,Completed,High,Plant-B,SUPV002
WO10251,MA1AB100000000251,EV Prime,2026-05-11,79,68,Completed,Medium,Plant-B,SUPV016
WO10252,MA1AB100000000252,EV Prime,2026-05-12,168,178,In Progress,High,Plant-B,SUPV019
WO10253,MA1AB100000000253,EV Prime,2026-05-13,179,181,Completed,Medium,Plant-B,SUPV006
WO10254,MA1AB100000000254,SUV Pro,2026-05-14,183,188,Delayed,Medium,Plant-C,SUPV002
WO10255,MA1AB100000000255,SUV Pro,2026-05-15,139,133,Delayed,High,Plant-A,SUPV003
WO10256,MA1AB100000000256,EV Prime,2026-05-16,177,183,In Progress,Medium,Plant-A,SUPV011
WO10257,MA1AB100000000257,Hatch Z,2026-05-17,113,104,In Progress,High,Plant-B,SUPV023
WO10258,MA1AB100000000258,Hatch Z,2026-05-18,60,61,Completed,Medium,Plant-C,SUPV017
WO10259,MA1AB100000000259,Sedan X,2026-05-19,167,177,In Progress,High,Plant-A,SUPV003
WO10260,MA1AB100000000260,Hatch Z,2026-05-20,114,117,Delayed,Low,Plant-C,SUPV001
WO10261,MA1AB100000000261,Hatch Z,2026-05-21,75,76,Delayed,Medium,Plant-B,SUPV009
WO10262,MA1AB100000000262,SUV Pro,2026-05-22,87,87,In Progress,Medium,Plant-B,SUPV002
WO10263,MA1AB100000000263,EV Prime,2026-05-23,161,157,Delayed,Low,Plant-C,SUPV024
WO10264,MA1AB100000000264,Hatch Z,2026-05-24,50,43,Delayed,Medium,Plant-C,SUPV024
WO10265,MA1AB100000000265,SUV Pro,2026-05-25,148,138,Delayed,Medium,Plant-C,SUPV021
WO10266,MA1AB100000000266,Hatch Z,2026-05-26,169,155,Delayed,High,Plant-C,SUPV021
