Tool_ID,Tool_Name,Tool_Type,Plant,Calibration_Date,Next_Due_Date,Status,Accuracy_%,Manufacturer,Serial_Number
TL-037,Tool_37,Torque Wrench,Plant-A,2026-02-12,2026-05-13,Maintenance,95.39,Bosch,SN100036
TL-038,Tool_38,Welding Gun,Plant-B,2026-04-18,2026-07-17,Active,97.87,Ingersoll Rand,SN100037
TL-039,Tool_39,Nut Runner,Plant-C,2026-02-15,2026-05-16,Maintenance,97.07,Ingersoll Rand,SN100038
TL-040,Tool_40,Welding Gun,Plant-A,2026-04-02,2026-07-01,Active,98.84,Atlas Copco,SN100039
TL-041,Tool_41,Robot Arm,Plant-A,2026-02-27,2026-05-28,Maintenance,97.13,Atlas Copco,SN100040
TL-042,Tool_42,Welding Gun,Plant-C,2026-03-03,2026-06-01,Out of Service,97.14,Ingersoll Rand,SN100041
TL-043,Tool_43,Torque Wrench,Plant-B,2026-04-28,2026-07-27,Active,96.51,Ingersoll Rand,SN100042
TL-044,Tool_44,Press Tool,Plant-C,2026-01-16,2026-04-16,Maintenance,99.03,Bosch,SN100043
TL-045,Tool_45,Welding Gun,Plant-C,2026-03-10,2026-06-08,Active,98.94,Stanley,SN100044
TL-046,Tool_46,Torque Wrench,Plant-C,2026-01-19,2026-04-19,Active,95.51,Ingersoll Rand,SN100045
TL-047,Tool_47,Robot Arm,Plant-A,2026-04-17,2026-07-16,Active,99.69,Ingersoll Rand,SN100046
TL-048,Tool_48,Nut Runner,Plant-B,2026-04-17,2026-07-16,Active,96.56,Stanley,SN100047
TL-049,Tool_49,Press Tool,Plant-A,2026-01-18,2026-04-18,Active,97.7,Atlas Copco,SN100048
TL-050,Tool_50,Welding Gun,Plant-C,2026-04-30,2026-07-29,Maintenance,98.51,Ingersoll Rand,SN100049
TL-051,Tool_51,Nut Runner,Plant-C,2026-04-06,2026-07-05,Active,97.28,Bosch,SN100050
TL-052,Tool_52,Torque Wrench,Plant-A,2026-04-12,2026-07-11,Out of Service,99.68,Ingersoll Rand,SN100051
TL-053,Tool_53,Nut Runner,Plant-A,2026-02-27,2026-05-28,Out of Service,96.41,Stanley,SN100052
TL-054,Tool_54,Press Tool,Plant-C,2026-01-18,2026-04-18,Active,99.35,Ingersoll Rand,SN100053
TL-055,Tool_55,Nut Runner,Plant-A,2026-01-22,2026-04-22,Out of Service,95.5,Atlas Copco,SN100054
TL-056,Tool_56,Torque Wrench,Plant-C,2026-04-06,2026-07-05,Active,97.45,Atlas Copco,SN100055
TL-057,Tool_57,Welding Gun,Plant-A,2026-05-01,2026-07-30,Active,98.96,Bosch,SN100056
TL-058,Tool_58,Robot Arm,Plant-C,2026-04-28,2026-07-27,Active,96.6,Stanley,SN100057
TL-059,Tool_59,Robot Arm,Plant-B,2026-04-15,2026-07-14,Active,95.72,Stanley,SN100058
TL-060,Tool_60,Welding Gun,Plant-B,2026-02-09,2026-05-10,Active,95.55,Atlas Copco,SN100059
TL-061,Tool_61,Nut Runner,Plant-C,2026-06-29,2026-09-27,Active,99.71,Ingersoll Rand,SN100060
TL-062,Tool_62,Robot Arm,Plant-A,2026-04-28,2026-07-27,Out of Service,95.44,Bosch,SN100061
TL-063,Tool_63,Welding Gun,Plant-B,2026-03-03,2026-06-01,Active,99.78,Ingersoll Rand,SN100062
TL-064,Tool_64,Press Tool,Plant-A,2026-02-03,2026-05-04,Active,98.09,Atlas Copco,SN100063
TL-065,Tool_65,Torque Wrench,Plant-C,2026-01-31,2026-05-01,Maintenance,97.24,Bosch,SN100064
TL-066,Tool_66,Nut Runner,Plant-A,2026-01-13,2026-04-13,Maintenance,98.63,Stanley,SN100065
TL-067,Tool_67,Torque Wrench,Plant-A,2026-02-10,2026-05-11,Active,95.24,Bosch,SN100066
TL-068,Tool_68,Press Tool,Plant-A,2026-04-15,2026-07-14,Active,97.42,Bosch,SN100067
TL-069,Tool_69,Torque Wrench,Plant-B,2026-01-29,2026-04-29,Active,98.16,Bosch,SN100068
TL-070,Tool_70,Robot Arm,Plant-C,2026-04-23,2026-07-22,Maintenance,98.03,Bosch,SN100069
TL-071,Tool_71,Welding Gun,Plant-B,2026-04-11,2026-07-10,Active,98.12,Atlas Copco,SN100070
TL-072,Tool_72,Robot Arm,Plant-C,2026-05-05,2026-08-03,Maintenance,99.87,Atlas Copco,SN100071
TL-073,Tool_73,Welding Gun,Plant-C,2026-03-17,2026-06-15,Active,96.96,Ingersoll Rand,SN100072
TL-074,Tool_74,Robot Arm,Plant-B,2026-01-04,2026-04-04,Active,97.63,Stanley,SN100073
TL-075,Tool_75,Press Tool,Plant-C,2026-04-22,2026-07-21,Active,99.86,Ingersoll Rand,SN100074
TL-076,Tool_76,Welding Gun,Plant-C,2026-02-22,2026-05-23,Maintenance,98.13,Ingersoll Rand,SN100075
TL-077,Tool_77,Welding Gun,Plant-C,2026-04-12,2026-07-11,Active,98.71,Stanley,SN100076
TL-078,Tool_78,Press Tool,Plant-A,2026-03-26,2026-06-24,Maintenance,99.88,Bosch,SN100077
TL-079,Tool_79,Press Tool,Plant-C,2026-04-14,2026-07-13,Active,96.15,Ingersoll Rand,SN100078
TL-080,Tool_80,Robot Arm,Plant-B,2026-03-23,2026-06-21,Maintenance,97.79,Atlas Copco,SN100079
TL-081,Tool_81,Nut Runner,Plant-A,2026-06-21,2026-09-19,Maintenance,97.61,Atlas Copco,SN100080
TL-082,Tool_82,Nut Runner,Plant-B,2026-03-18,2026-06-16,Active,95.75,Atlas Copco,SN100081
TL-083,Tool_83,Nut Runner,Plant-A,2026-01-22,2026-04-22,Out of Service,98.35,Bosch,SN100082
TL-084,Tool_84,Torque Wrench,Plant-C,2026-02-03,2026-05-04,Out of Service,97.78,Ingersoll Rand,SN100083
TL-085,Tool_85,Nut Runner,Plant-A,2026-01-29,2026-04-29,Out of Service,98.68,Stanley,SN100084
TL-086,Tool_86,Press Tool,Plant-B,2026-03-20,2026-06-18,Active,96.21,Bosch,SN100085
TL-087,Tool_87,Robot Arm,Plant-B,2026-02-09,2026-05-10,Maintenance,99.98,Stanley,SN100086
TL-088,Tool_88,Welding Gun,Plant-B,2026-04-25,2026-07-24,Active,95.24,Stanley,SN100087
TL-089,Tool_89,Welding Gun,Plant-B,2026-06-20,2026-09-18,Out of Service,97.46,Stanley,SN100088
TL-090,Tool_90,Nut Runner,Plant-C,2026-05-12,2026-08-10,Out of Service,97.28,Stanley,SN100089
TL-091,Tool_91,Nut Runner,Plant-B,2026-03-20,2026-06-18,Active,95.45,Atlas Copco,SN100090
TL-092,Tool_92,Nut Runner,Plant-C,2026-06-25,2026-09-23,Active,97.7,Bosch,SN100091
TL-093,Tool_93,Nut Runner,Plant-A,2026-03-03,2026-06-01,Out of Service,98.43,Ingersoll Rand,SN100092
TL-094,Tool_94,Press Tool,Plant-C,2026-05-10,2026-08-08,Maintenance,98.64,Stanley,SN100093
TL-095,Tool_95,Nut Runner,Plant-A,2026-06-25,2026-09-23,Active,99.37,Bosch,SN100094
TL-096,Tool_96,Nut Runner,Plant-A,2026-04-26,2026-07-25,Active,95.35,Stanley,SN100095
TL-097,Tool_97,Nut Runner,Plant-A,2026-04-22,2026-07-21,Active,99.35,Ingersoll Rand,SN100096
TL-098,Tool_98,Press Tool,Plant-A,2026-06-01,2026-08-30,Active,98.11,Stanley,SN100097
TL-099,Tool_99,Welding Gun,Plant-B,2026-05-20,2026-08-18,Active,97.05,Atlas Copco,SN100098
TL-100,Tool_100,Welding Gun,Plant-A,2026-04-25,2026-07-24,Maintenance,97.13,Ingersoll Rand,SN100099
