Event_ID,VIN,Line,Station,Shift,Supplier_Code_x,Supplier_Code_y,Tool_ID,Temperature,Torque,Pressure,Vibration_mm_s,Energy_kWh,Inspection_Result
M10002,MA1A**********002,PAINT-1,STN-03,A,SUP-019,SUP-044,TL-081,Unknown,Unknown,Unknown,Unknown,Unknown,FAIL
M11002,MA1A**********002,PAINT-1,STN-03,C,SUP-005,SUP-010,TL-079,35 C,35 lb-ft,5.2 bar,6.88,7.87,FAIL
M11002,MA1A**********002,PAINT-1,STN-03,C,SUP-005,SUP-010,TL-079,95 F,35 lb-ft,72 psi,3.6,6.17,FAIL
M9002,MA1A**********002,GA-2,STN-04,B,SUP-139,SUP-062,TL-098,40 C,50 Nm,72 psi,0.29,1.06,FAIL
M9002,MA1A**********002,GA-2,STN-04,B,SUP-139,SUP-062,TL-098,40 C,50 Nm,72 psi,0.29,1.06,FAIL
M9002,MA1A**********002,GA-2,STN-04,B,SUP-139,SUP-062,TL-098,95 F,45 Nm,5.2 bar,3.98,1.14,FAIL
M9002,MA1A**********002,GA-2,STN-04,B,SUP-139,SUP-062,TL-098,95 F,45 Nm,5.2 bar,3.98,1.14,FAIL
M9002,MA1A**********002,GA-2,STN-04,B,SUP-139,SUP-062,TL-098,35 C,35 lb-ft,72 psi,1.07,1.41,FAIL
M9002,MA1A**********002,GA-2,STN-04,B,SUP-139,SUP-062,TL-098,35 C,35 lb-ft,72 psi,1.07,1.41,FAIL
M9002,MA1A**********002,GA-2,STN-04,B,SUP-139,SUP-062,TL-098,104 F,45 Nm,5.2 bar,8.15,1.9,FAIL
M9002,MA1A**********002,GA-2,STN-04,B,SUP-139,SUP-062,TL-098,104 F,45 Nm,5.2 bar,8.15,1.9,FAIL
M8003,MA1A**********003,GA-2,STN-01,A,SUP-138,SUP-140,TL-087,40 C,50 Nm,72 psi,6.12,3.34,FAIL
M8003,MA1A**********003,GA-2,STN-01,A,SUP-138,SUP-140,TL-087,104 F,45 Nm,5.2 bar,1.76,6.29,FAIL
M9003,MA1A**********003,GA-1,STN-01,A,SUP-058,SUP-125,TL-054,85C,Unknown,65 psi,3.81,5.72,Unknown
M9003,MA1A**********003,GA-1,STN-01,A,SUP-058,SUP-125,TL-054,35 C,45 Nm,65 psi,1.28,4.54,Unknown
M9003,MA1A**********003,GA-1,STN-01,A,SUP-058,SUP-125,TL-054,40 C,Unknown,4.5 bar,6.01,0.64,Unknown
M11003,MA1A**********003,GA-2,STN-03,NAN,SUP-073,SUP-020,TL-087,Unknown,60Nm,65 psi,7.4,4.07,Unknown
M11003,MA1A**********003,GA-2,STN-03,NAN,SUP-073,SUP-020,TL-087,85C,72 lb-ft,5.2 bar,0.5,1.38,Unknown
M10003,MA1A**********003,GA-1,STN-04,C,SUP-069,SUP-006,TL-010,85C,35 lb-ft,4.5 bar,7.21,2.23,PASS
M7003,MA1A**********003,GA-2,STN-05,B,SUP-180,SUP-153,TL-054,35 C,35 lb-ft,72 psi,1.21,3.03,Unknown
M7003,MA1A**********003,GA-2,STN-05,B,SUP-180,SUP-153,TL-054,95 F,Unknown,72 psi,0.86,5.17,Unknown
M7003,MA1A**********003,GA-2,STN-05,B,SUP-180,SUP-153,TL-054,95 F,50 Nm,4.5 bar,5.63,5.86,Unknown
M8004,MA1A**********004,TRIM-1,STN-02,C,SUP-082,SUP-161,TL-008,85C,35 lb-ft,72 psi,7.75,3.52,FAIL
M11004,MA1A**********004,PAINT-1,STN-02,B,SUP-118,SUP-078,TL-089,85C,45 Nm,4.5 bar,5.57,2.51,Unknown
M7004,MA1A**********004,PAINT-1,STN-03,NAN,SUP-002,SUP-006,TL-090,104 F,72 lb-ft,5.2 bar,6.33,3.64,FAIL
M10004,MA1A**********004,TRIM-1,STN-03,NAN,SUP-146,SUP-087,TL-074,40 C,35 lb-ft,65 psi,7.99,3.0,FAIL
M10004,MA1A**********004,TRIM-1,STN-03,NAN,SUP-146,SUP-087,TL-074,Unknown,72 lb-ft,65 psi,0.74,5.74,FAIL
M10004,MA1A**********004,TRIM-1,STN-03,NAN,SUP-146,SUP-087,TL-074,Unknown,60Nm,5.2 bar,4.54,6.68,FAIL
M9004,MA1A**********004,TRIM-1,STN-04,A,SUP-138,SUP-032,TL-018,40 C,35 lb-ft,65 psi,2.29,2.89,FAIL
M9004,MA1A**********004,TRIM-1,STN-04,A,SUP-138,SUP-032,TL-018,85C,72 lb-ft,5.2 bar,1.04,1.7,FAIL
M7005,MA1A**********005,PAINT-1,STN-02,A,SUP-196,SUP-163,TL-014,40 C,60Nm,4.5 bar,0.81,4.73,FAIL
M7005,MA1A**********005,PAINT-1,STN-02,A,SUP-196,SUP-163,TL-014,95 F,45 Nm,72 psi,3.05,6.97,FAIL
M9005,MA1A**********005,TRIM-1,STN-04,C,SUP-066,SUP-021,TL-042,85C,72 lb-ft,4.5 bar,5.56,4.83,FAIL
M8005,MA1A**********005,GA-2,STN-05,C,SUP-110,SUP-021,TL-050,Unknown,Unknown,5.2 bar,3.11,4.3,Unknown
M8005,MA1A**********005,GA-2,STN-05,C,SUP-110,SUP-021,TL-050,35 C,60Nm,5.2 bar,1.73,2.07,Unknown
M10005,MA1A**********005,GA-2,STN-05,C,SUP-116,SUP-010,TL-064,95 F,60Nm,4.5 bar,4.75,2.36,Unknown
M10005,MA1A**********005,GA-2,STN-05,C,SUP-116,SUP-010,TL-064,Unknown,45 Nm,65 psi,5.82,7.95,Unknown
M11005,MA1A**********005,GA-1,STN-05,A,SUP-195,SUP-065,TL-032,35 C,35 lb-ft,72 psi,2.83,6.29,FAIL
M11005,MA1A**********005,GA-1,STN-05,A,SUP-195,SUP-065,TL-032,40 C,45 Nm,65 psi,1.74,3.5,FAIL
M7006,MA1A**********006,GA-1,STN-03,NAN,SUP-089,SUP-122,TL-006,40 C,72 lb-ft,65 psi,1.64,2.43,PASS
M8006,MA1A**********006,PAINT-1,STN-03,A,SUP-079,SUP-014,TL-072,40 C,50 Nm,5.2 bar,5.51,3.43,FAIL
M8006,MA1A**********006,PAINT-1,STN-03,A,SUP-079,SUP-014,TL-072,85C,72 lb-ft,4.5 bar,2.15,5.52,FAIL
M8006,MA1A**********006,PAINT-1,STN-03,A,SUP-079,SUP-014,TL-072,104 F,72 lb-ft,65 psi,6.83,0.82,FAIL
M11006,MA1A**********006,GA-1,STN-03,B,SUP-073,SUP-124,TL-086,104 F,60Nm,72 psi,6.34,0.83,Unknown
M11006,MA1A**********006,GA-1,STN-03,B,SUP-073,SUP-124,TL-086,104 F,45 Nm,4.5 bar,4.69,5.03,Unknown
M11006,MA1A**********006,GA-1,STN-03,B,SUP-073,SUP-124,TL-086,104 F,60Nm,5.2 bar,6.86,0.77,Unknown
M11006,MA1A**********006,GA-1,STN-03,B,SUP-073,SUP-124,TL-086,35 C,Unknown,65 psi,2.79,5.57,Unknown
M9006,MA1A**********006,GA-1,STN-04,B,SUP-192,SUP-129,TL-026,35 C,50 Nm,4.5 bar,7.62,5.91,PASS
M9006,MA1A**********006,GA-1,STN-04,B,SUP-192,SUP-129,TL-026,35 C,50 Nm,4.5 bar,7.62,5.91,PASS
M9006,MA1A**********006,GA-1,STN-04,B,SUP-192,SUP-129,TL-026,35 C,50 Nm,4.5 bar,7.62,5.91,FAIL
M9006,MA1A**********006,GA-1,STN-04,B,SUP-192,SUP-129,TL-026,104 F,72 lb-ft,72 psi,1.04,7.8,PASS
M9006,MA1A**********006,GA-1,STN-04,B,SUP-192,SUP-129,TL-026,104 F,72 lb-ft,72 psi,1.04,7.8,PASS
M9006,MA1A**********006,GA-1,STN-04,B,SUP-192,SUP-129,TL-026,104 F,72 lb-ft,72 psi,1.04,7.8,FAIL
M10006,MA1A**********006,GA-1,STN-04,C,SUP-001,SUP-075,TL-003,40 C,45 Nm,5.2 bar,4.72,7.93,Unknown
M10006,MA1A**********006,GA-1,STN-04,C,SUP-001,SUP-075,TL-003,104 F,60Nm,5.2 bar,5.24,4.72,Unknown
M10006,MA1A**********006,GA-1,STN-04,C,SUP-001,SUP-075,TL-003,85C,Unknown,72 psi,7.96,4.31,Unknown
M10007,MA1A**********007,TRIM-1,STN-02,NAN,SUP-004,SUP-142,TL-080,Unknown,45 Nm,72 psi,6.37,7.84,FAIL
M10007,MA1A**********007,TRIM-1,STN-02,NAN,SUP-004,SUP-142,TL-080,104 F,35 lb-ft,72 psi,7.75,3.65,FAIL
M9007,MA1A**********007,GA-2,STN-03,A,SUP-037,SUP-044,TL-085,35 C,45 Nm,4.5 bar,5.09,0.99,PASS
M9007,MA1A**********007,GA-2,STN-03,A,SUP-037,SUP-044,TL-085,Unknown,50 Nm,4.5 bar,7.97,5.84,PASS
M11007,MA1A**********007,GA-1,STN-03,A,SUP-086,SUP-134,TL-999,Unknown,Unknown,72 psi,8.02,6.22,Unknown
M11007,MA1A**********007,GA-1,STN-03,A,SUP-086,SUP-134,TL-999,104 F,50 Nm,4.5 bar,4.09,2.94,Unknown
M7007,MA1A**********007,GA-1,STN-04,C,SUP-142,SUP-153,TL-081,35 C,72 lb-ft,5.2 bar,4.48,5.64,FAIL
M8007,MA1A**********007,TRIM-1,STN-05,NAN,SUP-114,SUP-032,TL-021,95 F,60Nm,65 psi,5.38,7.51,PASS
M8007,MA1A**********007,TRIM-1,STN-05,NAN,SUP-114,SUP-032,TL-021,40 C,35 lb-ft,4.5 bar,8.05,4.97,PASS
M8007,MA1A**********007,TRIM-1,STN-05,NAN,SUP-114,SUP-032,TL-021,85C,Unknown,4.5 bar,3.51,0.51,PASS
M8007,MA1A**********007,TRIM-1,STN-05,NAN,SUP-114,SUP-032,TL-021,Unknown,45 Nm,5.2 bar,4.71,3.42,PASS
M11008,MA1A**********008,PAINT-1,STN-01,A,SUP-180,SUP-149,TL-006,40 C,45 Nm,4.5 bar,5.17,2.01,Unknown
M11008,MA1A**********008,PAINT-1,STN-01,A,SUP-180,SUP-149,TL-006,104 F,35 lb-ft,72 psi,2.76,7.96,Unknown
M11008,MA1A**********008,PAINT-1,STN-01,A,SUP-180,SUP-149,TL-006,95 F,45 Nm,5.2 bar,0.69,5.56,Unknown
M8008,MA1A**********008,TRIM-1,STN-02,B,SUP-151,SUP-152,TL-019,35 C,Unknown,4.5 bar,3.55,5.74,FAIL
M8008,MA1A**********008,TRIM-1,STN-02,B,SUP-151,SUP-152,TL-019,85C,50 Nm,65 psi,0.44,7.69,FAIL
M8008,MA1A**********008,TRIM-1,STN-02,B,SUP-151,SUP-152,TL-019,85C,50 Nm,4.5 bar,5.59,4.06,FAIL
M7008,MA1A**********008,GA-2,STN-05,C,SUP-012,SUP-187,TL-099,40 C,Unknown,72 psi,2.09,1.92,Unknown
M7008,MA1A**********008,GA-2,STN-05,C,SUP-012,SUP-187,TL-099,35 C,72 lb-ft,72 psi,7.24,3.8,Unknown
M7008,MA1A**********008,GA-2,STN-05,C,SUP-012,SUP-187,TL-099,104 F,35 lb-ft,5.2 bar,5.84,3.85,Unknown
M7008,MA1A**********008,GA-2,STN-05,C,SUP-012,SUP-187,TL-099,95 F,60Nm,65 psi,4.42,0.87,Unknown
M9008,MA1A**********008,GA-1,STN-05,B,SUP-073,SUP-165,TL-032,95 F,45 Nm,4.5 bar,6.61,0.6,PASS
M9008,MA1A**********008,GA-1,STN-05,B,SUP-073,SUP-165,TL-032,95 F,45 Nm,4.5 bar,6.61,0.6,PASS
M9008,MA1A**********008,GA-1,STN-05,B,SUP-073,SUP-165,TL-032,95 F,45 Nm,4.5 bar,6.61,0.6,PASS
M10008,MA1A**********008,GA-2,STN-05,A,SUP-023,SUP-129,TL-040,95 F,50 Nm,72 psi,4.74,0.81,FAIL
M10008,MA1A**********008,GA-2,STN-05,A,SUP-023,SUP-129,TL-040,40 C,50 Nm,72 psi,3.6,0.52,FAIL
M7009,MA1A**********009,GA-2,STN-03,C,SUP-098,SUP-127,TL-059,Unknown,60Nm,5.2 bar,1.15,0.95,Unknown
M7009,MA1A**********009,GA-2,STN-03,C,SUP-098,SUP-127,TL-059,40 C,60Nm,4.5 bar,7.85,6.81,Unknown
M7009,MA1A**********009,GA-2,STN-03,C,SUP-098,SUP-127,TL-059,95 F,45 Nm,65 psi,6.9,4.25,Unknown
M8009,MA1A**********009,TRIM-1,STN-03,NAN,SUP-086,SUP-109,TL-076,40 C,50 Nm,72 psi,2.06,7.28,PASS
M10009,MA1A**********009,GA-2,STN-03,NAN,SUP-111,SUP-063,TL-060,35 C,35 lb-ft,65 psi,0.95,7.32,Unknown
M10009,MA1A**********009,GA-2,STN-03,NAN,SUP-111,SUP-063,TL-060,35 C,50 Nm,4.5 bar,8.17,4.14,Unknown
M10009,MA1A**********009,GA-2,STN-03,NAN,SUP-111,SUP-063,TL-060,95 F,60Nm,5.2 bar,3.36,3.1,Unknown
M10009,MA1A**********009,GA-2,STN-03,NAN,SUP-111,SUP-063,TL-060,35 C,60Nm,5.2 bar,6.36,0.74,Unknown
M10009,MA1A**********009,GA-2,STN-03,NAN,SUP-111,SUP-063,TL-060,Unknown,72 lb-ft,4.5 bar,5.61,3.75,Unknown
M10009,MA1A**********009,GA-2,STN-03,NAN,SUP-111,SUP-063,TL-060,Unknown,45 Nm,72 psi,6.11,7.61,Unknown
M11009,MA1A**********009,GA-2,STN-04,B,SUP-008,SUP-200,TL-005,Unknown,Unknown,Unknown,Unknown,Unknown,PASS
M11009,MA1A**********009,GA-2,STN-04,B,SUP-008,SUP-200,TL-005,Unknown,Unknown,Unknown,Unknown,Unknown,FAIL
M9009,MA1A**********009,GA-2,STN-05,NAN,SUP-078,SUP-130,TL-091,35 C,35 lb-ft,72 psi,1.2,3.57,FAIL
M9009,MA1A**********009,GA-2,STN-05,NAN,SUP-078,SUP-130,TL-091,35 C,35 lb-ft,72 psi,1.2,3.57,FAIL
M7010,MA1A**********010,PAINT-1,STN-03,A,SUP-172,SUP-089,TL-090,Unknown,35 lb-ft,4.5 bar,3.22,4.02,FAIL
M7010,MA1A**********010,PAINT-1,STN-03,A,SUP-172,SUP-089,TL-090,104 F,35 lb-ft,5.2 bar,2.97,2.14,FAIL
M7010,MA1A**********010,PAINT-1,STN-03,A,SUP-172,SUP-089,TL-090,35 C,Unknown,65 psi,1.77,4.85,FAIL
M9010,MA1A**********010,PAINT-1,STN-03,C,SUP-034,SUP-021,TL-055,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
M8010,MA1A**********010,GA-1,STN-04,NAN,SUP-070,SUP-097,TL-023,Unknown,50 Nm,72 psi,6.34,4.5,Unknown
M8010,MA1A**********010,GA-1,STN-04,NAN,SUP-070,SUP-097,TL-023,35 C,35 lb-ft,4.5 bar,5.75,3.43,Unknown
M10010,MA1A**********010,GA-1,STN-05,A,SUP-134,SUP-176,TL-028,95 F,45 Nm,72 psi,5.85,6.76,FAIL
M10010,MA1A**********010,GA-1,STN-05,A,SUP-134,SUP-176,TL-028,40 C,45 Nm,4.5 bar,5.51,5.33,FAIL
M11010,MA1A**********010,PAINT-1,STN-05,C,SUP-184,SUP-184,TL-086,35 C,Unknown,4.5 bar,0.55,2.65,FAIL
M8011,MA1A**********011,GA-2,STN-02,NAN,SUP-098,SUP-024,TL-071,104 F,50 Nm,5.2 bar,3.06,4.7,FAIL
M8011,MA1A**********011,GA-2,STN-02,NAN,SUP-098,SUP-024,TL-071,40 C,50 Nm,5.2 bar,0.55,5.26,FAIL
M8011,MA1A**********011,GA-2,STN-02,NAN,SUP-098,SUP-024,TL-071,95 F,Unknown,65 psi,8.28,1.52,FAIL
M8011,MA1A**********011,GA-2,STN-02,NAN,SUP-098,SUP-024,TL-071,40 C,45 Nm,65 psi,3.95,4.43,FAIL
M10011,MA1A**********011,TRIM-1,STN-04,B,SUP-124,SUP-065,TL-011,35 C,35 lb-ft,4.5 bar,5.74,4.28,Unknown
M10011,MA1A**********011,TRIM-1,STN-04,B,SUP-124,SUP-065,TL-011,85C,45 Nm,5.2 bar,6.35,1.21,Unknown
M7011,MA1A**********011,GA-2,STN-05,NAN,SUP-063,SUP-057,TL-060,35 C,60Nm,4.5 bar,4.98,3.86,Unknown
M7011,MA1A**********011,GA-2,STN-05,NAN,SUP-063,SUP-057,TL-060,40 C,50 Nm,72 psi,3.98,1.81,Unknown
M7011,MA1A**********011,GA-2,STN-05,NAN,SUP-063,SUP-057,TL-060,35 C,35 lb-ft,65 psi,4.87,1.13,Unknown
M9011,MA1A**********011,GA-2,STN-05,A,SUP-009,SUP-001,TL-081,Unknown,60Nm,72 psi,2.89,4.49,PASS
M9011,MA1A**********011,GA-2,STN-05,A,SUP-009,SUP-001,TL-081,40 C,60Nm,5.2 bar,2.13,0.7,PASS
M9011,MA1A**********011,GA-2,STN-05,A,SUP-009,SUP-001,TL-081,95 F,50 Nm,72 psi,8.45,6.92,PASS
M9011,MA1A**********011,GA-2,STN-05,A,SUP-009,SUP-001,TL-081,104 F,45 Nm,72 psi,4.36,3.08,PASS
M11011,MA1A**********011,PAINT-1,STN-05,C,SUP-143,SUP-005,TL-029,85C,60Nm,5.2 bar,6.32,0.63,FAIL
M11011,MA1A**********011,PAINT-1,STN-05,C,SUP-143,SUP-005,TL-029,35 C,45 Nm,4.5 bar,8.44,5.28,FAIL
M11011,MA1A**********011,PAINT-1,STN-05,C,SUP-143,SUP-005,TL-029,Unknown,50 Nm,72 psi,0.74,5.28,FAIL
M9012,MA1A**********012,GA-2,STN-01,B,SUP-163,SUP-088,TL-031,35 C,Unknown,72 psi,7.8,3.67,FAIL
M9012,MA1A**********012,GA-2,STN-01,B,SUP-163,SUP-088,TL-031,85C,45 Nm,65 psi,0.66,0.68,FAIL
M8012,MA1A**********012,PAINT-1,STN-03,NAN,SUP-078,SUP-154,TL-072,104 F,60Nm,5.2 bar,1.31,7.38,FAIL
M8012,MA1A**********012,PAINT-1,STN-03,NAN,SUP-078,SUP-154,TL-072,104 F,60Nm,5.2 bar,1.31,7.38,PASS
M8012,MA1A**********012,PAINT-1,STN-03,NAN,SUP-078,SUP-154,TL-072,40 C,72 lb-ft,65 psi,4.79,7.27,FAIL
M8012,MA1A**********012,PAINT-1,STN-03,NAN,SUP-078,SUP-154,TL-072,40 C,72 lb-ft,65 psi,4.79,7.27,PASS
M11012,MA1A**********012,GA-2,STN-03,C,SUP-023,SUP-161,TL-014,35 C,45 Nm,4.5 bar,3.89,1.73,FAIL
M7012,MA1A**********012,GA-2,STN-05,A,SUP-197,SUP-041,TL-030,35 C,60Nm,65 psi,5.47,6.98,FAIL
M7012,MA1A**********012,GA-2,STN-05,A,SUP-197,SUP-041,TL-030,35 C,60Nm,65 psi,5.47,6.98,FAIL
M7012,MA1A**********012,GA-2,STN-05,A,SUP-197,SUP-041,TL-030,35 C,60Nm,65 psi,5.47,6.98,PASS
M7012,MA1A**********012,GA-2,STN-05,A,SUP-197,SUP-041,TL-030,35 C,60Nm,65 psi,5.47,6.98,FAIL
M7012,MA1A**********012,GA-2,STN-05,A,SUP-197,SUP-041,TL-030,Unknown,45 Nm,72 psi,4.61,6.79,FAIL
M7012,MA1A**********012,GA-2,STN-05,A,SUP-197,SUP-041,TL-030,Unknown,45 Nm,72 psi,4.61,6.79,FAIL
M7012,MA1A**********012,GA-2,STN-05,A,SUP-197,SUP-041,TL-030,Unknown,45 Nm,72 psi,4.61,6.79,PASS
M7012,MA1A**********012,GA-2,STN-05,A,SUP-197,SUP-041,TL-030,Unknown,45 Nm,72 psi,4.61,6.79,FAIL
M10012,MA1A**********012,TRIM-1,STN-05,C,SUP-173,SUP-144,TL-059,40 C,60Nm,72 psi,8.49,2.49,FAIL
M10012,MA1A**********012,TRIM-1,STN-05,C,SUP-173,SUP-144,TL-059,40 C,60Nm,72 psi,8.49,2.49,PASS
M9013,MA1A**********013,PAINT-1,STN-01,B,SUP-124,SUP-184,TL-045,35 C,45 Nm,5.2 bar,3.96,1.69,PASS
M9013,MA1A**********013,PAINT-1,STN-01,B,SUP-124,SUP-184,TL-045,95 F,45 Nm,65 psi,3.51,5.8,PASS
M9013,MA1A**********013,PAINT-1,STN-01,B,SUP-124,SUP-184,TL-045,40 C,35 lb-ft,4.5 bar,1.45,5.09,PASS
M9013,MA1A**********013,PAINT-1,STN-01,B,SUP-124,SUP-184,TL-045,95 F,60Nm,5.2 bar,2.53,6.61,PASS
M9013,MA1A**********013,PAINT-1,STN-01,B,SUP-124,SUP-184,TL-045,85C,35 lb-ft,72 psi,4.48,5.83,PASS
M9013,MA1A**********013,PAINT-1,STN-01,B,SUP-124,SUP-184,TL-045,Unknown,72 lb-ft,5.2 bar,1.63,6.44,PASS
M7013,MA1A**********013,TRIM-1,STN-03,C,SUP-055,SUP-027,TL-092,35 C,45 Nm,4.5 bar,5.48,1.34,Unknown
M7013,MA1A**********013,TRIM-1,STN-03,C,SUP-055,SUP-027,TL-092,95 F,72 lb-ft,72 psi,2.36,2.72,Unknown
M8013,MA1A**********013,GA-1,STN-03,NAN,SUP-040,SUP-162,TL-039,Unknown,Unknown,Unknown,Unknown,Unknown,PASS
M11013,MA1A**********013,TRIM-1,STN-04,B,SUP-024,SUP-044,TL-050,Unknown,50 Nm,5.2 bar,2.9,2.56,Unknown
M11013,MA1A**********013,TRIM-1,STN-04,B,SUP-024,SUP-044,TL-050,95 F,Unknown,5.2 bar,6.41,7.33,Unknown
M10013,MA1A**********013,TRIM-1,STN-05,B,SUP-108,SUP-134,TL-031,104 F,45 Nm,4.5 bar,0.33,5.09,Unknown
M10013,MA1A**********013,TRIM-1,STN-05,B,SUP-108,SUP-134,TL-031,104 F,35 lb-ft,72 psi,6.05,7.09,Unknown
M10013,MA1A**********013,TRIM-1,STN-05,B,SUP-108,SUP-134,TL-031,40 C,50 Nm,65 psi,6.96,7.83,Unknown
M10014,MA1A**********014,PAINT-1,STN-02,NAN,SUP-155,SUP-196,TL-081,95 F,72 lb-ft,72 psi,1.0,5.7,Unknown
M10014,MA1A**********014,PAINT-1,STN-02,NAN,SUP-155,SUP-196,TL-081,Unknown,72 lb-ft,4.5 bar,7.01,1.92,Unknown
M7014,MA1A**********014,TRIM-1,STN-04,C,SUP-165,SUP-147,TL-019,85C,50 Nm,5.2 bar,8.32,3.25,PASS
M7014,MA1A**********014,TRIM-1,STN-04,C,SUP-165,SUP-147,TL-019,104 F,45 Nm,65 psi,2.61,6.52,PASS
M7014,MA1A**********014,TRIM-1,STN-04,C,SUP-165,SUP-147,TL-019,104 F,60Nm,65 psi,1.38,1.98,PASS
M7014,MA1A**********014,TRIM-1,STN-04,C,SUP-165,SUP-147,TL-019,40 C,72 lb-ft,5.2 bar,4.7,0.63,PASS
M8014,MA1A**********014,PAINT-1,STN-04,A,SUP-126,SUP-027,TL-004,Unknown,Unknown,Unknown,Unknown,Unknown,FAIL
M8014,MA1A**********014,PAINT-1,STN-04,A,SUP-126,SUP-027,TL-004,Unknown,Unknown,Unknown,Unknown,Unknown,FAIL
M9014,MA1A**********014,TRIM-1,STN-04,NAN,SUP-117,SUP-002,TL-070,85C,72 lb-ft,65 psi,5.96,1.83,Unknown
M9014,MA1A**********014,TRIM-1,STN-04,NAN,SUP-117,SUP-002,TL-070,85C,45 Nm,5.2 bar,6.63,7.08,Unknown
M11014,MA1A**********014,TRIM-1,STN-05,A,SUP-073,SUP-187,TL-020,40 C,72 lb-ft,72 psi,5.41,2.99,FAIL
M11014,MA1A**********014,TRIM-1,STN-05,A,SUP-073,SUP-187,TL-020,40 C,72 lb-ft,72 psi,5.41,2.99,PASS
