Reading_ID,Event_ID,Sensor_ID,Timestamp,Torque,Temperature,Pressure,Vibration_mm_s,Energy_kWh,Calibration_Factor_x,Torque_Nm,Torque_Status,Temperature_C,Temperature_Status,Calibration_Factor_y,Calibrated_Torque,Drift,Calibration_Status
RD000101,M8149,SEN-050,2026-03-01 06:50:00,60.0,,4.5 bar,4.23,4.39,0.992,60.0,Valid,,Invalid,0.995,59.7,-0.3,Within Limit
RD000102,M8649,SEN-030,2026-03-01 06:50:30,,85C,4.5 bar,4.63,4.97,1.026,,Invalid,85.0,Valid,0.997,,,Out of Calibration
RD000103,M9466,SEN-032,2026-03-01 06:51:00,50.0,104 F,72 psi,2.51,2.18,1.017,50.0,Valid,40.0,Valid,1.021,51.05,1.05,Within Limit
RD000104,M11046,SEN-001,2026-03-01 06:51:30,60.0,,72 psi,7.46,1.13,1.024,60.0,Valid,,Invalid,0.991,59.46,-0.54,Within Limit
RD000105,M9650,SEN-045,2026-03-01 06:52:00,,40 C,72 psi,2.64,1.79,0.988,,Invalid,40.0,Valid,0.976,,,Out of Calibration
RD000106,M7830,SEN-022,2026-03-01 06:52:30,,85C,4.5 bar,5.5,6.42,1.012,97.61904,Valid,85.0,Valid,1.021,,,Out of Calibration
RD000107,M8520,SEN-024,2026-03-01 06:53:00,45.0,85C,72 psi,5.13,0.58,1.026,45.0,Valid,85.0,Valid,1.028,46.26,1.26,Within Limit
RD000108,M10585,SEN-007,2026-03-01 06:53:30,45.0,,72 psi,2.7,0.97,1.017,45.0,Valid,,Invalid,1.009,45.4,0.4,Within Limit
RD000109,M11893,SEN-021,2026-03-01 06:54:00,,35 C,4.5 bar,2.22,1.12,0.978,,Invalid,35.0,Valid,1.01,,,Out of Calibration
RD000110,M8969,SEN-012,2026-03-01 06:54:30,,95 F,72 psi,6.17,4.74,0.993,,Invalid,35.0,Valid,1.012,,,Out of Calibration
RD000111,M11968,SEN-045,2026-03-01 06:55:00,,95 F,4.5 bar,1.09,5.1,0.998,97.61904,Valid,35.0,Valid,0.976,,,Out of Calibration
RD000112,M9650,SEN-035,2026-03-01 06:55:30,45.0,85C,65 psi,4.51,1.89,1.001,45.0,Valid,85.0,Valid,1.026,46.17,1.17,Within Limit
RD000113,M7874,SEN-041,2026-03-01 06:56:00,45.0,40 C,72 psi,8.33,3.98,1.012,45.0,Valid,40.0,Valid,0.984,44.28,-0.72,Within Limit
RD000114,M9389,SEN-007,2026-03-01 06:56:30,,35 C,4.5 bar,3.49,7.47,0.983,47.4537,Valid,35.0,Valid,1.009,,,Out of Calibration
RD000115,M7503,SEN-044,2026-03-01 06:57:00,45.0,95 F,5.2 bar,2.92,0.84,1.013,45.0,Valid,35.0,Valid,0.975,43.88,-1.12,Within Limit
RD000116,M11305,SEN-044,2026-03-01 06:57:30,45.0,35 C,65 psi,5.92,1.71,0.973,45.0,Valid,35.0,Valid,0.975,43.88,-1.12,Within Limit
RD000117,M7445,SEN-018,2026-03-01 06:58:00,45.0,,65 psi,2.57,6.05,0.996,45.0,Valid,,Invalid,1.013,45.58,0.58,Within Limit
RD000118,M7775,SEN-008,2026-03-01 06:58:30,45.0,95 F,72 psi,6.26,6.75,1.022,45.0,Valid,35.0,Valid,0.995,44.78,-0.22,Within Limit
RD000119,M10231,SEN-001,2026-03-01 06:59:00,,85C,72 psi,7.3,1.75,0.975,97.61904,Valid,85.0,Valid,0.991,,,Out of Calibration
RD000120,M8409,SEN-002,2026-03-01 06:59:30,,85C,72 psi,2.55,0.85,0.994,47.4537,Valid,85.0,Valid,1.018,,,Out of Calibration
RD000121,M7988,SEN-006,2026-03-01 07:00:00,45.0,104 F,72 psi,4.79,2.0,0.983,45.0,Valid,40.0,Valid,0.995,44.78,-0.22,Within Limit
RD000122,M8005,SEN-043,2026-03-01 07:00:30,,,5.2 bar,3.11,4.3,0.984,,Invalid,,Invalid,1.021,,,Out of Calibration
RD000123,M10820,SEN-032,2026-03-01 07:01:00,50.0,,5.2 bar,5.01,3.94,0.975,50.0,Valid,,Invalid,1.021,51.05,1.05,Within Limit
RD000124,M9416,SEN-035,2026-03-01 07:01:30,,,4.5 bar,6.44,7.41,1.024,47.4537,Valid,,Invalid,1.026,,,Out of Calibration
RD000125,M9668,SEN-037,2026-03-01 07:02:00,,,5.2 bar,0.54,7.54,0.999,97.61904,Valid,,Invalid,1.028,,,Out of Calibration
RD000126,M9500,SEN-047,2026-03-01 07:02:30,,104 F,5.2 bar,6.59,2.69,0.98,47.4537,Valid,40.0,Valid,0.998,,,Out of Calibration
RD000127,M10324,SEN-039,2026-03-01 07:03:00,45.0,35 C,4.5 bar,7.3,3.53,0.979,45.0,Valid,35.0,Valid,1.013,45.58,0.58,Within Limit
RD000128,M8441,SEN-003,2026-03-01 07:03:30,50.0,104 F,65 psi,2.92,2.79,1.009,50.0,Valid,40.0,Valid,0.997,49.85,-0.15,Within Limit
RD000129,M9699,SEN-016,2026-03-01 07:04:00,45.0,85C,65 psi,7.07,0.59,0.972,45.0,Valid,85.0,Valid,0.999,44.96,-0.04,Within Limit
RD000130,M7692,SEN-005,2026-03-01 07:04:30,,40 C,5.2 bar,1.41,7.58,0.98,,Invalid,40.0,Valid,0.994,,,Out of Calibration
RD000131,M11894,SEN-009,2026-03-01 07:05:00,,40 C,65 psi,5.41,1.23,1.005,47.4537,Valid,40.0,Valid,1.016,,,Out of Calibration
RD000132,M7727,SEN-030,2026-03-01 07:05:30,,35 C,65 psi,4.77,4.28,1.025,47.4537,Valid,35.0,Valid,0.997,,,Out of Calibration
RD000133,M7230,SEN-036,2026-03-01 07:06:00,60.0,40 C,65 psi,3.18,7.38,1.022,60.0,Valid,40.0,Valid,1.012,60.72,0.72,Within Limit
RD000134,M8451,SEN-043,2026-03-01 07:06:30,50.0,104 F,65 psi,5.78,3.79,0.989,50.0,Valid,40.0,Valid,1.021,51.05,1.05,Within Limit
RD000135,M11749,SEN-031,2026-03-01 07:07:00,45.0,104 F,65 psi,6.74,2.03,0.99,45.0,Valid,40.0,Valid,1.019,45.86,0.86,Within Limit
RD000136,M11300,SEN-049,2026-03-01 07:07:30,,,72 psi,2.36,7.54,1.028,,Invalid,,Invalid,0.975,,,Out of Calibration
RD000137,M11897,SEN-023,2026-03-01 07:08:00,50.0,40 C,4.5 bar,6.45,4.54,0.997,50.0,Valid,40.0,Valid,1.015,50.75,0.75,Within Limit
RD000138,M10990,SEN-041,2026-03-01 07:08:30,,35 C,5.2 bar,5.18,1.98,0.977,,Invalid,35.0,Valid,0.984,,,Out of Calibration
RD000139,M11758,SEN-046,2026-03-01 07:09:00,,,72 psi,6.4,2.71,1.018,47.4537,Valid,,Invalid,0.998,,,Out of Calibration
RD000140,M11318,SEN-044,2026-03-01 07:09:30,45.0,,65 psi,0.78,1.84,1.014,45.0,Valid,,Invalid,0.975,43.88,-1.12,Within Limit
RD000141,M9147,SEN-019,2026-03-01 07:10:00,60.0,104 F,72 psi,7.35,1.26,1.017,60.0,Valid,40.0,Valid,1.027,61.62,1.62,Within Limit
RD000142,M9466,SEN-038,2026-03-01 07:10:30,,,65 psi,1.74,1.05,0.996,47.4537,Valid,,Invalid,0.981,,,Out of Calibration
RD000143,M8056,SEN-015,2026-03-01 07:11:00,50.0,,5.2 bar,6.41,7.77,1.007,50.0,Valid,,Invalid,1.012,50.6,0.6,Within Limit
RD000144,M9980,SEN-010,2026-03-01 07:11:30,60.0,,4.5 bar,5.4,1.59,0.976,60.0,Valid,,Invalid,1.006,60.36,0.36,Within Limit
RD000145,M7035,SEN-003,2026-03-01 07:12:00,50.0,104 F,65 psi,8.2,3.04,1.001,50.0,Valid,40.0,Valid,0.997,49.85,-0.15,Within Limit
RD000146,M7059,SEN-024,2026-03-01 07:12:30,60.0,,65 psi,8.37,2.2,0.994,60.0,Valid,,Invalid,1.028,61.68,1.68,Within Limit
RD000147,M10454,SEN-041,2026-03-01 07:13:00,,35 C,5.2 bar,7.09,7.07,1.023,47.4537,Valid,35.0,Valid,0.984,,,Out of Calibration
RD000148,M9342,SEN-003,2026-03-01 07:13:30,45.0,95 F,65 psi,4.68,6.05,1.029,45.0,Valid,35.0,Valid,0.997,44.86,-0.14,Within Limit
RD000149,M8674,SEN-007,2026-03-01 07:14:00,45.0,104 F,4.5 bar,3.13,1.6,0.972,45.0,Valid,40.0,Valid,1.009,45.4,0.4,Within Limit
RD000150,M11538,SEN-022,2026-03-01 07:14:30,45.0,104 F,65 psi,3.65,2.37,0.986,45.0,Valid,40.0,Valid,1.021,45.94,0.94,Within Limit
RD000151,M11772,SEN-030,2026-03-01 07:15:00,,104 F,5.2 bar,1.54,4.08,1.02,97.61904,Valid,40.0,Valid,0.997,,,Out of Calibration
RD000152,M8815,SEN-028,2026-03-01 07:15:30,50.0,85C,72 psi,4.92,6.61,1.011,50.0,Valid,85.0,Valid,1.028,51.4,1.4,Within Limit
RD000153,M9001,SEN-033,2026-03-01 07:16:00,,104 F,72 psi,8.41,2.9,0.983,97.61904,Valid,40.0,Valid,0.986,,,Out of Calibration
RD000154,M7437,SEN-020,2026-03-01 07:16:30,,,72 psi,6.64,4.5,1.01,47.4537,Valid,,Invalid,0.985,,,Out of Calibration
RD000155,M9561,SEN-005,2026-03-01 07:17:00,50.0,85C,4.5 bar,2.86,4.45,1.022,50.0,Valid,85.0,Valid,0.994,49.7,-0.3,Within Limit
RD000156,M11192,SEN-013,2026-03-01 07:17:30,,104 F,65 psi,7.27,3.85,0.971,,Invalid,40.0,Valid,1.003,,,Out of Calibration
RD000157,M7961,SEN-050,2026-03-01 07:18:00,,85C,5.2 bar,0.76,4.44,1.018,97.61904,Valid,85.0,Valid,0.995,,,Out of Calibration
RD000158,M10574,SEN-024,2026-03-01 07:18:30,,,72 psi,6.49,6.2,0.988,47.4537,Valid,,Invalid,1.028,,,Out of Calibration
RD000159,M10265,SEN-020,2026-03-01 07:19:00,45.0,95 F,4.5 bar,7.5,1.42,1.022,45.0,Valid,35.0,Valid,0.985,44.32,-0.68,Within Limit
RD000160,M9717,SEN-013,2026-03-01 07:19:30,,85C,4.5 bar,4.71,4.54,0.996,,Invalid,85.0,Valid,1.003,,,Out of Calibration
RD000161,M8121,SEN-021,2026-03-01 07:20:00,45.0,95 F,65 psi,1.08,5.52,1.009,45.0,Valid,35.0,Valid,1.01,45.45,0.45,Within Limit
RD000162,M7323,SEN-028,2026-03-01 07:20:30,60.0,104 F,65 psi,5.87,1.42,1.029,60.0,Valid,40.0,Valid,1.028,61.68,1.68,Within Limit
RD000163,M8823,SEN-023,2026-03-01 07:21:00,,95 F,72 psi,1.51,2.38,0.988,47.4537,Valid,35.0,Valid,1.015,,,Out of Calibration
RD000164,M8347,SEN-049,2026-03-01 07:21:30,45.0,104 F,5.2 bar,5.28,2.07,0.992,45.0,Valid,40.0,Valid,0.975,43.88,-1.12,Within Limit
