Inspection_ID,Event_ID,VIN,Defect_Code,Defect,Inspection_Source,Inspector_ID,Rework_Flag,Scrap_Reason,Result
INSP10054,M11556,MA1AB100000002565,D003,reject,Unknown,INS82,Y,,FAIL
INSP10055,M8068,MA1AB100000000983,D004, ok ,Unknown,INS42,Y,Paint,PASS
INSP10056,M7749,MA1AB100000002180,D003,Reject,Unknown,INS74,Y,Paint,PASS
INSP10057,M10124,MA1AB100000002452,NONE, ok ,Unknown,INS77,N,,FAIL
INSP10058,M10666,MA1AB100000002944,D001, ok ,Unknown,INS85,Y,,PASS
INSP10059,M8045,MA1AB100000003979,D004,Repair,Unknown,INS44,Y,Dimension,PASS
INSP10060,M10747,MA1AB100000004868,NONE,reject,Unknown,INS50,Y,Paint,PASS
INSP10061,M8503,MA1AB100000002761,D001, ok ,Unknown,INS91,Y,Dimension,FAIL
INSP10062,M9428,MA1AB100000004293,D002,Reject,Unknown,INS64,N,Weld,PASS
INSP10063,M8955,MA1AB100000002614,D002,,Unknown,INS46,N,,FAIL
INSP10064,M9686,MA1AB100000001016,D004,OK,Unknown,INS47,N,Paint,FAIL
INSP10065,M7083,MA1AB100000003197,NONE,OK,Unknown,INS17,Y,Dimension,FAIL
INSP10066,M8019,MA1AB100000001949,D002,OK,Unknown,INS54,Y,Material,PASS
INSP10067,M7979,MA1AB100000002259,D001,,Unknown,INS39,N,Dimension,FAIL
INSP10068,M11532,MA1AB100000002890,D003,OK,Unknown,INS49,Y,Weld,FAIL
INSP10069,M10843,MA1AB100000004656,D001, ok ,Unknown,INS36,Y,Dimension,FAIL
INSP10070,M8613,MA1AB100000003520,D004,Reject,Unknown,INS54,Y,,FAIL
INSP10071,M8978,MA1AB100000000136,NONE,Repair,Unknown,INS51,Y,Dimension,FAIL
INSP10072,M8446,MA1AB100000003835,NONE,OK,Unknown,INS68,Y,Dimension,PASS
INSP10073,M9312,MA1AB100000004583,D004,Repair,Unknown,INS52,Y,Weld,FAIL
INSP10074,M11508,MA1AB100000004727,D003, ok ,Unknown,INS22,N,Weld,FAIL
INSP10075,M8069,MA1AB100000003050,NONE,,Unknown,INS74,Y,Material,PASS
INSP10076,M7227,MA1AB100000004519,D004,OK,Unknown,INS82,N,,PASS
INSP10077,M11224,MA1AB100000000261,D004,Reject,Unknown,INS68,Y,Paint,FAIL
INSP10078,M11292,MA1AB100000001778,D001,Reject,Unknown,INS81,N,,PASS
INSP10079,M8440,MA1AB100000002533,D003, ok ,Unknown,INS49,Y,Dimension,FAIL
INSP10080,M7269,MA1AB100000002872,D001,OK,Unknown,INS48,Y,Material,PASS
INSP10081,M9164,MA1AB100000004771,D001, ok ,Unknown,INS62,Y,,PASS
INSP10082,M8771,MA1AB100000002781,NONE,reject,Unknown,INS35,N,Weld,PASS
INSP10083,M9289,MA1AB100000000653,D004, ok ,Unknown,INS41,N,Material,PASS
INSP10084,M9259,MA1AB100000003248,D004, ok ,Unknown,INS14,N,Dimension,FAIL
INSP10085,M10512,MA1AB100000000963,NONE,OK,Unknown,INS69,N,Weld,PASS
INSP10086,M8604,MA1AB100000003312,D004,OK,Unknown,INS95,N,Dimension,PASS
INSP10087,M8434,MA1AB100000000200,D002,OK,Unknown,INS58,Y,Material,PASS
INSP10088,M10745,MA1AB100000003025,D002, ok ,Unknown,INS49,Y,Dimension,PASS
INSP10089,M7363,MA1AB100000002499,D004,Repair,Unknown,INS93,Y,Weld,PASS
INSP10090,M10791,MA1AB100000000382,D001,Repair,Unknown,INS24,Y,Weld,PASS
INSP10091,M11783,MA1AB100000001730,D004,Repair,Unknown,INS74,Y,Material,FAIL
INSP10092,M11119,MA1AB100000000892,NONE,,Unknown,INS48,Y,Weld,PASS
INSP10093,M8826,MA1AB100000002883,D003,,Unknown,INS24,Y,Dimension,PASS
INSP10094,M8059,MA1AB100000004027,D004,Repair,Unknown,INS59,N,Dimension,FAIL
INSP10095,M7276,MA1AB100000004179,D004, ok ,Unknown,INS84,N,Material,PASS
INSP10096,M7814,MA1AB100000000005,D002,Repair,Unknown,INS54,Y,Paint,PASS
INSP10097,M11161,MA1AB100000002855,D003,OK,Unknown,INS13,Y,Dimension,FAIL
INSP10098,M10227,MA1AB100000001343,NONE, ok ,Unknown,INS97,N,,PASS
INSP10099,M7107,MA1AB100000000791,D002, ok ,Unknown,INS82,Y,,FAIL
INSP10100,M11929,MA1AB100000001684,NONE,Reject,Unknown,INS11,N,Material,PASS
INSP10101,M9382,MA1AB100000000430,D003, ok ,Unknown,INS75,Y,Material,FAIL
INSP10102,M10109,MA1AB100000001211,D001,OK,Unknown,INS66,Y,,PASS
INSP10103,M11327,MA1AB100000000410,D004,OK,Unknown,INS24,Y,,FAIL
INSP10104,M8317,MA1AB100000000438,D003, ok ,Unknown,INS48,N,Paint,PASS
INSP10105,M10404,MA1AB100000002027,NONE,Repair,Unknown,INS90,Y,Dimension,FAIL
INSP10106,M7778,MA1AB100000002821,D003,,Unknown,INS61,N,Dimension,FAIL
INSP10107,M9274,MA1AB100000002441,D001,OK,Unknown,INS71,N,,PASS
INSP10108,M10740,MA1AB100000002462,D003,OK,Unknown,INS85,Y,Material,FAIL
INSP10109,M10008,MA1AB100000000279,D003,reject,Unknown,INS34,N,Paint,FAIL
INSP10110,M11647,MA1AB100000004380,D001,Repair,Unknown,INS97,N,Material,PASS
INSP10111,M8622,MA1AB100000004787,D002,OK,Unknown,INS52,N,,FAIL
INSP10112,M7727,MA1AB100000001758,D001,OK,Unknown,INS17,Y,Dimension,PASS
INSP10113,M10965,MA1AB100000003439,D002,OK,Unknown,INS85,Y,Weld,FAIL
INSP10114,M7640,MA1AB100000001669,D001,,Unknown,INS76,Y,Weld,PASS
INSP10115,M9403,MA1AB100000000695,D004,Repair,Unknown,INS54,N,Paint,FAIL
INSP10116,M10637,MA1AB100000004741,D003,Repair,Unknown,INS21,N,Paint,FAIL
INSP10117,M9209,MA1AB100000002538,D001,,Unknown,INS40,Y,Paint,FAIL
INSP10118,M11010,MA1AB100000004199,D003,OK,Unknown,INS16,Y,,FAIL
INSP10119,M11023,MA1AB100000001527,D003,OK,Unknown,INS62,Y,Weld,FAIL
INSP10120,M7178,MA1AB100000003034,D004,,Unknown,INS54,Y,Paint,FAIL
INSP10121,M11907,MA1AB100000003117,NONE,reject,Unknown,INS62,N,Dimension,FAIL
INSP10122,M7630,MA1AB100000002139,NONE, ok ,Unknown,INS12,Y,,FAIL
INSP10123,M9702,MA1AB100000000920,D002,OK,Unknown,INS22,N,Dimension,FAIL
INSP10124,M8012,MA1AB100000002046,D002,,Unknown,INS73,N,Dimension,FAIL
INSP10125,M7433,MA1AB100000000660,D004, ok ,Unknown,INS49,N,Paint,FAIL
INSP10126,M7062,MA1AB100000000553,D001,OK,Unknown,INS78,Y,Dimension,FAIL
INSP10127,M7385,MA1AB100000004951,D001,,Unknown,INS98,N,Paint,FAIL
INSP10128,M8151,MA1AB100000002495,D003,Repair,Unknown,INS44,N,Dimension,PASS
INSP10129,M8208,MA1AB100000004601,D002, ok ,Unknown,INS95,N,Dimension,FAIL
INSP10130,M7417,MA1AB100000000262,D001,OK,Unknown,INS51,Y,,PASS
INSP10131,M8950,MA1AB100000003465,D002,,Unknown,INS88,N,Paint,FAIL
INSP10132,M11577,MA1AB100000003776,NONE, ok ,Unknown,INS50,N,Dimension,PASS
INSP10133,M7160,MA1AB100000003727,D004,reject,Unknown,INS63,N,Material,FAIL
INSP10134,M9868,MA1AB100000002843,D004,OK,Unknown,INS66,N,,FAIL
INSP10135,M7481,MA1AB100000002920,D003,Repair,Unknown,INS62,N,Paint,PASS
INSP10136,M9009,MA1AB100000002318,NONE,Repair,Unknown,INS59,Y,Weld,FAIL
INSP10137,M11852,MA1AB100000003188,D004,OK,Unknown,INS25,Y,Material,FAIL
INSP10138,M8676,MA1AB100000000448,D002,OK,Unknown,INS53,N,Material,FAIL
INSP10139,M10259,MA1AB100000001382,D002,reject,Unknown,INS73,N,Dimension,FAIL
INSP10140,M11448,MA1AB100000004966,NONE,,Unknown,INS92,N,Material,FAIL
INSP10141,M7667,MA1AB100000001158,D003,OK,Unknown,INS95,N,Paint,FAIL
INSP10142,M11356,MA1AB100000002334,D001,,Unknown,INS86,Y,Dimension,PASS
INSP10143,M8590,MA1AB100000002579,D003,reject,Unknown,INS95,N,Paint,FAIL
INSP10144,M10756,MA1AB100000002340,D001,Reject,Unknown,INS50,N,,FAIL
INSP10145,M11779,MA1AB100000001591,D002, ok ,Unknown,INS74,N,Paint,PASS
INSP10146,M8143,MA1AB100000000494,D002,OK,Unknown,INS66,Y,Weld,FAIL
INSP10147,M7159,MA1AB100000003123,D002,reject,Unknown,INS75,N,Weld,PASS
INSP10148,M11444,MA1AB100000001511,D002,OK,Unknown,INS35,Y,Dimension,PASS
INSP10149,M10496,MA1AB100000002808,NONE, ok ,Unknown,INS95,Y,Material,PASS
INSP10150,M7939,MA1AB100000000905,NONE,OK,Unknown,INS81,N,Paint,PASS
INSP10151,M8908,MA1AB100000000377,D002,reject,Unknown,INS22,Y,Paint,PASS
INSP10152,M7751,MA1AB100000001834,D004, ok ,Unknown,INS59,N,Dimension,FAIL
INSP10153,M7986,MA1AB100000004530,NONE,Reject,Unknown,INS48,Y,,PASS
INSP10154,M10684,MA1AB100000004395,D002, ok ,Unknown,INS85,Y,Dimension,FAIL
INSP10155,M10423,MA1AB100000002176,D003,,Unknown,INS85,Y,Paint,FAIL
INSP10156,M8854,MA1AB100000003159,D004, ok ,Unknown,INS50,Y,Material,FAIL
INSP10157,M9576,MA1AB100000000553,D004,,Unknown,INS46,N,Material,FAIL
INSP10158,M9075,MA1AB100000002181,D004,Repair,Unknown,INS42,N,Dimension,FAIL
INSP10159,M11977,MA1AB100000001584,D003,Repair,Unknown,INS87,Y,Paint,PASS
INSP10160,M7239,MA1AB100000003848,D002,,Unknown,INS56,N,Paint,FAIL
INSP10161,M10012,MA1AB100000000798,D003,OK,Unknown,INS58,N,Weld,FAIL
INSP10162,M10428,MA1AB100000001095,D003,,Unknown,INS21,Y,Paint,FAIL
INSP10163,M9227,MA1AB100000003829,D003,Reject,Unknown,INS79,N,Material,PASS
INSP10164,M8214,MA1AB100000003924,NONE,,Unknown,INS24,N,Material,FAIL
INSP10165,M7959,MA1AB100000004769,D002,,Unknown,INS62,N,Material,FAIL
INSP10166,M10259,MA1AB100000001815,D003,reject,Unknown,INS30,Y,Weld,FAIL
INSP10167,M8312,MA1AB100000003843,D002,reject,Unknown,INS74,N,Weld,FAIL
INSP10168,M11637,MA1AB100000002901,D001,Repair,Unknown,INS55,Y,Material,PASS
INSP10169,M11525,MA1AB100000003784,D002,OK,Unknown,INS25,N,Material,FAIL
INSP10170,M8663,MA1AB100000003464,D004,Reject,Unknown,INS15,Y,Dimension,FAIL
INSP10171,M10784,MA1AB100000001822,NONE,OK,Unknown,INS21,N,Paint,FAIL
INSP10172,M9469,MA1AB100000000494,D001,Reject,Unknown,INS21,Y,Weld,FAIL
INSP10173,M10186,MA1AB100000002067,D003,,Unknown,INS76,Y,,PASS
INSP10174,M9920,MA1AB100000004460,NONE,Repair,Unknown,INS45,N,Weld,FAIL
INSP10175,M11447,MA1AB100000001348,D003,reject,Unknown,INS31,Y,Dimension,FAIL
INSP10176,M9455,MA1AB100000003636,D001, ok ,Unknown,INS67,N,,PASS
INSP10177,M9820,MA1AB100000004328,D001,reject,Unknown,INS59,Y,Dimension,PASS
INSP10178,M11854,MA1AB100000004221,D003,Repair,Unknown,INS68,N,Weld,PASS
INSP10179,M9527,MA1AB100000003697,D004,,Unknown,INS57,Y,,PASS
INSP10180,M11394,MA1AB100000001509,NONE,reject,Unknown,INS56,Y,Material,PASS
INSP10181,M8796,MA1AB100000003099,NONE,OK,Unknown,INS12,Y,Paint,FAIL
INSP10182,M10288,MA1AB100000002197,D003,reject,Unknown,INS96,Y,Weld,FAIL
INSP10183,M8165,MA1AB100000000374,D002,,Unknown,INS52,N,,PASS
INSP10184,M7969,MA1AB100000001917,D001,Reject,Unknown,INS37,Y,Paint,FAIL
INSP10185,M7364,MA1AB100000001948,D003,,Unknown,INS29,Y,Material,PASS
INSP10186,M10499,MA1AB100000001896,D004,reject,Unknown,INS22,Y,Weld,FAIL
INSP10187,M10770,MA1AB100000004492,D002,reject,Unknown,INS60,N,Weld,FAIL
INSP10188,M10339,MA1AB100000003789,NONE,Reject,Unknown,INS61,N,Material,PASS
INSP10189,M9610,MA1AB100000004447,D004,OK,Unknown,INS37,N,Paint,PASS
INSP10190,M8113,MA1AB100000001361,D002,reject,Unknown,INS33,Y,Paint,FAIL
INSP10191,M8930,MA1AB100000003540,NONE,,Unknown,INS34,N,,FAIL
INSP10192,M11127,MA1AB100000000294,NONE,,Unknown,INS84,N,Material,PASS
INSP10193,M9220,MA1AB100000001571,D003,Reject,Unknown,INS31,Y,Weld,FAIL
INSP10194,M9856,MA1AB100000003399,D002,Reject,Unknown,INS93,Y,Material,FAIL
INSP10195,M7044,MA1AB100000000087,D004,OK,Unknown,INS11,N,Material,PASS
INSP10196,M8344,MA1AB100000001462,NONE,,Unknown,INS52,Y,,FAIL
INSP10197,M8399,MA1AB100000001907,D004,reject,Unknown,INS56,Y,Material,PASS
INSP10198,M9748,MA1AB100000002954,NONE,Reject,Unknown,INS32,N,Weld,PASS
INSP10199,M7644,MA1AB100000003207,D001,reject,Unknown,INS44,Y,Material,FAIL
INSP10200,M11820,MA1AB100000004588,D003,reject,Unknown,INS86,Y,Weld,PASS
INSP10201,M8892,MA1AB100000002566,D003,OK,Unknown,INS87,Y,Dimension,FAIL
INSP10202,M8596,MA1AB100000004153,D003,reject,Unknown,INS72,Y,,FAIL
INSP10203,M7823,MA1AB100000001311,D004,reject,Unknown,INS81,Y,Weld,FAIL
INSP10204,M9609,MA1AB100000000458,NONE,OK,Unknown,INS86,N,Material,PASS
INSP10205,M7557,MA1AB100000003450,NONE,Reject,Unknown,INS31,Y,Weld,FAIL
INSP10206,M10302,MA1AB100000004379,D004,reject,Unknown,INS15,N,Material,FAIL
INSP10207,M7298,MA1AB100000004405,NONE,,Unknown,INS35,Y,Dimension,FAIL
INSP10208,M7376,MA1AB100000004814,D004,Reject,Unknown,INS25,Y,Weld,PASS
INSP10209,M9786,MA1AB100000000499,D002,Repair,Unknown,INS94,N,,PASS
INSP10210,M10653,MA1AB100000000237,NONE, ok ,Unknown,INS30,N,Material,FAIL
INSP10211,M7805,MA1AB100000001178,NONE,,Unknown,INS61,Y,Weld,PASS
INSP10212,M7680,MA1AB100000001330,NONE,Reject,Unknown,INS53,N,Weld,FAIL
INSP10213,M9374,MA1AB100000000646,NONE, ok ,Unknown,INS74,N,Paint,FAIL
INSP10214,M10054,MA1AB100000002238,D003, ok ,Unknown,INS97,N,,FAIL
INSP10215,M10681,MA1AB100000004665,D004,OK,Unknown,INS16,Y,,PASS
INSP10216,M11670,MA1AB100000000966,NONE, ok ,Unknown,INS88,Y,Paint,FAIL
INSP10217,M11786,MA1AB100000002805,D001,Reject,Unknown,INS71,N,Dimension,PASS
INSP10218,M9965,MA1AB100000002090,NONE,reject,Unknown,INS14,N,Dimension,FAIL
INSP10219,M9946,MA1AB100000000727,D003, ok ,Unknown,INS32,Y,Weld,PASS
INSP10220,M9185,MA1AB100000003926,D002,,Unknown,INS80,Y,,PASS
INSP10221,M9194,MA1AB100000004117,D002,reject,Unknown,INS40,N,,PASS
INSP10222,M10324,MA1AB100000003502,D003, ok ,Unknown,INS56,N,Material,FAIL
INSP10223,M9777,MA1AB100000003581,NONE,,Unknown,INS29,Y,Dimension,PASS
INSP10224,M9226,MA1AB100000003779,NONE,reject,Unknown,INS91,N,Dimension,FAIL
INSP10225,M9139,MA1AB100000004810,D002,,Unknown,INS46,N,Material,FAIL
INSP10226,M10502,MA1AB100000003091,D001,Repair,Unknown,INS31,Y,Weld,FAIL
INSP10227,M9451,MA1AB100000002541,D003,Repair,Unknown,INS75,N,Dimension,FAIL
INSP10228,M10302,MA1AB100000003239,D001,Reject,Unknown,INS87,N,Weld,FAIL
INSP10229,M7448,MA1AB100000003697,D003,OK,Unknown,INS33,N,Material,FAIL
INSP10230,M7540,MA1AB100000001903,D003,OK,Unknown,INS89,N,Weld,PASS
INSP10231,M11268,MA1AB100000003169,D003,reject,Unknown,INS67,N,Paint,PASS
INSP10232,M11109,MA1AB100000001859,D003,,Unknown,INS47,Y,Dimension,PASS
INSP10233,M8083,MA1AB100000004809,D002,OK,Unknown,INS32,N,Weld,PASS
INSP10234,M11187,MA1AB100000001918,NONE,OK,Unknown,INS42,Y,Material,FAIL
INSP10235,M11218,MA1AB100000003809,D001,Repair,Unknown,INS43,N,Material,FAIL
INSP10236,M10296,MA1AB100000003333,D001,Reject,Unknown,INS45,N,Weld,PASS
INSP10237,M10575,MA1AB100000000928,D001,Repair,Unknown,INS99,N,,FAIL
INSP10238,M11387,MA1AB100000004448,D004,reject,Unknown,INS24,Y,Weld,FAIL
INSP10239,M11053,MA1AB100000000374,D004,Reject,Unknown,INS74,Y,Paint,FAIL
INSP10240,M8702,MA1AB100000002630,D001,,Unknown,INS81,N,,FAIL
INSP10241,M9176,MA1AB100000003275,NONE,Reject,Unknown,INS68,Y,Dimension,FAIL
INSP10242,M9965,MA1AB100000002766,D003,Reject,Unknown,INS93,Y,,PASS
INSP10243,M10415,MA1AB100000002539,D001,Reject,Unknown,INS67,N,Paint,FAIL
INSP10244,M11849,MA1AB100000001044,D001, ok ,Unknown,INS92,Y,Paint,FAIL
INSP10245,M8426,MA1AB100000004447,D002,Repair,Unknown,INS86,Y,Weld,PASS
INSP10246,M9072,MA1AB100000003379,D003, ok ,Unknown,INS27,Y,Paint,PASS
INSP10247,M10948,MA1AB100000003787,D004,reject,Unknown,INS63,Y,Paint,FAIL
INSP10248,M9806,MA1AB100000003187,D004,OK,Unknown,INS34,N,Dimension,FAIL
INSP10249,M7414,MA1AB100000003759,D002,reject,Unknown,INS83,Y,Dimension,PASS
INSP10250,M10150,XX1 2 3 4,D001,Reject,Unknown,INS31,N,Paint,FAIL
INSP10251,M7518,MA1AB100000002769,NONE,Reject,Unknown,INS49,Y,Material,FAIL
INSP10252,M10268,MA1AB100000000861,NONE,Repair,Unknown,INS91,N,Paint,PASS
INSP10253,M8713,MA1AB100000000633,D003,,Unknown,INS90,Y,Paint,PASS
INSP10254,M11700,MA1AB100000003734,NONE,reject,Unknown,INS43,N,,PASS
INSP10255,M11597,MA1AB100000003867,NONE,OK,Unknown,INS56,N,Material,FAIL
INSP10256,M8992,MA1AB100000001128,D004,Repair,Unknown,INS24,N,Dimension,FAIL
INSP10257,M7835,MA1AB100000004600,D003,Repair,Unknown,INS51,Y,Paint,PASS
INSP10258,M9245,MA1AB100000004173,D002,Reject,Unknown,INS88,Y,Paint,PASS
INSP10259,M11678,MA1AB100000002610,D003,Reject,Unknown,INS37,Y,Material,FAIL
INSP10260,M10661,MA1AB100000001372,D004,Repair,Unknown,INS62,N,Dimension,FAIL
INSP10261,M11171,MA1AB100000001719,NONE,Reject,Unknown,INS66,N,Weld,PASS
INSP10262,M8829,MA1AB100000000297,NONE,reject,Unknown,INS29,Y,,PASS
INSP10263,M10954,MA1AB100000003967,NONE,OK,Unknown,INS62,Y,Material,FAIL
INSP10264,M8568,MA1AB100000004331,D003, ok ,Unknown,INS11,Y,,FAIL
INSP10265,M10480,MA1AB100000001447,D002,Reject,Unknown,INS62,N,Material,FAIL
INSP10266,M9767,MA1AB100000004447,NONE,Repair,Unknown,INS89,N,Material,FAIL
INSP10267,M11621,MA1AB100000002047,D004,Repair,Unknown,INS70,Y,Weld,PASS
INSP10268,M10061,MA1AB100000002025,D003,Repair,Unknown,INS51,N,Weld,FAIL
INSP10269,M9610,MA1AB100000003153,D003, ok ,Unknown,INS82,N,Weld,FAIL
INSP10270,M8011,MA1AB100000004673,D001,Reject,Unknown,INS93,N,Paint,FAIL
INSP10271,M10287,MA1AB100000000093,NONE,OK,Unknown,INS88,N,Material,PASS
INSP10272,M9463,MA1AB100000001917,D001,,Unknown,INS37,Y,Weld,PASS
INSP10273,M9958,MA1AB100000001620,D004,OK,Unknown,INS74,N,Dimension,FAIL
INSP10274,M9999,MA1AB100000001169,D001,,Unknown,INS75,Y,Weld,PASS
INSP10275,M8496,MA1AB100000004482,D001,Reject,Unknown,INS57,N,Weld,FAIL
INSP10276,M9945,MA1AB100000003346,D004,Repair,Unknown,INS38,N,Paint,PASS
INSP10277,M9794,MA1AB100000004172,D004,OK,Unknown,INS29,N,,FAIL
INSP10278,M9328,MA1AB100000001816,NONE,,Unknown,INS65,Y,Paint,FAIL
INSP10279,M10102,MA1AB100000000573,D002,OK,Unknown,INS26,Y,Weld,FAIL
INSP10280,M11192,MA1AB100000002557,D001,reject,Unknown,INS21,N,Weld,FAIL
INSP10281,M11910,MA1AB100000003117,D003,OK,Unknown,INS80,Y,Weld,PASS
INSP10282,M11885,MA1AB100000000279,D002,Reject,Unknown,INS53,N,Paint,PASS
INSP10283,M8279,MA1AB100000003853,D004,Repair,Unknown,INS36,N,Weld,PASS
INSP10284,M10148,MA1AB100000003640,D003,Reject,Unknown,INS22,N,Material,FAIL
INSP10285,M10325,MA1AB100000001624,NONE,OK,Unknown,INS63,N,,FAIL
INSP10286,M10315,MA1AB100000000397,D002, ok ,Unknown,INS11,Y,Dimension,PASS
INSP10287,M11460,MA1AB100000002512,D001, ok ,Unknown,INS82,Y,Paint,PASS
INSP10288,M8495,MA1AB100000001265,D001,Reject,Unknown,INS16,Y,Dimension,PASS
INSP10289,M8878,MA1AB100000004194,NONE, ok ,Unknown,INS44,Y,Weld,FAIL
INSP10290,M11484,MA1AB100000002837,D004,OK,Unknown,INS70,Y,Paint,FAIL
INSP10291,M10872,MA1AB100000003060,D001,,Unknown,INS42,Y,Material,PASS
INSP10292,M10054,MA1AB100000000381,NONE,Repair,Unknown,INS56,N,Dimension,PASS
INSP10293,M9477,MA1AB100000003056,D001,Reject,Unknown,INS72,Y,Paint,FAIL
INSP10294,M8878,MA1AB100000002645,D002,Reject,Unknown,INS52,Y,Paint,FAIL
INSP10295,M11527,MA1AB100000004939,D002,OK,Unknown,INS90,Y,Weld,PASS
INSP10296,M11669,MA1AB100000004870,D002,reject,Unknown,INS27,N,Material,FAIL
INSP10297,M10070,MA1AB100000003957,D003,Reject,Unknown,INS73,N,Dimension,PASS
INSP10298,M8926,MA1AB100000003407,D003,Reject,Unknown,INS18,N,Paint,FAIL
INSP10299,M7256,MA1AB100000002739,D001,Reject,Unknown,INS25,N,Weld,FAIL
INSP10300,M7543,MA1AB100000004779,NONE,OK,Unknown,INS52,Y,Dimension,PASS
