Part_Number,Part_Name,Category,BOM_Version,Effective_Date,Unit_Cost_USD,Supplier_Code,Status,Plant,Effective_From,Effective_To
ENG-1015,Engine Part 16,Suspension,V1,2026-03-01,167.5,SUP-170,Active,Plant-B,2026-03-01,2026-08-28
ENG-1016,Engine Part 17,Chassis,V1,2026-03-01,382.04,SUP-076,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1017,Engine Part 18,Transmission,V2,2026-03-01,407.18,SUP-154,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1018,Engine Part 19,Interior,V3,2025-12-01,339.31,SUP-005,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1019,Exterior Part 20,Transmission,V2,2026-03-01,64.4,SUP-095,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1020,Engine Part 21,Exterior,V2,2025-12-01,33.31,SUP-158,Active,Plant-C,2025-12-01,2026-05-30
ENG-1021,Chassis Part 22,Electrical,v1,2026-03-01,82.66,SUP-031,Active,Plant-B,2026-03-01,2026-08-28
ENG-1022,Suspension Part 23,Electrical,V3,2026-01-01,497.14,SUP-152,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1023,Transmission Part 24,Chassis,v1,2026-03-01,139.13,SUP-062,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1024,Chassis Part 25,Exterior,v1,2025-12-01,433.96,SUP-146,Active,Plant-A,2025-12-01,2026-05-30
ENG-1025,Exterior Part 26,Brake,V2,2026-03-01,36.45,SUP-109,Active,Plant-B,2026-03-01,2026-08-28
ENG-1026,Transmission Part 27,Suspension,V3,2025-12-01,432.23,SUP-011,Active,Plant-C,2025-12-01,2026-05-30
ENG-1027,Suspension Part 28,Electrical,V3,2026-01-01,144.83,SUP-111,Active,Plant-A,2026-01-01,2026-06-30
ENG-1028,Suspension Part 29,Interior,V3,2026-01-01,160.98,SUP-090,Active,Plant-A,2026-01-01,2026-06-30
ENG-1029,Interior Part 30,Engine,V2,2026-03-01,387.52,SUP-185,Active,Plant-C,2026-03-01,2026-08-28
ENG-1030,Engine Part 31,Brake,V3,2025-12-01,74.52,SUP-024,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1031,Suspension Part 32,Engine,V2,2025-12-01,82.7,SUP-054,Active,Plant-A,2025-12-01,2026-05-30
ENG-1032,Engine Part 33,Suspension,V3,2026-01-01,130.07,SUP-189,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1033,Electrical Part 34,Exterior,V3,2026-01-01,430.53,SUP-027,Active,Plant-C,2026-01-01,2026-06-30
ENG-1034,Interior Part 35,Transmission,V2,2026-01-01,88.19,SUP-021,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1035,Suspension Part 36,Engine,V3,2026-01-01,197.64,SUP-187,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1036,Transmission Part 37,Engine,V2,2026-01-01,139.84,SUP-006,Active,Plant-C,2026-01-01,2026-06-30
ENG-1037,Exterior Part 38,Suspension,V3,2026-03-01,191.3,SUP-180,Active,Plant-C,2026-03-01,2026-08-28
ENG-1038,Exterior Part 39,Electrical,v1,2026-03-01,490.59,SUP-065,Active,Plant-B,2026-03-01,2026-08-28
ENG-1039,Electrical Part 40,Engine,V1,2025-12-01,163.94,SUP-015,Active,Plant-B,2025-12-01,2026-05-30
ENG-1040,Electrical Part 41,Engine,V1,2026-01-01,219.49,SUP-153,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1041,Interior Part 42,Interior,V3,2026-03-01,74.48,SUP-162,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1042,Interior Part 43,Exterior,V2,2026-03-01,279.74,SUP-140,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1043,Suspension Part 44,Transmission,V3,2026-01-01,263.53,SUP-048,Active,Plant-C,2026-01-01,2026-06-30
ENG-1044,Exterior Part 45,Brake,V2,2026-01-01,499.46,SUP-090,Active,Plant-C,2026-01-01,2026-06-30
ENG-1045,Chassis Part 46,Exterior,V2,2026-03-01,252.74,SUP-176,Active,Plant-A,2026-03-01,2026-08-28
ENG-1046,Engine Part 47,Exterior,v1,2026-03-01,495.53,SUP-093,Active,Plant-C,2026-03-01,2026-08-28
ENG-1047,Electrical Part 48,Transmission,V3,2026-03-01,241.48,SUP-151,Active,Plant-B,2026-03-01,2026-08-28
ENG-1048,Exterior Part 49,Transmission,v1,2026-01-01,455.74,SUP-146,Active,Plant-A,2026-01-01,2026-06-30
ENG-1049,Exterior Part 50,Chassis,v1,2025-12-01,117.0,SUP-134,Active,Plant-A,2025-12-01,2026-05-30
ENG-1050,Suspension Part 51,Brake,V3,2025-12-01,426.89,SUP-102,Active,Plant-B,2025-12-01,2026-05-30
ENG-1051,Brake Part 52,Chassis,V1,2026-03-01,481.91,SUP-127,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1052,Exterior Part 53,Brake,v1,2026-01-01,105.02,SUP-178,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1053,Interior Part 54,Transmission,V2,2026-01-01,426.67,SUP-131,Active,Plant-A,2026-01-01,2026-06-30
ENG-1054,Brake Part 55,Chassis,v1,2025-12-01,390.08,SUP-007,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1055,Interior Part 56,Engine,v1,2026-01-01,17.92,SUP-051,Active,Plant-A,2026-01-01,2026-06-30
ENG-1056,Brake Part 57,Chassis,v1,2026-03-01,24.01,SUP-042,Active,Plant-B,2026-03-01,2026-08-28
ENG-1057,Electrical Part 58,Transmission,V3,2026-01-01,93.71,SUP-007,Active,Plant-A,2026-01-01,2026-06-30
ENG-1058,Exterior Part 59,Transmission,V3,2026-01-01,402.79,SUP-134,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1059,Electrical Part 60,Electrical,V3,2026-01-01,34.71,SUP-196,Active,Plant-B,2026-01-01,2026-06-30
ENG-1060,Chassis Part 61,Brake,V2,2026-01-01,440.15,SUP-055,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1061,Exterior Part 62,Interior,V1,2026-03-01,412.61,SUP-185,Active,Plant-C,2026-03-01,2026-08-28
ENG-1062,Electrical Part 63,Brake,V2,2026-03-01,139.66,SUP-032,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1063,Transmission Part 64,Brake,V1,2026-03-01,429.53,SUP-168,Active,Plant-C,2026-03-01,2026-08-28
ENG-1064,Transmission Part 65,Chassis,v1,2026-03-01,320.14,SUP-191,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1065,Interior Part 66,Suspension,v1,2025-12-01,325.35,SUP-023,Active,Plant-A,2025-12-01,2026-05-30
ENG-1066,Suspension Part 67,Engine,V1,2025-12-01,269.85,SUP-102,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1067,Suspension Part 68,Interior,V1,2026-03-01,342.14,SUP-093,Active,Plant-A,2026-03-01,2026-08-28
ENG-1068,Brake Part 69,Exterior,V2,2025-12-01,470.14,SUP-076,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1069,Electrical Part 70,Brake,v1,2026-03-01,375.96,SUP-098,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1070,Suspension Part 71,Interior,v1,2026-03-01,91.96,SUP-168,Active,Plant-C,2026-03-01,2026-08-28
ENG-1071,Exterior Part 72,Exterior,V3,2026-03-01,96.78,SUP-169,Active,Plant-C,2026-03-01,2026-08-28
ENG-1072,Suspension Part 73,Transmission,v1,2025-12-01,73.06,SUP-029,Active,Plant-B,2025-12-01,2026-05-30
 eng-1073 ,Brake Part 74,Transmission,V3,2026-03-01,331.3,SUP-088,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1074,Engine Part 75,Suspension,V1,2025-12-01,53.54,SUP-200,Active,Plant-B,2025-12-01,2026-05-30
ENG-1075,Interior Part 76,Transmission,V2,2025-12-01,486.3,SUP-016,Active,Plant-A,2025-12-01,2026-05-30
ENG-1076,Interior Part 77,Engine,v1,2026-03-01,257.33,SUP-081,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1077,Electrical Part 78,Engine,V2,2025-12-01,483.63,SUP-175,Active,Plant-B,2025-12-01,2026-05-30
ENG-1078,Engine Part 79,Exterior,V3,2026-03-01,58.26,SUP-110,Active,Plant-B,2026-03-01,2026-08-28
ENG-1079,Chassis Part 80,Suspension,v1,2026-01-01,237.26,SUP-172,Active,Plant-C,2026-01-01,2026-06-30
ENG-1080,Suspension Part 81,Interior,v1,2025-12-01,463.72,SUP-129,Active,Plant-C,2025-12-01,2026-05-30
ENG-1081,Electrical Part 82,Engine,v1,2025-12-01,294.62,SUP-050,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1082,Exterior Part 83,Interior,V2,2026-03-01,435.22,SUP-141,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1083,Interior Part 84,Suspension,V3,2025-12-01,291.4,SUP-069,Active,Plant-C,2025-12-01,2026-05-30
ENG-1084,Electrical Part 85,Exterior,V2,2026-01-01,94.74,SUP-047,Active,Plant-A,2026-01-01,2026-06-30
ENG-1085,Exterior Part 86,Brake,V3,2026-03-01,400.4,SUP-050,Active,Plant-C,2026-03-01,2026-08-28
ENG-1086,Suspension Part 87,Exterior,V3,2025-12-01,175.59,SUP-083,Active,Plant-B,2025-12-01,2026-05-30
ENG-1087,Transmission Part 88,Exterior,V1,2025-12-01,161.81,SUP-025,Active,Plant-B,2025-12-01,2026-05-30
ENG-1088,Suspension Part 89,Interior,v1,2026-03-01,69.47,SUP-060,Active,Plant-A,2026-03-01,2026-08-28
ENG-1089,Suspension Part 90,Interior,V1,2026-01-01,78.18,SUP-098,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1090,Suspension Part 91,Engine,V3,2025-12-01,56.64,SUP-114,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1091,Suspension Part 92,Exterior,V2,2026-01-01,70.45,SUP-027,Active,Plant-B,2026-01-01,2026-06-30
ENG-1092,Engine Part 93,Brake,V2,2026-01-01,231.75,SUP-086,Active,Plant-B,2026-01-01,2026-06-30
ENG-1093,Chassis Part 94,Brake,V1,2025-12-01,49.22,SUP-153,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1094,Suspension Part 95,Exterior,V2,2026-01-01,453.18,SUP-036,Active,Plant-B,2026-01-01,2026-06-30
ENG-1095,Chassis Part 96,Interior,V1,2025-12-01,87.98,SUP-024,Active,Plant-A,2025-12-01,2026-05-30
ENG-1096,Chassis Part 97,Interior,V1,2026-01-01,7.3,SUP-160,Active,Plant-A,2026-01-01,2026-06-30
ENG-1097,Electrical Part 98,Engine,V2,2026-03-01,157.21,SUP-157,Active,Plant-B,2026-03-01,2026-08-28
ENG-1098,Chassis Part 99,Chassis,v1,2025-12-01,444.81,SUP-111,Active,Plant-A,2025-12-01,2026-05-30
ENG-1099,Exterior Part 100,Chassis,V1,2026-03-01,242.43,SUP-103,Active,Plant-B,2026-03-01,2026-08-28
ENG-1100,Exterior Part 101,Exterior,v1,2026-03-01,307.34,SUP-120,Active,Plant-C,2026-03-01,2026-08-28
ENG-1101,Electrical Part 102,Interior,v1,2025-12-01,468.85,SUP-145,Active,Plant-B,2025-12-01,2026-05-30
ENG-1102,Chassis Part 103,Suspension,v1,2025-12-01,356.3,SUP-025,Active,Plant-A,2025-12-01,2026-05-30
ENG-1103,Suspension Part 104,Brake,v1,2025-12-01,327.26,SUP-106,Active,Plant-B,2025-12-01,2026-05-30
ENG-1104,Transmission Part 105,Exterior,V2,2026-03-01,63.57,SUP-090,Active,Plant-C,2026-03-01,2026-08-28
ENG-1105,Chassis Part 106,Exterior,V1,2026-03-01,241.79,SUP-107,Active,Plant-C,2026-03-01,2026-08-28
ENG-1106,Suspension Part 107,Transmission,V2,2026-03-01,262.66,SUP-068,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1107,Transmission Part 108,Interior,V2,2025-12-01,68.46,SUP-089,Active,Plant-B,2025-12-01,2026-05-30
ENG-1108,Interior Part 109,Brake,V2,2026-03-01,232.4,SUP-084,Active,Plant-C,2026-03-01,2026-08-28
ENG-1109,Suspension Part 110,Electrical,V3,2026-03-01,388.9,SUP-002,Active,Plant-B,2026-03-01,2026-08-28
ENG-1110,Chassis Part 111,Exterior,V1,2026-03-01,243.43,SUP-163,Active,Plant-C,2026-03-01,2026-08-28
ENG-1111,Brake Part 112,Brake,V3,2025-12-01,477.73,SUP-095,Active,Plant-C,2025-12-01,2026-05-30
ENG-1112,Exterior Part 113,Exterior,v1,2026-01-01,387.37,SUP-090,Active,Plant-C,2026-01-01,2026-06-30
ENG-1113,Exterior Part 114,Suspension,V1,2025-12-01,301.94,SUP-106,Active,Plant-B,2025-12-01,2026-05-30
ENG-1114,Brake Part 115,Brake,V1,2025-12-01,95.32,SUP-039,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1115,Brake Part 116,Electrical,V1,2025-12-01,171.9,SUP-091,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1116,Brake Part 117,Electrical,V3,2025-12-01,133.28,SUP-183,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1117,Engine Part 118,Chassis,v1,2026-01-01,477.77,SUP-063,Active,Plant-A,2026-01-01,2026-06-30
ENG-1118,Engine Part 119,Brake,V2,2026-03-01,255.68,SUP-014,Active,Plant-B,2026-03-01,2026-08-28
ENG-1119,Suspension Part 120,Chassis,v1,2025-12-01,132.97,SUP-127,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1120,Exterior Part 121,Electrical,V2,2025-12-01,405.78,SUP-173,Active,Plant-C,2025-12-01,2026-05-30
ENG-1121,Brake Part 122,Interior,V2,2026-03-01,62.8,SUP-060,Active,Plant-C,2026-03-01,2026-08-28
ENG-1122,Transmission Part 123,Chassis,v1,2026-03-01,314.95,SUP-176,Active,Plant-A,2026-03-01,2026-08-28
ENG-1123,Chassis Part 124,Interior,V1,2025-12-01,158.49,SUP-030,Active,Plant-A,2025-12-01,2026-05-30
ENG-1124,Interior Part 125,Electrical,V2,2026-03-01,394.66,SUP-090,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1125,Transmission Part 126,Electrical,v1,2026-03-01,277.61,SUP-070,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1126,Exterior Part 127,Brake,V3,2026-01-01,321.11,SUP-123,Active,Plant-A,2026-01-01,2026-06-30
ENG-1127,Chassis Part 128,Engine,V3,2026-01-01,350.3,SUP-076,Active,Plant-A,2026-01-01,2026-06-30
ENG-1128,Brake Part 129,Chassis,v1,2026-03-01,173.44,SUP-002,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1129,Brake Part 130,Suspension,V2,2026-03-01,193.41,SUP-005,Active,Plant-C,2026-03-01,2026-08-28
ENG-1130,Suspension Part 131,Electrical,v1,2026-01-01,233.39,SUP-034,Active,Plant-C,2026-01-01,2026-06-30
ENG-1131,Transmission Part 132,Engine,v1,2026-01-01,257.02,SUP-194,Active,Plant-C,2026-01-01,2026-06-30
ENG-1132,Transmission Part 133,Electrical,V2,2026-03-01,285.66,SUP-061,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1133,Brake Part 134,Electrical,V3,2026-03-01,278.53,SUP-179,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1134,Suspension Part 135,Chassis,V2,2026-01-01,351.44,SUP-011,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1135,Brake Part 136,Brake,V2,2026-03-01,224.72,SUP-098,Active,Plant-C,2026-03-01,2026-08-28
ENG-1136,Brake Part 137,Suspension,V2,2026-03-01,168.02,SUP-010,Active,Plant-B,2026-03-01,2026-08-28
ENG-1137,Transmission Part 138,Suspension,V1,2025-12-01,403.27,SUP-011,Active,Plant-A,2025-12-01,2026-05-30
ENG-1138,Suspension Part 139,Brake,v1,2026-03-01,34.47,SUP-097,Active,Plant-B,2026-03-01,2026-08-28
ENG-1139,Interior Part 140,Exterior,V2,2026-03-01,284.2,SUP-127,Active,Plant-A,2026-03-01,2026-08-28
ENG-1140,Electrical Part 141,Interior,v1,2026-03-01,26.88,SUP-056,Active,Plant-B,2026-03-01,2026-08-28
ENG-1141,Interior Part 142,Electrical,V2,2025-12-01,339.79,SUP-053,Active,Plant-C,2025-12-01,2026-05-30
ENG-1142,Suspension Part 143,Chassis,V3,2026-03-01,390.99,SUP-184,Active,Plant-C,2026-03-01,2026-08-28
ENG-1143,Suspension Part 144,Engine,v1,2026-03-01,159.82,SUP-029,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1144,Electrical Part 145,Electrical,V2,2025-12-01,192.24,SUP-200,Active,Plant-A,2025-12-01,2026-05-30
ENG-1145,Chassis Part 146,Suspension,V2,2026-03-01,108.54,SUP-030,Active,Plant-C,2026-03-01,2026-08-28
 eng-1146 ,Chassis Part 147,Brake,V3,2025-12-01,209.83,SUP-166,Active,Plant-B,2025-12-01,2026-05-30
ENG-1147,Transmission Part 148,Suspension,V2,2026-03-01,266.18,SUP-034,Active,Plant-A,2026-03-01,2026-08-28
ENG-1148,Brake Part 149,Exterior,V2,2026-01-01,12.54,SUP-160,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1149,Electrical Part 150,Suspension,V2,2026-01-01,192.67,SUP-175,Active,Plant-B,2026-01-01,2026-06-30
ENG-1150,Chassis Part 151,Suspension,V2,2025-12-01,94.38,SUP-086,Active,Plant-B,2025-12-01,2026-05-30
ENG-1151,Engine Part 152,Suspension,V1,2025-12-01,400.31,SUP-001,Active,Plant-B,2025-12-01,2026-05-30
ENG-1152,Interior Part 153,Transmission,v1,2026-01-01,266.22,SUP-168,Active,Plant-A,2026-01-01,2026-06-30
ENG-1153,Interior Part 154,Suspension,V2,2025-12-01,46.78,SUP-114,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1154,Electrical Part 155,Transmission,v1,2025-12-01,299.65,SUP-125,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1155,Suspension Part 156,Exterior,V3,2026-03-01,372.88,SUP-079,Active,Plant-B,2026-03-01,2026-08-28
ENG-1156,Chassis Part 157,Transmission,V3,2026-01-01,15.62,SUP-052,Active,Plant-A,2026-01-01,2026-06-30
ENG-1157,Interior Part 158,Suspension,V2,2026-03-01,368.81,SUP-042,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1158,Engine Part 159,Transmission,V1,2025-12-01,391.26,SUP-152,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1159,Chassis Part 160,Brake,V1,2026-03-01,247.38,SUP-004,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1160,Chassis Part 161,Exterior,v1,2026-03-01,126.39,SUP-193,Active,Plant-B,2026-03-01,2026-08-28
ENG-1161,Transmission Part 162,Interior,V3,2025-12-01,228.25,SUP-149,Active,Plant-C,2025-12-01,2026-05-30
ENG-1162,Engine Part 163,Interior,v1,2026-03-01,267.71,SUP-158,Active,Plant-A,2026-03-01,2026-08-28
ENG-1163,Electrical Part 164,Suspension,V2,2025-12-01,438.67,SUP-036,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1164,Engine Part 165,Engine,v1,2025-12-01,350.38,SUP-010,Active,Plant-B,2025-12-01,2026-05-30
ENG-1165,Electrical Part 166,Chassis,V2,2025-12-01,177.27,SUP-165,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1166,Electrical Part 167,Engine,v1,2025-12-01,12.98,SUP-041,Active,Plant-A,2025-12-01,2026-05-30
ENG-1167,Exterior Part 168,Chassis,V2,2025-12-01,176.82,SUP-024,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1168,Chassis Part 169,Exterior,V1,2025-12-01,242.61,SUP-105,Active,Plant-C,2025-12-01,2026-05-30
ENG-1169,Transmission Part 170,Brake,V3,2026-01-01,113.23,SUP-112,Active,Plant-C,2026-01-01,2026-06-30
ENG-1170,Transmission Part 171,Suspension,V2,2026-03-01,237.68,SUP-200,Active,Plant-B,2026-03-01,2026-08-28
ENG-1171,Electrical Part 172,Suspension,V3,2025-12-01,7.35,SUP-091,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1172,Engine Part 173,Exterior,V3,2026-01-01,64.9,SUP-126,Active,Plant-A,2026-01-01,2026-06-30
ENG-1173,Brake Part 174,Interior,V2,2026-01-01,324.35,SUP-044,Active,Plant-C,2026-01-01,2026-06-30
ENG-1174,Interior Part 175,Transmission,V1,2025-12-01,476.84,SUP-174,Active,Plant-A,2025-12-01,2026-05-30
ENG-1175,Engine Part 176,Transmission,V1,2026-01-01,190.95,SUP-091,Active,Plant-C,2026-01-01,2026-06-30
ENG-1176,Chassis Part 177,Suspension,V1,2025-12-01,304.93,SUP-004,Active,Plant-B,2025-12-01,2026-05-30
ENG-1177,Chassis Part 178,Brake,V2,2026-01-01,5.82,SUP-025,Active,Plant-A,2026-01-01,2026-06-30
ENG-1178,Exterior Part 179,Brake,v1,2025-12-01,399.8,SUP-125,Active,Plant-A,2025-12-01,2026-05-30
ENG-1179,Transmission Part 180,Suspension,v1,2026-01-01,134.36,SUP-014,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1180,Suspension Part 181,Chassis,v1,2026-03-01,310.32,SUP-087,Active,Plant-C,2026-03-01,2026-08-28
ENG-1181,Suspension Part 182,Interior,V1,2025-12-01,18.14,SUP-200,Active,Plant-A,2025-12-01,2026-05-30
ENG-1182,Exterior Part 183,Interior,v1,2025-12-01,366.77,SUP-095,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1183,Brake Part 184,Electrical,v1,2026-01-01,238.13,SUP-175,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1184,Electrical Part 185,Electrical,V1,2026-03-01,48.27,SUP-106,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1185,Exterior Part 186,Suspension,V2,2025-12-01,330.4,SUP-170,Active,Plant-A,2025-12-01,2026-05-30
ENG-1186,Suspension Part 187,Electrical,V1,2026-03-01,381.89,SUP-016,Active,Plant-A,2026-03-01,2026-08-28
ENG-1187,Transmission Part 188,Interior,v1,2025-12-01,163.91,SUP-123,Active,Plant-C,2025-12-01,2026-05-30
ENG-1188,Suspension Part 189,Engine,V3,2026-03-01,394.69,SUP-133,Active,Plant-A,2026-03-01,2026-08-28
ENG-1189,Electrical Part 190,Chassis,V2,2025-12-01,393.65,SUP-154,Active,Plant-B,2025-12-01,2026-05-30
ENG-1190,Transmission Part 191,Engine,V2,2025-12-01,449.49,SUP-198,Active,Plant-C,2025-12-01,2026-05-30
ENG-1191,Electrical Part 192,Exterior,V2,2025-12-01,77.65,SUP-006,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1192,Electrical Part 193,Chassis,V1,2026-03-01,395.03,SUP-118,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1193,Electrical Part 194,Transmission,V3,2025-12-01,335.15,SUP-059,Active,Plant-A,2025-12-01,2026-05-30
ENG-1194,Chassis Part 195,Transmission,V3,2026-03-01,127.18,SUP-086,Active,Plant-C,2026-03-01,2026-08-28
ENG-1195,Electrical Part 196,Interior,V2,2026-01-01,192.46,SUP-060,Active,Plant-B,2026-01-01,2026-06-30
ENG-1196,Brake Part 197,Brake,v1,2026-03-01,38.26,SUP-172,Active,Plant-B,2026-03-01,2026-08-28
ENG-1197,Transmission Part 198,Suspension,V2,2026-03-01,212.79,SUP-089,Active,Plant-C,2026-03-01,2026-08-28
ENG-1198,Suspension Part 199,Engine,V3,2026-01-01,438.94,SUP-187,Active,Plant-A,2026-01-01,2026-06-30
ENG-1199,Suspension Part 200,Brake,v1,2026-03-01,52.84,SUP-144,Active,Plant-B,2026-03-01,2026-08-28
ENG-1200,Exterior Part 201,Interior,V1,2026-01-01,391.2,SUP-183,Active,Plant-A,2026-01-01,2026-06-30
ENG-1201,Interior Part 202,Interior,V3,2026-03-01,28.71,SUP-111,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1202,Brake Part 203,Engine,V1,2026-03-01,420.54,SUP-073,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1203,Suspension Part 204,Suspension,V1,2025-12-01,213.53,SUP-002,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1204,Transmission Part 205,Chassis,v1,2025-12-01,484.89,SUP-013,Active,Plant-B,2025-12-01,2026-05-30
ENG-1205,Brake Part 206,Suspension,V2,2026-01-01,73.73,SUP-130,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1206,Engine Part 207,Chassis,V1,2026-01-01,175.86,SUP-165,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1207,Exterior Part 208,Electrical,v1,2026-01-01,282.3,SUP-036,Active,Plant-A,2026-01-01,2026-06-30
ENG-1208,Electrical Part 209,Electrical,V1,2025-12-01,460.41,SUP-040,Active,Plant-C,2025-12-01,2026-05-30
ENG-1209,Suspension Part 210,Suspension,V2,2026-01-01,264.12,SUP-064,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1210,Exterior Part 211,Exterior,V1,2025-12-01,392.07,SUP-022,Active,Plant-A,2025-12-01,2026-05-30
ENG-1211,Brake Part 212,Engine,v1,2025-12-01,251.73,SUP-042,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1212,Transmission Part 213,Brake,V1,2026-01-01,486.29,SUP-032,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1213,Electrical Part 214,Suspension,V1,2025-12-01,62.59,SUP-084,Active,Plant-A,2025-12-01,2026-05-30
ENG-1214,Transmission Part 215,Transmission,v1,2026-03-01,473.9,SUP-182,Active,Plant-B,2026-03-01,2026-08-28
