Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,BOM_Status,Machine_ID,Planned_Time_Minutes,Run_Time_Minutes,Downtime_Minutes,Ideal_Cycle_Time,Total_Units,Reject_Units,Good_Units,Availability,Performance,Quality,OEE,OEE (%)
M7024,MA1AB100000000024,WO10024,Sedan X,GA-1,STN-01,2026-03-01 06:30,ENG-1374,SUP-125,EMP135,TL-098,B,Valid,MC-105,480,466,14,1.05,571,1,570,0.9708333333333333,1.286587982832618,0.9982486865148862,1.246875,124.69
M7025,MA1AB100000000025,WO10025,Sedan X,TRIM-1,STN-05,2026-03-01 06:31,ENG-1084,SUP-068,EMP370,TL-078,,Valid,MC-101,480,459,21,1.03,553,11,542,0.95625,1.2409368191721133,0.9801084990958409,1.1630416666666668,116.3
M7026,MA1AB100000000026,WO10026,Sedan X,GA-2, stn-05 ,2026-03-01 06:32,ENG-1159,SUP-103,EMP291,TL-057,,Valid,MC-102,480,473,7,0.83,478,9,469,0.9854166666666667,0.8387737843551797,0.9811715481171548,0.8109791666666667,81.1
M7027,MA1AB100000000027,WO10027,Sedan X,GA-2,STN-02,2026-03-01 06:33,ENG-1032,SUP-087,EMP110,TL-076,B,Valid,MC-103,480,469,11,1.0,548,8,540,0.9770833333333333,1.1684434968017057,0.9854014598540146,1.125,112.5
M7028,MA1AB100000000028,WO10028,Hatch Z,GA-2,STN-01,2026-03-01 06:35,ENG-1036,SUP-182,EMP130,TL-030,A,Valid,MC-104,480,449,31,1.09,542,3,539,0.9354166666666667,1.315768374164811,0.9944649446494465,1.2239791666666668,122.4
M7029,MA1AB100000000029,WO10029,Sedan X,PAINT-1,STN-01,2026-03-01 06:36,ENG-1263,SUP-061,EMP242,TL-086,,Valid,MC-105,480,458,22,1.06,495,9,486,0.9541666666666667,1.1456331877729258,0.9818181818181818,1.07325,107.32
M7030,MA1AB100000000030,WO10030,Sedan X,GA-2, stn-05 ,2026-03-01 06:37,ENG-1478,SUP-147,EMP395,TL-061,B,Valid,MC-101,480,452,28,1.1,599,5,594,0.9416666666666667,1.4577433628318586,0.991652754590985,1.36125,136.12
M7031,MA1AB100000000031,WO10031,SUV Pro,TRIM-1,STN-02,2026-03-01 06:38,ENG-1048,SUP-025,EMP320,TL-046,,Valid,MC-102,480,441,39,0.87,588,2,586,0.91875,1.16,0.9965986394557823,1.062125,106.21
M7032,MA1AB100000000032,WO10032,SUV Pro,TRIM-1,Stn-03,2026-03-01 06:40,ENG-1373,SUP-014,EMP150,TL-008,,Valid,MC-103,480,443,37,0.87,546,1,545,0.9229166666666667,1.0722799097065463,0.9981684981684982,0.9878125000000001,98.78
M7033,MA1AB100000000033,WO10033,Hatch Z,PAINT-1,Stn-03,2026-03-01 06:41,ENG-1441,SUP-028,EMP227,TL-025,B,Valid,MC-104,480,436,44,1.07,507,15,492,0.9083333333333333,1.244243119266055,0.9704142011834319,1.09675,109.67
M7034,MA1AB100000000034,WO10034,Hatch Z,TRIM-1,STN-02,2026-03-01 06:42,ENG-1216,SUP-047,EMP242,TL-060,B,Valid,MC-105,480,480,0,0.92,572,8,564,1.0,1.0963333333333334,0.986013986013986,1.0810000000000002,108.1
M7035,MA1AB100000000035,WO10035,Sedan X,TRIM-1,Stn-03,2026-03-01 06:43,ENG-1441,SUP-141,EMP150,TL-007,A,Valid,MC-101,480,435,45,1.19,554,12,542,0.90625,1.5155402298850575,0.9783393501805054,1.3437083333333335,134.37
M7036,MA1AB100000000036,WO10036,Sedan X,GA-2,STN-02,2026-03-01 06:45,ENG-1208,SUP-125,EMP346,TL-028,,Valid,MC-102,480,436,44,0.92,525,13,512,0.9083333333333333,1.1077981651376148,0.9752380952380952,0.9813333333333334,98.13
M7037,MA1AB100000000037,WO10037,Sedan X,GA-2,STN-04,2026-03-01 06:46,ENG-1001,SUP-100,EMP235,TL-999,,Valid,MC-103,480,463,17,1.12,461,12,449,0.9645833333333333,1.1151619870410368,0.9739696312364425,1.0476666666666667,104.77
M7038,MA1AB100000000038,WO10038,SUV Pro,TRIM-1, stn-05 ,2026-03-01 06:47,ENG-1490,SUP-188,EMP384,TL-085,,Valid,MC-104,480,446,34,0.83,451,12,439,0.9291666666666667,0.839304932735426,0.9733924611973392,0.7591041666666666,75.91
M7039,MA1AB100000000039,WO10039,Sedan X,GA-2,STN-03,2026-03-01 06:48,ENG-1111,SUP-015,EMP396,TL-095,A,Valid,MC-105,480,473,7,1.13,467,7,460,0.9854166666666667,1.1156659619450315,0.9850107066381156,1.0829166666666665,108.29
M7040,MA1AB100000000040,WO10040,Hatch Z,PAINT-1,STN-01,2026-03-01 06:50,ENG-1025,SUP-150,EMP344,TL-065,B,Valid,MC-101,480,449,31,1.16,578,7,571,0.9354166666666667,1.493273942093541,0.9878892733564014,1.3799166666666665,137.99
M7041,MA1AB100000000041,WO10041,Sedan X,GA-1,Stn-03,2026-03-01 06:51,ENG-1095,SUP-018,EMP134,TL-087,B,Valid,MC-102,480,443,37,1.05,541,1,540,0.9229166666666667,1.2822799097065465,0.9981515711645101,1.1812500000000004,118.13
M7042,MA1AB100000000042,WO10042,SUV Pro,GA-1,STN-05,2026-03-01 06:52,ENG-1126,SUP-149,EMP120,TL-080,A,Valid,MC-103,480,470,10,0.93,480,13,467,0.9791666666666666,0.9497872340425533,0.9729166666666667,0.9048125,90.48
M7043,MA1AB100000000043,WO10043,SUV Pro,PAINT-1,STN-03,2026-03-01 06:53,ENG-1104,SUP-172,EMP260,TL-031,C,Valid,MC-104,480,471,9,0.88,566,7,559,0.98125,1.0574946921443737,0.9876325088339223,1.0248333333333335,102.48
M7044,MA1AB100000000044,WO10044,SUV Pro,GA-2, stn-05 ,2026-03-01 06:55,ENG-1330,SUP-077,EMP334,TL-041,A,Valid,MC-105,480,474,6,0.94,546,3,543,0.9875,1.0827848101265822,0.9945054945054945,1.063375,106.34
M7045,MA1AB100000000045,WO10045,Sedan X,TRIM-1,STN-05,2026-03-01 06:56,ENG-1288,SUP-026,EMP137,TL-069,B,Valid,MC-101,480,475,5,1.19,542,13,529,0.9895833333333334,1.3578526315789474,0.9760147601476015,1.3114791666666668,131.15
M7046,MA1AB100000000046,WO10046,Hatch Z,PAINT-1,STN-02,2026-03-01 06:57,ENG-1477,SUP-090,EMP135,TL-032,C,Valid,MC-102,480,452,28,0.91,571,2,569,0.9416666666666667,1.1495796460176992,0.9964973730297724,1.0787291666666667,107.87
M7047,MA1AB100000000047,WO10047,SUV Pro,GA-2,STN-04,2026-03-01 06:58,ENG-1426,SUP-140,EMP254,TL-079,A,Valid,MC-103,480,447,33,1.14,571,8,563,0.93125,1.456241610738255,0.9859894921190894,1.3371250000000001,133.71
M7048,MA1AB100000000048,WO10048,Hatch Z,PAINT-1, stn-05 ,2026-03-01 07:00,ENG-1053,SUP-035,EMP235,TL-015,A,Valid,MC-104,480,430,50,1.12,585,11,574,0.8958333333333334,1.5237209302325583,0.9811965811965812,1.3393333333333335,133.93
M7049,MA1AB100000000049,WO10049,Hatch Z,GA-2,STN-03,2026-03-01 07:01,ENG-1144,SUP-155,EMP207,TL-092,C,Valid,MC-105,480,477,3,1.15,495,12,483,0.99375,1.1933962264150944,0.9757575757575757,1.1571875,115.72
M7050,MA1AB100000000050,WO10050,Sedan X,PAINT-1,STN-05,2026-03-01 07:02,ENG-1250,SUP-065,EMP126,TL-012,,Valid,MC-101,480,456,24,1.02,580,7,573,0.95,1.2973684210526317,0.9879310344827587,1.2176250000000002,121.76
M7051,MA1AB100000000051,WO10051,SUV Pro,GA-1,STN-01,2026-03-01 07:03,ENG-1170,SUP-198,EMP166,TL-082,C,Valid,MC-102,480,436,44,0.9,550,13,537,0.9083333333333333,1.135321100917431,0.9763636363636363,1.006875,100.69
M7052,MA1AB100000000052,WO10052,Sedan X,TRIM-1,STN-05,2026-03-01 07:05,ENG-1361,SUP-110,EMP387,TL-002,A,Valid,MC-103,480,455,25,0.84,475,5,470,0.9479166666666666,0.8769230769230769,0.9894736842105263,0.8224999999999999,82.25
M7053,MA1AB100000000053,WO10053,Sedan X,GA-2,STN-05,2026-03-01 07:06,ENG-1018,SUP-095,EMP398,TL-071,B,Valid,MC-104,480,456,24,0.81,570,8,562,0.95,1.0125000000000002,0.9859649122807017,0.9483750000000001,94.84
M7054,MA1AB100000000054,WO10054,SUV Pro,GA-2,STN-01,2026-03-01 07:07,ENG-1157,SUP-094,EMP120,TL-046,B,Valid,MC-105,480,479,1,1.18,497,2,495,0.9979166666666667,1.2243423799582462,0.9959758551307847,1.216875,121.69
M7055,MA1AB100000000055,WO10055,Hatch Z,GA-2, stn-05 ,2026-03-01 07:08,ENG-1052,SUP-091,EMP386,TL-053,B,Valid,MC-101,480,457,23,1.06,494,6,488,0.9520833333333333,1.1458205689277898,0.9878542510121457,1.0776666666666666,107.77
M7056,MA1AB100000000056,WO10056,Sedan X,GA-2,Stn-03,2026-03-01 07:10,ENG-1415,SUP-046,EMP311,TL-004,B,Valid,MC-102,480,473,7,1.19,485,1,484,0.9854166666666667,1.2201902748414375,0.9979381443298969,1.1999166666666667,119.99
M7057,MA1AB100000000057,WO10057,Hatch Z,PAINT-1,Stn-03,2026-03-01 07:11,ENG-1476,SUP-106,EMP227,TL-035,B,Valid,MC-103,480,446,34,0.88,593,4,589,0.9291666666666667,1.1700448430493273,0.9932546374367622,1.0798333333333332,107.98
M7058,MA1AB100000000058,WO10058,Hatch Z,GA-1,STN-04,2026-03-01 07:12,ENG-1446,SUP-010,EMP340,TL-029,B,Valid,MC-104,480,480,0,1.16,501,6,495,1.0,1.21075,0.9880239520958084,1.19625,119.62
M7059,MA1AB100000000059,WO10059,SUV Pro,PAINT-1,STN-03,2026-03-01 07:13,ENG-1420,SUP-059,EMP214,TL-004,B,Valid,MC-105,480,430,50,1.19,462,10,452,0.8958333333333334,1.2785581395348837,0.9783549783549783,1.1205833333333333,112.06
M7060,MA1AB100000000060,WO10060,SUV Pro,PAINT-1,STN-03,2026-03-01 07:15,ENG-1442,SUP-018,EMP242,TL-045,,Valid,MC-101,480,479,1,1.2,584,13,571,0.9979166666666667,1.4630480167014612,0.9777397260273972,1.4275,142.75
M7061,MA1AB100000000061,WO10061,Hatch Z,PAINT-1,STN-01,2026-03-01 07:16,ENG-1059,SUP-067,EMP191,TL-075,C,Valid,MC-102,480,450,30,0.83,522,14,508,0.9375,0.9628,0.9731800766283525,0.8784166666666666,87.84
M7062,MA1AB100000000062,WO10062,Sedan X,GA-1,STN-05,2026-03-01 07:17,ENG-1222,SUP-089,EMP260,TL-056,A,Valid,MC-103,480,445,35,1.04,569,5,564,0.9270833333333334,1.3297977528089888,0.9912126537785588,1.222,122.2
M7063,MA1AB100000000063,WO10063,SUV Pro,GA-2,STN-03,2026-03-01 07:18,ENG-1022,SUP-182,EMP323,TL-001,B,Valid,MC-104,480,456,24,1.17,523,9,514,0.95,1.3419078947368421,0.982791586998088,1.252875,125.29
M7064,MA1AB100000000064,WO10064,SUV Pro,TRIM-1,STN-01,2026-03-01 07:20,ENG-1485,SUP-171,EMP269,TL-080,C,Valid,MC-105,480,445,35,0.89,494,11,483,0.9270833333333334,0.9880000000000001,0.9777327935222672,0.8955625,89.56
M7065,MA1AB100000000065,WO10065,Hatch Z,GA-1, stn-05 ,2026-03-01 07:21,ENG-1460,SUP-077,EMP359,TL-040,,Valid,MC-101,480,434,46,1.07,490,14,476,0.9041666666666667,1.2080645161290324,0.9714285714285714,1.0610833333333336,106.11
M7066,MA1AB100000000066,WO10066,SUV Pro,TRIM-1, stn-05 ,2026-03-01 07:22,ENG-1151,SUP-142,EMP165,TL-025,,Valid,MC-102,480,479,1,0.85,460,12,448,0.9979166666666667,0.8162839248434238,0.9739130434782609,0.7933333333333333,79.33
M7067,MA1AB100000000067,WO10067,Hatch Z,TRIM-1, stn-05 ,2026-03-01 07:23,ENG-1383,SUP-045,EMP391,TL-039,,Valid,MC-103,480,453,27,1.12,471,11,460,0.94375,1.1645033112582783,0.9766454352441614,1.0733333333333335,107.33
M7068,MA1AB100000000068,WO10068,Hatch Z,GA-1,STN-03,2026-03-01 07:25,ENG-1146,SUP-054,EMP320,TL-999,C,Valid,MC-104,480,471,9,0.93,533,12,521,0.98125,1.052420382165605,0.9774859287054409,1.0094375,100.94
M7069,MA1AB100000000069,WO10069,SUV Pro,TRIM-1,STN-04,2026-03-01 07:26,ENG-1345,SUP-055,EMP361,TL-061,B,Valid,MC-105,480,472,8,0.95,539,2,537,0.9833333333333333,1.0848516949152542,0.9962894248608535,1.0628125,106.28
M7070,MA1AB100000000070,WO10070,Hatch Z,GA-1,STN-03,2026-03-01 07:27,ENG-1263,SUP-170,EMP271,TL-012,B,Valid,MC-101,480,466,14,0.99,451,1,450,0.9708333333333333,0.9581330472103005,0.9977827050997783,0.9281250000000001,92.81
M7071,MA1AB100000000071,WO10071,Hatch Z,PAINT-1,STN-02,2026-03-01 07:28,ENG-1412,SUP-051,EMP175,TL-004,A,Valid,MC-102,480,479,1,0.96,559,14,545,0.9979166666666667,1.1203340292275574,0.9749552772808586,1.09,109.0
M7072,MA1AB100000000072,WO10072,Sedan X,TRIM-1,STN-05,2026-03-01 07:30,ENG-1435,SUP-197,EMP137,TL-059,,Valid,MC-103,480,466,14,1.17,590,8,582,0.9708333333333333,1.4813304721030043,0.9864406779661017,1.4186249999999998,141.86
M7073,MA1AB100000000073,WO10073,Hatch Z,GA-2, stn-05 ,2026-03-01 07:31,ENG-1356,SUP-099,EMP353,TL-052,B,Valid,MC-104,480,439,41,1.08,552,1,551,0.9145833333333333,1.3579954441913442,0.9981884057971014,1.2397500000000001,123.98
M7074,MA1AB100000000074,WO10074,Sedan X,GA-1,Stn-03,2026-03-01 07:32,ENG-1440,SUP-198,EMP154,TL-100,,Valid,MC-105,480,467,13,1.09,513,2,511,0.9729166666666667,1.1973661670235547,0.9961013645224172,1.1603958333333335,116.04
M7075,MA1AB100000000075,WO10075,Sedan X,GA-2,Stn-03,2026-03-01 07:33,ENG-1490,SUP-179,EMP365,TL-060,A,Valid,MC-101,480,434,46,1.07,529,5,524,0.9041666666666667,1.3042165898617513,0.9905482041587902,1.1680833333333334,116.81
M7076,MA1AB100000000076,WO10076,Hatch Z,GA-2,Stn-03,2026-03-01 07:35,ENG-1062,SUP-117,EMP168,TL-060,C,Valid,MC-102,480,430,50,0.92,521,0,521,0.8958333333333334,1.1146976744186046,1.0,0.9985833333333333,99.86
M7077,MA1AB100000000077,WO10077,SUV Pro,TRIM-1,Stn-03,2026-03-01 07:36,ENG-1464,SUP-141,EMP328,TL-021,,Valid,MC-103,480,452,28,1.11,574,14,560,0.9416666666666667,1.4096017699115047,0.975609756097561,1.2950000000000002,129.5
M7078,MA1AB100000000078,WO10078,SUV Pro,PAINT-1,Stn-03,2026-03-01 07:37,ENG-1126,SUP-164,EMP241,TL-099,,Valid,MC-104,480,470,10,1.18,496,0,496,0.9791666666666666,1.2452765957446807,1.0,1.2193333333333332,121.93
M7079,MA1AB100000000079,WO10079,Hatch Z,GA-2,STN-03,2026-03-01 07:38,ENG-1225,SUP-020,EMP246,TL-031,C,Valid,MC-105,480,475,5,0.85,559,5,554,0.9895833333333334,1.0003157894736843,0.9910554561717353,0.9810416666666668,98.1
M7080,MA1AB100000000080,WO10080,SUV Pro,PAINT-1,STN-05,2026-03-01 07:40,ENG-1041,SUP-036,EMP177,TL-030,,Valid,MC-101,480,473,7,1.13,592,3,589,0.9854166666666667,1.414291754756871,0.9949324324324325,1.3866041666666666,138.66
M7081,MA1AB100000000081,WO10081,Hatch Z,GA-2, stn-05 ,2026-03-01 07:41,ENG-1109,SUP-017,EMP312,TL-053,C,Valid,MC-102,480,433,47,0.9,549,2,547,0.9020833333333333,1.141108545034642,0.9963570127504554,1.0256250000000002,102.56
M7082,MA1AB100000000082,WO10082,Hatch Z,TRIM-1,STN-04,2026-03-01 07:42,ENG-1031,SUP-053,EMP315,TL-050,A,Valid,MC-103,480,452,28,0.97,511,12,499,0.9416666666666667,1.0966150442477876,0.9765166340508806,1.0083958333333332,100.84
M7083,MA1AB100000000083,WO10083,Hatch Z,TRIM-1,STN-04,2026-03-01 07:43,ENG-1003,SUP-091,EMP252,TL-097,,Valid,MC-104,480,477,3,0.82,465,7,458,0.99375,0.7993710691823899,0.9849462365591398,0.7824166666666666,78.24
M7084,MA1AB100000000084,WO10084,SUV Pro,GA-2,STN-04,2026-03-01 07:45,ENG-1112,SUP-070,EMP323,TL-063,A,Valid,MC-105,480,468,12,1.07,568,10,558,0.975,1.2986324786324785,0.9823943661971831,1.243875,124.39
M7085,MA1AB100000000085,WO10085,SUV Pro,PAINT-1, stn-05 ,2026-03-01 07:46,ENG-1347,SUP-104,EMP184,TL-060,B,Valid,MC-101,480,447,33,1.18,559,14,545,0.93125,1.4756599552572707,0.9749552772808586,1.3397916666666665,133.98
M7086,MA1AB100000000086,WO10086,Hatch Z,GA-1,STN-04,2026-03-01 07:47,ENG-1303,SUP-145,EMP113,TL-011,,Valid,MC-102,480,472,8,1.0,595,14,581,0.9833333333333333,1.2605932203389831,0.9764705882352941,1.2104166666666665,121.04
M7087,MA1AB100000000087,WO10087,Sedan X,TRIM-1,STN-02,2026-03-01 07:48,ENG-1025,SUP-067,EMP294,TL-042,B,Valid,MC-103,480,470,10,1.03,503,0,503,0.9791666666666666,1.1023191489361703,1.0,1.0793541666666668,107.94
M7088,MA1AB100000000088,WO10088,SUV Pro,PAINT-1,STN-03,2026-03-01 07:50,ENG-1389,SUP-098,EMP242,TL-097,,Valid,MC-104,480,434,46,1.2,502,12,490,0.9041666666666667,1.3880184331797234,0.9760956175298805,1.2249999999999999,122.5
M7089,MA1AB100000000089,WO10089,SUV Pro,GA-1,STN-04,2026-03-01 07:51,ENG-1009,SUP-192,EMP376,TL-007,C,Valid,MC-105,480,439,41,0.95,548,1,547,0.9145833333333333,1.1858769931662871,0.9981751824817519,1.0826041666666668,108.26
M7090,MA1AB100000000090,WO10090,Sedan X,GA-1,Stn-03,2026-03-01 07:52,ENG-1490,SUP-167,EMP120,TL-097,A,Valid,MC-101,480,438,42,0.84,504,11,493,0.9125,0.9665753424657533,0.9781746031746031,0.8627499999999999,86.28
M7091,MA1AB100000000091,WO10091,Sedan X,GA-2,Stn-03,2026-03-01 07:53,ENG-1010,SUP-160,EMP178,TL-031,B,Valid,MC-102,480,465,15,0.85,505,6,499,0.96875,0.9231182795698925,0.9881188118811881,0.8836458333333334,88.36
M7092,MA1AB100000000092,WO10092,SUV Pro,GA-1,STN-05,2026-03-01 07:55,ENG-1485,SUP-056,EMP338,TL-090,C,Valid,MC-103,480,470,10,0.89,598,7,591,0.9791666666666666,1.1323829787234043,0.9882943143812709,1.0958124999999999,109.58
M7093,MA1AB100000000093,WO10093,SUV Pro,GA-2,STN-05,2026-03-01 07:56,ENG-1310,SUP-192,EMP158,TL-100,B,Valid,MC-104,480,473,7,0.84,502,6,496,0.9854166666666667,0.8915010570824524,0.9880478087649402,0.8680000000000001,86.8
M7094,MA1AB100000000094,WO10094,SUV Pro,GA-1,STN-05,2026-03-01 07:57,ENG-1013,SUP-080,EMP394,TL-087,,Valid,MC-105,480,432,48,0.92,465,1,464,0.9,0.9902777777777778,0.9978494623655914,0.8893333333333334,88.93
M7095,MA1AB100000000095,WO10095,SUV Pro,GA-2,STN-01,2026-03-01 07:58,ENG-1303,SUP-177,EMP224,TL-014,C,Valid,MC-101,480,444,36,0.95,511,1,510,0.925,1.0933558558558558,0.9980430528375733,1.0093750000000001,100.94
M7096,MA1AB100000000096,WO10096,Hatch Z,GA-1,Stn-03,2026-03-01 08:00,ENG-1289,SUP-011,EMP277,TL-069,,Valid,MC-102,480,470,10,1.09,493,13,480,0.9791666666666666,1.1433404255319148,0.973630831643002,1.0899999999999999,109.0
M7097,MA1AB100000000097,WO10097,Hatch Z,PAINT-1,STN-01,2026-03-01 08:01,ENG-1259,SUP-166,EMP274,TL-002,,Valid,MC-103,480,464,16,1.0,524,3,521,0.9666666666666667,1.1293103448275863,0.9942748091603053,1.0854166666666667,108.54
M7098,MA1AB100000000098,WO10098,SUV Pro,GA-1,STN-04,2026-03-01 08:02,ENG-1491,SUP-093,EMP335,TL-091,B,Valid,MC-104,480,452,28,1.0,538,4,534,0.9416666666666667,1.1902654867256637,0.9925650557620818,1.1125,111.25
M7099,MA1AB100000000099,WO10099,SUV Pro,GA-2, stn-05 ,2026-03-01 08:03,ENG-1267,SUP-167,EMP238,TL-079,,Valid,MC-105,480,448,32,0.84,528,9,519,0.9333333333333333,0.99,0.9829545454545454,0.90825,90.82
M7100,MA1AB100000000100,WO10100,SUV Pro,TRIM-1,Stn-03,2026-03-01 08:05,ENG-1374,SUP-152,EMP237,TL-042,B,Valid,MC-101,480,442,38,0.88,570,10,560,0.9208333333333333,1.134841628959276,0.9824561403508771,1.0266666666666666,102.67
