VIN,Work_Order,Station,Line,Timestamp,Part_Number,Supplier_Code,Torque,Temperature,Pressure,Defect,Inspection_Source,Tool_ID,Operator_ID,Shift,Scrap_Reason,BOM_Status,VIN_Status,Masked_VIN,Supplier_Status,Supplier_Name,Country,Sensor_Number,Calibration_Factor,Calibration_Status,Cycle_Time_Minutes,Cycle_Time_Status,VIN_Count,WO_VIN_Status,Station_Visit_Count,Rework_Status,Shift_Status,Scrap_Reason_Status
MA1AB100000000010,WO100010,ST06,L01,2026-07-01 06:12:30,ENG-1001,SUP1013,,35.0,5.36,Repair,Automated,TL999,EMP231,A,Dimension,Valid,Valid,MA1AB*********010,Valid,Supplier_14,India,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000011,WO100011,ST04,L03,2026-07-01 06:13:45,ENG-1001,NAN,45.0,35.0,6.1,Repair,Automated,TL088,EMP225,Nan,Not Available,Valid,Valid,MA1AB*********011,Invalid,,,088,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000012,WO100012,ST02,L02,2026-07-01 06:15:00,ENG-1311,SUP1016,50.0,42.0,4.3,Reject,Automated,TL999,EMP125,A,Material,Valid,Valid,MA1AB*********012,Valid,Supplier_17,India,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000013,WO100013,ST04,L02,2026-07-01 06:16:15,ENG-1231,SUP9999,,40.0,4.41,OK,Automated,TL999,EMP270,C,Paint Defect,Valid,Valid,MA1AB*********013,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000014,WO100014,ST03,L03,2026-07-01 06:17:30,ENG-1001,SUP1017,45.0,35.0,4.45,OK,Automated,TL017,EMP250,C,Not Available,Valid,Valid,MA1AB*********014,Valid,Supplier_18,India,017,0.996,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000015,WO100015,ST02,L02,2026-07-01 06:18:45,ENG-1001,SUP1184,50.0,42.0,4.22,Reject,Human,TL999,EMP157,A,Paint Defect,Valid,Valid,MA1AB*********015,Valid,Supplier_185,China,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000016,WO100016,ST06,L01,2026-07-01 06:20:00,ENG-1001,SUP1146,,35.0,4.97,OK,Automated,TL004,EMP169,C,Paint Defect,Valid,Valid,MA1AB*********016,Valid,Supplier_147,Korea,004,0.987,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000017,WO100017,ST06,L01,2026-07-01 06:21:15,ENG-1092,NAN,,35.0,3.61,OK,Human,TL012,EMP196,Nan,Dimension,Valid,Valid,MA1AB*********017,Invalid,,,012,0.988,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000018,WO100018,ST06,L01,2026-07-01 06:22:30,ENG-1001,SUP9999,45.0,35.0,3.65,Reject,Human,TL087,EMP169,Nan,Dimension,Valid,Valid,MA1AB*********018,Invalid,,,087,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000019,WO100019,ST03,L03,2026-07-01 06:23:45,ENG-1001,SUP1069,45.0,42.0,4.45,Reject,Automated,TL999,EMP111,B,Dimension,Valid,Valid,MA1AB*********019,Valid,Supplier_70,China,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000020,WO100020,ST01,L01,2026-07-01 06:25:00,ENG-1001,SUP1054,50.0,42.0,4.15,OK,Automated,TL999,EMP144,B,Dimension,Valid,Valid,MA1AB*********020,Valid,Supplier_55,Thailand,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000021,WO100021,ST04,L03,2026-07-01 06:26:15,ENG-1001,SUP9999,45.0,40.0,3.25,OK,Automated,TL999,EMP246,Nan,Dimension,Valid,Valid,MA1AB*********021,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000022,WO100022,ST05,L01,2026-07-01 06:27:30,ENG-1207,SUP1083,,42.0,3.46,OK,Human,TL999,EMP234,A,Dimension,Valid,Valid,MA1AB*********022,Valid,Supplier_84,Thailand,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000023,WO100023,ST05,L03,2026-07-01 06:28:45,ENG-1173,SUP1085,45.0,35.0,4.74,,Automated,TL045,EMP160,A,Weld Crack,Valid,Valid,MA1AB*********023,Valid,Supplier_86,Thailand,045,1.021,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000024,WO100024,ST05,L01,2026-07-01 06:30:00,ENG-1088,NAN,45.0,35.0,5.96,OK,Automated,TL999,EMP274,C,Paint Defect,Valid,Valid,MA1AB*********024,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000025,WO100025,ST03,L02,2026-07-01 06:31:15,ENG-1001,NAN,50.0,42.0,4.92,Reject,Human,TL999,EMP215,A,Not Available,Valid,Valid,MA1AB*********025,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000026,WO100026,ST06,L02,2026-07-01 06:32:30,ENG-1039,NAN,,40.0,4.88,OK,Human,TL058,EMP182,Nan,Material,Valid,Valid,MA1AB*********026,Invalid,,,058,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000027,WO100027,ST03,L01,2026-07-01 06:33:45,ENG-1230,NAN,45.0,35.0,3.31,OK,Automated,TL057,EMP193,C,Paint Defect,Valid,Valid,MA1AB*********027,Invalid,,,057,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000028,WO100028,ST02,L02,2026-07-01 06:35:00,ENG-1001,NAN,45.0,42.0,3.39,OK,Automated,TL999,EMP285,B,Paint Defect,Valid,Valid,MA1AB*********028,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000029,WO100029,ST02,L03,2026-07-01 06:36:15,ENG-1339,SUP9999,,35.0,4.93,OK,Automated,TL999,EMP264,C,Weld Crack,Valid,Valid,MA1AB*********029,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000030,WO100030,ST02,L03,2026-07-01 06:37:30,ENG-1001,SUP9999,45.0,42.0,4.1,,Automated,TL999,EMP149,B,Weld Crack,Valid,Valid,MA1AB*********030,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000031,WO100031,ST03,L01,2026-07-01 06:38:45,ENG-1151,NAN,45.0,42.0,5.74,Reject,Human,TL999,EMP139,B,Weld Crack,Valid,Valid,MA1AB*********031,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000032,WO100032,ST03,L03,2026-07-01 06:40:00,ENG-1224,SUP9999,35.0,40.0,4.97,OK,Automated,TL030,EMP179,Nan,Weld Crack,Valid,Valid,MA1AB*********032,Invalid,,,030,0.998,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000033,WO100033,ST06,L03,2026-07-01 06:41:15,ENG-1001,SUP9999,,40.0,6.0,,Human,TL033,EMP264,Nan,Paint Defect,Valid,Valid,MA1AB*********033,Invalid,,,033,0.998,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000034,WO100034,ST02,L03,2026-07-01 06:42:30,ENG-1433,SUP1072,35.0,42.0,4.5,Reject,Human,TL056,EMP342,B,Dimension,Valid,Valid,MA1AB*********034,Valid,Supplier_73,Germany,056,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000035,WO100035,ST06,L01,2026-07-01 06:43:45,ENG-1212,NAN,50.0,35.0,4.32,OK,Automated,TL029,EMP181,A,Paint Defect,Valid,Valid,MA1AB*********035,Invalid,,,029,1.008,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000036,WO100036,ST03,L01,2026-07-01 06:45:00,ENG-1001,NAN,35.0,40.0,4.5,OK,Human,TL999,EMP155,B,Material,Valid,Valid,MA1AB*********036,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000037,WO100037,ST02,L01,2026-07-01 06:46:15,ENG-1001,SUP9999,45.0,35.0,3.89,OK,Automated,TL009,EMP314,Nan,Material,Valid,Valid,MA1AB*********037,Invalid,,,009,1.012,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000038,WO100038,ST01,L03,2026-07-01 06:47:30,ENG-1263,SUP1183,50.0,40.0,3.2,Reject,Human,TL999,EMP147,A,Material,Valid,Valid,MA1AB*********038,Valid,Supplier_184,India,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000039,WO100039,ST06,L01,2026-07-01 06:48:45,ENG-1488,SUP9999,45.0,40.0,6.05,Reject,Human,TL046,EMP188,B,Not Available,Valid,Valid,MA1AB*********039,Invalid,,,046,0.976,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000040,WO100040,ST06,L01,2026-07-01 06:50:00,ENG-1001,SUP9999,35.0,40.0,6.04,Repair,Human,TL018,EMP283,Nan,Not Available,Valid,Valid,MA1AB*********040,Invalid,,,018,0.985,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000041,WO100041,ST05,L01,2026-07-01 06:51:15,ENG-1022,SUP9999,50.0,40.0,6.07,Reject,Automated,TL033,EMP292,B,Paint Defect,Valid,Valid,MA1AB*********041,Invalid,,,033,0.998,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000042,WO100042,ST06,L01,2026-07-01 06:52:30,ENG-1001,SUP1069,50.0,40.0,5.78,OK,Automated,TL999,EMP349,B,Dimension,Valid,Valid,MA1AB*********042,Valid,Supplier_70,China,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000043,WO100043,ST03,L02,2026-07-01 06:53:45,ENG-1001,NAN,,35.0,4.45,,Automated,TL042,EMP120,C,Paint Defect,Valid,Valid,MA1AB*********043,Invalid,,,042,0.997,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000044,WO100044,ST05,L02,2026-07-01 06:55:00,ENG-1001,NAN,,42.0,4.5,OK,Automated,TL999,EMP170,A,Not Available,Valid,Valid,MA1AB*********044,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000045,WO100045,ST02,L02,2026-07-01 06:56:15,ENG-1262,SUP1007,,35.0,3.57,,Automated,TL999,EMP343,A,Material,Valid,Valid,MA1AB*********045,Valid,Supplier_8,Japan,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000046,WO100046,ST03,L03,2026-07-01 06:57:30,ENG-1001,SUP9999,45.0,35.0,4.74,Repair,Automated,TL999,EMP163,A,Not Available,Valid,Valid,MA1AB*********046,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000047,WO100047,ST03,L02,2026-07-01 06:58:45,ENG-1001,SUP1143,50.0,42.0,5.24,,Automated,TL999,EMP151,A,Weld Crack,Valid,Valid,MA1AB*********047,Valid,Supplier_144,Japan,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000048,WO100048,ST02,L02,2026-07-01 07:00:00,ENG-1001,NAN,50.0,42.0,5.26,Reject,Automated,TL039,EMP282,B,Paint Defect,Valid,Valid,MA1AB*********048,Invalid,,,039,0.988,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000049,WO100049,ST04,L01,2026-07-01 07:01:15,ENG-1102,SUP9999,45.0,42.0,4.81,Reject,Automated,TL071,EMP256,A,Not Available,Valid,Valid,MA1AB*********049,Invalid,,,071,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000050,WO100050,ST05,L02,2026-07-01 07:02:30,ENG-1001,SUP9999,,35.0,3.56,Reject,Human,TL999,EMP274,C,Weld Crack,Valid,Valid,MA1AB*********050,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000051,WO100051,ST03,L01,2026-07-01 07:03:45,ENG-1221,NAN,35.0,42.0,3.68,Reject,Human,TL999,EMP316,A,Paint Defect,Valid,Valid,MA1AB*********051,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000052,WO100052,ST04,L03,2026-07-01 07:05:00,ENG-1001,NAN,50.0,35.0,4.66,,Human,TL999,EMP315,A,Not Available,Valid,Valid,MA1AB*********052,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000053,WO100053,ST02,L01,2026-07-01 07:06:15,ENG-1001,SUP1166,,35.0,4.64,OK,Automated,TL999,EMP223,B,Dimension,Valid,Valid,MA1AB*********053,Valid,Supplier_167,Japan,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000054,WO100054,ST05,L02,2026-07-01 07:07:30,ENG-1037,SUP9999,,40.0,4.55,Reject,Human,TL999,EMP287,C,Dimension,Valid,Valid,MA1AB*********054,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000055,WO100055,ST03,L02,2026-07-01 07:08:45,ENG-1263,SUP1081,,35.0,3.98,,Human,TL013,EMP174,Nan,Material,Valid,Valid,MA1AB*********055,Valid,Supplier_82,Germany,013,0.972,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000056,WO100056,ST02,L01,2026-07-01 07:10:00,ENG-1492,NAN,50.0,35.0,5.41,Repair,Automated,TL999,EMP227,A,Not Available,Valid,Valid,MA1AB*********056,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000057,WO100057,ST02,L03,2026-07-01 07:11:15,ENG-1234,NAN,50.0,35.0,3.35,Repair,Automated,TL037,EMP316,A,Dimension,Valid,Valid,MA1AB*********057,Invalid,,,037,1.027,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000058,WO100058,ST03,L02,2026-07-01 07:12:30,ENG-1001,SUP9999,50.0,35.0,4.36,Reject,Human,TL999,EMP118,Nan,Material,Valid,Valid,MA1AB*********058,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000059,WO100059,ST03,L03,2026-07-01 07:13:45,ENG-1143,SUP1032,,42.0,5.51,Reject,Automated,TL097,EMP150,Nan,Material,Valid,Valid,MA1AB*********059,Valid,Supplier_33,USA,097,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000060,WO100060,ST01,L01,2026-07-01 07:15:00,ENG-1019,SUP9999,,40.0,3.63,Reject,Human,TL999,EMP141,Nan,Material,Valid,Valid,MA1AB*********060,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000061,WO100061,ST05,L03,2026-07-01 07:16:15,ENG-1001,NAN,50.0,40.0,5.57,Reject,Automated,TL087,EMP350,Nan,Material,Valid,Valid,MA1AB*********061,Invalid,,,087,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000062,WO100062,ST05,L03,2026-07-01 07:17:30,ENG-1446,SUP9999,50.0,35.0,5.29,Reject,Automated,TL999,EMP137,B,Not Available,Valid,Valid,MA1AB*********062,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000063,WO100063,ST02,L01,2026-07-01 07:18:45,ENG-1001,SUP9999,35.0,40.0,5.2,Repair,Automated,TL095,EMP280,B,Material,Valid,Valid,MA1AB*********063,Invalid,,,095,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000064,WO100064,ST04,L03,2026-07-01 07:20:00,ENG-1001,SUP9999,50.0,35.0,4.53,Reject,Automated,TL999,EMP273,C,Material,Valid,Valid,MA1AB*********064,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000065,WO100065,ST03,L01,2026-07-01 07:21:15,ENG-1490,NAN,50.0,35.0,5.93,Reject,Automated,TL091,EMP276,Nan,Paint Defect,Valid,Valid,MA1AB*********065,Invalid,,,091,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000066,WO100066,ST03,L02,2026-07-01 07:22:30,ENG-1001,SUP1073,,40.0,5.57,,Automated,TL999,EMP344,A,Paint Defect,Valid,Valid,MA1AB*********066,Valid,Supplier_74,Korea,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000067,WO100067,ST03,L03,2026-07-01 07:23:45,ENG-1001,SUP1054,50.0,42.0,3.6,Reject,Human,TL032,EMP271,B,Weld Crack,Valid,Valid,MA1AB*********067,Valid,Supplier_55,Thailand,032,1.024,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000068,WO100068,ST01,L01,2026-07-01 07:25:00,ENG-1001,SUP9999,45.0,35.0,3.22,Reject,Human,TL999,EMP222,B,Paint Defect,Valid,Valid,MA1AB*********068,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000069,WO100069,ST06,L02,2026-07-01 07:26:15,ENG-1330,SUP1196,35.0,35.0,5.85,,Automated,TL023,EMP314,Nan,Dimension,Valid,Valid,MA1AB*********069,Valid,Supplier_197,India,023,1.007,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000070,WO100070,ST03,L03,2026-07-01 07:27:30,ENG-1001,SUP1009,50.0,35.0,5.89,Reject,Automated,TL999,EMP327,B,Material,Valid,Valid,MA1AB*********070,Valid,Supplier_10,India,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000071,WO100071,ST03,L02,2026-07-01 07:28:45,ENG-1098,SUP1084,,42.0,5.28,OK,Automated,TL038,EMP144,Nan,Dimension,Valid,Valid,MA1AB*********071,Valid,Supplier_85,Japan,038,1.029,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000072,WO100072,ST06,L01,2026-07-01 07:30:00,ENG-1205,SUP1047,,42.0,5.91,OK,Automated,TL050,EMP214,C,Paint Defect,Valid,Valid,MA1AB*********072,Valid,Supplier_48,Thailand,050,1.012,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000073,WO100073,ST05,L03,2026-07-01 07:31:15,ENG-1370,NAN,50.0,35.0,3.38,OK,Automated,TL040,EMP203,C,Not Available,Valid,Valid,MA1AB*********073,Invalid,,,040,1.028,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000074,WO100074,ST05,L02,2026-07-01 07:32:30,ENG-1314,SUP1056,,35.0,4.52,Reject,Automated,TL999,EMP293,B,Weld Crack,Valid,Valid,MA1AB*********074,Valid,Supplier_57,Korea,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000075,WO100075,ST02,L03,2026-07-01 07:33:45,ENG-1001,NAN,45.0,35.0,5.6,Reject,Human,TL074,EMP142,C,Material,Valid,Valid,MA1AB*********075,Invalid,,,074,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000076,WO100076,ST03,L01,2026-07-01 07:35:00,ENG-1348,NAN,,35.0,5.81,Repair,Human,TL059,EMP231,Nan,Dimension,Valid,Valid,MA1AB*********076,Invalid,,,059,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000077,WO100077,ST01,L03,2026-07-01 07:36:15,ENG-1001,SUP1185,,42.0,5.57,OK,Human,TL075,EMP111,Nan,Paint Defect,Valid,Valid,MA1AB*********077,Valid,Supplier_186,Korea,075,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000078,WO100078,ST02,L03,2026-07-01 07:37:30,ENG-1030,SUP1120,50.0,40.0,3.72,,Automated,TL999,EMP214,Nan,Dimension,Valid,Valid,MA1AB*********078,Valid,Supplier_121,Thailand,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000079,WO100079,ST02,L03,2026-07-01 07:38:45,ENG-1493,SUP9999,45.0,35.0,6.08,Repair,Human,TL094,EMP313,A,Not Available,Valid,Valid,MA1AB*********079,Invalid,,,094,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000000080,WO100080,ST05,L02,2026-07-01 07:40:00,ENG-1001,SUP9999,35.0,35.0,4.54,,Automated,TL025,EMP108,Nan,Material,Valid,Valid,MA1AB*********080,Invalid,,,025,1.011,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000081,WO100081,ST01,L01,2026-07-01 07:41:15,ENG-1105,NAN,45.0,40.0,4.93,OK,Human,TL032,EMP202,Nan,Weld Crack,Valid,Valid,MA1AB*********081,Invalid,,,032,1.024,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000082,WO100082,ST04,L01,2026-07-01 07:42:30,ENG-1001,NAN,50.0,42.0,3.89,,Human,TL999,EMP170,A,Material,Valid,Valid,MA1AB*********082,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000083,WO100083,ST03,L03,2026-07-01 07:43:45,ENG-1001,SUP9999,45.0,42.0,5.93,OK,Automated,TL999,EMP278,Nan,Dimension,Valid,Valid,MA1AB*********083,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000084,WO100084,ST03,L02,2026-07-01 07:45:00,ENG-1192,NAN,,35.0,5.66,Reject,Human,TL060,EMP243,Nan,Dimension,Valid,Valid,MA1AB*********084,Invalid,,,060,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
