VIN,Total_Energy_kWh,Energy_per_Vehicle_kWh
MA1AB100000000146,10.68,10.68
MA1AB100000000147,9.96,9.96
MA1AB100000000148,13.07,13.07
MA1AB100000000149,6.2,6.2
MA1AB100000000150,2.28,2.28
MA1AB100000000151,13.82,13.82
MA1AB100000000152,8.51,8.51
MA1AB100000000153,15.259999999999998,15.259999999999998
MA1AB100000000154,13.81,13.81
MA1AB100000000155,0.0,0.0
MA1AB100000000156,15.17,15.17
MA1AB100000000157,0.0,0.0
MA1AB100000000158,22.92,22.92
MA1AB100000000159,30.349999999999998,30.349999999999998
MA1AB100000000160,0.0,0.0
MA1AB100000000161,6.12,6.12
MA1AB100000000162,0.0,0.0
MA1AB100000000163,13.41,13.41
MA1AB100000000164,10.5,10.5
MA1AB100000000165,7.819999999999999,7.819999999999999
MA1AB100000000166,20.490000000000002,20.490000000000002
MA1AB100000000167,6.89,6.89
MA1AB100000000168,0.59,0.59
MA1AB100000000169,4.06,4.06
MA1AB100000000170,6.04,6.04
MA1AB100000000171,11.41,11.41
MA1AB100000000172,5.23,5.23
MA1AB100000000173,1.97,1.97
MA1AB100000000174,3.41,3.41
MA1AB100000000175,14.559999999999999,14.559999999999999
MA1AB100000000176,6.569999999999999,6.569999999999999
MA1AB100000000177,11.969999999999999,11.969999999999999
MA1AB100000000178,1.41,1.41
MA1AB100000000179,0.0,0.0
MA1AB100000000180,10.11,10.11
MA1AB100000000181,9.059999999999999,9.059999999999999
MA1AB100000000182,12.21,12.21
MA1AB100000000183,5.93,5.93
MA1AB100000000184,0.0,0.0
MA1AB100000000185,7.0200000000000005,7.0200000000000005
MA1AB100000000186,12.57,12.57
MA1AB100000000187,2.69,2.69
MA1AB100000000188,4.03,4.03
MA1AB100000000189,9.16,9.16
MA1AB100000000190,9.07,9.07
MA1AB100000000191,1.55,1.55
MA1AB100000000192,14.39,14.39
MA1AB100000000193,13.35,13.35
MA1AB100000000194,7.98,7.98
MA1AB100000000195,11.03,11.03
MA1AB100000000196,10.3,10.3
MA1AB100000000197,17.3,17.3
MA1AB100000000198,15.01,15.01
MA1AB100000000199,7.46,7.46
MA1AB100000000200,11.48,11.48
MA1AB100000000201,21.7,21.7
MA1AB100000000202,11.9,11.9
MA1AB100000000203,2.2,2.2
MA1AB100000000204,11.11,11.11
MA1AB100000000205,15.34,15.34
MA1AB100000000206,0.66,0.66
MA1AB100000000207,7.31,7.31
MA1AB100000000208,18.39,18.39
MA1AB100000000209,1.93,1.93
MA1AB100000000210,5.24,5.24
MA1AB100000000211,16.32,16.32
MA1AB100000000212,7.98,7.98
MA1AB100000000213,0.76,0.76
MA1AB100000000214,12.45,12.45
MA1AB100000000215,10.57,10.57
MA1AB100000000216,7.66,7.66
MA1AB100000000217,0.0,0.0
MA1AB100000000218,16.48,16.48
MA1AB100000000219,15.25,15.25
MA1AB100000000220,0.0,0.0
MA1AB100000000221,14.0,14.0
MA1AB100000000222,6.68,6.68
MA1AB100000000223,21.04,21.04
MA1AB100000000224,2.36,2.36
MA1AB100000000225,13.67,13.67
MA1AB100000000226,0.0,0.0
MA1AB100000000227,0.0,0.0
MA1AB100000000228,11.91,11.91
MA1AB100000000229,0.0,0.0
MA1AB100000000230,10.53,10.53
MA1AB100000000231,6.56,6.56
MA1AB100000000232,16.37,16.37
MA1AB100000000233,12.95,12.95
MA1AB100000000234,0.0,0.0
MA1AB100000000235,5.14,5.14
MA1AB100000000236,8.629999999999999,8.629999999999999
MA1AB100000000237,0.0,0.0
MA1AB100000000238,0.0,0.0
MA1AB100000000239,10.620000000000001,10.620000000000001
MA1AB100000000240,7.81,7.81
MA1AB100000000241,1.94,1.94
MA1AB100000000242,9.27,9.27
MA1AB100000000243,5.0,5.0
MA1AB100000000244,21.95,21.95
MA1AB100000000245,2.77,2.77
MA1AB100000000246,15.17,15.17
MA1AB100000000247,13.62,13.62
MA1AB100000000248,9.08,9.08
MA1AB100000000249,0.0,0.0
MA1AB100000000250,5.96,5.96
MA1AB100000000251,13.4,13.4
MA1AB100000000252,7.75,7.75
MA1AB100000000253,3.87,3.87
MA1AB100000000254,8.290000000000001,8.290000000000001
MA1AB100000000255,10.870000000000001,10.870000000000001
MA1AB100000000256,12.83,12.83
MA1AB100000000257,0.0,0.0
MA1AB100000000258,6.33,6.33
MA1AB100000000259,5.76,5.76
MA1AB100000000260,26.04,26.04
MA1AB100000000261,7.91,7.91
MA1AB100000000262,11.440000000000001,11.440000000000001
MA1AB100000000263,4.859999999999999,4.859999999999999
MA1AB100000000264,2.8,2.8
MA1AB100000000265,7.97,7.97
MA1AB100000000266,17.25,17.25
MA1AB100000000267,4.07,4.07
MA1AB100000000268,4.03,4.03
MA1AB100000000269,1.2,1.2
MA1AB100000000270,2.92,2.92
MA1AB100000000271,5.5,5.5
MA1AB100000000272,0.0,0.0
MA1AB100000000273,13.71,13.71
MA1AB100000000274,19.52,19.52
MA1AB100000000275,3.46,3.46
MA1AB100000000276,2.28,2.28
MA1AB100000000277,4.359999999999999,4.359999999999999
MA1AB100000000278,18.939999999999998,18.939999999999998
MA1AB100000000279,0.0,0.0
MA1AB100000000280,13.0,13.0
MA1AB100000000281,1.15,1.15
MA1AB100000000282,13.43,13.43
MA1AB100000000283,8.68,8.68
MA1AB100000000284,9.23,9.23
MA1AB100000000285,9.62,9.62
MA1AB100000000286,3.79,3.79
MA1AB100000000287,17.310000000000002,17.310000000000002
MA1AB100000000288,4.49,4.49
MA1AB100000000289,11.280000000000001,11.280000000000001
MA1AB100000000290,4.9,4.9
MA1AB100000000291,0.0,0.0
MA1AB100000000292,1.67,1.67
MA1AB100000000293,11.530000000000001,11.530000000000001
MA1AB100000000294,4.14,4.14
MA1AB100000000295,7.66,7.66
MA1AB100000000296,9.74,9.74
MA1AB100000000297,14.98,14.98
MA1AB100000000298,7.51,7.51
MA1AB100000000299,11.33,11.33
MA1AB100000000300,7.04,7.04
MA1AB100000000301,1.84,1.84
MA1AB100000000302,8.32,8.32
MA1AB100000000303,0.66,0.66
MA1AB100000000304,11.620000000000001,11.620000000000001
MA1AB100000000305,7.130000000000001,7.130000000000001
MA1AB100000000306,5.37,5.37
MA1AB100000000307,9.42,9.42
MA1AB100000000308,29.009999999999998,29.009999999999998
MA1AB100000000309,11.280000000000001,11.280000000000001
MA1AB100000000310,25.71,25.71
MA1AB100000000311,3.95,3.95
MA1AB100000000312,6.93,6.93
MA1AB100000000313,1.93,1.93
MA1AB100000000314,8.79,8.79
MA1AB100000000315,7.36,7.36
MA1AB100000000316,0.0,0.0
MA1AB100000000317,16.84,16.84
MA1AB100000000318,9.76,9.76
MA1AB100000000319,1.48,1.48
MA1AB100000000320,7.89,7.89
MA1AB100000000321,10.55,10.55
MA1AB100000000322,10.06,10.06
MA1AB100000000323,5.13,5.13
MA1AB100000000324,13.02,13.02
MA1AB100000000325,7.75,7.75
MA1AB100000000326,0.0,0.0
MA1AB100000000327,12.14,12.14
MA1AB100000000328,5.78,5.78
MA1AB100000000329,13.09,13.09
MA1AB100000000330,4.0,4.0
MA1AB100000000331,2.91,2.91
MA1AB100000000332,14.36,14.36
MA1AB100000000334,0.0,0.0
MA1AB100000000335,3.16,3.16
MA1AB100000000336,7.2,7.2
MA1AB100000000337,4.14,4.14
MA1AB100000000338,17.28,17.28
MA1AB100000000339,0.0,0.0
MA1AB100000000340,22.48,22.48
MA1AB100000000341,3.56,3.56
MA1AB100000000342,14.51,14.51
MA1AB100000000343,10.03,10.03
MA1AB100000000344,9.67,9.67
MA1AB100000000345,6.23,6.23
MA1AB100000000346,4.71,4.71
MA1AB100000000347,0.0,0.0
MA1AB100000000348,11.620000000000001,11.620000000000001
MA1AB100000000349,10.33,10.33
MA1AB100000000350,19.130000000000003,19.130000000000003
MA1AB100000000351,0.0,0.0
MA1AB100000000352,6.63,6.63
MA1AB100000000353,10.5,10.5
MA1AB100000000354,11.14,11.14
MA1AB100000000355,13.379999999999999,13.379999999999999
MA1AB100000000356,13.459999999999999,13.459999999999999
MA1AB100000000357,4.85,4.85
MA1AB100000000358,27.94,27.94
MA1AB100000000359,14.65,14.65
MA1AB100000000360,6.65,6.65
MA1AB100000000361,1.31,1.31
MA1AB100000000362,13.02,13.02
MA1AB100000000363,17.72,17.72
MA1AB100000000364,4.23,4.23
MA1AB100000000365,8.350000000000001,8.350000000000001
MA1AB100000000366,17.33,17.33
MA1AB100000000367,8.23,8.23
MA1AB100000000368,2.75,2.75
MA1AB100000000369,14.64,14.64
MA1AB100000000370,18.35,18.35
MA1AB100000000371,0.94,0.94
MA1AB100000000372,14.28,14.28
MA1AB100000000373,0.0,0.0
MA1AB100000000374,1.02,1.02
MA1AB100000000375,16.16,16.16
MA1AB100000000376,6.109999999999999,6.109999999999999
MA1AB100000000377,0.0,0.0
MA1AB100000000378,4.46,4.46
MA1AB100000000379,23.04,23.04
MA1AB100000000380,11.82,11.82
MA1AB100000000381,7.52,7.52
MA1AB100000000382,6.61,6.61
MA1AB100000000383,3.24,3.24
MA1AB100000000384,4.86,4.86
MA1AB100000000385,0.0,0.0
MA1AB100000000386,6.99,6.99
MA1AB100000000387,15.540000000000001,15.540000000000001
MA1AB100000000388,12.62,12.62
MA1AB100000000389,9.54,9.54
MA1AB100000000390,7.58,7.58
MA1AB100000000391,0.0,0.0
MA1AB100000000392,15.96,15.96
MA1AB100000000393,11.77,11.77
MA1AB100000000394,0.0,0.0
MA1AB100000000395,11.58,11.58
MA1AB100000000396,7.0600000000000005,7.0600000000000005
MA1AB100000000397,0.0,0.0
MA1AB100000000398,4.76,4.76
MA1AB100000000399,19.0,19.0
MA1AB100000000400,15.85,15.85
MA1AB100000000401,6.58,6.58
MA1AB100000000402,0.92,0.92
MA1AB100000000403,7.51,7.51
MA1AB100000000404,6.95,6.95
MA1AB100000000405,10.45,10.45
MA1AB100000000406,5.42,5.42
MA1AB100000000407,20.57,20.57
MA1AB100000000408,7.41,7.41
MA1AB100000000409,3.37,3.37
MA1AB100000000410,0.0,0.0
MA1AB100000000411,10.21,10.21
MA1AB100000000412,7.11,7.11
MA1AB100000000413,11.09,11.09
MA1AB100000000414,0.0,0.0
MA1AB100000000415,14.55,14.55
MA1AB100000000416,0.0,0.0
MA1AB100000000417,8.0,8.0
MA1AB100000000418,6.41,6.41
MA1AB100000000419,17.990000000000002,17.990000000000002
MA1AB100000000420,7.66,7.66
MA1AB100000000421,17.82,17.82
MA1AB100000000422,10.75,10.75
MA1AB100000000423,0.84,0.84
MA1AB100000000424,0.0,0.0
MA1AB100000000425,9.99,9.99
MA1AB100000000426,26.64,26.64
MA1AB100000000427,2.42,2.42
MA1AB100000000428,8.02,8.02
MA1AB100000000429,9.99,9.99
MA1AB100000000430,17.29,17.29
MA1AB100000000431,18.35,18.35
MA1AB100000000432,0.0,0.0
MA1AB100000000433,0.0,0.0
MA1AB100000000434,3.1,3.1
MA1AB100000000435,8.14,8.14
MA1AB100000000436,2.76,2.76
MA1AB100000000437,20.28,20.28
MA1AB100000000438,7.300000000000001,7.300000000000001
MA1AB100000000439,12.469999999999999,12.469999999999999
MA1AB100000000440,7.84,7.84
MA1AB100000000441,9.82,9.82
MA1AB100000000442,3.69,3.69
MA1AB100000000443,0.93,0.93
MA1AB100000000444,22.560000000000002,22.560000000000002
MA1AB100000000445,8.1,8.1
MA1AB100000000446,4.95,4.95
MA1AB100000000447,8.75,8.75
MA1AB100000000448,12.67,12.67
MA1AB100000000449,12.870000000000001,12.870000000000001
MA1AB100000000450,11.08,11.08
MA1AB100000000451,14.629999999999999,14.629999999999999
MA1AB100000000452,8.629999999999999,8.629999999999999
MA1AB100000000453,0.0,0.0
MA1AB100000000454,10.01,10.01
MA1AB100000000455,17.62,17.62
MA1AB100000000456,4.3,4.3
MA1AB100000000457,10.39,10.39
MA1AB100000000458,5.98,5.98
MA1AB100000000459,18.7,18.7
MA1AB100000000460,17.54,17.54
MA1AB100000000461,19.82,19.82
MA1AB100000000462,3.25,3.25
MA1AB100000000463,1.35,1.35
MA1AB100000000464,13.93,13.93
MA1AB100000000465,0.0,0.0
MA1AB100000000466,12.58,12.58
MA1AB100000000467,5.69,5.69
MA1AB100000000468,3.77,3.77
MA1AB100000000469,0.0,0.0
MA1AB100000000470,4.24,4.24
MA1AB100000000471,3.82,3.82
MA1AB100000000472,30.759999999999998,30.759999999999998
MA1AB100000000473,15.75,15.75
MA1AB100000000474,14.23,14.23
MA1AB100000000475,5.98,5.98
MA1AB100000000476,13.88,13.88
MA1AB100000000477,0.0,0.0
MA1AB100000000478,0.0,0.0
MA1AB100000000479,17.58,17.58
MA1AB100000000480,3.93,3.93
MA1AB100000000481,7.47,7.47
MA1AB100000000482,0.89,0.89
MA1AB100000000483,0.0,0.0
MA1AB100000000484,13.5,13.5
MA1AB100000000485,3.62,3.62
MA1AB100000000486,9.29,9.29
MA1AB100000000487,20.5,20.5
MA1AB100000000488,16.31,16.31
MA1AB100000000489,6.54,6.54
MA1AB100000000490,16.1,16.1
MA1AB100000000491,5.13,5.13
MA1AB100000000492,8.71,8.71
MA1AB100000000493,9.5,9.5
MA1AB100000000494,10.67,10.67
MA1AB100000000495,0.0,0.0
MA1AB100000000496,0.0,0.0
MA1AB100000000497,8.03,8.03
MA1AB100000000498,12.17,12.17
MA1AB100000000499,14.89,14.89
MA1AB100000000500,0.0,0.0
MA1AB100000000501,15.09,15.09
MA1AB100000000502,11.85,11.85
MA1AB100000000503,9.49,9.49
MA1AB100000000504,16.49,16.49
MA1AB100000000505,9.82,9.82
MA1AB100000000506,0.0,0.0
MA1AB100000000507,8.02,8.02
MA1AB100000000508,11.63,11.63
MA1AB100000000509,35.04,35.04
MA1AB100000000510,2.66,2.66
MA1AB100000000511,6.52,6.52
MA1AB100000000512,5.36,5.36
MA1AB100000000513,29.91,29.91
MA1AB100000000514,5.84,5.84
MA1AB100000000515,2.08,2.08
MA1AB100000000516,7.4,7.4
MA1AB100000000517,8.26,8.26
MA1AB100000000518,0.0,0.0
MA1AB100000000519,21.66,21.66
MA1AB100000000520,7.0,7.0
MA1AB100000000521,2.58,2.58
MA1AB100000000522,11.780000000000001,11.780000000000001
MA1AB100000000523,24.93,24.93
MA1AB100000000524,12.32,12.32
MA1AB100000000525,8.21,8.21
MA1AB100000000526,4.67,4.67
MA1AB100000000527,10.66,10.66
MA1AB100000000528,8.96,8.96
MA1AB100000000529,5.64,5.64
MA1AB100000000530,0.0,0.0
MA1AB100000000531,4.84,4.84
MA1AB100000000532,6.609999999999999,6.609999999999999
MA1AB100000000533,16.29,16.29
MA1AB100000000534,9.71,9.71
MA1AB100000000535,6.0,6.0
MA1AB100000000536,9.87,9.87
MA1AB100000000537,10.49,10.49
MA1AB100000000538,0.0,0.0
MA1AB100000000539,3.94,3.94
MA1AB100000000540,21.38,21.38
MA1AB100000000541,14.61,14.61
MA1AB100000000542,5.88,5.88
MA1AB100000000543,0.72,0.72
MA1AB100000000544,0.0,0.0
MA1AB100000000545,6.59,6.59
MA1AB100000000546,6.46,6.46
MA1AB100000000547,3.73,3.73
MA1AB100000000548,10.93,10.93
MA1AB100000000549,8.440000000000001,8.440000000000001
MA1AB100000000550,16.9,16.9
MA1AB100000000551,19.88,19.88
MA1AB100000000552,4.71,4.71
MA1AB100000000553,5.08,5.08
MA1AB100000000554,12.17,12.17
MA1AB100000000555,2.46,2.46
MA1AB100000000556,2.74,2.74
MA1AB100000000557,4.08,4.08
MA1AB100000000558,4.23,4.23
MA1AB100000000559,4.61,4.61
MA1AB100000000560,2.73,2.73
MA1AB100000000561,7.76,7.76
MA1AB100000000562,9.350000000000001,9.350000000000001
MA1AB100000000563,10.23,10.23
MA1AB100000000564,18.48,18.48
MA1AB100000000565,17.28,17.28
MA1AB100000000566,9.18,9.18
MA1AB100000000567,8.870000000000001,8.870000000000001
MA1AB100000000568,7.1899999999999995,7.1899999999999995
MA1AB100000000569,13.41,13.41
MA1AB100000000570,11.76,11.76
MA1AB100000000571,8.47,8.47
MA1AB100000000572,25.05,25.05
MA1AB100000000573,3.47,3.47
MA1AB100000000574,1.84,1.84
MA1AB100000000575,4.16,4.16
MA1AB100000000576,18.37,18.37
MA1AB100000000577,13.66,13.66
MA1AB100000000578,14.14,14.14
MA1AB100000000579,8.55,8.55
MA1AB100000000580,5.23,5.23
MA1AB100000000581,0.0,0.0
MA1AB100000000582,7.1,7.1
MA1AB100000000583,19.509999999999998,19.509999999999998
MA1AB100000000584,6.73,6.73
MA1AB100000000585,4.63,4.63
MA1AB100000000586,11.59,11.59
MA1AB100000000587,0.0,0.0
MA1AB100000000588,3.68,3.68
MA1AB100000000589,9.71,9.71
MA1AB100000000590,20.76,20.76
MA1AB100000000591,18.04,18.04
MA1AB100000000592,13.68,13.68
MA1AB100000000593,0.0,0.0
MA1AB100000000594,2.36,2.36
MA1AB100000000595,14.489999999999998,14.489999999999998
MA1AB100000000596,4.56,4.56
MA1AB100000000597,13.66,13.66
MA1AB100000000598,18.7,18.7
MA1AB100000000599,4.17,4.17
MA1AB100000000600,9.82,9.82
MA1AB100000000601,3.73,3.73
MA1AB100000000602,21.15,21.15
MA1AB100000000603,2.8600000000000003,2.8600000000000003
MA1AB100000000604,12.41,12.41
MA1AB100000000605,0.0,0.0
MA1AB100000000606,2.3,2.3
MA1AB100000000607,5.279999999999999,5.279999999999999
MA1AB100000000608,0.0,0.0
MA1AB100000000609,0.91,0.91
MA1AB100000000610,6.26,6.26
MA1AB100000000611,4.300000000000001,4.300000000000001
MA1AB100000000612,6.1,6.1
MA1AB100000000613,0.0,0.0
MA1AB100000000614,3.38,3.38
MA1AB100000000615,12.309999999999999,12.309999999999999
MA1AB100000000616,2.08,2.08
MA1AB100000000617,13.92,13.92
MA1AB100000000618,10.8,10.8
MA1AB100000000619,4.17,4.17
MA1AB100000000620,8.780000000000001,8.780000000000001
MA1AB100000000621,9.21,9.21
MA1AB100000000622,5.109999999999999,5.109999999999999
MA1AB100000000623,6.92,6.92
MA1AB100000000624,6.92,6.92
MA1AB100000000625,3.7,3.7
MA1AB100000000626,2.86,2.86
MA1AB100000000627,6.84,6.84
MA1AB100000000628,7.71,7.71
MA1AB100000000629,12.05,12.05
MA1AB100000000630,0.0,0.0
MA1AB100000000631,7.89,7.89
MA1AB100000000632,9.72,9.72
MA1AB100000000633,7.17,7.17
MA1AB100000000634,12.26,12.26
MA1AB100000000635,11.93,11.93
MA1AB100000000636,6.42,6.42
MA1AB100000000637,11.01,11.01
MA1AB100000000638,9.98,9.98
MA1AB100000000639,15.97,15.97
MA1AB100000000640,7.77,7.77
MA1AB100000000641,11.55,11.55
MA1AB100000000642,4.64,4.64
MA1AB100000000643,0.0,0.0
MA1AB100000000644,0.0,0.0
MA1AB100000000645,0.0,0.0
MA1AB100000000646,8.73,8.73
MA1AB100000000647,8.690000000000001,8.690000000000001
MA1AB100000000648,1.66,1.66
MA1AB100000000649,12.14,12.14
MA1AB100000000650,1.61,1.61
MA1AB100000000651,0.0,0.0
MA1AB100000000652,6.72,6.72
MA1AB100000000653,5.06,5.06
MA1AB100000000654,9.16,9.16
MA1AB100000000655,8.34,8.34
MA1AB100000000656,3.23,3.23
MA1AB100000000657,6.7,6.7
MA1AB100000000658,12.48,12.48
MA1AB100000000659,3.88,3.88
MA1AB100000000660,3.79,3.79
MA1AB100000000661,9.57,9.57
MA1AB100000000662,17.65,17.65
MA1AB100000000663,0.0,0.0
MA1AB100000000664,19.27,19.27
MA1AB100000000665,12.52,12.52
MA1AB100000000667,12.14,12.14
MA1AB100000000668,4.29,4.29
MA1AB100000000669,13.129999999999999,13.129999999999999
MA1AB100000000670,24.259999999999998,24.259999999999998
MA1AB100000000671,7.88,7.88
MA1AB100000000672,0.0,0.0
MA1AB100000000673,2.94,2.94
MA1AB100000000674,1.78,1.78
MA1AB100000000675,10.46,10.46
MA1AB100000000676,5.51,5.51
MA1AB100000000677,1.56,1.56
MA1AB100000000678,10.91,10.91
MA1AB100000000679,9.66,9.66
MA1AB100000000680,5.97,5.97
MA1AB100000000681,17.04,17.04
MA1AB100000000682,15.24,15.24
MA1AB100000000683,9.71,9.71
MA1AB100000000684,7.04,7.04
MA1AB100000000685,0.0,0.0
MA1AB100000000686,17.99,17.99
MA1AB100000000687,13.219999999999999,13.219999999999999
MA1AB100000000688,0.0,0.0
MA1AB100000000689,3.83,3.83
MA1AB100000000690,6.51,6.51
MA1AB100000000691,0.0,0.0
MA1AB100000000692,19.82,19.82
MA1AB100000000693,2.83,2.83
MA1AB100000000694,23.97,23.97
MA1AB100000000695,11.54,11.54
MA1AB100000000696,17.1,17.1
MA1AB100000000697,11.32,11.32
MA1AB100000000698,13.18,13.18
MA1AB100000000699,8.71,8.71
MA1AB100000000700,12.440000000000001,12.440000000000001
MA1AB100000000701,17.81,17.81
MA1AB100000000702,15.02,15.02
MA1AB100000000703,9.05,9.05
MA1AB100000000704,6.58,6.58
MA1AB100000000705,8.620000000000001,8.620000000000001
MA1AB100000000706,8.8,8.8
MA1AB100000000707,1.77,1.77
MA1AB100000000708,7.36,7.36
MA1AB100000000709,29.53,29.53
MA1AB100000000710,13.259999999999998,13.259999999999998
MA1AB100000000711,12.290000000000001,12.290000000000001
MA1AB100000000712,10.99,10.99
MA1AB100000000713,7.199999999999999,7.199999999999999
MA1AB100000000714,10.129999999999999,10.129999999999999
MA1AB100000000715,10.49,10.49
MA1AB100000000716,0.0,0.0
MA1AB100000000717,17.8,17.8
MA1AB100000000718,10.48,10.48
MA1AB100000000719,22.39,22.39
MA1AB100000000720,3.09,3.09
MA1AB100000000721,0.0,0.0
MA1AB100000000722,21.56,21.56
MA1AB100000000723,2.52,2.52
MA1AB100000000724,9.620000000000001,9.620000000000001
MA1AB100000000725,7.680000000000001,7.680000000000001
MA1AB100000000726,12.870000000000001,12.870000000000001
MA1AB100000000727,21.59,21.59
MA1AB100000000728,7.19,7.19
MA1AB100000000729,10.7,10.7
MA1AB100000000730,0.0,0.0
MA1AB100000000731,4.55,4.55
MA1AB100000000732,20.44,20.44
MA1AB100000000733,10.29,10.29
MA1AB100000000734,19.259999999999998,19.259999999999998
MA1AB100000000735,5.94,5.94
MA1AB100000000736,8.07,8.07
MA1AB100000000737,6.57,6.57
