Reading_ID,Event_ID,Sensor_ID,Timestamp,Torque,Temperature,Pressure,Vibration_mm_s,Energy_kWh,Calibration_Factor,Torque_Nm,Torque_Status,Temperature_C,Temperature_Status
RD000135,M11749,SEN-031,2026-03-01 07:07:00,45 Nm,104 F,65 psi,6.74,2.03,0.99,45.0,Valid,40.0,Valid
RD000136,M11300,SEN-049,2026-03-01 07:07:30,,,72 psi,2.36,7.54,1.028,,Invalid,,Invalid
RD000137,M11897,SEN-023,2026-03-01 07:08:00,50 Nm,40 C,4.5 bar,6.45,4.54,0.997,50.0,Valid,40.0,Valid
RD000138,M10990,SEN-041,2026-03-01 07:08:30,,35 C,5.2 bar,5.18,1.98,0.977,,Invalid,35.0,Valid
RD000139,M11758,SEN-046,2026-03-01 07:09:00,35 lb-ft,,72 psi,6.4,2.71,1.018,47.4537,Valid,,Invalid
RD000140,M11318,SEN-044,2026-03-01 07:09:30,45 Nm,,65 psi,0.78,1.84,1.014,45.0,Valid,,Invalid
RD000141,M9147,SEN-019,2026-03-01 07:10:00,60Nm,104 F,72 psi,7.35,1.26,1.017,60.0,Valid,40.0,Valid
RD000142,M9466,SEN-038,2026-03-01 07:10:30,35 lb-ft,,65 psi,1.74,1.05,0.996,47.4537,Valid,,Invalid
RD000143,M8056,SEN-015,2026-03-01 07:11:00,50 Nm,,5.2 bar,6.41,7.77,1.007,50.0,Valid,,Invalid
RD000144,M9980,SEN-010,2026-03-01 07:11:30,60Nm,,4.5 bar,5.4,1.59,0.976,60.0,Valid,,Invalid
RD000145,M7035,SEN-003,2026-03-01 07:12:00,50 Nm,104 F,65 psi,8.2,3.04,1.001,50.0,Valid,40.0,Valid
RD000146,M7059,SEN-024,2026-03-01 07:12:30,60Nm,,65 psi,8.37,2.2,0.994,60.0,Valid,,Invalid
RD000147,M10454,SEN-041,2026-03-01 07:13:00,35 lb-ft,35 C,5.2 bar,7.09,7.07,1.023,47.4537,Valid,35.0,Valid
RD000148,M9342,SEN-003,2026-03-01 07:13:30,45 Nm,95 F,65 psi,4.68,6.05,1.029,45.0,Valid,35.0,Valid
RD000149,M8674,SEN-007,2026-03-01 07:14:00,45 Nm,104 F,4.5 bar,3.13,1.6,0.972,45.0,Valid,40.0,Valid
RD000150,M11538,SEN-022,2026-03-01 07:14:30,45 Nm,104 F,65 psi,3.65,2.37,0.986,45.0,Valid,40.0,Valid
RD000151,M11772,SEN-030,2026-03-01 07:15:00,72 lb-ft,104 F,5.2 bar,1.54,4.08,1.02,97.61904,Valid,40.0,Valid
RD000152,M8815,SEN-028,2026-03-01 07:15:30,50 Nm,85C,72 psi,4.92,6.61,1.011,50.0,Valid,85.0,Valid
RD000153,M9001,SEN-033,2026-03-01 07:16:00,72 lb-ft,104 F,72 psi,8.41,2.9,0.983,97.61904,Valid,40.0,Valid
RD000154,M7437,SEN-020,2026-03-01 07:16:30,35 lb-ft,,72 psi,6.64,4.5,1.01,47.4537,Valid,,Invalid
RD000155,M9561,SEN-005,2026-03-01 07:17:00,50 Nm,85C,4.5 bar,2.86,4.45,1.022,50.0,Valid,85.0,Valid
RD000156,M11192,SEN-013,2026-03-01 07:17:30,,104 F,65 psi,7.27,3.85,0.971,,Invalid,40.0,Valid
RD000157,M7961,SEN-050,2026-03-01 07:18:00,72 lb-ft,85C,5.2 bar,0.76,4.44,1.018,97.61904,Valid,85.0,Valid
RD000158,M10574,SEN-024,2026-03-01 07:18:30,35 lb-ft,,72 psi,6.49,6.2,0.988,47.4537,Valid,,Invalid
RD000159,M10265,SEN-020,2026-03-01 07:19:00,45 Nm,95 F,4.5 bar,7.5,1.42,1.022,45.0,Valid,35.0,Valid
RD000160,M9717,SEN-013,2026-03-01 07:19:30,,85C,4.5 bar,4.71,4.54,0.996,,Invalid,85.0,Valid
RD000161,M8121,SEN-021,2026-03-01 07:20:00,45 Nm,95 F,65 psi,1.08,5.52,1.009,45.0,Valid,35.0,Valid
RD000162,M7323,SEN-028,2026-03-01 07:20:30,60Nm,104 F,65 psi,5.87,1.42,1.029,60.0,Valid,40.0,Valid
RD000163,M8823,SEN-023,2026-03-01 07:21:00,35 lb-ft,95 F,72 psi,1.51,2.38,0.988,47.4537,Valid,35.0,Valid
RD000164,M8347,SEN-049,2026-03-01 07:21:30,45 Nm,104 F,5.2 bar,5.28,2.07,0.992,45.0,Valid,40.0,Valid
RD000165,M8508,SEN-026,2026-03-01 07:22:00,,95 F,5.2 bar,3.74,3.13,0.98,,Invalid,35.0,Valid
RD000166,M7468,SEN-025,2026-03-01 07:22:30,72 lb-ft,,72 psi,4.2,2.83,1.027,97.61904,Valid,,Invalid
RD000167,M7297,SEN-001,2026-03-01 07:23:00,,40 C,5.2 bar,7.88,7.25,1.03,,Invalid,40.0,Valid
RD000168,M9341,SEN-050,2026-03-01 07:23:30,60Nm,85C,5.2 bar,0.59,2.13,1.023,60.0,Valid,85.0,Valid
RD000169,M7938,SEN-025,2026-03-01 07:24:00,35 lb-ft,85C,5.2 bar,0.32,4.1,0.975,47.4537,Valid,85.0,Valid
RD000170,M9122,SEN-048,2026-03-01 07:24:30,,40 C,4.5 bar,0.38,7.41,0.977,,Invalid,40.0,Valid
RD000171,M11127,SEN-020,2026-03-01 07:25:00,60Nm,35 C,72 psi,4.8,3.63,0.98,60.0,Valid,35.0,Valid
RD000172,M8786,SEN-004,2026-03-01 07:25:30,60Nm,95 F,4.5 bar,0.82,7.04,1.0,60.0,Valid,35.0,Valid
RD000173,M10290,SEN-047,2026-03-01 07:26:00,,40 C,65 psi,3.55,0.68,0.993,,Invalid,40.0,Valid
RD000174,M8325,SEN-046,2026-03-01 07:26:30,72 lb-ft,104 F,72 psi,4.67,3.63,1.027,97.61904,Valid,40.0,Valid
RD000175,M9012,SEN-011,2026-03-01 07:27:00,,35 C,72 psi,7.8,3.67,0.985,,Invalid,35.0,Valid
RD000176,M10906,SEN-048,2026-03-01 07:27:30,35 lb-ft,85C,4.5 bar,6.21,6.41,0.995,47.4537,Valid,85.0,Valid
RD000177,M9061,SEN-039,2026-03-01 07:28:00,45 Nm,40 C,65 psi,1.74,5.29,1.015,45.0,Valid,40.0,Valid
RD000178,M11138,SEN-044,2026-03-01 07:28:30,72 lb-ft,85C,65 psi,8.33,2.33,0.973,97.61904,Valid,85.0,Valid
RD000179,M9373,SEN-046,2026-03-01 07:29:00,72 lb-ft,104 F,72 psi,2.56,6.24,1.02,97.61904,Valid,40.0,Valid
RD000180,M11355,SEN-003,2026-03-01 07:29:30,45 Nm,104 F,4.5 bar,0.3,1.41,1.004,45.0,Valid,40.0,Valid
RD000181,M10807,SEN-004,2026-03-01 07:30:00,50 Nm,85C,5.2 bar,1.67,4.26,0.994,50.0,Valid,85.0,Valid
RD000182,M10945,SEN-037,2026-03-01 07:30:30,45 Nm,95 F,65 psi,6.53,5.78,1.006,45.0,Valid,35.0,Valid
RD000183,M8696,SEN-047,2026-03-01 07:31:00,50 Nm,40 C,72 psi,7.96,4.47,1.004,50.0,Valid,40.0,Valid
RD000184,M10878,SEN-006,2026-03-01 07:31:30,35 lb-ft,35 C,72 psi,8.14,1.54,0.974,47.4537,Valid,35.0,Valid
RD000185,M9644,SEN-019,2026-03-01 07:32:00,,104 F,65 psi,7.29,6.96,1.012,,Invalid,40.0,Valid
RD000186,M11381,SEN-038,2026-03-01 07:32:30,45 Nm,,65 psi,5.93,6.86,0.999,45.0,Valid,,Invalid
RD000187,M11037,SEN-004,2026-03-01 07:33:00,35 lb-ft,104 F,72 psi,2.3,7.49,0.998,47.4537,Valid,40.0,Valid
RD000188,M7747,SEN-037,2026-03-01 07:33:30,45 Nm,85C,5.2 bar,7.33,5.92,1.014,45.0,Valid,85.0,Valid
RD000189,M8688,SEN-003,2026-03-01 07:34:00,72 lb-ft,95 F,72 psi,3.65,0.54,0.986,97.61904,Valid,35.0,Valid
RD000190,M10601,SEN-044,2026-03-01 07:34:30,50 Nm,104 F,72 psi,6.62,2.67,0.978,50.0,Valid,40.0,Valid
RD000191,M10258,SEN-009,2026-03-01 07:35:00,50 Nm,85C,5.2 bar,0.56,0.67,0.989,50.0,Valid,85.0,Valid
RD000192,M10319,SEN-046,2026-03-01 07:35:30,45 Nm,95 F,72 psi,3.91,1.06,1.016,45.0,Valid,35.0,Valid
RD000193,M8230,SEN-045,2026-03-01 07:36:00,45 Nm,104 F,4.5 bar,6.28,5.73,1.016,45.0,Valid,40.0,Valid
RD000194,M7884,SEN-017,2026-03-01 07:36:30,35 lb-ft,40 C,65 psi,4.24,1.27,1.025,47.4537,Valid,40.0,Valid
RD000195,M10208,SEN-032,2026-03-01 07:37:00,72 lb-ft,35 C,5.2 bar,5.9,1.94,1.022,97.61904,Valid,35.0,Valid
RD000196,M11536,SEN-048,2026-03-01 07:37:30,50 Nm,40 C,5.2 bar,7.16,7.94,0.973,50.0,Valid,40.0,Valid
