Insp_ID,Event_ID,VIN,Source,Defect,Scrap_Code,Is_Rework
QI-45,EVT-12230,XX3699,Human-QA1,None,,False
QI-46,EVT-11042,XX1960,Cam-2,Reject,,False
QI-47,EVT-14458,XX1527,Cam-1,None,,False
QI-48,EVT-12520,XX2178,Cam-1,Repair,,False
QI-49,EVT-14104,XX3073,Human-QA1,None,,False
QI-50,EVT-12707,XX3520,Cam-1,None,,False
QI-51,EVT-11329,XX1696,Human-QA2,None,,False
QI-52,EVT-13655,XX4120,Human-QA1,None,,False
QI-53,EVT-13905,XX0377,Human-QA2,None,,False
QI-54,EVT-11080,XX0779,Cam-2,None,,False
QI-55,EVT-13605,XX3344,Human-QA2,None,,False
QI-56,EVT-10823,XX3596,Human-QA1,None,,False
QI-57,EVT-13619,XX2500,Cam-2,None,S-01,False
QI-58,EVT-13250,XX4996,Cam-1,None,,False
QI-59,EVT-12115,XX0587,Human-QA1,Reject,,True
QI-60,EVT-13567,XX1055,Cam-2,Reject,,False
QI-61,EVT-10047,XX3000,Human-QA1,Repair,,False
QI-62,EVT-11440,XX0610,Cam-2,None,,False
QI-63,EVT-13735,XX2177,Human-QA1,None,,False
QI-64,EVT-10944,XX2501,Human-QA1,na,,False
QI-65,EVT-13268,XX0807,Human-QA1,None,,False
QI-66,EVT-13641,XX2484,Human-QA1,None,,False
QI-67,EVT-13119,XX2700,Human-QA2,None,,False
QI-68,EVT-11983,XX1352,Cam-2,Repair,,False
QI-69,EVT-10354,XX0109,Cam-2,None,,False
QI-70,EVT-13305,XX0526,Human-QA1,None,,False
QI-71,EVT-14532,XX1499,Human-QA1,Reject,,False
QI-72,EVT-14795,XX0950,Cam-1,None,,False
QI-73,EVT-11917,XX1668,Cam-2,Repair,,True
QI-74,EVT-14185,XX3185,Human-QA2,None,,False
QI-75,EVT-10368,XX4948,Cam-2,OK,,False
QI-76,EVT-12986,XX0606,Cam-2,None,S-03,False
QI-77,EVT-11192,XX2395,Cam-2,None,,False
QI-78,EVT-11386,XX1625,Cam-1,None,,False
QI-79,EVT-13993,XX4918,Human-QA2,None,,False
QI-80,EVT-13002,XX4403,Human-QA1,None,,False
QI-81,EVT-11896,XX1058,Human-QA2,None,,False
QI-82,EVT-12547,XX1369,Human-QA1,None,S-01,False
QI-83,EVT-14799,XX1672,Human-QA1,OK,,False
QI-84,EVT-11553,XX4634,Human-QA2,None,,False
QI-85,EVT-12810,XX3739,Cam-1,OK,,False
QI-86,EVT-13032,XX0928,Cam-1,None,,False
QI-87,EVT-10111,XX3626,Human-QA1,na,,False
QI-88,EVT-14072,XX2737,Cam-1,None,,False
QI-89,EVT-11063,XX0705,Cam-1,None,,False
QI-90,EVT-14197,XX0283,Cam-1,na,,False
QI-91,EVT-11392,XX3830,Cam-1,na,,False
QI-92,EVT-11197,XX3684,Human-QA1,None,,False
QI-93,EVT-13897,XX0971,Cam-1,None,,False
QI-94,EVT-10340,XX4073,Human-QA2,OK,,False
QI-95,EVT-10015,XX0489,Human-QA2,None,,False
QI-96,EVT-12861,XX3107,Human-QA1,None,,False
QI-97,EVT-14291,XX2854,Cam-2,OK,,False
QI-98,EVT-11205,XX2090,Cam-1,Repair,,False
QI-99,EVT-11574,XX0170,Human-QA2,None,S-01,False
QI-100,EVT-13306,XX4017,Cam-2,None,,False
QI-101,EVT-14600,XX1593,Human-QA2,None,,False
QI-102,EVT-11540,XX4964,Human-QA2,None,,False
QI-103,EVT-13584,XX0566,Cam-2,None,,False
QI-104,EVT-14053,XX1418,Cam-1,None,,False
QI-105,EVT-11926,XX3368,Human-QA1,na,,False
QI-106,EVT-13519,XX0385,Human-QA1,Reject,S-03,False
QI-107,EVT-11405,XX2646,Human-QA1,None,,False
QI-108,EVT-12013,XX3136,Cam-1,na,,False
QI-109,EVT-10447,XX4177,Cam-1,None,,False
QI-110,EVT-11720,XX3257,Human-QA2,na,,False
QI-111,EVT-13867,XX0238,Human-QA1,None,,False
QI-112,EVT-14093,XX3441,Human-QA1,None,,False
QI-113,EVT-10033,XX4833,Human-QA2,None,,False
QI-114,EVT-10496,XX4936,Human-QA2,None,,False
QI-115,EVT-12911,XX1933,Cam-2,OK,,False
QI-116,EVT-11403,XX3162,Cam-2,None,,False
QI-117,EVT-13219,XX2577,Cam-1,None,,False
QI-118,EVT-12710,XX4184,Human-QA1,None,S-02,False
QI-119,EVT-11602,XX2072,Human-QA2,OK,,False
QI-120,EVT-14685,XX0332,Human-QA1,None,,False
QI-121,EVT-14772,XX3130,Cam-1,None,,False
QI-122,EVT-13712,XX2512,Human-QA1,None,,False
QI-123,EVT-13602,XX3050,Human-QA2,None,S-02,False
QI-124,EVT-14096,XX4285,Human-QA2,None,,False
QI-125,EVT-12334,XX3536,Human-QA2,None,S-02,False
QI-126,EVT-11279,XX0353,Cam-1,Reject,,False
QI-127,EVT-13245,XX3123,Human-QA2,None,,False
QI-128,EVT-14949,XX2032,Cam-2,None,,False
QI-129,EVT-10049,XX0860,Human-QA2,na,S-01,False
QI-130,EVT-12664,XX2927,Human-QA1,Repair,,False
QI-131,EVT-11774,XX4263,Human-QA2,None,,False
QI-132,EVT-13588,XX4045,Human-QA2,na,,False
QI-133,EVT-14046,XX4197,Human-QA1,OK,,False
QI-134,EVT-10065,XX4621,Cam-1,None,,False
QI-135,EVT-14223,XX1171,Cam-1,None,,False
QI-136,EVT-12744,XX4584,Cam-1,None,,False
QI-137,EVT-10187,XX2129,Cam-1,OK,,False
QI-138,EVT-14673,XX2628,Human-QA2,None,,False
QI-139,EVT-14039,XX4918,Human-QA2,None,,False
QI-140,EVT-12888,XX3634,Cam-2,None,,False
QI-141,EVT-14857,XX1606,Cam-1,None,,False
QI-142,EVT-10666,XX2934,Human-QA1,None,,False
QI-143,EVT-10932,XX0072,Human-QA1,na,,False
QI-144,EVT-11970,XX2293,Human-QA1,None,,False
QI-145,EVT-13852,XX4675,Human-QA1,na,,False
QI-146,EVT-14140,XX1234,Cam-2,OK,,False
QI-147,EVT-12176,XX0194,Cam-2,None,S-01,False
QI-148,EVT-10617,XX4634,Cam-2,Repair,,False
QI-149,EVT-14858,XX4428,Cam-1,None,,False
QI-150,EVT-10792,XX3583,Human-QA2,Repair,,False
QI-151,EVT-11250,XX4389,Human-QA1,OK,,False
QI-152,EVT-13993,XX0730,Human-QA1,Reject,,False
QI-153,EVT-12444,XX0036,Cam-2,None,,False
QI-154,EVT-12322,XX0245,Cam-1,Reject,,False
QI-155,EVT-14233,XX3467,Cam-2,None,,False
QI-156,EVT-11350,XX3768,Human-QA1,None,,False
QI-157,EVT-12830,XX4286,Human-QA1,Repair,,False
QI-158,EVT-12275,XX1782,Cam-2,Repair,,False
QI-159,EVT-12206,XX2855,Human-QA1,None,,False
QI-160,EVT-11917,XX1216,Human-QA2,None,,False
QI-161,EVT-13834,XX0616,Human-QA2,None,,False
QI-162,EVT-12077,XX4164,Cam-2,None,,False
QI-163,EVT-11121,XX0454,Human-QA2,Reject,,False
QI-164,EVT-10608,XX3305,Human-QA2,None,,False
QI-165,EVT-10768,XX1532,Cam-2,None,,False
QI-166,EVT-10783,XX4562,Cam-2,None,S-02,False
QI-167,EVT-12929,XX1776,Cam-2,None,,False
QI-168,EVT-12389,XX2490,Human-QA2,None,,False
QI-169,EVT-10167,XX1150,Human-QA1,None,,False
QI-170,EVT-14779,XX3707,Cam-1,None,S-01,False
QI-171,EVT-13256,XX4229,Human-QA1,None,,False
QI-172,EVT-12479,XX4988,Cam-2,None,,False
QI-173,EVT-14134,XX4492,Human-QA1,None,S-03,False
QI-174,EVT-10979,XX2138,Cam-1,None,,False
QI-175,EVT-12434,XX0083,Human-QA1,Reject,,False
QI-176,EVT-14022,XX1524,Cam-2,None,S-02,False
QI-177,EVT-12816,XX3381,Cam-1,None,,False
QI-178,EVT-10790,XX2580,Human-QA2,None,,False
QI-179,EVT-14837,XX4937,Human-QA1,None,,False
QI-180,EVT-11474,XX1108,Human-QA2,None,,False
QI-181,EVT-13186,XX2075,Human-QA2,na,,False
QI-182,EVT-14001,XX4475,Cam-1,None,,False
QI-183,EVT-12448,XX1925,Human-QA2,OK,,False
QI-184,EVT-13674,XX4313,Human-QA2,OK,,False
QI-185,EVT-13380,XX0381,Human-QA1,None,,True
QI-186,EVT-11126,XX0637,Cam-1,na,,False
QI-187,EVT-11750,XX0800,Cam-2,None,S-01,False
QI-188,EVT-14197,XX3784,Cam-2,None,,False
QI-189,EVT-14750,XX4013,Cam-1,None,,False
QI-190,EVT-13161,XX2556,Human-QA2,Reject,,False
QI-191,EVT-13189,XX0283,Human-QA1,None,,False
QI-192,EVT-10751,XX4310,Human-QA2,None,,False
QI-193,EVT-11232,XX1180,Cam-2,None,,False
QI-194,EVT-10858,XX2047,Human-QA1,None,,False
QI-195,EVT-14414,XX0855,Cam-1,None,,True
QI-196,EVT-13860,XX0617,Human-QA2,None,,False
QI-197,EVT-14728,XX3231,Human-QA2,None,,False
QI-198,EVT-13941,XX2089,Human-QA1,None,,False
QI-199,EVT-12699,XX3874,Human-QA2,Repair,,False
QI-200,EVT-12000,XX4615,Cam-1,na,,False
QI-201,EVT-10239,XX1029,Human-QA1,None,,False
QI-202,EVT-12190,XX1045,Cam-1,Repair,,False
QI-203,EVT-14214,XX0646,Cam-1,None,,False
QI-204,EVT-14691,XX0941,Cam-1,None,,True
QI-205,EVT-12015,XX4338,Cam-1,None,,False
QI-206,EVT-10162,XX0343,Human-QA2,OK,,False
QI-207,EVT-14749,XX1667,Human-QA1,None,,False
QI-208,EVT-10349,XX2465,Human-QA2,None,S-01,False
QI-209,EVT-10030,XX0038,Cam-2,Reject,,False
QI-210,EVT-12138,XX4432,Cam-1,na,,False
QI-211,EVT-12175,XX2161,Cam-1,None,,False
QI-212,EVT-12826,XX0251,Cam-2,OK,,False
QI-213,EVT-13619,XX3417,Cam-2,None,,False
QI-214,EVT-10847,XX3946,Cam-1,None,,False
QI-215,EVT-10791,XX0264,Human-QA2,None,,False
QI-216,EVT-10508,XX4995,Human-QA2,None,,False
QI-217,EVT-14840,XX4677,Cam-1,None,,False
QI-218,EVT-14835,XX1415,Human-QA1,None,,False
QI-219,EVT-14332,XX1622,Cam-2,None,,False
QI-220,EVT-11012,XX1754,Human-QA2,None,,False
QI-221,EVT-13024,XX0562,Human-QA1,None,,True
QI-222,EVT-13070,XX3583,Cam-1,None,,False
QI-223,EVT-11074,XX1158,Cam-1,Repair,,False
QI-224,EVT-10468,XX1766,Human-QA2,None,,False
QI-225,EVT-11915,XX4157,Human-QA2,OK,,False
QI-226,EVT-14483,XX3836,Cam-1,None,,False
QI-227,EVT-10735,XX3542,Human-QA2,None,,False
QI-228,EVT-14749,XX3130,Human-QA2,None,,False
QI-229,EVT-12856,XX3257,Human-QA2,Repair,,False
QI-230,EVT-14477,XX3104,Cam-1,None,,False
QI-231,EVT-10095,XX4753,Cam-2,Repair,,False
QI-232,EVT-10911,XX4265,Human-QA1,None,,False
QI-233,EVT-14882,XX1046,Cam-2,na,,False
QI-234,EVT-14388,XX2858,Cam-1,na,,False
QI-235,EVT-13306,XX1103,Human-QA1,Repair,S-01,False
QI-236,EVT-14436,XX2736,Cam-1,None,,False
QI-237,EVT-10718,XX0387,Cam-2,None,,False
QI-238,EVT-13004,XX1613,Cam-1,None,,False
QI-239,EVT-11373,XX1566,Human-QA2,None,,False
QI-240,EVT-12428,XX3356,Human-QA2,None,S-01,False
QI-241,EVT-13681,XX2377,Cam-2,None,,False
QI-242,EVT-12809,XX2508,Human-QA2,OK,,False
QI-243,EVT-13219,XX2201,Cam-2,None,,False
QI-244,EVT-12613,XX4005,Cam-1,None,,False
QI-245,EVT-10504,XX2773,Cam-1,None,,False
QI-246,EVT-12265,XX0807,Cam-2,Repair,,False
QI-247,EVT-14060,XX3784,Human-QA1,None,,False
QI-248,EVT-12984,XX3030,Cam-2,na,,False
QI-249,EVT-12796,XX0641,Human-QA1,na,,False
QI-250,EVT-14931,XX4087,Cam-2,None,,False
QI-251,EVT-13926,XX2996,Cam-1,None,S-02,False
QI-252,EVT-13808,XX2239,Human-QA2,None,,False
QI-253,EVT-10488,XX2100,Cam-2,Repair,,False
QI-254,EVT-12258,XX2643,Human-QA1,None,,False
QI-255,EVT-12713,XX2389,Human-QA2,None,,False
QI-256,EVT-14354,XX4113,Human-QA1,None,,False
QI-257,EVT-11250,XX4086,Human-QA1,None,,False
QI-258,EVT-13960,XX0242,Human-QA1,None,,False
QI-259,EVT-11414,XX3750,Human-QA1,None,,False
QI-260,EVT-10991,XX4747,Cam-2,None,,False
QI-261,EVT-10399,XX1435,Human-QA2,None,,False
QI-262,EVT-14404,XX4390,Human-QA2,na,,False
QI-263,EVT-14055,XX1434,Human-QA2,None,,False
QI-264,EVT-14099,XX4769,Human-QA2,Repair,,False
QI-265,EVT-11567,XX1440,Cam-1,None,,False
QI-266,EVT-13817,XX4278,Cam-1,None,,False
QI-267,EVT-12273,XX2969,Cam-2,None,,False
QI-268,EVT-11125,XX4888,Human-QA2,Repair,,False
QI-269,EVT-13323,XX4763,Cam-1,None,,False
QI-270,EVT-12603,XX4822,Human-QA2,Reject,,False
QI-271,EVT-13499,XX4449,Cam-2,na,,False
QI-272,EVT-11565,XX4165,Human-QA1,None,,False
QI-273,EVT-10918,XX0477,Cam-2,None,,False
QI-274,EVT-14619,XX4421,Cam-1,None,,False
QI-275,EVT-14621,XX3566,Cam-1,OK,,False
QI-276,EVT-11315,XX1319,Cam-1,None,,False
QI-277,EVT-14119,XX4179,Cam-2,None,,False
QI-278,EVT-11654,XX3658,Cam-2,OK,,False
QI-279,EVT-13458,XX1289,Cam-2,None,,False
QI-280,EVT-11613,XX0269,Human-QA2,None,,False
QI-281,EVT-10241,XX2936,Cam-1,None,,False
QI-282,EVT-14298,XX4397,Cam-2,na,,False
QI-283,EVT-14332,XX1022,Cam-2,None,,False
QI-284,EVT-10950,XX0090,Human-QA2,None,,False
QI-285,EVT-13069,XX1926,Cam-1,None,,False
QI-286,EVT-10293,XX4456,Human-QA1,Repair,,False
QI-287,EVT-14305,XX3074,Human-QA1,None,,False
QI-288,EVT-10787,XX3248,Cam-1,None,,False
QI-289,EVT-11632,XX1149,Human-QA2,na,S-01,False
QI-290,EVT-13073,XX4823,Cam-1,None,,False
QI-291,EVT-14070,XX1603,Human-QA1,OK,,False
QI-292,EVT-12276,XX1803,Cam-2,None,,False
QI-293,EVT-14505,XX0005,Cam-1,None,,False
QI-294,EVT-13314,XX2165,Human-QA1,None,,False
QI-295,EVT-11491,XX3062,Cam-2,na,,False
QI-296,EVT-14553,XX0431,Cam-1,None,,False
QI-297,EVT-12601,XX0390,Human-QA2,None,,False
QI-298,EVT-12260,XX3551,Human-QA1,Repair,,False
QI-299,EVT-11831,XX3543,Cam-2,na,,False
QI-300,EVT-10385,XX1374,Cam-2,None,,False
QI-301,EVT-10527,XX4840,Human-QA2,None,,False
QI-302,EVT-11411,XX4180,Human-QA1,None,,False
QI-303,EVT-13350,XX2649,Cam-2,OK,,False
QI-304,EVT-14197,XX3299,Human-QA2,None,,False
QI-305,EVT-10389,XX0453,Human-QA1,OK,,False
QI-306,EVT-11225,XX0323,Human-QA2,None,S-01,False
QI-307,EVT-13638,XX4015,Human-QA2,None,,False
QI-308,EVT-13792,XX1989,Human-QA2,None,,False
QI-309,EVT-10840,XX1129,Human-QA2,None,S-03,False
QI-310,EVT-11377,XX1110,Human-QA1,None,,False
QI-311,EVT-10234,XX2551,Human-QA2,OK,S-01,False
QI-312,EVT-10113,XX0506,Human-QA2,None,,False
QI-313,EVT-13138,XX1180,Cam-2,None,,False
QI-314,EVT-10808,XX0496,Human-QA1,Repair,S-01,True
QI-315,EVT-12150,XX0386,Human-QA1,None,,False
QI-316,EVT-10410,XX3535,Human-QA2,None,,False
QI-317,EVT-11318,XX3615,Human-QA2,OK,S-02,False
QI-318,EVT-14086,XX4772,Cam-1,None,,False
QI-319,EVT-14903,XX1897,Human-QA2,None,,True
QI-320,EVT-11587,XX3855,Human-QA1,Repair,,False
QI-321,EVT-11060,XX3518,Cam-2,None,,False
QI-322,EVT-10066,XX2335,Human-QA1,Reject,,False
QI-323,EVT-12253,XX4297,Cam-2,None,,False
QI-324,EVT-10340,XX0811,Human-QA2,None,,False
QI-325,EVT-13977,XX0883,Cam-1,Reject,,False
QI-326,EVT-12473,XX1403,Cam-2,None,,False
QI-327,EVT-10955,XX3795,Human-QA1,Repair,,False
QI-328,EVT-14304,XX1289,Human-QA2,None,,False
QI-329,EVT-12010,XX0898,Cam-2,na,,False
QI-330,EVT-11888,XX2405,Cam-1,Reject,,False
QI-331,EVT-10368,XX1217,Cam-1,None,,False
QI-332,EVT-11762,XX2956,Cam-1,OK,,False
QI-333,EVT-10993,XX4023,Human-QA2,None,,False
QI-334,EVT-10081,XX2954,Cam-2,Repair,,True
QI-335,EVT-11187,XX3571,Cam-2,None,,False
QI-336,EVT-10376,XX1089,Human-QA2,na,,False
QI-337,EVT-10002,XX0317,Cam-2,None,,False
QI-338,EVT-10683,XX3819,Human-QA2,None,,True
QI-339,EVT-13189,XX4555,Cam-1,None,,False
QI-340,EVT-13727,XX0395,Cam-2,None,,False
QI-341,EVT-10763,XX1574,Cam-1,None,,False
QI-342,EVT-10265,XX3954,Human-QA2,None,,False
QI-343,EVT-12482,XX1063,Cam-1,None,,False
QI-344,EVT-12729,XX2197,Human-QA1,None,,False
QI-345,EVT-10724,XX2424,Human-QA2,na,,False
QI-346,EVT-12840,XX2414,Human-QA1,None,,False
QI-347,EVT-12423,XX4552,Human-QA2,None,,False
QI-348,EVT-12413,XX4372,Cam-1,na,,False
QI-349,EVT-14862,XX3582,Cam-1,None,,False
QI-350,EVT-12475,XX4259,Cam-1,None,,False
QI-351,EVT-11064,XX1643,Human-QA1,OK,,False
QI-352,EVT-12291,XX4896,Cam-1,None,,False
QI-353,EVT-12892,XX4276,Human-QA1,None,,False
QI-354,EVT-14398,XX1543,Human-QA1,None,,False
QI-355,EVT-14465,XX2900,Cam-2,None,,False
QI-356,EVT-14946,XX2035,Cam-2,None,,False
QI-357,EVT-12322,XX1479,Cam-2,None,,False
QI-358,EVT-10046,XX1012,Human-QA2,OK,,False
QI-359,EVT-12164,XX1432,Human-QA1,OK,,False
QI-360,EVT-13661,XX3257,Cam-1,None,,False
QI-361,EVT-12564,XX0457,Cam-2,None,,False
QI-362,EVT-13325,XX3065,Human-QA2,None,,False
QI-363,EVT-14927,XX4052,Human-QA1,None,,False
QI-364,EVT-12666,XX3577,Human-QA2,Repair,,False
QI-365,EVT-10755,XX2293,Cam-1,None,,True
QI-366,EVT-13244,XX4880,Cam-2,na,,False
QI-367,EVT-11452,XX1139,Human-QA1,None,,False
QI-368,EVT-10904,XX2546,Human-QA2,na,S-03,False
QI-369,EVT-12454,XX1361,Cam-2,Reject,,False
QI-370,EVT-13487,XX3191,Cam-2,None,,False
QI-371,EVT-14060,XX0056,Human-QA1,None,,False
QI-372,EVT-13763,XX4520,Cam-2,None,,False
QI-373,EVT-10778,XX3192,Human-QA2,None,,False
QI-374,EVT-11790,XX4146,Human-QA1,None,,False
QI-375,EVT-14927,XX3437,Human-QA1,None,,False
QI-376,EVT-11601,XX1960,Cam-2,OK,,False
QI-377,EVT-14739,XX2130,Cam-1,None,,False
QI-378,EVT-14508,XX4978,Cam-1,None,,False
QI-379,EVT-13843,XX0238,Cam-1,na,,True
QI-380,EVT-13675,XX3040,Human-QA2,None,,False
QI-381,EVT-13857,XX0389,Human-QA1,Reject,,False
QI-382,EVT-11005,XX3407,Cam-2,None,,False
QI-383,EVT-12700,XX0685,Cam-1,None,S-01,False
QI-384,EVT-10231,XX3984,Cam-2,None,,False
QI-385,EVT-13653,XX0187,Cam-1,None,,False
QI-386,EVT-14586,XX2744,Cam-1,None,S-01,False
QI-387,EVT-12133,XX3429,Cam-2,None,,False
QI-388,EVT-13836,XX2411,Human-QA2,None,,False
QI-389,EVT-11690,XX3235,Cam-2,None,,False
QI-390,EVT-11223,XX3389,Cam-2,None,,False
QI-391,EVT-14970,XX2935,Human-QA2,None,,False
QI-392,EVT-12203,XX4372,Human-QA2,None,,False
QI-393,EVT-10897,XX4921,Cam-2,na,,False
QI-394,EVT-11869,XX3970,Human-QA2,None,,False
QI-395,EVT-10151,XX3995,Cam-1,Reject,,False
QI-396,EVT-11351,XX4573,Human-QA2,None,,False
QI-397,EVT-10171,XX3250,Cam-2,None,,False
QI-398,EVT-11429,XX2752,Human-QA2,None,,True
QI-399,EVT-14857,XX1576,Human-QA1,None,,False
QI-400,EVT-13433,XX1260,Human-QA2,None,,False
QI-401,EVT-13199,XX1057,Cam-1,None,,False
QI-402,EVT-11898,XX0545,Human-QA1,None,,False
QI-403,EVT-11359,XX0330,Cam-1,None,,False
QI-404,EVT-10692,XX2170,Cam-1,None,,False
QI-405,EVT-10099,XX1579,Human-QA1,na,,False
QI-406,EVT-13442,XX3007,Cam-1,None,,False
QI-407,EVT-13049,XX2524,Human-QA1,None,,False
QI-408,EVT-10004,XX2790,Cam-1,None,,False
QI-409,EVT-11920,XX4223,Cam-2,None,,False
QI-410,EVT-10427,XX2916,Cam-1,None,,False
QI-411,EVT-10586,XX1773,Human-QA1,na,,False
QI-412,EVT-12967,XX2139,Cam-2,None,,False
QI-413,EVT-13204,XX1957,Cam-2,None,,False
QI-414,EVT-10255,XX2073,Human-QA2,None,,False
QI-415,EVT-11473,XX2397,Human-QA2,None,,False
QI-416,EVT-10720,XX2816,Human-QA2,None,,True
QI-417,EVT-12000,XX0873,Cam-2,None,,False
QI-418,EVT-13007,XX4342,Human-QA2,None,,True
QI-419,EVT-12627,XX0257,Cam-2,None,,False
QI-420,EVT-14502,XX4918,Human-QA2,OK,,True
QI-421,EVT-12289,XX4033,Cam-1,None,,False
QI-422,EVT-14210,XX4886,Human-QA2,None,,False
QI-423,EVT-11731,XX3261,Human-QA1,None,,False
QI-424,EVT-14901,XX0694,Human-QA2,None,,False
QI-425,EVT-12177,XX4835,Cam-2,Repair,,False
QI-426,EVT-11580,XX4038,Human-QA1,None,,False
QI-427,EVT-13226,XX4815,Human-QA1,None,,False
QI-428,EVT-10993,XX0556,Cam-2,None,,False
QI-429,EVT-11996,XX3957,Human-QA1,None,,False
QI-430,EVT-14590,XX1278,Human-QA1,None,,False
QI-431,EVT-11852,XX4210,Human-QA1,None,,False
QI-432,EVT-10081,XX0948,Human-QA2,None,S-03,False
QI-433,EVT-13850,XX4581,Human-QA1,None,,False
QI-434,EVT-13012,XX4374,Cam-1,None,,False
QI-435,EVT-12716,XX0398,Cam-1,na,,False
QI-436,EVT-11455,XX0222,Human-QA2,None,,False
QI-437,EVT-11197,XX2366,Human-QA2,OK,,False
QI-438,EVT-13112,XX1778,Cam-1,None,,False
QI-439,EVT-12916,XX4061,Human-QA1,na,,False
QI-440,EVT-11311,XX3955,Cam-1,OK,,False
QI-441,EVT-10560,XX3523,Cam-2,None,,False
QI-442,EVT-12104,XX4439,Human-QA1,na,,False
QI-443,EVT-12053,XX0775,Cam-1,OK,,False
QI-444,EVT-11598,XX0340,Cam-1,None,,False
QI-445,EVT-10944,XX0007,Human-QA1,na,,False
QI-446,EVT-10578,XX1297,Human-QA1,None,S-02,False
QI-447,EVT-10914,XX0288,Human-QA1,None,,False
QI-448,EVT-10161,XX0893,Human-QA2,Repair,,False
QI-449,EVT-10774,XX0717,Cam-2,OK,,False
QI-450,EVT-10056,XX4280,Human-QA2,None,,False
QI-451,EVT-11189,XX1854,Cam-1,None,,False
QI-452,EVT-14044,XX0570,Cam-2,None,,False
QI-453,EVT-10545,XX4719,Human-QA2,None,,False
QI-454,EVT-12980,XX0643,Cam-1,None,S-03,False
QI-455,EVT-14906,XX3673,Human-QA1,None,S-02,False
QI-456,EVT-14142,XX4081,Cam-1,OK,,False
QI-457,EVT-11413,XX3329,Human-QA1,None,,False
QI-458,EVT-12415,XX2552,Human-QA2,None,,False
QI-459,EVT-14083,XX0110,Cam-1,None,,False
QI-460,EVT-13388,XX3651,Cam-2,na,,False
QI-461,EVT-13203,XX3220,Cam-1,None,,False
QI-462,EVT-11412,XX0732,Human-QA1,None,,False
QI-463,EVT-12629,XX4310,Human-QA2,None,,False
QI-464,EVT-10571,XX3044,Cam-2,OK,,False
QI-465,EVT-11740,XX0568,Cam-2,None,,False
QI-466,EVT-13927,XX3049,Human-QA2,na,,False
QI-467,EVT-10347,XX2872,Human-QA2,None,,False
QI-468,EVT-10844,XX1358,Cam-1,None,,False
QI-469,EVT-12665,XX4943,Cam-1,None,,False
QI-470,EVT-14592,XX1072,Cam-2,None,,False
QI-471,EVT-14791,XX2247,Cam-1,None,,False
QI-472,EVT-13590,XX2556,Human-QA1,None,,False
QI-473,EVT-12499,XX2377,Human-QA1,Repair,,False
QI-474,EVT-10542,XX1921,Cam-1,None,,False
QI-475,EVT-10215,XX0124,Cam-2,OK,,False
QI-476,EVT-12900,XX0075,Cam-1,na,,False
QI-477,EVT-14393,XX1989,Human-QA2,None,,False
QI-478,EVT-11369,XX0157,Human-QA2,None,,False
QI-479,EVT-10285,XX3084,Cam-2,None,,False
