Supplier_Code,Supplier_Name,Country
SUP1102,Supplier_103,India
SUP1103,Supplier_104,Korea
SUP1104,Supplier_105,China
SUP1105,Supplier_106,Japan
SUP1106,Supplier_107,Korea
SUP1107,Supplier_108,China
SUP1108,Supplier_109,Japan
SUP1109,Supplier_110,Japan
SUP1110,Supplier_111,USA
SUP1111,Supplier_112,USA
SUP1112,Supplier_113,Germany
SUP1113,Supplier_114,China
SUP1114,Supplier_115,China
SUP1115,Supplier_116,Korea
SUP1116,Supplier_117,Japan
SUP1117,Supplier_118,China
SUP1118,Supplier_119,Germany
SUP1119,Supplier_120,Thailand
SUP1120,Supplier_121,Thailand
SUP1121,Supplier_122,Thailand
SUP1122,Supplier_123,India
SUP1123,Supplier_124,Japan
SUP1124,Supplier_125,Thailand
SUP1125,Supplier_126,India
SUP1126,Supplier_127,Thailand
SUP1127,Supplier_128,Germany
SUP1128,Supplier_129,USA
SUP1129,Supplier_130,Germany
SUP1130,Supplier_131,India
SUP1131,Supplier_132,Japan
SUP1132,Supplier_133,Korea
SUP1133,Supplier_134,China
SUP1134,Supplier_135,Germany
SUP1135,Supplier_136,Japan
SUP1136,Supplier_137,China
SUP1137,Supplier_138,USA
SUP1138,Supplier_139,USA
SUP1139,Supplier_140,China
SUP1140,Supplier_141,USA
SUP1141,Supplier_142,Japan
SUP1142,Supplier_143,Germany
SUP1143,Supplier_144,Japan
SUP1144,Supplier_145,Japan
SUP1145,Supplier_146,China
SUP1146,Supplier_147,Korea
SUP1147,Supplier_148,Korea
SUP1148,Supplier_149,Germany
SUP1149,Supplier_150,China
SUP1150,Supplier_151,Korea
SUP1151,Supplier_152,USA
SUP1152,Supplier_153,Korea
SUP1153,Supplier_154,USA
SUP1154,Supplier_155,Germany
SUP1155,Supplier_156,Japan
SUP1156,Supplier_157,Japan
SUP1157,Supplier_158,Korea
SUP1158,Supplier_159,USA
SUP1159,Supplier_160,India
SUP1160,Supplier_161,Thailand
SUP1161,Supplier_162,India
SUP1162,Supplier_163,Thailand
SUP1163,Supplier_164,India
SUP1164,Supplier_165,Japan
SUP1165,Supplier_166,China
SUP1166,Supplier_167,Japan
SUP1167,Supplier_168,Thailand
SUP1168,Supplier_169,China
SUP1169,Supplier_170,USA
SUP1170,Supplier_171,Korea
SUP1171,Supplier_172,India
SUP1172,Supplier_173,USA
SUP1173,Supplier_174,USA
SUP1174,Supplier_175,Korea
SUP1175,Supplier_176,USA
SUP1176,Supplier_177,Korea
SUP1177,Supplier_178,Germany
SUP1178,Supplier_179,Korea
SUP1179,Supplier_180,Thailand
SUP1180,Supplier_181,India
SUP1181,Supplier_182,China
SUP1182,Supplier_183,China
SUP1183,Supplier_184,India
SUP1184,Supplier_185,China
SUP1185,Supplier_186,Korea
SUP1186,Supplier_187,Thailand
SUP1187,Supplier_188,Germany
SUP1188,Supplier_189,Thailand
SUP1189,Supplier_190,China
SUP1190,Supplier_191,Germany
SUP1191,Supplier_192,India
SUP1192,Supplier_193,Germany
SUP1193,Supplier_194,USA
SUP1194,Supplier_195,Japan
SUP1195,Supplier_196,USA
SUP1196,Supplier_197,India
SUP1197,Supplier_198,China
SUP1198,Supplier_199,China
SUP1199,Supplier_200,Germany
