Operator_ID,Name,Shift_Code
OP-148,Operator 148,Morning_Shift_1
OP-149,Operator 149,Morning_Shift_1
OP-150,Operator 150,Evening_Shift_2
OP-151,Operator 151,Morning_Shift_1
OP-152,Operator 152,Night_Shift_3
OP-153,Operator 153,Night_Shift_3
OP-154,Operator 154,Evening_Shift_2
OP-155,Operator 155,Morning_Shift_1
OP-156,Operator 156,Morning_Shift_1
OP-157,Operator 157,Night_Shift_3
OP-158,Operator 158,Evening_Shift_2
OP-159,Operator 159,Morning_Shift_1
OP-160,Operator 160,Evening_Shift_2
OP-161,Operator 161,Morning_Shift_1
OP-162,Operator 162,Night_Shift_3
OP-163,Operator 163,Night_Shift_3
OP-164,Operator 164,Evening_Shift_2
OP-165,Operator 165,Night_Shift_3
OP-166,Operator 166,Morning_Shift_1
OP-167,Operator 167,Night_Shift_3
OP-168,Operator 168,Evening_Shift_2
OP-169,Operator 169,Evening_Shift_2
OP-170,Operator 170,Evening_Shift_2
OP-171,Operator 171,Morning_Shift_1
OP-172,Operator 172,Morning_Shift_1
OP-173,Operator 173,Morning_Shift_1
OP-174,Operator 174,Morning_Shift_1
OP-175,Operator 175,Morning_Shift_1
OP-176,Operator 176,Night_Shift_3
OP-177,Operator 177,Morning_Shift_1
OP-178,Operator 178,Morning_Shift_1
OP-179,Operator 179,Night_Shift_3
OP-180,Operator 180,Morning_Shift_1
OP-181,Operator 181,Evening_Shift_2
OP-182,Operator 182,Morning_Shift_1
OP-183,Operator 183,Morning_Shift_1
OP-184,Operator 184,Evening_Shift_2
OP-185,Operator 185,Evening_Shift_2
OP-186,Operator 186,Evening_Shift_2
OP-187,Operator 187,Evening_Shift_2
OP-188,Operator 188,Morning_Shift_1
OP-189,Operator 189,Evening_Shift_2
OP-190,Operator 190,Evening_Shift_2
OP-191,Operator 191,Night_Shift_3
OP-192,Operator 192,Evening_Shift_2
OP-193,Operator 193,Evening_Shift_2
OP-194,Operator 194,Night_Shift_3
OP-195,Operator 195,Night_Shift_3
OP-196,Operator 196,Morning_Shift_1
OP-197,Operator 197,Night_Shift_3
OP-198,Operator 198,Morning_Shift_1
OP-199,Operator 199,Night_Shift_3
OP-200,Operator 200,Night_Shift_3
OP-201,Operator 201,Morning_Shift_1
OP-202,Operator 202,Night_Shift_3
OP-203,Operator 203,Morning_Shift_1
OP-204,Operator 204,Night_Shift_3
OP-205,Operator 205,Evening_Shift_2
OP-206,Operator 206,Night_Shift_3
OP-207,Operator 207,Morning_Shift_1
OP-208,Operator 208,Night_Shift_3
OP-209,Operator 209,Morning_Shift_1
OP-210,Operator 210,Morning_Shift_1
OP-211,Operator 211,Evening_Shift_2
OP-212,Operator 212,Evening_Shift_2
OP-213,Operator 213,Morning_Shift_1
OP-214,Operator 214,Night_Shift_3
OP-215,Operator 215,Morning_Shift_1
OP-216,Operator 216,Morning_Shift_1
OP-217,Operator 217,Night_Shift_3
OP-218,Operator 218,Night_Shift_3
OP-219,Operator 219,Night_Shift_3
OP-220,Operator 220,Night_Shift_3
OP-221,Operator 221,Morning_Shift_1
OP-222,Operator 222,Morning_Shift_1
OP-223,Operator 223,Evening_Shift_2
OP-224,Operator 224,Morning_Shift_1
OP-225,Operator 225,Night_Shift_3
OP-226,Operator 226,Evening_Shift_2
OP-227,Operator 227,Night_Shift_3
OP-228,Operator 228,Morning_Shift_1
OP-229,Operator 229,Evening_Shift_2
OP-230,Operator 230,Night_Shift_3
OP-231,Operator 231,Evening_Shift_2
OP-232,Operator 232,Evening_Shift_2
OP-233,Operator 233,Morning_Shift_1
OP-234,Operator 234,Night_Shift_3
OP-235,Operator 235,Evening_Shift_2
OP-236,Operator 236,Evening_Shift_2
OP-237,Operator 237,Night_Shift_3
OP-238,Operator 238,Evening_Shift_2
OP-239,Operator 239,Evening_Shift_2
OP-240,Operator 240,Evening_Shift_2
OP-241,Operator 241,Night_Shift_3
OP-242,Operator 242,Night_Shift_3
OP-243,Operator 243,Night_Shift_3
OP-244,Operator 244,Night_Shift_3
OP-245,Operator 245,Morning_Shift_1
OP-246,Operator 246,Evening_Shift_2
OP-247,Operator 247,Night_Shift_3
OP-248,Operator 248,Evening_Shift_2
OP-249,Operator 249,Evening_Shift_2
OP-250,Operator 250,Morning_Shift_1
OP-251,Operator 251,Night_Shift_3
OP-252,Operator 252,Night_Shift_3
OP-253,Operator 253,Evening_Shift_2
OP-254,Operator 254,Night_Shift_3
OP-255,Operator 255,Evening_Shift_2
OP-256,Operator 256,Evening_Shift_2
OP-257,Operator 257,Morning_Shift_1
OP-258,Operator 258,Morning_Shift_1
OP-259,Operator 259,Morning_Shift_1
OP-260,Operator 260,Evening_Shift_2
OP-261,Operator 261,Night_Shift_3
OP-262,Operator 262,Morning_Shift_1
OP-263,Operator 263,Night_Shift_3
OP-264,Operator 264,Morning_Shift_1
OP-265,Operator 265,Morning_Shift_1
OP-266,Operator 266,Evening_Shift_2
OP-267,Operator 267,Morning_Shift_1
OP-268,Operator 268,Morning_Shift_1
OP-269,Operator 269,Evening_Shift_2
OP-270,Operator 270,Night_Shift_3
OP-271,Operator 271,Morning_Shift_1
OP-272,Operator 272,Evening_Shift_2
OP-273,Operator 273,Morning_Shift_1
OP-274,Operator 274,Evening_Shift_2
OP-275,Operator 275,Night_Shift_3
OP-276,Operator 276,Night_Shift_3
OP-277,Operator 277,Evening_Shift_2
OP-278,Operator 278,Evening_Shift_2
OP-279,Operator 279,Evening_Shift_2
OP-280,Operator 280,Night_Shift_3
OP-281,Operator 281,Morning_Shift_1
OP-282,Operator 282,Night_Shift_3
OP-283,Operator 283,Evening_Shift_2
OP-284,Operator 284,Evening_Shift_2
OP-285,Operator 285,Night_Shift_3
OP-286,Operator 286,Evening_Shift_2
OP-287,Operator 287,Night_Shift_3
OP-288,Operator 288,Evening_Shift_2
OP-289,Operator 289,Morning_Shift_1
OP-290,Operator 290,Morning_Shift_1
OP-291,Operator 291,Evening_Shift_2
OP-292,Operator 292,Night_Shift_3
OP-293,Operator 293,Morning_Shift_1
OP-294,Operator 294,Night_Shift_3
OP-295,Operator 295,Evening_Shift_2
OP-296,Operator 296,Night_Shift_3
OP-297,Operator 297,Morning_Shift_1
OP-298,Operator 298,Night_Shift_3
OP-299,Operator 299,Night_Shift_3
OP-300,Operator 300,Evening_Shift_2
