Event_ID,Line,Station,TS,Part_No,Torque,Temp,Pressure,Defect,VIN,Supplier,Work_Order,Sensor_ID,Calibration_Factor,Inspection_Source,Tool_ID,Shift,Scrap_Reason,BOM_Version,Effective_Date
M7040,PAINT-1,STN-03,2026-03-10 06:40,100-ABC,50Nm,85C,5 bar,na,XX100040,SUP-18,WO10040,SEN-002,1.01,Human,TL-024,,Weld,V1,2026-03-01
M7041,GA-2, stn-05 ,2026-03-10 06:41,148-ABC,45.0 ,85 C,5 bar,reject,XX100041,SUP-15,WO10041,SEN-008,1.021,Human,TL-016,C,NA,v1,2025-12-31
M7042,GA-2,STN-01,2026-03-10 06:42,138-ABC,45.0 ,95 F,65 psi,reject,XX100042,SUP-10,WO10042,SEN-010,1.004,Human,TL-016,A,Dimension,V2,2025-12-31
M7043,GA-1, stn-05 ,2026-03-10 06:43,113-ABC,60 nm,40 C,65 psi,reject,XX100043,SUP-17,WO10043,SEN-005,0.998,Automated,TL-025,A,Material,V1,2026-03-01
M7044,GA-1,STN-04,2026-03-10 06:44,101-ABC,35 lb-ft,40 C,4.5 bar, ok ,XX100044,SUP-17,WO10044,SEN-008,1.03,Automated,TL-007,B,NA,v1,2026-01-01
M7045,GA-2, stn-05 ,2026-03-10 06:45,133-ABC,35 lb-ft,95 F,4.5 bar,na,XX100045,SUP-17,WO10045,SEN-005,1.023,Automated,TL-008,,Dimension,V2,2026-01-01
M7046,GA-2,STN-01,2026-03-10 06:46,131-ABC,60 nm,40 C,65 psi,Reject,XX100046,SUP-05,WO10046,SEN-007,0.991,Automated,TL-004,C,NA,V2,2026-03-01
M7047,PAINT-1,STN-01,2026-03-10 06:47,112-ABC,60 nm,85C,5 bar,Reject,XX100047,SUP-09,WO10047,SEN-006,0.974,Automated,TL-028,A,Weld,V2,2026-03-01
M7048,GA-1,STN-03,2026-03-10 06:48,106-ABC,45,,65 psi,reject,XX100048,SUP-05,WO10048,SEN-004,1.028,Automated,TL-017,C,Paint,V2,2026-03-01
M7049,GA-1,Stn-03,2026-03-10 06:49,148-ABC,60 nm,40 C,5 bar,na,XX100049,SUP-07,WO10049,SEN-002,0.973,Automated,TL-015,B,Weld,V2,2026-01-01
M7050,GA-2,STN-02,2026-03-10 06:50,130-ABC,50Nm,95 F,65 psi,Reject,XX100050,SUP-09,WO10050,SEN-005,0.994,Human,TL-010,,Material,v1,2026-03-01
M7051,GA-1,STN-02,2026-03-10 06:51,141-ABC,45.0 ,85C,4.5 bar,na,XX100051,SUP-16,WO10051,SEN-009,0.983,Automated,TL-025,,Dimension,V1,2025-12-31
M7052,GA-2,STN-02,2026-03-10 06:52,105-ABC,45.0 ,95 F,5 bar,None,XX100052,SUP-11,WO10052,SEN-004,0.992,Human,TL-029,A,Dimension,V2,2026-03-01
M7053,GA-2,STN-04,2026-03-10 06:53,117-ABC,35 lb-ft,85C,65 psi,Reject,XX100053,SUP-19,WO10053,SEN-006,0.978,Human,TL-003,C,Paint,V2,2026-03-01
M7054,PAINT-1,STN-04,2026-03-10 06:54,119-ABC,45,85 C,4.5 bar,Repair,XX100054,SUP-16,WO10054,SEN-010,0.999,Human,TL-013,,Dimension,V1,2026-01-01
M7055,GA-2,STN-02,2026-03-10 06:55,109-ABC,,,4.5 bar, ok ,XX100055,SUP-15,WO10055,SEN-002,1.003,Human,TL-001,B,Paint,v1,2026-01-01
M7056,TRIM-1,STN-02,2026-03-10 06:56,140-ABC,35 lb-ft,104F,5 bar,Repair,XX100056,SUP-04,WO10056,SEN-002,0.974,Human,TL-013,C,Paint,v1,2026-01-01
M7057,GA-1,STN-05,2026-03-10 06:57,119-ABC,50Nm,95 F,65 psi,reject,XX100057,SUP-08,WO10057,SEN-008,1.002,Human,TL-001,,Weld,V1,2026-01-01
M7058,GA-2,STN-04,2026-03-10 06:58,143-ABC,60 nm,40 C,4.5 bar,Reject,XX100058,SUP-08,WO10058,SEN-007,1.026,Human,TL-016,A,Weld,v1,2026-03-01
M7059,TRIM-1, stn-05 ,2026-03-10 06:59,125-ABC,45.0 ,85C,65 psi,reject,XX100059,SUP-17,WO10059,SEN-002,0.982,Human,TL-010,B,Paint,V2,2026-01-01
M7060,TRIM-1,Stn-03,2026-03-10 07:00,118-ABC,45,104F,65 psi,na,XX100060,SUP-06,WO10060,SEN-004,0.999,Human,TL-999,B,Dimension,V1,2026-01-01
M7061,GA-1,STN-05,2026-03-10 07:01,109-ABC,50Nm,85C,5 bar,None,XX100061,SUP-06,WO10061,SEN-007,0.997,Automated,TL-024,A,NA,V1,2026-03-01
M7062,GA-2,STN-02,2026-03-10 07:02,141-ABC,,,65 psi,None,XX100062,SUP-10,WO10062,SEN-007,1.02,Automated,TL-015,B,NA,V1,2026-01-01
M7063,TRIM-1,STN-01,2026-03-10 07:03,122-ABC,50Nm,85C,5 bar, ok ,XX100063,SUP-07,WO10063,SEN-007,0.991,Automated,TL-027,,NA,V1,2025-12-31
M7064,PAINT-1,STN-02,2026-03-10 07:04,123-ABC,,40 C,4.5 bar,Reject,XX100064,SUP-12,WO10064,SEN-008,0.972,Automated,TL-008,,NA,V2,2026-01-01
M7065,PAINT-1,STN-01,2026-03-10 07:05,103-ABC,35 lb-ft,85 C,5 bar,None,XX100065,SUP-20,WO10065,SEN-006,0.992,Automated,TL-999,A,Weld,v1,2025-12-31
M7066,TRIM-1,STN-03,2026-03-10 07:06,119-ABC,45,,5 bar, ok ,XX100066,SUP-03,WO10066,SEN-001,1.02,Human,TL-016,,Dimension,V2,2026-03-01
M7067,PAINT-1,STN-02,2026-03-10 07:07,131-ABC,45.0 ,85C,5 bar,Reject,XX100067,SUP-05,WO10067,SEN-010,0.984,Automated,TL-015,C,Material,V1,2025-12-31
M7068,GA-2,STN-04,2026-03-10 07:08,148-ABC,45.0 ,85 C,65 psi,None,XX100068,SUP-02,WO10068,SEN-008,1.003,Automated,TL-006,,NA,V1,2026-03-01
M7069,GA-1,STN-02,2026-03-10 07:09,106-ABC,50Nm,40 C,5 bar,Repair,XX100069,SUP-06,WO10069,SEN-004,0.978,Automated,TL-020,B,Material,v1,2026-01-01
M7070,TRIM-1,STN-03,2026-03-10 07:10,117-ABC,,95 F,65 psi,Reject,XX100070,SUP-09,WO10070,SEN-004,0.996,Human,TL-008,B,Paint,V2,2025-12-31
M7071,GA-2,STN-03,2026-03-10 07:11,104-ABC,50Nm,95 F,4.5 bar,na,XX100071,SUP-17,WO10071,SEN-004,1.009,Human,TL-021,,NA,V1,2026-01-01
M7072,PAINT-1,Stn-03,2026-03-10 07:12,114-ABC,50Nm,95 F,4.5 bar,Reject,XX100072,SUP-08,WO10072,SEN-002,0.973,Human,TL-030,A,Weld,v1,2026-01-01
M7073,PAINT-1,STN-05,2026-03-10 07:13,116-ABC,60 nm,85C,4.5 bar,reject,XX100073,SUP-20,WO10073,SEN-010,0.991,Human,TL-012,C,Paint,V1,2026-01-01
M7074,TRIM-1,STN-01,2026-03-10 07:14,138-ABC,60 nm,,4.5 bar, ok ,XX100074,SUP-01,WO10074,SEN-006,0.995,Automated,TL-006,C,NA,V1,2026-01-01
M7075,PAINT-1,STN-05,2026-03-10 07:15,130-ABC,45,40 C,4.5 bar, ok ,XX100075,SUP-13,WO10075,SEN-009,0.979,Human,TL-021,B,Dimension,v1,2026-03-01
M7076,PAINT-1,STN-03,2026-03-10 07:16,142-ABC,35 lb-ft,40 C,4.5 bar,Reject,XX100076,SUP-19,WO10076,SEN-006,0.995,Human,TL-028,C,Paint,V2,2025-12-31
M7077,PAINT-1,STN-02,2026-03-10 07:17,100-ABC,50Nm,85 C,65 psi,None,XX100077,SUP-03,WO10077,SEN-007,1.005,Automated,TL-015,B,Paint,V1,2026-01-01
M7078,GA-2, stn-05 ,2026-03-10 07:18,125-ABC,45,104F,5 bar,Reject,XX100078,SUP-17,WO10078,SEN-003,0.979,Automated,TL-006,B,NA,V1,2026-03-01
M7079,PAINT-1,Stn-03,2026-03-10 07:19,112-ABC,35 lb-ft,85 C,4.5 bar,Repair,XX100079,SUP-11,WO10079,SEN-001,1.006,Automated,TL-003,B,Paint,v1,2026-03-01
M7080,GA-2,Stn-03,2026-03-10 07:20,130-ABC,45.0 ,104F,4.5 bar,None,XX100080,SUP-13,WO10080,SEN-009,0.979,Automated,TL-004,B,Paint,v1,2026-01-01
M7081,GA-1,STN-05,2026-03-10 07:21,148-ABC,60 nm,85C,5 bar, ok ,XX100081,SUP-11,WO10081,SEN-002,0.993,Automated,TL-018,C,Dimension,V2,2025-12-31
M7082,GA-2,STN-04,2026-03-10 07:22,124-ABC,60 nm,95 F,65 psi,na,XX100082,SUP-15,WO10082,SEN-003,0.971,Automated,TL-015,B,Dimension,v1,2026-03-01
M7083,GA-2,Stn-03,2026-03-10 07:23,130-ABC,50Nm,85C,4.5 bar,OK,XX100083,SUP-12,WO10083,SEN-007,0.992,Automated,TL-017,A,NA,v1,2026-01-01
M7084,GA-1, stn-05 ,2026-03-10 07:24,120-ABC,60 nm,104F,4.5 bar,None,XX100084,SUP-17,WO10084,SEN-007,1.009,Human,TL-001,A,Material,v1,2025-12-31
M7085,GA-1,STN-02,2026-03-10 07:25,108-ABC,50Nm,95 F,4.5 bar,reject,XX100085,SUP-08,WO10085,SEN-002,1.02,Automated,TL-006,C,Material,V2,2026-03-01
M7086,GA-2,STN-03,2026-03-10 07:26,132-ABC,50Nm,85 C,5 bar,Reject,XX100086,SUP-20,WO10086,SEN-009,0.984,Automated,TL-002,B,Paint,V2,2026-01-01
M7087,TRIM-1, stn-05 ,2026-03-10 07:27,120-ABC,50Nm,85 C,65 psi,None,XX100087,SUP-17,WO10087,SEN-001,1.008,Automated,TL-999,,Material,v1,2025-12-31
M7088,GA-1,STN-03,2026-03-10 07:28,134-ABC,60 nm,40 C,5 bar, ok ,XX100088,SUP-12,WO10088,SEN-005,0.993,Automated,TL-019,B,Weld,V2,2026-01-01
M7089,PAINT-1,STN-02,2026-03-10 07:29,111-ABC,,,4.5 bar,Reject,XX100089,SUP-17,WO10089,SEN-005,0.989,Automated,TL-024,A,NA,V1,2026-01-01
M7090,TRIM-1,STN-05,2026-03-10 07:30,140-ABC,50Nm,40 C,5 bar,Reject,XX100090,SUP-02,WO10090,SEN-003,0.999,Human,TL-001,A,NA,v1,2026-03-01
M7091,TRIM-1,STN-01,2026-03-10 07:31,133-ABC,35 lb-ft,104F,4.5 bar,Repair,XX100091,SUP-19,WO10091,SEN-005,1.005,Human,TL-012,,Paint,V1,2026-01-01
M7092,GA-2, stn-05 ,2026-03-10 07:32,109-ABC,50Nm,85C,4.5 bar,reject,XX100092,SUP-05,WO10092,SEN-005,0.994,Automated,TL-999,A,NA,v1,2025-12-31
M7093,TRIM-1,STN-05,2026-03-10 07:33,141-ABC,,40 C,5 bar,na,XX100093,SUP-16,WO10093,SEN-004,0.98,Human,TL-002,A,Material,V1,2026-03-01
M7094,GA-2,STN-02,2026-03-10 07:34,110-ABC,45,85C,4.5 bar,na,XX100094,SUP-18,WO10094,SEN-004,0.979,Human,TL-017,,Material,V1,2025-12-31
M7095,TRIM-1,STN-01,2026-03-10 07:35,119-ABC,60 nm,85C,5 bar, ok ,XX100095,SUP-16,WO10095,SEN-009,0.97,Automated,TL-024,,NA,v1,2025-12-31
M7096,PAINT-1,STN-02,2026-03-10 07:36,114-ABC,45,95 F,4.5 bar,reject,XX100096,SUP-02,WO10096,SEN-002,0.99,Automated,TL-023,A,Weld,v1,2025-12-31
M7097,PAINT-1, stn-05 ,2026-03-10 07:37,133-ABC,35 lb-ft,95 F,5 bar,OK,XX100097,SUP-03,WO10097,SEN-009,0.971,Automated,TL-029,B,Paint,V1,2025-12-31
M7098,TRIM-1,STN-02,2026-03-10 07:38,124-ABC,35 lb-ft,104F,4.5 bar,Repair,XX100098,SUP-18,WO10098,SEN-008,0.998,Human,TL-028,A,Dimension,v1,2026-01-01
M7099,TRIM-1,Stn-03,2026-03-10 07:39,113-ABC,50Nm,104F,5 bar,None,XX100099,SUP-19,WO10099,SEN-003,0.979,Human,TL-004,A,Material,V1,2026-03-01
M7100,GA-2, stn-05 ,2026-03-10 07:40,101-ABC,45,85C,4.5 bar,reject,XX100100,SUP-02,WO10100,SEN-002,1.014,Human,TL-028,C,Paint,v1,2025-12-31
M7101,GA-1,Stn-03,2026-03-10 07:41,148-ABC,60 nm,40 C,4.5 bar,OK,XX100101,SUP-07,WO10101,SEN-004,0.977,Human,TL-999,A,Weld,V2,2026-01-01
M7102,GA-2,STN-01,2026-03-10 07:42,148-ABC,60 nm,85 C,65 psi,Reject,XX100102,SUP-11,WO10102,SEN-007,0.986,Automated,TL-009,C,NA,v1,2026-03-01
M7103,TRIM-1,Stn-03,2026-03-10 07:43,138-ABC,,40 C,65 psi,na,XX100103,SUP-01,WO10103,SEN-007,0.972,Human,TL-012,,NA,v1,2025-12-31
M7104,GA-2, stn-05 ,2026-03-10 07:44,105-ABC,,95 F,4.5 bar,Repair,XX100104,SUP-01,WO10104,SEN-009,0.982,Human,TL-001,C,Dimension,V1,2026-03-01
M7105,GA-2,STN-04,2026-03-10 07:45,137-ABC,35 lb-ft,104F,65 psi,na,XX100105,SUP-06,WO10105,SEN-005,1.019,Human,TL-016,B,NA,v1,2026-01-01
M7106,PAINT-1,Stn-03,2026-03-10 07:46,144-ABC,,85C,5 bar,Reject,XX100106,SUP-12,WO10106,SEN-002,0.994,Automated,TL-029,A,Dimension,v1,2026-01-01
M7107,TRIM-1,STN-02,2026-03-10 07:47,119-ABC,35 lb-ft,40 C,5 bar,na,XX100107,SUP-06,WO10107,SEN-007,1.029,Human,TL-999,,Paint,v1,2025-12-31
M7108,GA-1,STN-03,2026-03-10 07:48,137-ABC,35 lb-ft,104F,4.5 bar, ok ,XX100108,SUP-15,WO10108,SEN-009,1.015,Human,TL-015,,Weld,v1,2026-01-01
M7109,GA-2,STN-03,2026-03-10 07:49,129-ABC,60 nm,,4.5 bar,na,XX100109,SUP-07,WO10109,SEN-005,0.988,Human,TL-024,B,Paint,v1,2026-03-01
M7110,TRIM-1,STN-02,2026-03-10 07:50,115-ABC,35 lb-ft,85 C,65 psi,reject,XX100110,SUP-04,WO10110,SEN-003,1.028,Human,TL-007,,Paint,V1,2026-03-01
M7111,TRIM-1,STN-04,2026-03-10 07:51,117-ABC,45.0 ,85C,5 bar,None,XX100111,SUP-09,WO10111,SEN-004,1.023,Automated,TL-002,A,Dimension,V2,2025-12-31
M7112,GA-2,STN-05,2026-03-10 07:52,140-ABC,35 lb-ft,40 C,4.5 bar,OK,XX100112,SUP-09,WO10112,SEN-010,1.014,Human,TL-024,B,Dimension,v1,2025-12-31
M7113,PAINT-1,Stn-03,2026-03-10 07:53,114-ABC,60 nm,,5 bar, ok ,XX100113,SUP-19,WO10113,SEN-004,1.011,Human,TL-015,,Weld,V2,2025-12-31
M7114,GA-1,STN-04,2026-03-10 07:54,115-ABC,50Nm,,5 bar,reject,XX100114,SUP-06,WO10114,SEN-005,1.021,Automated,TL-015,A,Material,V2,2025-12-31
M7115,GA-2, stn-05 ,2026-03-10 07:55,120-ABC,45,40 C,65 psi,None,XX100115,SUP-02,WO10115,SEN-005,1.003,Human,TL-023,B,Material,V2,2026-01-01
M7116,PAINT-1,STN-05,2026-03-10 07:56,113-ABC,60 nm,40 C,5 bar,None,XX100116,SUP-12,WO10116,SEN-009,0.991,Automated,TL-007,B,Dimension,v1,2026-01-01
M7117,TRIM-1, stn-05 ,2026-03-10 07:57,103-ABC,35 lb-ft,95 F,65 psi,Repair,XX100117,SUP-02,WO10117,SEN-001,0.975,Automated,TL-021,C,Material,V2,2026-01-01
M7118,GA-2,STN-03,2026-03-10 07:58,147-ABC,50Nm,104F,4.5 bar, ok ,XX100118,SUP-13,WO10118,SEN-008,0.983,Human,TL-030,A,Paint,V2,2025-12-31
M7119,GA-2,Stn-03,2026-03-10 07:59,109-ABC,35 lb-ft,,5 bar, ok ,XX100119,SUP-14,WO10119,SEN-008,1.03,Human,TL-025,,Weld,V1,2026-03-01
M7120,PAINT-1, stn-05 ,2026-03-10 08:00,116-ABC,50Nm,,4.5 bar,Repair,XX100120,SUP-01,WO10120,SEN-005,0.991,Automated,TL-011,,Dimension,V2,2025-12-31
M7121,GA-1, stn-05 ,2026-03-10 08:01,123-ABC,45.0 ,95 F,65 psi,None,XX100121,SUP-03,WO10121,SEN-010,1.024,Human,TL-017,C,Material,V1,2025-12-31
M7122,GA-1,STN-02,2026-03-10 08:02,104-ABC,60 nm,95 F,65 psi,na,XX100122,SUP-04,WO10122,SEN-010,0.979,Human,TL-006,,Weld,V1,2026-01-01
M7123,PAINT-1,Stn-03,2026-03-10 08:03,134-ABC,45.0 ,104F,5 bar,na,XX100123,SUP-03,WO10123,SEN-009,1.017,Automated,TL-007,,Paint,v1,2026-01-01
M7124,PAINT-1, stn-05 ,2026-03-10 08:04,107-ABC,,85C,65 psi,Repair,XX100124,SUP-08,WO10124,SEN-003,0.998,Human,TL-016,,Paint,v1,2026-03-01
M7125,GA-2,STN-04,2026-03-10 08:05,110-ABC,,104F,5 bar,None,XX100125,SUP-06,WO10125,SEN-006,0.998,Automated,TL-022,C,Dimension,V2,2026-03-01
M7126,PAINT-1, stn-05 ,2026-03-10 08:06,104-ABC,45.0 ,,65 psi,reject,XX100126,SUP-01,WO10126,SEN-001,1.007,Automated,TL-026,A,Material,V2,2026-03-01
M7127,GA-2,STN-01,2026-03-10 08:07,113-ABC,60 nm,40 C,5 bar,OK,XX100127,SUP-11,WO10127,SEN-002,1.022,Automated,TL-011,,Material,v1,2026-01-01
M7128,TRIM-1,STN-04,2026-03-10 08:08,121-ABC,50Nm,95 F,5 bar,None,XX100128,SUP-10,WO10128,SEN-005,0.991,Automated,TL-013,C,Material,V2,2025-12-31
M7129,TRIM-1,STN-02,2026-03-10 08:09,141-ABC,50Nm,85C,65 psi,OK,XX100129,SUP-11,WO10129,SEN-005,0.978,Human,TL-026,A,Dimension,v1,2025-12-31
M7130,PAINT-1,STN-05,2026-03-10 08:10,136-ABC,45,40 C,65 psi,None,XX100130,SUP-01,WO10130,SEN-001,0.981,Automated,TL-020,A,Material,v1,2025-12-31
M7131,PAINT-1,STN-05,2026-03-10 08:11,109-ABC,60 nm,,5 bar,reject,XX100131,SUP-20,WO10131,SEN-002,0.983,Automated,TL-021,B,NA,v1,2026-01-01
M7132,GA-1,STN-04,2026-03-10 08:12,149-ABC,45,,4.5 bar,Reject,XX100132,SUP-05,WO10132,SEN-005,1.004,Automated,TL-028,C,Paint,V2,2026-01-01
M7133,TRIM-1,STN-01,2026-03-10 08:13,127-ABC,,,5 bar,None,XX100133,SUP-16,WO10133,SEN-010,1.001,Human,TL-025,,Material,v1,2026-03-01
M7134,PAINT-1,STN-01,2026-03-10 08:14,100-ABC,60 nm,40 C,5 bar,na,XX100134,SUP-05,WO10134,SEN-008,1.016,Human,TL-003,,Paint,V1,2025-12-31
M7135,GA-1,STN-04,2026-03-10 08:15,100-ABC,45,,5 bar,None,XX100135,SUP-03,WO10135,SEN-004,1.022,Human,TL-016,A,Weld,v1,2025-12-31
M7136,GA-2,STN-04,2026-03-10 08:16,146-ABC,60 nm,85 C,4.5 bar,Reject,XX100136,SUP-05,WO10136,SEN-002,0.988,Automated,TL-015,C,NA,v1,2026-01-01
M7137,GA-1,STN-01,2026-03-10 08:17,100-ABC,60 nm,,5 bar,None,XX100137,SUP-13,WO10137,SEN-005,0.989,Human,TL-999,,Material,V1,2026-03-01
M7138,TRIM-1,STN-05,2026-03-10 08:18,146-ABC,50Nm,40 C,5 bar,OK,XX100138,SUP-05,WO10138,SEN-002,0.992,Human,TL-021,,Dimension,V2,2026-03-01
