Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,BOM_Status,Machine_ID,Planned_Time_Minutes,Run_Time_Minutes,Downtime_Minutes,Ideal_Cycle_Time,Total_Units,Reject_Units,Good_Units
M7016,MA1AB100000000016,WO10016,Hatch Z,TRIM-1,STN-03,2026-03-01 06:20,ENG-1112,SUP-036,EMP360,TL-064,A,Valid,MC-102,480,457,23,1.19,461,7,454
M7017,MA1AB100000000017,WO10017,Sedan X,GA-1,STN-02,2026-03-01 06:21,ENG-1321,SUP-041,EMP316,TL-077,A,Valid,MC-103,480,475,5,1.07,553,7,546
M7018,MA1AB100000000018,WO10018,SUV Pro,TRIM-1,STN-05,2026-03-01 06:22,ENG-1239,SUP-136,EMP228,TL-071,A,Valid,MC-104,480,474,6,1.07,459,2,457
M7019,MA1AB100000000019,WO10019,Hatch Z,GA-1, stn-05 ,2026-03-01 06:23,ENG-1453,SUP-138,EMP236,TL-099,C,Valid,MC-105,480,430,50,1.08,471,7,464
M7020,MA1AB100000000020,WO10020,Sedan X,PAINT-1,STN-04,2026-03-01 06:25,ENG-1080,SUP-117,EMP101,TL-093,C,Valid,MC-101,480,450,30,1.14,460,7,453
M7021,MA1AB100000000021,WO10021,Hatch Z,GA-2,STN-05,2026-03-01 06:26,ENG-1467,SUP-028,EMP252,TL-082,B,Valid,MC-102,480,468,12,1.08,589,7,582
M7022,MA1AB100000000022,WO10022,Sedan X,PAINT-1,Stn-03,2026-03-01 06:27,ENG-1082,SUP-139,EMP371,TL-001,C,Valid,MC-103,480,448,32,0.8,508,2,506
M7023,MA1AB100000000023,WO10023,SUV Pro,GA-1,STN-01,2026-03-01 06:28,ENG-1475,SUP-093,EMP257,TL-031,A,Valid,MC-104,480,451,29,1.05,594,7,587
M7024,MA1AB100000000024,WO10024,Sedan X,GA-1,STN-01,2026-03-01 06:30,ENG-1374,SUP-125,EMP135,TL-098,B,Valid,MC-105,480,466,14,1.05,571,1,570
M7025,MA1AB100000000025,WO10025,Sedan X,TRIM-1,STN-05,2026-03-01 06:31,ENG-1084,SUP-068,EMP370,TL-078,,Valid,MC-101,480,459,21,1.03,553,11,542
M7026,MA1AB100000000026,WO10026,Sedan X,GA-2, stn-05 ,2026-03-01 06:32,ENG-1159,SUP-103,EMP291,TL-057,,Valid,MC-102,480,473,7,0.83,478,9,469
M7027,MA1AB100000000027,WO10027,Sedan X,GA-2,STN-02,2026-03-01 06:33,ENG-1032,SUP-087,EMP110,TL-076,B,Valid,MC-103,480,469,11,1.0,548,8,540
M7028,MA1AB100000000028,WO10028,Hatch Z,GA-2,STN-01,2026-03-01 06:35,ENG-1036,SUP-182,EMP130,TL-030,A,Valid,MC-104,480,449,31,1.09,542,3,539
M7029,MA1AB100000000029,WO10029,Sedan X,PAINT-1,STN-01,2026-03-01 06:36,ENG-1263,SUP-061,EMP242,TL-086,,Valid,MC-105,480,458,22,1.06,495,9,486
M7030,MA1AB100000000030,WO10030,Sedan X,GA-2, stn-05 ,2026-03-01 06:37,ENG-1478,SUP-147,EMP395,TL-061,B,Valid,MC-101,480,452,28,1.1,599,5,594
M7031,MA1AB100000000031,WO10031,SUV Pro,TRIM-1,STN-02,2026-03-01 06:38,ENG-1048,SUP-025,EMP320,TL-046,,Valid,MC-102,480,441,39,0.87,588,2,586
M7032,MA1AB100000000032,WO10032,SUV Pro,TRIM-1,Stn-03,2026-03-01 06:40,ENG-1373,SUP-014,EMP150,TL-008,,Valid,MC-103,480,443,37,0.87,546,1,545
M7033,MA1AB100000000033,WO10033,Hatch Z,PAINT-1,Stn-03,2026-03-01 06:41,ENG-1441,SUP-028,EMP227,TL-025,B,Valid,MC-104,480,436,44,1.07,507,15,492
M7034,MA1AB100000000034,WO10034,Hatch Z,TRIM-1,STN-02,2026-03-01 06:42,ENG-1216,SUP-047,EMP242,TL-060,B,Valid,MC-105,480,480,0,0.92,572,8,564
M7035,MA1AB100000000035,WO10035,Sedan X,TRIM-1,Stn-03,2026-03-01 06:43,ENG-1441,SUP-141,EMP150,TL-007,A,Valid,MC-101,480,435,45,1.19,554,12,542
M7036,MA1AB100000000036,WO10036,Sedan X,GA-2,STN-02,2026-03-01 06:45,ENG-1208,SUP-125,EMP346,TL-028,,Valid,MC-102,480,436,44,0.92,525,13,512
M7037,MA1AB100000000037,WO10037,Sedan X,GA-2,STN-04,2026-03-01 06:46,ENG-1001,SUP-100,EMP235,TL-999,,Valid,MC-103,480,463,17,1.12,461,12,449
M7038,MA1AB100000000038,WO10038,SUV Pro,TRIM-1, stn-05 ,2026-03-01 06:47,ENG-1490,SUP-188,EMP384,TL-085,,Valid,MC-104,480,446,34,0.83,451,12,439
M7039,MA1AB100000000039,WO10039,Sedan X,GA-2,STN-03,2026-03-01 06:48,ENG-1111,SUP-015,EMP396,TL-095,A,Valid,MC-105,480,473,7,1.13,467,7,460
M7040,MA1AB100000000040,WO10040,Hatch Z,PAINT-1,STN-01,2026-03-01 06:50,ENG-1025,SUP-150,EMP344,TL-065,B,Valid,MC-101,480,449,31,1.16,578,7,571
M7041,MA1AB100000000041,WO10041,Sedan X,GA-1,Stn-03,2026-03-01 06:51,ENG-1095,SUP-018,EMP134,TL-087,B,Valid,MC-102,480,443,37,1.05,541,1,540
M7042,MA1AB100000000042,WO10042,SUV Pro,GA-1,STN-05,2026-03-01 06:52,ENG-1126,SUP-149,EMP120,TL-080,A,Valid,MC-103,480,470,10,0.93,480,13,467
M7043,MA1AB100000000043,WO10043,SUV Pro,PAINT-1,STN-03,2026-03-01 06:53,ENG-1104,SUP-172,EMP260,TL-031,C,Valid,MC-104,480,471,9,0.88,566,7,559
M7044,MA1AB100000000044,WO10044,SUV Pro,GA-2, stn-05 ,2026-03-01 06:55,ENG-1330,SUP-077,EMP334,TL-041,A,Valid,MC-105,480,474,6,0.94,546,3,543
M7045,MA1AB100000000045,WO10045,Sedan X,TRIM-1,STN-05,2026-03-01 06:56,ENG-1288,SUP-026,EMP137,TL-069,B,Valid,MC-101,480,475,5,1.19,542,13,529
M7046,MA1AB100000000046,WO10046,Hatch Z,PAINT-1,STN-02,2026-03-01 06:57,ENG-1477,SUP-090,EMP135,TL-032,C,Valid,MC-102,480,452,28,0.91,571,2,569
M7047,MA1AB100000000047,WO10047,SUV Pro,GA-2,STN-04,2026-03-01 06:58,ENG-1426,SUP-140,EMP254,TL-079,A,Valid,MC-103,480,447,33,1.14,571,8,563
M7048,MA1AB100000000048,WO10048,Hatch Z,PAINT-1, stn-05 ,2026-03-01 07:00,ENG-1053,SUP-035,EMP235,TL-015,A,Valid,MC-104,480,430,50,1.12,585,11,574
M7049,MA1AB100000000049,WO10049,Hatch Z,GA-2,STN-03,2026-03-01 07:01,ENG-1144,SUP-155,EMP207,TL-092,C,Valid,MC-105,480,477,3,1.15,495,12,483
M7050,MA1AB100000000050,WO10050,Sedan X,PAINT-1,STN-05,2026-03-01 07:02,ENG-1250,SUP-065,EMP126,TL-012,,Valid,MC-101,480,456,24,1.02,580,7,573
M7051,MA1AB100000000051,WO10051,SUV Pro,GA-1,STN-01,2026-03-01 07:03,ENG-1170,SUP-198,EMP166,TL-082,C,Valid,MC-102,480,436,44,0.9,550,13,537
M7052,MA1AB100000000052,WO10052,Sedan X,TRIM-1,STN-05,2026-03-01 07:05,ENG-1361,SUP-110,EMP387,TL-002,A,Valid,MC-103,480,455,25,0.84,475,5,470
M7053,MA1AB100000000053,WO10053,Sedan X,GA-2,STN-05,2026-03-01 07:06,ENG-1018,SUP-095,EMP398,TL-071,B,Valid,MC-104,480,456,24,0.81,570,8,562
M7054,MA1AB100000000054,WO10054,SUV Pro,GA-2,STN-01,2026-03-01 07:07,ENG-1157,SUP-094,EMP120,TL-046,B,Valid,MC-105,480,479,1,1.18,497,2,495
M7055,MA1AB100000000055,WO10055,Hatch Z,GA-2, stn-05 ,2026-03-01 07:08,ENG-1052,SUP-091,EMP386,TL-053,B,Valid,MC-101,480,457,23,1.06,494,6,488
M7056,MA1AB100000000056,WO10056,Sedan X,GA-2,Stn-03,2026-03-01 07:10,ENG-1415,SUP-046,EMP311,TL-004,B,Valid,MC-102,480,473,7,1.19,485,1,484
M7057,MA1AB100000000057,WO10057,Hatch Z,PAINT-1,Stn-03,2026-03-01 07:11,ENG-1476,SUP-106,EMP227,TL-035,B,Valid,MC-103,480,446,34,0.88,593,4,589
M7058,MA1AB100000000058,WO10058,Hatch Z,GA-1,STN-04,2026-03-01 07:12,ENG-1446,SUP-010,EMP340,TL-029,B,Valid,MC-104,480,480,0,1.16,501,6,495
M7059,MA1AB100000000059,WO10059,SUV Pro,PAINT-1,STN-03,2026-03-01 07:13,ENG-1420,SUP-059,EMP214,TL-004,B,Valid,MC-105,480,430,50,1.19,462,10,452
M7060,MA1AB100000000060,WO10060,SUV Pro,PAINT-1,STN-03,2026-03-01 07:15,ENG-1442,SUP-018,EMP242,TL-045,,Valid,MC-101,480,479,1,1.2,584,13,571
M7061,MA1AB100000000061,WO10061,Hatch Z,PAINT-1,STN-01,2026-03-01 07:16,ENG-1059,SUP-067,EMP191,TL-075,C,Valid,MC-102,480,450,30,0.83,522,14,508
M7062,MA1AB100000000062,WO10062,Sedan X,GA-1,STN-05,2026-03-01 07:17,ENG-1222,SUP-089,EMP260,TL-056,A,Valid,MC-103,480,445,35,1.04,569,5,564
M7063,MA1AB100000000063,WO10063,SUV Pro,GA-2,STN-03,2026-03-01 07:18,ENG-1022,SUP-182,EMP323,TL-001,B,Valid,MC-104,480,456,24,1.17,523,9,514
M7064,MA1AB100000000064,WO10064,SUV Pro,TRIM-1,STN-01,2026-03-01 07:20,ENG-1485,SUP-171,EMP269,TL-080,C,Valid,MC-105,480,445,35,0.89,494,11,483
M7065,MA1AB100000000065,WO10065,Hatch Z,GA-1, stn-05 ,2026-03-01 07:21,ENG-1460,SUP-077,EMP359,TL-040,,Valid,MC-101,480,434,46,1.07,490,14,476
M7066,MA1AB100000000066,WO10066,SUV Pro,TRIM-1, stn-05 ,2026-03-01 07:22,ENG-1151,SUP-142,EMP165,TL-025,,Valid,MC-102,480,479,1,0.85,460,12,448
M7067,MA1AB100000000067,WO10067,Hatch Z,TRIM-1, stn-05 ,2026-03-01 07:23,ENG-1383,SUP-045,EMP391,TL-039,,Valid,MC-103,480,453,27,1.12,471,11,460
M7068,MA1AB100000000068,WO10068,Hatch Z,GA-1,STN-03,2026-03-01 07:25,ENG-1146,SUP-054,EMP320,TL-999,C,Valid,MC-104,480,471,9,0.93,533,12,521
M7069,MA1AB100000000069,WO10069,SUV Pro,TRIM-1,STN-04,2026-03-01 07:26,ENG-1345,SUP-055,EMP361,TL-061,B,Valid,MC-105,480,472,8,0.95,539,2,537
M7070,MA1AB100000000070,WO10070,Hatch Z,GA-1,STN-03,2026-03-01 07:27,ENG-1263,SUP-170,EMP271,TL-012,B,Valid,MC-101,480,466,14,0.99,451,1,450
M7071,MA1AB100000000071,WO10071,Hatch Z,PAINT-1,STN-02,2026-03-01 07:28,ENG-1412,SUP-051,EMP175,TL-004,A,Valid,MC-102,480,479,1,0.96,559,14,545
M7072,MA1AB100000000072,WO10072,Sedan X,TRIM-1,STN-05,2026-03-01 07:30,ENG-1435,SUP-197,EMP137,TL-059,,Valid,MC-103,480,466,14,1.17,590,8,582
M7073,MA1AB100000000073,WO10073,Hatch Z,GA-2, stn-05 ,2026-03-01 07:31,ENG-1356,SUP-099,EMP353,TL-052,B,Valid,MC-104,480,439,41,1.08,552,1,551
M7074,MA1AB100000000074,WO10074,Sedan X,GA-1,Stn-03,2026-03-01 07:32,ENG-1440,SUP-198,EMP154,TL-100,,Valid,MC-105,480,467,13,1.09,513,2,511
M7075,MA1AB100000000075,WO10075,Sedan X,GA-2,Stn-03,2026-03-01 07:33,ENG-1490,SUP-179,EMP365,TL-060,A,Valid,MC-101,480,434,46,1.07,529,5,524
M7076,MA1AB100000000076,WO10076,Hatch Z,GA-2,Stn-03,2026-03-01 07:35,ENG-1062,SUP-117,EMP168,TL-060,C,Valid,MC-102,480,430,50,0.92,521,0,521
M7077,MA1AB100000000077,WO10077,SUV Pro,TRIM-1,Stn-03,2026-03-01 07:36,ENG-1464,SUP-141,EMP328,TL-021,,Valid,MC-103,480,452,28,1.11,574,14,560
M7078,MA1AB100000000078,WO10078,SUV Pro,PAINT-1,Stn-03,2026-03-01 07:37,ENG-1126,SUP-164,EMP241,TL-099,,Valid,MC-104,480,470,10,1.18,496,0,496
M7079,MA1AB100000000079,WO10079,Hatch Z,GA-2,STN-03,2026-03-01 07:38,ENG-1225,SUP-020,EMP246,TL-031,C,Valid,MC-105,480,475,5,0.85,559,5,554
M7080,MA1AB100000000080,WO10080,SUV Pro,PAINT-1,STN-05,2026-03-01 07:40,ENG-1041,SUP-036,EMP177,TL-030,,Valid,MC-101,480,473,7,1.13,592,3,589
M7081,MA1AB100000000081,WO10081,Hatch Z,GA-2, stn-05 ,2026-03-01 07:41,ENG-1109,SUP-017,EMP312,TL-053,C,Valid,MC-102,480,433,47,0.9,549,2,547
M7082,MA1AB100000000082,WO10082,Hatch Z,TRIM-1,STN-04,2026-03-01 07:42,ENG-1031,SUP-053,EMP315,TL-050,A,Valid,MC-103,480,452,28,0.97,511,12,499
M7083,MA1AB100000000083,WO10083,Hatch Z,TRIM-1,STN-04,2026-03-01 07:43,ENG-1003,SUP-091,EMP252,TL-097,,Valid,MC-104,480,477,3,0.82,465,7,458
M7084,MA1AB100000000084,WO10084,SUV Pro,GA-2,STN-04,2026-03-01 07:45,ENG-1112,SUP-070,EMP323,TL-063,A,Valid,MC-105,480,468,12,1.07,568,10,558
M7085,MA1AB100000000085,WO10085,SUV Pro,PAINT-1, stn-05 ,2026-03-01 07:46,ENG-1347,SUP-104,EMP184,TL-060,B,Valid,MC-101,480,447,33,1.18,559,14,545
M7086,MA1AB100000000086,WO10086,Hatch Z,GA-1,STN-04,2026-03-01 07:47,ENG-1303,SUP-145,EMP113,TL-011,,Valid,MC-102,480,472,8,1.0,595,14,581
M7087,MA1AB100000000087,WO10087,Sedan X,TRIM-1,STN-02,2026-03-01 07:48,ENG-1025,SUP-067,EMP294,TL-042,B,Valid,MC-103,480,470,10,1.03,503,0,503
M7088,MA1AB100000000088,WO10088,SUV Pro,PAINT-1,STN-03,2026-03-01 07:50,ENG-1389,SUP-098,EMP242,TL-097,,Valid,MC-104,480,434,46,1.2,502,12,490
M7089,MA1AB100000000089,WO10089,SUV Pro,GA-1,STN-04,2026-03-01 07:51,ENG-1009,SUP-192,EMP376,TL-007,C,Valid,MC-105,480,439,41,0.95,548,1,547
M7090,MA1AB100000000090,WO10090,Sedan X,GA-1,Stn-03,2026-03-01 07:52,ENG-1490,SUP-167,EMP120,TL-097,A,Valid,MC-101,480,438,42,0.84,504,11,493
M7091,MA1AB100000000091,WO10091,Sedan X,GA-2,Stn-03,2026-03-01 07:53,ENG-1010,SUP-160,EMP178,TL-031,B,Valid,MC-102,480,465,15,0.85,505,6,499
M7092,MA1AB100000000092,WO10092,SUV Pro,GA-1,STN-05,2026-03-01 07:55,ENG-1485,SUP-056,EMP338,TL-090,C,Valid,MC-103,480,470,10,0.89,598,7,591
M7093,MA1AB100000000093,WO10093,SUV Pro,GA-2,STN-05,2026-03-01 07:56,ENG-1310,SUP-192,EMP158,TL-100,B,Valid,MC-104,480,473,7,0.84,502,6,496
M7094,MA1AB100000000094,WO10094,SUV Pro,GA-1,STN-05,2026-03-01 07:57,ENG-1013,SUP-080,EMP394,TL-087,,Valid,MC-105,480,432,48,0.92,465,1,464
M7095,MA1AB100000000095,WO10095,SUV Pro,GA-2,STN-01,2026-03-01 07:58,ENG-1303,SUP-177,EMP224,TL-014,C,Valid,MC-101,480,444,36,0.95,511,1,510
M7096,MA1AB100000000096,WO10096,Hatch Z,GA-1,Stn-03,2026-03-01 08:00,ENG-1289,SUP-011,EMP277,TL-069,,Valid,MC-102,480,470,10,1.09,493,13,480
M7097,MA1AB100000000097,WO10097,Hatch Z,PAINT-1,STN-01,2026-03-01 08:01,ENG-1259,SUP-166,EMP274,TL-002,,Valid,MC-103,480,464,16,1.0,524,3,521
M7098,MA1AB100000000098,WO10098,SUV Pro,GA-1,STN-04,2026-03-01 08:02,ENG-1491,SUP-093,EMP335,TL-091,B,Valid,MC-104,480,452,28,1.0,538,4,534
M7099,MA1AB100000000099,WO10099,SUV Pro,GA-2, stn-05 ,2026-03-01 08:03,ENG-1267,SUP-167,EMP238,TL-079,,Valid,MC-105,480,448,32,0.84,528,9,519
M7100,MA1AB100000000100,WO10100,SUV Pro,TRIM-1,Stn-03,2026-03-01 08:05,ENG-1374,SUP-152,EMP237,TL-042,B,Valid,MC-101,480,442,38,0.88,570,10,560
M7101,MA1AB100000000101,WO10101,Sedan X,PAINT-1,STN-04,2026-03-01 08:06,ENG-1124,SUP-193,EMP337,TL-073,,Valid,MC-102,480,472,8,0.94,527,5,522
M7102,MA1AB100000000102,WO10102,SUV Pro,GA-1,STN-04,2026-03-01 08:07,ENG-1435,SUP-084,EMP193,TL-063,B,Valid,MC-103,480,480,0,1.19,581,11,570
M7103,MA1AB100000000103,WO10103,SUV Pro,PAINT-1,STN-03,2026-03-01 08:08,ENG-1143,SUP-153,EMP241,TL-072,A,Valid,MC-104,480,464,16,1.08,537,14,523
M7104,MA1AB100000000104,WO10104,Hatch Z,GA-2,STN-01,2026-03-01 08:10,ENG-1123,SUP-185,EMP308,TL-063,B,Valid,MC-105,480,430,50,0.91,521,14,507
M7105,MA1AB100000000105,WO10105,Hatch Z,TRIM-1, stn-05 ,2026-03-01 08:11,ENG-1364,SUP-126,EMP329,TL-003,A,Valid,MC-101,480,441,39,1.1,528,8,520
M7106,MA1AB100000000106,WO10106,SUV Pro,GA-2,STN-04,2026-03-01 08:12,ENG-1354,SUP-063,EMP256,TL-085,C,Valid,MC-102,480,456,24,0.91,541,11,530
M7107,MA1AB100000000107,WO10107,SUV Pro,PAINT-1,STN-04,2026-03-01 08:13,ENG-1381,SUP-141,EMP269,TL-046,,Valid,MC-103,480,441,39,0.88,509,13,496
M7108,MA1AB100000000108,WO10108,SUV Pro,PAINT-1,STN-03,2026-03-01 08:15,ENG-1118,SUP-031,EMP198,TL-041,A,Valid,MC-104,480,467,13,0.94,465,12,453
M7109,MA1AB100000000109,WO10109,Hatch Z,GA-2,STN-02,2026-03-01 08:16,ENG-1110,SUP-190,EMP347,TL-036,C,Valid,MC-105,480,471,9,1.04,515,15,500
M7110,MA1AB100000000110,WO10110,Sedan X,GA-2,STN-03,2026-03-01 08:17,ENG-1116,SUP-093,EMP191,TL-039,A,Valid,MC-101,480,471,9,1.07,549,3,546
M7111,MA1AB100000000111,WO10111,Hatch Z,GA-2,STN-03,2026-03-01 08:18,ENG-1023,SUP-014,EMP383,TL-038,B,Valid,MC-102,480,445,35,0.89,543,14,529
M7112,MA1AB100000000112,WO10112,Hatch Z,TRIM-1,STN-01,2026-03-01 08:20,ENG-1446,SUP-004,EMP393,TL-037,,Valid,MC-103,480,443,37,1.1,596,11,585
M7113,MA1AB100000000113,WO10113,SUV Pro,TRIM-1,STN-03,2026-03-01 08:21,ENG-1094,SUP-014,EMP229,TL-062,A,Valid,MC-104,480,433,47,1.19,456,0,456
M7114,MA1AB100000000114,WO10114,Sedan X,TRIM-1,STN-04,2026-03-01 08:22,ENG-1037,SUP-148,EMP127,TL-020,B,Valid,MC-105,480,442,38,0.87,584,13,571
M7115,MA1AB100000000115,WO10115,Hatch Z,PAINT-1,STN-01,2026-03-01 08:23,ENG-1127,SUP-031,EMP385,TL-098,,Valid,MC-101,480,478,2,1.05,567,8,559
M7116,MA1AB100000000116,WO10116,Hatch Z,GA-2,Stn-03,2026-03-01 08:25,ENG-1267,SUP-098,EMP330,TL-057,C,Valid,MC-102,480,445,35,1.09,516,13,503
M7117,MA1AB100000000117,WO10117,Hatch Z,TRIM-1,STN-03,2026-03-01 08:26,ENG-1291,SUP-159,EMP130,TL-079,A,Valid,MC-103,480,444,36,1.06,582,3,579
M7118,MA1AB100000000118,WO10118,Sedan X,GA-2,STN-03,2026-03-01 08:27,ENG-1338,SUP-021,EMP180,TL-031,B,Valid,MC-104,480,463,17,1.11,479,9,470
M7119,MA1AB100000000119,WO10119,Hatch Z,GA-1,STN-02,2026-03-01 08:28,ENG-1001,SUP-105,EMP330,TL-089,,Valid,MC-105,480,477,3,1.18,503,5,498
M7120,MA1AB100000000120,WO10120,SUV Pro,GA-1,STN-02,2026-03-01 08:30,ENG-1147,SUP-181,EMP244,TL-090,,Valid,MC-101,480,441,39,1.13,570,14,556
M7121,MA1AB100000000121,WO10121,Sedan X,GA-2,STN-03,2026-03-01 08:31,ENG-1403,SUP-161,EMP201,TL-055,A,Valid,MC-102,480,463,17,0.99,512,5,507
M7122,MA1AB100000000122,WO10122,Hatch Z,GA-2, stn-05 ,2026-03-01 08:32,ENG-1076,SUP-069,EMP172,TL-010,A,Valid,MC-103,480,477,3,1.11,589,15,574
M7123,MA1AB100000000123,WO10123,Sedan X,PAINT-1,STN-05,2026-03-01 08:33,ENG-1383,SUP-146,EMP247,TL-057,A,Valid,MC-104,480,474,6,0.85,548,13,535
M7124,MA1AB100000000124,WO10124,SUV Pro,PAINT-1, stn-05 ,2026-03-01 08:35,ENG-1206,SUP-070,EMP356,TL-070,,Valid,MC-105,480,478,2,0.89,503,14,489
M7125,MA1AB100000000125,WO10125,SUV Pro,GA-1,STN-05,2026-03-01 08:36,ENG-1020,SUP-111,EMP265,TL-078,C,Valid,MC-101,480,446,34,1.03,597,3,594
M7126,MA1AB100000000126,WO10126,Sedan X,GA-1,STN-02,2026-03-01 08:37,ENG-1492,SUP-173,EMP394,TL-076,A,Valid,MC-102,480,462,18,0.81,540,10,530
M7127,MA1AB100000000127,WO10127,Hatch Z,PAINT-1,STN-05,2026-03-01 08:38,ENG-1020,SUP-196,EMP189,TL-061,,Valid,MC-103,480,480,0,1.03,535,0,535
M7128,MA1AB100000000128,WO10128,SUV Pro,GA-2,STN-05,2026-03-01 08:40,ENG-1223,SUP-163,EMP351,TL-012,,Valid,MC-104,480,449,31,1.15,517,14,503
M7129,MA1AB100000000129,WO10129,SUV Pro,TRIM-1,STN-03,2026-03-01 08:41,ENG-1164,SUP-172,EMP153,TL-021,C,Valid,MC-105,480,451,29,0.86,599,14,585
M7130,MA1AB100000000130,WO10130,SUV Pro,TRIM-1,STN-03,2026-03-01 08:42,ENG-1339,SUP-103,EMP381,TL-005,,Valid,MC-101,480,456,24,0.84,503,11,492
M7131,MA1AB100000000131,WO10131,Sedan X,PAINT-1,STN-03,2026-03-01 08:43,ENG-1165,SUP-030,EMP306,TL-066,A,Valid,MC-102,480,438,42,1.06,523,5,518
M7132,MA1AB100000000132,WO10132,Hatch Z,TRIM-1,STN-04,2026-03-01 08:45,ENG-1027,SUP-049,EMP365,TL-047,,Valid,MC-103,480,440,40,1.08,545,15,530
M7133,MA1AB100000000133,WO10133,Hatch Z,TRIM-1,Stn-03,2026-03-01 08:46,ENG-1026,SUP-053,EMP236,TL-071,B,Valid,MC-104,480,475,5,1.17,450,2,448
M7134,MA1AB100000000134,WO10134,SUV Pro,TRIM-1, stn-05 ,2026-03-01 08:47,ENG-1248,SUP-032,EMP114,TL-081,B,Valid,MC-105,480,441,39,1.12,452,9,443
M7135,MA1AB100000000135,WO10135,Hatch Z,GA-2,STN-03,2026-03-01 08:48,ENG-1282,SUP-004,EMP382,TL-053,A,Valid,MC-101,480,470,10,1.0,542,13,529
M7136,MA1AB100000000136,WO10136,Sedan X,GA-1,STN-04,2026-03-01 08:50,ENG-1484,SUP-031,EMP178,TL-064,C,Valid,MC-102,480,458,22,0.9,587,2,585
M7137,MA1AB100000000137,WO10137,Hatch Z,PAINT-1,STN-04,2026-03-01 08:51,ENG-1427,SUP-124,EMP341,TL-032,,Valid,MC-103,480,441,39,0.96,532,1,531
M7138,MA1AB100000000138,WO10138,Hatch Z,GA-2,STN-04,2026-03-01 08:52,ENG-1097,SUP-154,EMP360,TL-096,B,Valid,MC-104,480,477,3,1.0,565,4,561
M7139,MA1AB100000000139,WO10139,Sedan X,PAINT-1,Stn-03,2026-03-01 08:53,ENG-1404,SUP-107,EMP274,TL-999,C,Valid,MC-105,480,440,40,1.06,564,10,554
